date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,195.51,196.418,194.16,195.06,195.06,140957,140957,-0.45,-0.23016725,195.21,"May 08, 23",-0.0023016725
2023-05-05,194.94,197.6425,193.635,196.75,196.75,1210698,1005538,1.81,0.92849,196.06,"May 05, 23",0.0092849
2023-05-04,191.27,196.42,191.27,194.4,194.399994,1984321,1984300,3.13,1.64,194.84,"May 04, 23",0.0164
2023-05-03,196.45,197.45,191.6,191.97,191.970001,1491315,1491300,-4.48,-2.28,194.21,"May 03, 23",-0.0228
2023-05-02,199.67,201.74,195.68,196.13,196.130005,2133831,2133800,-3.54,-1.77,197.52,"May 02, 23",-0.0177
2023-05-01,203.29,203.9915,199.36,199.5,199.5,2135963,2135800,-3.79,-1.86,200.86,"May 01, 23",-0.0186
2023-04-28,205.66,206.61,203.32,204.39,204.389999,2082284,2082300,-1.27,-0.61752,204.73,"April 28, 23",-0.0061752
2023-04-27,200.34,205.96,200.34,205.64,205.639999,1744746,1744600,5.3,2.65,204.74,"April 27, 23",0.0265
2023-04-26,202.55,206.47,200.08,200.34,200.339996,1789358,1789300,-2.21,-1.09,202.08,"April 26, 23",-0.0109
2023-04-25,203.38,205.12,201.59,201.74,201.740005,1339909,1339900,-1.64,-0.80637,202.98,"April 25, 23",-0.0080637
2023-04-24,204.29,205.01,201.75,203.94,203.940002,1356696,1356700,-0.35,-0.17133,203.31,"April 24, 23",-0.0017133
2023-04-21,206.59,206.59,202.83,204.14,204.139999,2177379,2177300,-2.45,-1.19,204.06,"April 21, 23",-0.0119
2023-04-20,207.81,207.81,204.71,205.59,205.589996,1472334,1472300,-2.22,-1.07,206.07,"April 20, 23",-0.0107
2023-04-19,207.13,210.64,206.78,208.12,208.119995,1186696,1186700,0.99,0.47796,208.77,"April 19, 23",0.0047796
2023-04-18,208.45,208.86,206.17,208.18,208.179993,2116106,2116100,-0.27,-0.12953,207.77,"April 18, 23",-0.0012953
2023-04-17,207.77,211.94,207.08,208.83,208.830002,1857915,1857900,1.06,0.51018,208.98,"April 17, 23",0.0051018
2023-04-14,210.49,210.77,205.305,206.89,206.889999,1174764,1174800,-3.6,-1.71,207.25,"April 14, 23",-0.0171
2023-04-13,210.12,211.95,208.81,210.81,210.809998,1686105,1686100,0.69,0.32838,210.71,"April 13, 23",0.0032838
2023-04-12,212.0,213.48,210.43,211.26,209.699997,2306315,2306200,-0.74,-0.34906,211.73,"April 12, 23",-0.0034906
2023-04-11,208.32,212.51,207.3,210.38,208.826508,2115059,2115100,2.06,0.98886,209.98,"April 11, 23",0.0098886
2023-04-10,205.13,208.73,203.77,208.35,206.811493,1728792,1728800,3.22,1.57,206.95,"April 10, 23",0.0157
2023-04-06,205.37,207.01,203.53,206.69,206.690002,1273382,1273300,1.32,0.64274,205.91,"April 06, 23",0.0064274
2023-04-05,203.51,207.76,203.44,204.69,204.690002,2060205,2060200,1.18,0.57982,205.78,"April 05, 23",0.0057982
2023-04-04,201.26,204.11,200.81,203.45,203.449997,3431571,3431500,2.19,1.09,203.31,"April 04, 23",0.0109
2023-04-03,203.19,204.95,199.12,201.1,201.100006,2876208,2876200,-2.09,-1.03,201.02,"April 03, 23",-0.0103
2023-03-31,201.14,204.49,201.01,204.34,204.339996,2558038,2558000,3.2,1.59,203.28,"March 31, 23",0.0159
2023-03-30,201.66,202.74,200.02,201.18,201.179993,1477845,1477800,-0.48,-0.23802,201.2,"March 30, 23",-0.0023802
2023-03-29,195.36,198.57,195.08,198.49,198.490005,1784192,1784100,3.13,1.6,197.58,"March 29, 23",0.016
2023-03-28,191.99,194.25,190.96,192.87,192.869995,1480223,1480200,0.88,0.45836,192.79,"March 28, 23",0.0045836
2023-03-27,200.19,201.34,192.76,193.15,193.149994,2389878,2389800,-7.04,-3.52,194.45,"March 27, 23",-0.0352
2023-03-24,190.89,199.68,189.37,199.62,199.619995,1897744,1897500,8.73,4.57,196.09,"March 24, 23",0.0457
2023-03-23,192.3,195.3,190.37,191.62,191.619995,2053220,2053200,-0.68,-0.35361,192.64,"March 23, 23",-0.0035361
2023-03-22,196.05,197.685,191.92,192.12,192.119995,1943534,1943400,-3.93,-2.0,194.22,"March 22, 23",-0.02
2023-03-21,201.54,202.34,194.63,198.19,198.190002,2578260,2578100,-3.35,-1.66,197.65,"March 21, 23",-0.0166
2023-03-20,200.94,203.68,199.79,201.95,201.949997,2000732,2000700,1.01,0.50264,201.99,"March 20, 23",0.0050264
2023-03-17,205.41,207.65,200.87,201.35,201.350006,3456929,3456900,-4.06,-1.98,202.76,"March 17, 23",-0.0198
2023-03-16,201.99,206.15,201.41,205.05,205.050003,2622423,2622400,3.06,1.51,204.24,"March 16, 23",0.0151
2023-03-15,197.9,203.21,197.74,202.32,202.320007,3117498,3117500,4.42,2.23,201.43,"March 15, 23",0.0223
2023-03-14,199.07,200.01,195.32,199.83,199.830002,2461552,2461600,0.76,0.38178,198.62,"March 14, 23",0.0038178
2023-03-13,190.9,200.99,189.55,196.33,196.330002,2325323,2325200,5.43,2.84,196.93,"March 13, 23",0.0284
2023-03-10,191.16,194.54,190.38,191.27,191.270004,2357959,2357800,0.11,0.05754342,191.93,"March 10, 23",0.0005754342
2023-03-09,195.59,197.77,190.75,191.2,191.199997,1463930,1463600,-4.39,-2.24,193.59,"March 09, 23",-0.0224
2023-03-08,192.13,197.2309,191.37,195.77,195.770004,1603067,1603000,3.64,1.89,195.38,"March 08, 23",0.0189
2023-03-07,198.12,198.26,192.04,192.37,192.369995,1907035,1907000,-5.75,-2.9,193.34,"March 07, 23",-0.029
2023-03-06,203.88,204.16,198.14,198.57,198.570007,1788930,1788900,-5.31,-2.6,199.85,"March 06, 23",-0.026
2023-03-03,199.26,202.58,199.085,202.5,202.5,2044803,2044500,3.24,1.63,201.96,"March 03, 23",0.0163
2023-03-02,193.32,198.18,193.32,197.53,197.529999,1884904,1884900,4.21,2.18,196.11,"March 02, 23",0.0218
2023-03-01,196.52,198.81,192.86,194.89,194.889999,3261010,3261000,-1.63,-0.82943,194.8,"March 01, 23",-0.0082943
2023-02-28,195.1,199.6,194.34,198.01,198.009995,2741611,2741400,2.91,1.49,197.98,"February 28, 23",0.0149
2023-02-27,198.57,199.86,192.96,195.08,195.080002,2348110,2348100,-3.49,-1.76,195.06,"February 27, 23",-0.0176
2023-02-24,198.79,200.28,194.08,195.73,195.729996,2727006,2727000,-3.06,-1.54,196.16,"February 24, 23",-0.0154
2023-02-23,201.25,203.96,200.0,201.96,201.960007,3234006,3234000,0.71,0.3528,201.93,"February 23, 23",0.003528
2023-02-22,205.08,205.11,198.59,199.28,199.279999,3564534,3564500,-5.8,-2.83,200.47,"February 22, 23",-0.0283
2023-02-21,208.66,208.66,203.29,204.65,204.649994,1888502,1888300,-4.01,-1.92,204.89,"February 21, 23",-0.0192
2023-02-17,210.96,211.97,208.49,210.26,210.259995,1793731,1793500,-0.7,-0.33182,209.79,"February 17, 23",-0.0033182
2023-02-16,213.83,214.76,210.36,212.0,212.0,1719821,1719700,-1.83,-0.85582,212.75,"February 16, 23",-0.0085582
2023-02-15,213.51,216.63,213.01,216.6,216.600006,1381596,1381500,3.09,1.45,215.59,"February 15, 23",0.0145
2023-02-14,216.92,217.52,213.145,215.15,215.149994,1017286,1017300,-1.77,-0.81597,215.28,"February 14, 23",-0.0081597
2023-02-13,217.56,219.01,215.39,217.26,217.259995,1352755,1352800,-0.3,-0.13789,217.08,"February 13, 23",-0.0013789
2023-02-10,213.15,217.2,212.35,216.72,216.720001,1929886,1929800,3.57,1.67,215.35,"February 10, 23",0.0167
2023-02-09,219.43,220.49,214.62,215.19,215.190002,1220039,1220000,-4.24,-1.93,216.45,"February 09, 23",-0.0193
2023-02-08,218.88,219.99,216.87,218.47,218.470001,1936139,1936100,-0.41,-0.18732,218.04,"February 08, 23",-0.0018732
2023-02-07,218.93,220.21,215.8,219.47,219.470001,1834467,1834400,0.54,0.24665,218.13,"February 07, 23",0.0024665
2023-02-06,218.88,221.53,216.52,220.57,220.570007,1797855,1797800,1.69,0.77211,220.16,"February 06, 23",0.0077211
2023-02-03,224.41,225.38,218.04,222.06,222.059998,2485767,2485700,-2.35,-1.05,221.13,"February 03, 23",-0.0105
2023-02-02,230.21,235.49,225.54,227.39,227.389999,2195833,2195800,-2.82,-1.22,229.84,"February 02, 23",-0.0122
2023-02-01,221.89,228.97,221.065,227.14,227.139999,2601470,2601500,5.25,2.37,224.81,"February 01, 23",0.0237
2023-01-31,218.05,223.42,218.05,223.39,223.389999,1548484,1548500,5.34,2.45,222.13,"January 31, 23",0.0245
2023-01-30,219.99,222.58,217.85,218.06,218.059998,1422213,1422200,-1.93,-0.87731,219.32,"January 30, 23",-0.0087731
2023-01-27,220.71,221.925,219.43,220.79,220.789993,1360244,1360200,0.08,0.03624666,220.88,"January 27, 23",0.0003624666
2023-01-26,219.84,221.5,218.5,221.03,221.029999,1126119,1126100,1.19,0.5413,220.49,"January 26, 23",0.005413
2023-01-25,213.91,219.4,212.79,218.66,218.660004,1985144,1985100,4.75,2.22,216.6,"January 25, 23",0.0222
2023-01-24,214.93,216.56,212.64,215.17,215.169998,1991885,1991900,0.24,0.11166,214.96,"January 24, 23",0.0011166
2023-01-23,218.89,219.99,215.1,215.67,215.669998,2723609,2723600,-3.22,-1.47,216.74,"January 23, 23",-0.0147
2023-01-20,221.36,221.76,214.46,221.41,221.410004,2990400,2990400,0.05,0.02258764,219.42,"January 20, 23",0.0002258764
2023-01-19,224.07,227.11,222.965,223.35,223.350006,1864404,1864300,-0.72,-0.32133,224.47,"January 19, 23",-0.0032133
2023-01-18,231.26,232.51,224.24,225.19,225.190002,2212952,2213000,-6.07,-2.62,226.4,"January 18, 23",-0.0262
2023-01-17,234.23,235.57,230.96,231.05,231.050003,2204636,2204500,-3.18,-1.36,232.99,"January 17, 23",-0.0136
2023-01-13,229.25,234.87,229.25,232.81,232.809998,1998587,2007100,3.56,1.55,232.87,"January 13, 23",0.0155
2023-01-12,229.3,232.8,225.56,232.21,232.210007,2364724,2364700,2.91,1.27,230.91,"January 12, 23",0.0127
2023-01-11,223.71,228.81,223.71,228.12,228.119995,1894016,1893900,4.41,1.97,227.25,"January 11, 23",0.0197
2023-01-10,221.09,222.95,219.75,221.95,221.949997,1691259,1691300,0.86,0.38898,221.31,"January 10, 23",0.0038898
2023-01-09,220.85,223.46,219.14,219.3,219.300003,1727437,1727200,-1.55,-0.70183,221.01,"January 09, 23",-0.0070183
2023-01-06,213.4,219.34,210.925,218.5,218.5,1980390,1980200,5.1,2.39,216.78,"January 06, 23",0.0239
2023-01-05,217.07,217.81,211.5,212.13,212.130005,1494990,1495000,-4.94,-2.28,212.82,"January 05, 23",-0.0228
2023-01-04,217.41,222.54,215.51,219.0,219.0,1796147,1796000,1.59,0.73134,219.25,"January 04, 23",0.0073134
2023-01-03,214.0,215.25,210.97,214.67,214.669998,1812441,1812400,0.67,0.31308,213.84,"January 03, 23",0.0031308
2022-12-30,214.33,215.2,209.1766,211.86,211.860001,1450509,1450400,-2.47,-1.15,211.9,"December 30, 22",-0.0115
2022-12-29,211.85,216.7,210.13,215.74,215.740005,1323910,1323900,3.89,1.84,215.29,"December 29, 22",0.0184
2022-12-28,211.35,214.25,209.99,210.1,210.100006,1411720,1411700,-1.25,-0.59144,211.5,"December 28, 22",-0.0059144
2022-12-27,211.0,211.68,208.635,210.9,210.899994,1550053,1550000,-0.1,-0.04739336,210.7,"December 27, 22",-0.0004739336
2022-12-23,209.41,212.59,209.01,212.45,210.889999,1146744,1146700,3.04,1.45,211.72,"December 23, 22",0.0145
2022-12-22,209.36,211.1,206.4,210.6,209.053604,2212186,2212200,1.24,0.59228,209.77,"December 22, 22",0.0059228
2022-12-21,209.79,213.39,209.49,210.6,209.053604,1410201,1410200,0.81,0.3861,211.15,"December 21, 22",0.003861
2022-12-20,207.96,210.43,205.76,208.69,207.157623,1307461,1307500,0.73,0.35103,208.82,"December 20, 22",0.0035103
2022-12-19,213.15,213.15,207.76,209.62,208.08078,1401770,1401700,-3.53,-1.66,210.25,"December 19, 22",-0.0166
2022-12-16,215.09,215.15,208.08,213.45,211.88266,3724220,3724100,-1.64,-0.76247,213.08,"December 16, 22",-0.0076247
2022-12-15,217.32,221.39,216.541,218.22,216.617645,1693552,1693100,0.9,0.41414,218.6,"December 15, 22",0.0041414
2022-12-14,222.72,226.9696,219.7415,219.85,218.235672,1902769,1902800,-2.87,-1.29,222.48,"December 14, 22",-0.0129
2022-12-13,222.96,227.97,220.91,223.39,221.74968,2179126,2179100,0.43,0.19286,223.53,"December 13, 22",0.0019286
2022-12-12,214.88,215.93,211.97,215.87,214.284882,1847664,1847700,0.99,0.46072,214.68,"December 12, 22",0.0046072
2022-12-09,211.97,216.39,211.27,213.84,212.269791,1646866,1646800,1.87,0.8822,214.67,"December 09, 22",0.008822
2022-12-08,210.39,213.83,209.22,212.25,210.691467,2465283,2465300,1.86,0.88407,211.83,"December 08, 22",0.0088407
2022-12-07,211.93,215.6,209.46,211.11,209.559845,1624784,1624800,-0.82,-0.38692,211.88,"December 07, 22",-0.0038692
2022-12-06,216.27,216.845,211.76,212.52,210.959503,1672297,1672200,-3.75,-1.73,213.35,"December 06, 22",-0.0173
2022-12-05,215.95,218.49,214.58,215.61,214.02681,1454287,1454200,-0.34,-0.15744,216.09,"December 05, 22",-0.0015744
2022-12-02,218.27,220.91,216.27,219.37,217.759186,1354622,1354400,1.1,0.50396,219.28,"December 02, 22",0.0050396
2022-12-01,224.42,225.965,219.89,221.3,219.675018,1708694,1708700,-3.12,-1.39,221.65,"December 01, 22",-0.0139
2022-11-30,215.88,221.34,214.67,221.25,219.625381,3889213,3889200,5.37,2.49,219.87,"November 30, 22",0.0249
2022-11-29,214.81,217.27,213.32,217.22,215.624985,1848103,1848100,2.41,1.12,216.04,"November 29, 22",0.0112
2022-11-28,218.71,220.37,213.04,213.9,212.329346,1367286,1367200,-4.81,-2.2,215.36,"November 28, 22",-0.022
2022-11-25,219.64,221.24,218.38,220.08,218.463989,566461,566500,0.44,0.20033,220.17,"November 25, 22",0.0020033
2022-11-23,218.2,220.42,216.26,218.25,216.647415,1210527,1210500,0.05,0.02291476,218.11,"November 23, 22",0.0002291476
2022-11-22,220.73,221.2,215.47,218.13,216.528305,1562378,1562400,-2.6,-1.18,217.58,"November 22, 22",-0.0118
2022-11-21,215.59,220.24,215.59,219.91,218.295227,1682406,1682400,4.32,2.0,218.11,"November 21, 22",0.02
2022-11-18,217.63,220.21,214.63,215.93,214.344452,2360692,2360400,-1.7,-0.78114,216.04,"November 18, 22",-0.0078114
