date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,153.41,154.45,153.17,154.45,154.45,471246,471246,1.04,0.67792191,154.02,"May 08, 23",0.0067792191
2023-05-05,151.29,153.3167,151.12,152.65,152.649994,2221065,2142334,1.36,0.89894,152.4,"May 05, 23",0.0089894
2023-05-04,151.03,151.25,147.4,148.81,148.809998,3997870,3997900,-2.22,-1.47,148.41,"May 04, 23",-0.0147
2023-05-03,153.26,154.98,151.84,152.21,152.210007,2655259,2655300,-1.05,-0.68511,153.08,"May 03, 23",-0.0068511
2023-05-02,158.35,158.35,151.91,153.25,153.25,4925558,4925600,-5.1,-3.22,153.4,"May 02, 23",-0.0322
2023-05-01,161.85,161.85,158.68,159.32,159.320007,1803622,1803600,-2.53,-1.56,159.7,"May 01, 23",-0.0156
2023-04-28,157.3,161.38,156.88,161.34,161.339996,2380121,2379800,4.04,2.57,160.64,"April 28, 23",0.0257
2023-04-27,156.54,158.7,155.91,158.45,158.449997,2143715,2143500,1.91,1.22,157.84,"April 27, 23",0.0122
2023-04-26,155.77,157.265,155.08,155.72,155.720001,2789135,2789100,-0.05,-0.03209861,155.9,"April 26, 23",-0.0003209861
2023-04-25,158.91,159.25,155.965,156.12,156.119995,3421311,3421300,-2.79,-1.76,156.92,"April 25, 23",-0.0176
2023-04-24,164.23,164.3,160.4015,160.59,160.589996,2473468,2473500,-3.64,-2.22,161.36,"April 24, 23",-0.0222
2023-04-21,163.02,164.7681,161.23,163.78,163.779999,3882603,3882500,0.76,0.4662,163.35,"April 21, 23",0.004662
2023-04-20,159.0,163.75,154.01,163.28,163.279999,10832403,10832400,4.28,2.69,160.49,"April 20, 23",0.0269
2023-04-19,164.37,166.55,163.74,164.95,164.949997,3768644,3768600,0.58,0.35286,165.26,"April 19, 23",0.0035286
2023-04-18,164.6,165.0487,163.28,164.4,164.399994,2444533,2444500,-0.2,-0.12151,164.45,"April 18, 23",-0.0012151
2023-04-17,161.94,163.74,160.885,163.71,163.710007,2622345,2622300,1.77,1.09,162.73,"April 17, 23",0.0109
2023-04-14,164.24,164.77,161.46,163.22,163.220001,2618077,2617400,-1.02,-0.62104,162.91,"April 14, 23",-0.0062104
2023-04-13,159.8,162.42,158.98,162.3,162.300003,2729022,2729000,2.5,1.56,161.55,"April 13, 23",0.0156
2023-04-12,163.22,163.22,158.8651,159.29,159.289993,2817645,2817600,-3.93,-2.41,160.0,"April 12, 23",-0.0241
2023-04-11,161.67,162.58,160.315,161.83,161.830002,2742327,2742300,0.16,0.09896703,161.66,"April 11, 23",0.0009896703
2023-04-10,158.04,161.17,157.8,161.14,161.139999,2372633,2372600,3.1,1.96,160.43,"April 10, 23",0.0196
2023-04-06,160.63,160.79,158.23,158.83,158.830002,3754544,3754500,-1.8,-1.12,159.21,"April 06, 23",-0.0112
2023-04-05,160.56,161.6,160.19,161.08,161.080002,2346826,2346800,0.52,0.32387,161.0,"April 05, 23",0.0032387
2023-04-04,165.01,165.19,160.83,162.56,161.959991,2063730,2063500,-2.45,-1.48,162.26,"April 04, 23",-0.0148
2023-04-03,164.11,165.24,162.68,163.78,163.175491,2704361,2704400,-0.33,-0.20108,163.81,"April 03, 23",-0.0020108
2023-03-31,163.67,165.08,161.75,164.95,164.341171,3594349,3594000,1.28,0.78206,163.86,"March 31, 23",0.0078206
2023-03-30,163.96,164.96,161.81,162.41,161.810562,2610315,2644800,-1.55,-0.94535,162.71,"March 30, 23",-0.0094535
2023-03-29,161.7,164.1871,161.08,163.59,163.589996,3884987,3884800,1.89,1.17,163.12,"March 29, 23",0.0117
2023-03-28,162.21,162.59,158.19,159.21,159.210007,4883678,4883700,-3.0,-1.85,159.85,"March 28, 23",-0.0185
2023-03-27,163.95,164.47,161.83,163.12,163.119995,3974110,3984300,-0.83,-0.50625,162.95,"March 27, 23",-0.0050625
2023-03-24,160.52,160.705,157.82,159.78,159.779999,2588943,2588700,-0.74,-0.461,159.45,"March 24, 23",-0.00461
2023-03-23,162.67,166.24,160.82,162.76,162.759995,3727735,3727500,0.09,0.05532674,163.49,"March 23, 23",0.0005532674
2023-03-22,164.63,166.77,162.5,162.75,162.75,4367267,4367300,-1.88,-1.14,164.02,"March 22, 23",-0.0114
2023-03-21,162.94,164.57,161.7,164.56,164.559998,3986761,3986800,1.62,0.99423,163.85,"March 21, 23",0.0099423
2023-03-20,158.37,160.69,157.57,158.74,158.740005,3054323,3054300,0.37,0.23363,158.85,"March 20, 23",0.0023363
2023-03-17,158.22,158.648,154.9,156.52,156.520004,7447152,7446700,-1.7,-1.07,156.79,"March 17, 23",-0.0107
2023-03-16,158.06,161.92,156.1,160.73,160.729996,4738349,4737300,2.67,1.69,159.76,"March 16, 23",0.0169
2023-03-15,157.91,159.955,155.93,159.81,159.809998,6100774,6100800,1.9,1.2,158.23,"March 15, 23",0.012
