date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,28.08,28.15,27.74,27.855,27.855,9316056,9316056,-0.225,-0.80128205,27.92,"May 08, 23",-0.0080128205
2023-05-05,27.62,27.89,27.47,27.71,27.709999,50052506,44103814,0.09,0.32585,27.71,"May 05, 23",0.0032585
2023-05-04,27.58,27.8101,26.8328,26.99,26.99,81928808,82173800,-0.59,-2.14,27.13,"May 04, 23",-0.0214
2023-05-03,28.16,28.5,27.81,27.86,27.860001,51139533,51139500,-0.3,-1.07,28.17,"May 03, 23",-0.0107
2023-05-02,28.85,28.855,27.71,28.16,28.16,70797721,70797700,-0.69,-2.39,28.09,"May 02, 23",-0.0239
2023-05-01,29.5,29.54,29.0,29.04,29.040001,33816802,34076800,-0.46,-1.56,29.25,"May 01, 23",-0.0156
2023-04-28,28.53,29.43,28.51,29.28,29.280001,45592453,45532800,0.75,2.63,29.21,"April 28, 23",0.0263
2023-04-27,28.52,29.08,28.52,28.89,28.889999,33060075,33060100,0.37,1.3,28.86,"April 27, 23",0.013
2023-04-26,28.76,28.94,28.3,28.44,28.440001,45848397,45848400,-0.32,-1.11,28.61,"April 26, 23",-0.0111
2023-04-25,29.45,29.533,28.815,28.84,28.84,49718810,49718800,-0.61,-2.07,29.09,"April 25, 23",-0.0207
2023-04-24,29.79,29.9,29.59,29.76,29.76,28020283,28020300,-0.03,-0.1007,29.75,"April 24, 23",-0.001007
2023-04-21,29.75,29.975,29.405,29.87,29.870001,44759015,44737200,0.12,0.40336,29.81,"April 21, 23",0.0040336
2023-04-20,29.84,30.23,29.77,29.9,29.9,43132280,43193800,0.06,0.20107,29.97,"April 20, 23",0.0020107
2023-04-19,30.13,30.2,29.79,30.06,30.059999,65594193,65594200,-0.07,-0.23233,29.98,"April 19, 23",-0.0023233
2023-04-18,30.8,30.93,29.8,30.56,30.559999,114498760,114498800,-0.24,-0.77922,30.36,"April 18, 23",-0.0077922
2023-04-17,29.77,30.41,29.4,30.37,30.370001,83639412,83704400,0.6,2.02,30.09,"April 17, 23",0.0202
2023-04-14,29.3,29.87,29.2499,29.52,29.52,81090834,80972000,0.22,0.75085,29.48,"April 14, 23",0.0075085
2023-04-13,28.56,28.64,28.24,28.56,28.559999,52261420,52261400,0.0,0.0,28.55,"April 13, 23",0.0
2023-04-12,28.68,29.01,28.37,28.48,28.48,44313339,44313300,-0.2,-0.69735,28.59,"April 12, 23",-0.0069735
2023-04-11,28.02,28.75,27.9577,28.71,28.709999,58761187,58761200,0.69,2.46,28.46,"April 11, 23",0.0246
2023-04-10,27.67,28.1,27.645,27.94,27.940001,40572740,40572700,0.27,0.97579,27.92,"April 10, 23",0.0097579
2023-04-06,27.72,28.01,27.62,27.84,27.84,41216577,41216600,0.12,0.4329,27.86,"April 06, 23",0.004329
2023-04-05,27.66,27.91,27.46,27.64,27.639999,47799353,47799400,-0.02,-0.07230658,27.62,"April 05, 23",-0.0007230658
2023-04-04,28.55,28.65,27.66,27.98,27.98,56233295,56233300,-0.57,-2.0,27.94,"April 04, 23",-0.02
2023-04-03,28.64,28.98,28.325,28.59,28.59,51996802,51996800,-0.05,-0.17458,28.6,"April 03, 23",-0.0017458
2023-03-31,28.62,28.68,28.2625,28.6,28.6,56482080,56417400,-0.02,-0.0698812,28.47,"March 31, 23",-0.000698812
2023-03-30,28.92,29.06,28.11,28.3,28.299999,67419125,67427100,-0.62,-2.14,28.45,"March 30, 23",-0.0214
2023-03-29,28.49,28.765,28.24,28.67,28.67,62666172,62666400,0.18,0.6318,28.56,"March 29, 23",0.006318
2023-03-28,28.38,28.65,27.9801,28.12,28.120001,63416517,63416500,-0.26,-0.91614,28.27,"March 28, 23",-0.0091614
2023-03-27,27.93,28.645,27.91,28.49,28.49,102469809,102469800,0.56,2.01,28.28,"March 27, 23",0.0201
2023-03-24,26.6,27.29,26.32,27.14,27.139999,96978311,96872700,0.54,2.03,26.83,"March 24, 23",0.0203
2023-03-23,28.0,28.09,26.79,26.97,26.969999,105335637,105335900,-1.03,-3.68,27.36,"March 23, 23",-0.0368
2023-03-22,28.71,28.74,27.64,27.64,27.639999,76925884,76925900,-1.07,-3.73,28.14,"March 22, 23",-0.0373
2023-03-21,28.63,28.98,28.51,28.59,28.59,84854840,84854800,-0.04,-0.13971,28.7,"March 21, 23",-0.0013971
2023-03-20,28.24,28.43,27.65,27.75,27.75,81288625,81441200,-0.49,-1.74,27.99,"March 20, 23",-0.0174
2023-03-17,28.655,28.66,27.62,27.82,27.82,129728529,130379700,-0.835,-2.91,27.93,"March 17, 23",-0.0291
2023-03-16,28.38,29.47,28.1134,28.97,28.969999,108395495,108348800,0.59,2.08,28.8,"March 16, 23",0.0208
2023-03-15,27.88,28.56,27.68,28.49,28.49,130990413,131104400,0.61,2.19,28.19,"March 15, 23",0.0219
2023-03-14,29.99,30.09,28.47,28.76,28.76,154215305,154255800,-1.23,-4.1,28.97,"March 14, 23",-0.041
2023-03-13,28.92,29.715,27.87,28.51,28.51,218403265,218403300,-0.41,-1.42,28.94,"March 13, 23",-0.0142
2023-03-10,30.32,31.04,28.92,30.27,30.27,165280889,165195300,-0.05,-0.16491,30.17,"March 10, 23",-0.0016491
2023-03-09,32.285,32.39,30.31,30.54,30.540001,112159859,112457900,-1.745,-5.4,31.01,"March 09, 23",-0.054
2023-03-08,32.66,32.97,32.44,32.56,32.560001,40045598,40045600,-0.1,-0.30618,32.64,"March 08, 23",-0.0030618
2023-03-07,33.85,33.9,32.8,33.0,33.0,52855294,52855300,-0.85,-2.51,33.15,"March 07, 23",-0.0251
2023-03-06,34.24,34.56,33.985,34.09,34.09,36646675,36646700,-0.15,-0.43808,34.21,"March 06, 23",-0.0043808
2023-03-03,33.65,34.29,33.65,34.16,34.16,39109090,39098200,0.51,1.52,34.1,"March 03, 23",0.0152
2023-03-02,33.66,33.7,33.0,33.49,33.490002,44615568,44607200,-0.17,-0.50505,33.35,"March 02, 23",-0.0050505
2023-03-01,34.15,34.49,33.98,34.14,33.919998,29281552,29281600,-0.01,-0.02928258,34.18,"March 01, 23",-0.0002928258
2023-02-28,34.35,34.4885,34.18,34.3,34.078968,32620619,32620600,-0.05,-0.14556,34.33,"February 28, 23",-0.0014556
2023-02-27,34.45,34.69,34.165,34.21,33.989548,30137549,30137500,-0.24,-0.69666,34.37,"February 27, 23",-0.0069666
2023-02-24,33.86,34.2897,33.84,34.21,33.989548,27046643,27046600,0.35,1.03,34.11,"February 24, 23",0.0103
2023-02-23,34.4,34.6,33.8594,34.26,34.039227,28487971,28488000,-0.14,-0.40698,34.22,"February 23, 23",-0.0040698
2023-02-22,34.36,34.55,34.07,34.29,34.069035,38550421,38550400,-0.07,-0.20373,34.31,"February 22, 23",-0.0020373
2023-02-21,34.91,35.05,34.27,34.52,34.297554,37068852,37068900,-0.39,-1.12,34.55,"February 21, 23",-0.0112
2023-02-17,35.08,35.39,34.745,35.35,35.1222,28562699,28562700,0.27,0.76967,35.13,"February 17, 23",0.0076967
2023-02-16,35.42,35.6601,35.22,35.28,35.052654,22681070,22681100,-0.14,-0.39526,35.45,"February 16, 23",-0.0039526
2023-02-15,35.32,35.61,35.16,35.56,35.330853,23516510,23500100,0.24,0.6795,35.47,"February 15, 23",0.006795
2023-02-14,35.63,35.99,35.46,35.62,35.390461,33625202,33625200,-0.01,-0.02806624,35.73,"February 14, 23",-0.0002806624
2023-02-13,35.48,35.78,35.39,35.65,35.420273,29163863,29163900,0.17,0.47914,35.62,"February 13, 23",0.0047914
2023-02-10,35.55,35.59,35.03,35.58,35.350723,32898903,32898900,0.03,0.08438819,35.42,"February 10, 23",0.0008438819
2023-02-09,36.27,36.35,35.56,35.72,35.489819,35257061,35257100,-0.55,-1.52,35.92,"February 09, 23",-0.0152
2023-02-08,36.41,36.84,36.34,36.5,36.264793,28032757,28032800,0.09,0.24718,36.58,"February 08, 23",0.0024718
2023-02-07,36.17,37.0,36.13,36.77,36.533054,44100247,44100200,0.6,1.66,36.67,"February 07, 23",0.0166
2023-02-06,36.25,36.44,35.98,36.37,36.135628,29369702,29463200,0.12,0.33103,36.26,"February 06, 23",0.0033103
2023-02-03,36.02,36.76,35.9,36.43,36.195244,37411682,37411700,0.41,1.14,36.42,"February 03, 23",0.0114
2023-02-02,36.1,36.3786,35.435,36.13,35.897179,33729056,33729100,0.03,0.08310249,36.03,"February 02, 23",0.0008310249
2023-02-01,35.2,36.26,35.11,35.92,35.68853,44385726,44438700,0.72,2.05,35.82,"February 01, 23",0.0205
2023-01-31,35.17,35.48,35.0,35.48,35.251366,38917437,38917400,0.31,0.88143,35.29,"January 31, 23",0.0088143
2023-01-30,35.21,35.56,35.18,35.3,35.072525,27353495,27353500,0.09,0.25561,35.38,"January 30, 23",0.0025561
2023-01-27,35.44,35.775,35.265,35.45,35.221561,29964907,29964900,0.01,0.0282167,35.52,"January 27, 23",0.000282167
2023-01-26,35.05,35.35,34.79,35.34,35.112267,30035463,30035500,0.29,0.82739,35.15,"January 26, 23",0.0082739
2023-01-25,34.3,34.96,34.25,34.87,34.645294,28859718,28859700,0.57,1.66,34.67,"January 25, 23",0.0166
2023-01-24,34.22,34.79,33.95,34.57,34.347229,26716730,26716700,0.35,1.02,34.54,"January 24, 23",0.0102
2023-01-23,33.81,34.51,33.75,34.32,34.098839,33683307,33683300,0.51,1.51,34.21,"January 23, 23",0.0151
2023-01-20,33.3,33.89,33.085,33.85,33.631866,45004365,45004400,0.55,1.65,33.6,"January 20, 23",0.0165
2023-01-19,33.285,33.55,32.89,33.23,33.015865,42623120,42707100,-0.055,-0.16524,33.27,"January 19, 23",-0.0016524
2023-01-18,34.33,34.34,33.51,33.72,33.502708,54517763,54517800,-0.61,-1.78,33.8,"January 18, 23",-0.0178
2023-01-17,34.69,34.83,34.15,34.52,34.297554,56458394,56458400,-0.17,-0.49005,34.51,"January 17, 23",-0.0049005
2023-01-13,34.2,35.39,33.09,35.23,35.002975,89667817,89667800,1.03,3.01,34.54,"January 13, 23",0.0301
2023-01-12,34.6,34.87,34.36,34.47,34.247875,44230396,44230400,-0.13,-0.37572,34.62,"January 12, 23",-0.0037572
2023-01-11,34.12,34.44,34.0,34.38,34.158455,36783730,36783700,0.26,0.76202,34.26,"January 11, 23",0.0076202
2023-01-10,33.74,34.265,33.64,34.12,33.900127,35096022,35096000,0.38,1.13,34.03,"January 10, 23",0.0113
2023-01-09,34.75,34.7601,33.71,33.89,33.671612,43818820,43818800,-0.86,-2.47,34.08,"January 09, 23",-0.0247
2023-01-06,34.09,34.58,33.54,34.41,34.188259,34068731,34068700,0.32,0.93869,34.28,"January 06, 23",0.0093869
2023-01-05,33.92,34.14,33.58,34.07,33.850452,34177048,34177000,0.15,0.44222,33.97,"January 05, 23",0.0044222
2023-01-04,33.9,34.8199,33.83,34.14,33.919998,41998548,41998500,0.24,0.70796,34.2,"January 04, 23",0.0070796
2023-01-03,33.23,34.09,33.21,33.51,33.29406,35221501,35221500,0.28,0.84261,33.56,"January 03, 23",0.0084261
2022-12-30,33.1,33.3,32.86,33.12,32.906574,28198915,28198900,0.02,0.06042296,33.07,"December 30, 22",0.0006042296
2022-12-29,32.89,33.16,32.75,33.14,32.926445,22252908,22252900,0.25,0.76011,33.03,"December 29, 22",0.0076011
2022-12-28,32.57,32.97,32.535,32.77,32.55883,30541004,30541000,0.2,0.61406,32.74,"December 28, 22",0.0061406
2022-12-27,32.5,32.67,32.275,32.53,32.320374,22776092,22776100,0.03,0.09230769,32.54,"December 27, 22",0.0009230769
2022-12-23,32.4,32.58,32.19,32.47,32.260765,21378584,21378600,0.07,0.21605,32.44,"December 23, 22",0.0021605
2022-12-22,32.52,32.58,31.8715,32.39,32.181278,30167525,30234400,-0.13,-0.39975,32.23,"December 22, 22",-0.0039975
