date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,73.49,73.76,72.62,72.855,72.855,210618,210618,-0.635,-0.86406314,73.08,"May 08, 23",-0.0086406314
2023-05-05,72.62,73.99,72.43,73.57,73.57,1383067,1144523,0.95,1.31,73.65,"May 05, 23",0.0131
2023-05-04,72.43,72.91,70.955,71.6,71.599998,1591306,1658800,-0.83,-1.15,71.66,"May 04, 23",-0.0115
2023-05-03,73.4,74.32,72.64,72.78,72.779999,1662897,1662700,-0.62,-0.84469,73.28,"May 03, 23",-0.0084469
2023-05-02,73.36,73.45,71.93,73.2,73.199997,1431078,1430900,-0.16,-0.2181,72.82,"May 02, 23",-0.002181
2023-05-01,74.65,74.98,73.44,73.65,73.650002,1985137,1985100,-1.0,-1.34,73.83,"May 01, 23",-0.0134
2023-04-28,73.64,74.63,73.0,74.52,74.519997,1645639,1645600,0.88,1.2,74.14,"April 28, 23",0.012
2023-04-27,71.65,73.59,71.55,73.53,73.529999,1683075,1683000,1.88,2.62,73.07,"April 27, 23",0.0262
2023-04-26,71.46,72.25,71.13,71.51,71.510002,1868131,1868000,0.05,0.06996921,71.58,"April 26, 23",0.0006996921
2023-04-25,73.15,73.52,71.35,71.37,71.370003,2061277,2061300,-1.78,-2.43,72.08,"April 25, 23",-0.0243
2023-04-24,72.49,73.7,72.45,73.55,73.550003,1844430,1844400,1.06,1.46,73.21,"April 24, 23",0.0146
2023-04-21,73.3,73.37,72.45,72.76,72.760002,1686487,1686500,-0.54,-0.7367,72.83,"April 21, 23",-0.007367
2023-04-20,72.55,74.03,72.29,72.58,72.580002,1906670,1906600,0.03,0.04135079,72.98,"April 20, 23",0.0004135079
2023-04-19,73.2,73.48,72.52,72.71,72.709999,2068026,2067800,-0.49,-0.6694,72.91,"April 19, 23",-0.006694
2023-04-18,73.65,73.99,73.09,73.98,73.980003,1965987,1965800,0.33,0.44807,73.72,"April 18, 23",0.0044807
2023-04-17,73.53,73.74,72.64,73.31,73.309998,1541718,1541500,-0.22,-0.2992,73.17,"April 17, 23",-0.002992
2023-04-14,73.21,74.88,72.88,73.38,73.379997,1737321,1736300,0.17,0.23221,73.41,"April 14, 23",0.0023221
2023-04-13,73.23,73.69,72.56,73.19,73.190002,1868998,1869000,-0.04,-0.05462242,73.23,"April 13, 23",-0.0005462242
2023-04-12,75.83,75.92,73.035,73.17,73.169998,1945054,1945000,-2.66,-3.51,73.76,"April 12, 23",-0.0351
2023-04-11,75.2,75.84,74.6,75.25,75.25,2334813,2334800,0.05,0.06648936,75.24,"April 11, 23",0.0006648936
2023-04-10,74.68,75.68,74.44,74.96,74.959999,2074202,2074100,0.28,0.37493,75.06,"April 10, 23",0.0037493
2023-04-06,76.07,76.07,74.865,75.08,75.080002,1791260,1791300,-0.99,-1.3,75.25,"April 06, 23",-0.013
2023-04-05,77.4,77.4,75.76,76.28,76.279999,2529892,2529900,-1.12,-1.45,76.27,"April 05, 23",-0.0145
2023-04-04,78.51,78.99,77.63,77.84,77.839996,2178320,2178300,-0.67,-0.85339,78.1,"April 04, 23",-0.0085339
2023-04-03,78.23,79.12,77.5388,78.51,78.510002,2220825,2220800,0.28,0.35792,78.34,"April 03, 23",0.0035792
2023-03-31,75.84,78.38,75.715,78.27,78.269997,2621806,2621500,2.43,3.2,77.57,"March 31, 23",0.032
2023-03-30,75.5,75.77,74.66,75.32,75.32,1588359,1588300,-0.18,-0.23841,75.17,"March 30, 23",-0.0023841
2023-03-29,73.78,74.89,72.75,74.86,74.860001,2026969,2027000,1.08,1.46,74.3,"March 29, 23",0.0146
