date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,27.64,27.905,27.31,27.48,27.48,10364103,10130784,-0.16,-0.57887,27.57,"May 17, 23",-0.0057887
2023-05-16,27.81,27.89,27.325,27.44,27.440001,8663149,8662400,-0.37,-1.33,27.47,"May 16, 23",-0.0133
2023-05-15,27.92,28.2,27.8,27.89,27.889999,5758908,5758900,-0.03,-0.10745,27.94,"May 15, 23",-0.0010745
2023-05-12,27.64,28.01,27.55,27.66,27.66,5890037,5890000,0.02,0.0723589,27.73,"May 12, 23",0.000723589
2023-05-11,27.36,27.53,27.07,27.36,27.360001,7293766,7293800,0.0,0.0,27.32,"May 11, 23",0.0
2023-05-10,28.38,28.415,27.67,27.89,27.889999,8941041,8941000,-0.49,-1.73,27.89,"May 10, 23",-0.0173
2023-05-09,27.85,28.54,27.67,28.19,28.190001,5517826,5517800,0.34,1.22,28.11,"May 09, 23",0.0122
2023-05-08,28.63,28.84,27.99,28.11,28.110001,4671899,4671900,-0.52,-1.82,28.24,"May 08, 23",-0.0182
2023-05-05,28.08,28.425,27.7,28.22,28.219999,7325735,7325700,0.14,0.49858,28.14,"May 05, 23",0.0049858
2023-05-04,27.47,27.76,27.14,27.22,27.219999,8291623,8291500,-0.25,-0.91008,27.32,"May 04, 23",-0.0091008
2023-05-03,27.04,27.89,26.81,27.46,27.459999,9051366,9051400,0.42,1.55,27.51,"May 03, 23",0.0155
2023-05-02,28.46,28.53,27.11,27.35,27.35,9776638,9776600,-1.11,-3.9,27.38,"May 02, 23",-0.039
2023-05-01,28.965,29.34,28.65,28.88,28.879999,4415316,4415300,-0.085,-0.29346,28.94,"May 01, 23",-0.0029346
2023-04-28,28.65,29.38,28.52,29.24,29.24,5413190,5412600,0.59,2.06,29.2,"April 28, 23",0.0206
2023-04-27,28.56,29.025,28.4,28.84,28.84,6118574,6118600,0.28,0.98039,28.77,"April 27, 23",0.0098039
2023-04-26,29.09,29.475,28.505,28.76,28.76,5742148,5742100,-0.33,-1.13,28.96,"April 26, 23",-0.0113
2023-04-25,29.86,29.8999,29.09,29.29,29.290001,6286476,6286500,-0.57,-1.91,29.37,"April 25, 23",-0.0191
2023-04-24,29.6,30.42,29.56,30.19,30.190001,5856358,5856300,0.59,1.99,30.15,"April 24, 23",0.0199
