date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,99.54,101.46,98.56,100.71,100.709999,5008550,5004008,1.17,1.18,100.37,"May 17, 23",0.0118
2023-05-16,99.87,100.56,97.42,98.07,98.07,4822389,4822200,-1.8,-1.8,98.37,"May 16, 23",-0.018
2023-05-15,99.33,100.45,98.46,100.29,100.290001,5838070,5838100,0.96,0.96648,99.81,"May 15, 23",0.0096648
2023-05-12,100.64,100.95,98.705,99.43,98.920006,5004431,5003900,-1.21,-1.2,99.49,"May 12, 23",-0.012
2023-05-11,98.88,100.12,98.55,99.89,99.37764,5671717,5671700,1.01,1.02,99.57,"May 11, 23",0.0102
2023-05-10,101.99,102.26,99.5549,100.47,99.954666,5285881,5285900,-1.52,-1.49,100.55,"May 10, 23",-0.0149
2023-05-09,100.01,102.62,99.95,101.53,101.009232,4896149,4896100,1.52,1.52,101.53,"May 09, 23",0.0152
2023-05-08,102.09,102.75,100.6001,100.9,100.382462,5058854,5058900,-1.19,-1.17,101.39,"May 08, 23",-0.0117
2023-05-05,101.12,101.6,98.94,100.37,99.855186,5566846,5566700,-0.75,-0.74169,100.44,"May 05, 23",-0.0074169
2023-05-04,96.2,98.52,95.81,97.36,96.860619,6840031,6840000,1.16,1.21,97.39,"May 04, 23",0.0121
2023-05-03,96.83,97.58,95.7,96.09,95.59713,9085109,9085100,-0.74,-0.76423,96.51,"May 03, 23",-0.0076423
2023-05-02,100.88,101.39,97.48,98.64,98.134056,8100082,8100100,-2.24,-2.22,98.63,"May 02, 23",-0.0222
2023-05-01,101.58,103.01,101.13,102.53,102.004097,3644944,3644900,0.95,0.93522,102.43,"May 01, 23",0.0093522
2023-04-28,100.57,103.73,100.32,102.89,102.362251,6638223,6637400,2.32,2.31,102.81,"April 28, 23",0.0231
2023-04-27,100.45,101.925,99.81,101.23,100.71077,4196680,4196700,0.78,0.77651,100.97,"April 27, 23",0.0077651
2023-04-26,101.33,102.13,99.65,100.47,99.954666,4295136,4295000,-0.86,-0.84871,100.66,"April 26, 23",-0.0084871
2023-04-25,101.6,102.41,100.48,102.09,101.566353,5355812,5355800,0.49,0.48228,101.57,"April 25, 23",0.0048228
2023-04-24,101.95,103.9495,101.77,103.65,103.118355,5215951,5215800,1.7,1.67,103.22,"April 24, 23",0.0167
2023-04-21,104.1,104.2,101.63,102.26,101.735489,5279044,5279000,-1.84,-1.77,102.38,"April 21, 23",-0.0177
2023-04-20,103.45,103.9,102.12,103.78,103.247688,5351734,5351600,0.33,0.31899,103.17,"April 20, 23",0.0031899
2023-04-19,103.85,105.81,103.5041,105.26,104.7201,4717450,4717500,1.41,1.36,104.95,"April 19, 23",0.0136
2023-04-18,104.99,105.7,104.095,104.95,104.411682,7745310,7745300,-0.04,-0.03809887,104.85,"April 18, 23",-0.0003809887
2023-04-17,106.8,107.69,105.52,105.61,105.068306,6278847,6278800,-1.19,-1.11,106.11,"April 17, 23",-0.0111
2023-04-14,109.48,110.02,108.12,108.5,107.943481,5052162,5052100,-0.98,-0.89514,108.74,"April 14, 23",-0.0089514
2023-04-13,107.94,109.9,107.12,109.04,108.480713,7160126,7160100,1.1,1.02,109.13,"April 13, 23",0.0102
2023-04-12,108.48,109.09,107.405,107.53,106.978455,8108154,8108200,-0.95,-0.87574,108.07,"April 12, 23",-0.0087574
2023-04-11,106.1,107.2,105.49,106.75,106.202454,4812163,4812200,0.65,0.61263,106.62,"April 11, 23",0.0061263
2023-04-10,107.04,108.0145,105.61,105.95,105.406555,4374681,4374700,-1.09,-1.02,106.35,"April 10, 23",-0.0102
2023-04-06,106.9,107.74,105.894,106.26,105.714973,5087830,5087800,-0.64,-0.59869,106.75,"April 06, 23",-0.0059869
2023-04-05,106.91,107.88,105.9226,107.75,107.197327,5806765,5806800,0.84,0.78571,107.3,"April 05, 23",0.0078571
2023-04-04,108.33,108.77,105.11,106.3,105.754768,5369514,5425500,-2.03,-1.87,106.43,"April 04, 23",-0.0187
2023-04-03,105.13,109.1399,105.01,108.42,107.863892,12394311,12394300,3.29,3.13,107.82,"April 03, 23",0.0313
2023-03-31,99.81,99.9,98.94,99.21,98.701126,7708836,7708800,-0.6,-0.60114,99.27,"March 31, 23",-0.0060114
2023-03-30,100.61,100.86,98.87,99.25,98.740929,5461125,5461100,-1.36,-1.35,99.41,"March 30, 23",-0.0135
2023-03-29,99.64,100.3,98.67,99.75,99.238358,7596324,7596300,0.11,0.1104,99.68,"March 29, 23",0.001104
2023-03-28,96.61,98.69,96.43,97.93,97.427696,3789499,3792000,1.32,1.37,97.88,"March 28, 23",0.0137
2023-03-27,96.31,98.5,95.595,97.48,96.38308,6049698,6049700,1.17,1.21,97.43,"March 27, 23",0.0121
2023-03-24,94.56,95.9,93.26,95.43,94.356148,8386765,8385900,0.87,0.92005,94.8,"March 24, 23",0.0092005
2023-03-23,98.51,99.76,95.5,96.42,95.335007,5866448,5866400,-2.09,-2.12,97.11,"March 23, 23",-0.0212
2023-03-22,100.0,101.09,98.29,98.37,97.263069,5635491,5635500,-1.63,-1.63,99.4,"March 22, 23",-0.0163
2023-03-21,98.09,100.09,98.0,99.71,98.587982,6770198,6770200,1.62,1.65,99.58,"March 21, 23",0.0165
2023-03-20,94.84,96.89,94.71,96.16,95.077934,7932903,7932900,1.32,1.39,96.13,"March 20, 23",0.0139
2023-03-17,96.35,96.95,93.5,94.39,93.32785,17056186,17056000,-1.96,-2.03,94.62,"March 17, 23",-0.0203
2023-03-16,92.01,96.5,91.5338,96.4,95.315239,10112607,10111500,4.39,4.77,95.08,"March 16, 23",0.0477
2023-03-15,97.42,98.71,93.59,95.24,94.168282,10661237,10661200,-2.18,-2.24,95.46,"March 15, 23",-0.0224
2023-03-14,101.05,104.4199,99.62,101.36,100.219421,7090814,7090800,0.31,0.30678,101.96,"March 14, 23",0.0030678
2023-03-13,102.0,103.58,99.57,100.68,99.547066,8732731,8789700,-1.32,-1.29,101.54,"March 13, 23",-0.0129
2023-03-10,105.73,107.3299,103.6,104.22,103.047234,5313088,5313100,-1.51,-1.43,105.07,"March 10, 23",-0.0143
2023-03-09,107.92,109.2534,105.36,105.81,104.619339,5191573,5191600,-2.11,-1.96,106.59,"March 09, 23",-0.0196
2023-03-08,107.0,108.53,105.76,107.23,106.023369,4576832,4576800,0.23,0.21495,106.95,"March 08, 23",0.0021495
2023-03-07,108.59,108.92,106.67,107.65,106.438637,4973233,4973200,-0.94,-0.86564,107.57,"March 07, 23",-0.0086564
2023-03-06,107.58,109.6,107.1,109.56,108.327141,6201092,6200900,1.98,1.84,108.81,"March 06, 23",0.0184
2023-03-03,106.27,109.0796,105.815,108.64,107.417503,7075136,7075100,2.37,2.23,108.09,"March 03, 23",0.0223
2023-03-02,106.07,108.96,105.78,108.33,107.110985,5459001,5458600,2.26,2.13,107.99,"March 02, 23",0.0213
2023-03-01,103.73,107.68,103.23,106.25,105.05439,6064687,6064700,2.52,2.43,106.27,"March 01, 23",0.0243
