date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,70.43,70.51,69.6666,69.865,69.865,1995137,1995137,-0.565,-0.80221497,70.01,"May 08, 23",-0.0080221497
2023-05-05,71.01,71.52,70.39,70.68,70.68,10643228,10191371,-0.33,-0.46472,70.69,"May 05, 23",-0.0046472
2023-05-04,69.61,70.1682,68.1038,68.79,68.790001,10416410,10416400,-0.82,-1.18,68.69,"May 04, 23",-0.0118
2023-05-03,71.4,71.54,69.32,70.08,70.080002,15216235,15216200,-1.32,-1.85,70.35,"May 03, 23",-0.0185
2023-05-02,73.1,73.73,71.65,72.76,72.760002,9031227,9031200,-0.34,-0.46512,72.54,"May 02, 23",-0.0046512
2023-05-01,73.59,74.07,72.84,73.89,73.889999,5965038,5965000,0.3,0.40766,73.75,"May 01, 23",0.0040766
2023-04-28,73.03,73.59,72.67,73.31,73.309998,7698014,8103000,0.28,0.3834,73.27,"April 28, 23",0.003834
2023-04-27,72.32,73.1251,72.23,73.06,73.059998,7150963,7151000,0.74,1.02,72.76,"April 27, 23",0.0102
2023-04-26,72.44,72.75,71.94,72.26,72.260002,8486477,8486500,-0.18,-0.24848,72.25,"April 26, 23",-0.0024848
2023-04-25,73.05,73.95,72.7201,72.87,72.870003,7496867,7496900,-0.18,-0.24641,73.17,"April 25, 23",-0.0024641
2023-04-24,73.2,73.55,72.56,73.44,73.440002,8101686,8101700,0.24,0.32787,73.27,"April 24, 23",0.0032787
2023-04-21,73.54,73.57,72.55,72.84,72.839996,7054340,7050900,-0.7,-0.95186,72.87,"April 21, 23",-0.0095186
2023-04-20,73.25,73.81,72.93,73.25,73.25,8579542,8579500,0.0,0.0,73.36,"April 20, 23",0.0
2023-04-19,75.25,75.26,73.94,74.21,73.604996,8784265,8784300,-1.04,-1.38,74.37,"April 19, 23",-0.0138
2023-04-18,77.07,77.19,75.44,76.14,75.519264,9382921,9382900,-0.93,-1.21,76.18,"April 18, 23",-0.0121
2023-04-17,74.25,75.94,74.25,75.8,75.182037,11724686,11724700,1.55,2.09,75.31,"April 17, 23",0.0209
2023-04-14,75.78,75.8,74.34,74.7,74.091003,7434630,7432900,-1.08,-1.43,74.76,"April 14, 23",-0.0143
2023-04-13,74.94,75.92,74.42,75.42,75.419998,8439745,8439700,0.48,0.64051,75.34,"April 13, 23",0.0064051
2023-04-12,76.34,76.66,74.785,74.92,74.919998,9602280,9602300,-1.42,-1.86,75.25,"April 12, 23",-0.0186
2023-04-11,76.44,76.955,76.11,76.29,76.290001,8746564,8746600,-0.15,-0.19623,76.45,"April 11, 23",-0.0019623
2023-04-10,76.95,77.3,75.77,76.04,76.040001,9299074,9299100,-0.91,-1.18,76.16,"April 10, 23",-0.0118
2023-04-06,77.95,78.48,77.16,77.54,77.540001,8778251,8778300,-0.41,-0.52598,77.86,"April 06, 23",-0.0052598
2023-04-05,76.39,77.805,76.1,77.75,77.75,7645523,7645500,1.36,1.78,77.32,"April 05, 23",0.0178
2023-04-04,75.99,76.54,75.62,76.25,76.25,6469718,6469700,0.26,0.34215,76.12,"April 04, 23",0.0034215
2023-04-03,75.03,76.58,74.75,76.09,76.089996,9742225,9742200,1.06,1.41,76.06,"April 03, 23",0.0141
2023-03-31,74.77,74.89,74.085,74.31,74.309998,10515035,10490900,-0.46,-0.61522,74.38,"March 31, 23",-0.0061522
2023-03-30,75.15,75.2323,74.04,74.7,74.699997,6523456,6523500,-0.45,-0.5988,74.53,"March 30, 23",-0.005988
2023-03-29,73.68,74.11,73.16,74.09,74.089996,8063955,8064000,0.41,0.55646,73.79,"March 29, 23",0.0055646
2023-03-28,73.6,74.26,72.9,73.12,73.120003,6457057,6457100,-0.48,-0.65217,73.49,"March 28, 23",-0.0065217
2023-03-27,74.13,74.56,73.32,73.57,73.57,5587482,5587500,-0.56,-0.75543,73.68,"March 27, 23",-0.0075543
2023-03-24,72.33,73.555,72.13,73.26,73.260002,6062071,6061500,0.93,1.29,72.99,"March 24, 23",0.0129
2023-03-23,74.22,74.22,72.105,72.37,72.370003,9031834,9031800,-1.85,-2.49,73.15,"March 23, 23",-0.0249
2023-03-22,75.73,76.3,74.39,74.41,74.410004,6805971,6806000,-1.32,-1.74,75.37,"March 22, 23",-0.0174
2023-03-21,75.51,75.66,74.75,75.56,75.559998,6419770,6779800,0.05,0.0662164,75.27,"March 21, 23",0.000662164
2023-03-20,74.63,75.5899,74.63,74.98,74.980003,6190984,6191000,0.35,0.46898,75.03,"March 20, 23",0.0046898
2023-03-17,75.85,75.95,73.91,74.37,74.370003,16807803,16806600,-1.48,-1.95,74.53,"March 17, 23",-0.0195
2023-03-16,75.06,76.145,74.575,75.83,75.830002,6640089,6639100,0.77,1.03,75.58,"March 16, 23",0.0103
2023-03-15,74.9,75.44,74.52,75.4,75.400002,7989932,7989900,0.5,0.66756,75.05,"March 15, 23",0.0066756
2023-03-14,76.76,76.89,74.7921,75.56,75.559998,8180509,8180500,-1.2,-1.56,75.62,"March 14, 23",-0.0156
2023-03-13,76.48,77.62,75.9,76.28,76.279999,7165374,7165400,-0.2,-0.26151,76.71,"March 13, 23",-0.0026151
2023-03-10,77.01,78.1599,76.87,77.1,77.099998,7852493,7848700,0.09,0.11687,77.37,"March 10, 23",0.0011687
2023-03-09,79.97,80.07,76.66,77.0,77.0,11040351,11040400,-2.97,-3.71,77.78,"March 09, 23",-0.0371
2023-03-08,80.33,80.65,79.53,79.81,79.809998,6657020,6657000,-0.52,-0.64733,80.0,"March 08, 23",-0.0064733
2023-03-07,82.65,83.0,80.24,80.45,80.449997,9669609,9669600,-2.2,-2.66,80.81,"March 07, 23",-0.0266
2023-03-06,82.0,82.995,81.65,82.97,82.970001,10156054,10156100,0.97,1.18,82.51,"March 06, 23",0.0118
2023-03-03,81.95,81.96,81.22,81.81,81.809998,12145874,12144100,-0.14,-0.17084,81.68,"March 03, 23",-0.0017084
2023-03-02,82.05,82.39,81.36,81.43,81.43,10098900,10094700,-0.62,-0.75564,81.64,"March 02, 23",-0.0075564
2023-03-01,82.9,83.26,81.975,82.47,82.470001,7236056,7444400,-0.43,-0.5187,82.44,"March 01, 23",-0.005187
2023-02-28,84.84,84.94,83.14,83.54,83.540001,9559077,9559100,-1.3,-1.53,83.82,"February 28, 23",-0.0153
2023-02-27,86.04,86.28,84.63,84.84,84.839996,7933263,7933300,-1.2,-1.39,85.16,"February 27, 23",-0.0139
2023-02-24,86.45,86.69,85.4729,85.77,85.769997,9271014,9271000,-0.68,-0.78658,85.85,"February 24, 23",-0.0078658
