date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,736.58,744.93,734.25,739.33,739.33,61056,61056,2.75,0.37334709,739.5,"May 08, 23",0.0037334709
2023-05-05,735.0,742.25,727.32,740.0,740.0,431447,423794,5.0,0.68027,736.81,"May 05, 23",0.0068027
2023-05-04,703.42,733.475,700.995,729.34,729.340027,597668,597700,25.92,3.68,725.96,"May 04, 23",0.0368
2023-05-03,706.99,709.135,695.2,697.63,697.630005,377765,377800,-9.36,-1.32,702.03,"May 03, 23",-0.0132
2023-05-02,720.92,722.72,703.04,703.17,703.169983,323985,324000,-17.75,-2.46,707.21,"May 02, 23",-0.0246
2023-05-01,722.91,724.865,716.6001,722.01,722.01001,280381,280300,-0.9,-0.1245,721.74,"May 01, 23",-0.001245
2023-04-28,715.08,725.54,713.0,724.08,724.080017,370231,370200,9.0,1.26,721.17,"April 28, 23",0.0126
2023-04-27,709.27,720.92,708.0331,719.84,719.840027,370793,370800,10.57,1.49,716.86,"April 27, 23",0.0149
2023-04-26,706.64,719.39,703.0,706.75,706.75,398448,398400,0.11,0.01556663,710.68,"April 26, 23",0.0001556663
2023-04-25,706.23,713.18,703.5,710.07,710.070007,418943,418900,3.84,0.54373,709.38,"April 25, 23",0.0054373
2023-04-24,709.73,714.25,706.78,713.03,713.030029,276914,276900,3.3,0.46497,711.03,"April 24, 23",0.0046497
2023-04-21,705.85,717.08,703.3701,713.0,713.0,251869,251900,7.15,1.01,711.14,"April 21, 23",0.0101
2023-04-20,703.67,709.725,699.4,705.02,705.02002,269306,269300,1.35,0.19185,705.08,"April 20, 23",0.0019185
2023-04-19,698.96,710.97,697.96,706.96,706.960022,211347,211300,8.0,1.14,706.78,"April 19, 23",0.0114
2023-04-18,708.89,708.89,700.35,705.56,705.559998,336343,336300,-3.33,-0.46975,704.62,"April 18, 23",-0.0046975
2023-04-17,685.72,708.53,685.06,707.94,707.940002,336431,336400,22.22,3.24,702.77,"April 17, 23",0.0324
2023-04-14,706.5,710.74,684.43,688.68,688.679993,354763,354800,-17.82,-2.52,692.39,"April 14, 23",-0.0252
2023-04-13,712.86,716.105,701.875,708.71,708.710022,322912,322900,-4.15,-0.58216,708.19,"April 13, 23",-0.0058216
2023-04-12,713.4,719.55,708.61,711.04,711.039978,304521,304500,-2.36,-0.33081,713.07,"April 12, 23",-0.0033081
2023-04-11,704.36,714.5,702.675,706.53,706.530029,410037,410000,2.17,0.30808,708.03,"April 11, 23",0.0030808
2023-04-10,704.8,706.73,693.3175,706.24,706.23999,310444,310400,1.44,0.20431,702.58,"April 10, 23",0.0020431
2023-04-06,705.27,711.71,697.96,711.23,711.22998,272740,272700,5.96,0.84507,706.79,"April 06, 23",0.0084507
2023-04-05,710.0,718.395,703.29,703.82,703.820007,455701,455700,-6.18,-0.87042,709.17,"April 05, 23",-0.0087042
2023-04-04,706.21,715.365,700.51,710.48,710.47998,421137,421100,4.27,0.60464,709.9,"April 04, 23",0.0060464
2023-04-03,714.25,718.255,705.52,709.95,709.950012,519303,519300,-4.3,-0.60203,710.86,"April 03, 23",-0.0060203
2023-03-31,704.21,722.88,702.56,721.04,721.039978,614214,614200,16.83,2.39,717.29,"March 31, 23",0.0239
2023-03-30,696.17,702.97,696.17,702.01,702.01001,386963,386900,5.84,0.83888,700.34,"March 30, 23",0.0083888
2023-03-29,691.59,697.05,686.49,694.51,694.51001,414239,414200,2.92,0.42222,692.77,"March 29, 23",0.0042222
2023-03-28,684.99,688.56,678.29,683.05,683.049988,284621,284600,-1.94,-0.28322,683.69,"March 28, 23",-0.0028322
2023-03-27,686.59,693.67,685.245,687.62,687.619995,356840,356800,1.03,0.15002,688.42,"March 27, 23",0.0015002
2023-03-24,666.37,681.7,661.66,681.7,681.700012,367030,367000,15.33,2.3,674.32,"March 24, 23",0.023
2023-03-23,663.0,682.185,661.81,666.37,666.369995,385522,385500,3.37,0.5083,670.8,"March 23, 23",0.005083
2023-03-22,681.06,682.49,662.37,663.03,663.030029,513254,513200,-18.03,-2.65,669.59,"March 22, 23",-0.0265
2023-03-21,692.27,692.27,675.7,687.94,687.940002,501118,501100,-4.33,-0.62548,684.88,"March 21, 23",-0.0062548
2023-03-20,690.63,693.22,683.48,689.45,689.450012,429093,429100,-1.18,-0.17086,689.13,"March 20, 23",-0.0017086
2023-03-17,704.32,707.05,690.01,690.85,690.849976,841357,841400,-13.47,-1.91,696.4,"March 17, 23",-0.0191
2023-03-16,691.13,706.12,687.64,702.58,702.580017,550636,531400,11.45,1.66,700.57,"March 16, 23",0.0166
2023-03-15,686.44,698.79,685.73,694.99,694.98999,492069,492100,8.55,1.25,693.16,"March 15, 23",0.0125
2023-03-14,692.84,696.69,682.03,691.47,691.469971,500831,500800,-1.37,-0.19774,690.69,"March 14, 23",-0.0019774
2023-03-13,664.6,694.2,664.6,682.7,682.700012,435841,435800,18.1,2.72,684.11,"March 13, 23",0.0272
2023-03-10,683.54,684.79,663.321,665.63,665.630005,477161,477100,-17.91,-2.62,670.59,"March 10, 23",-0.0262
2023-03-09,691.91,695.62,679.455,682.88,682.880005,428588,428600,-9.03,-1.31,685.6,"March 09, 23",-0.0131
2023-03-08,687.29,704.54,686.42,694.02,694.02002,366868,366900,6.73,0.97921,695.39,"March 08, 23",0.0097921
2023-03-07,701.76,703.03,683.78,685.56,685.559998,275764,275800,-16.2,-2.31,687.75,"March 07, 23",-0.0231
2023-03-06,702.5,707.92,698.34,699.43,699.429993,179637,179600,-3.07,-0.43701,702.24,"March 06, 23",-0.0043701
2023-03-03,688.38,707.28,688.27,705.41,702.0,402978,403000,17.03,2.47,703.22,"March 03, 23",0.0247
2023-03-02,665.73,688.33,662.57,687.97,684.644287,471040,471000,22.24,3.34,678.59,"March 02, 23",0.0334
2023-03-01,684.81,687.11,671.165,675.98,672.71228,442973,443000,-8.83,-1.29,676.43,"March 01, 23",-0.0129
2023-02-28,692.6,701.62,688.19,688.27,684.942871,572866,572900,-4.33,-0.62518,691.18,"February 28, 23",-0.0062518
2023-02-27,697.3,699.31,687.715,693.2,689.84906,458392,458400,-4.1,-0.58798,693.1,"February 27, 23",-0.0058798
2023-02-24,702.01,702.01,683.43,684.8,681.489624,286218,286200,-17.21,-2.45,688.14,"February 24, 23",-0.0245
2023-02-23,707.0,708.55,699.69,706.32,702.90564,227000,227000,-0.68,-0.09618105,704.46,"February 23, 23",-0.0009618105
2023-02-22,705.05,706.615,693.83,698.47,695.093506,354502,354500,-6.58,-0.93327,700.53,"February 22, 23",-0.0093327
2023-02-21,711.37,711.925,698.16,703.12,699.721069,463680,463600,-8.25,-1.16,703.07,"February 21, 23",-0.0116
2023-02-17,715.33,718.5717,706.22,716.76,713.295166,428034,428000,1.43,0.19991,714.44,"February 17, 23",0.0019991
2023-02-16,707.75,727.79,682.57,722.19,718.698914,669528,669500,14.44,2.04,715.72,"February 16, 23",0.0204
2023-02-15,717.53,728.96,715.94,727.25,723.734436,383449,383400,9.72,1.35,723.03,"February 15, 23",0.0135
2023-02-14,734.0,740.445,720.74,728.42,724.898743,336481,336500,-5.58,-0.76022,727.49,"February 14, 23",-0.0076022
2023-02-13,734.92,741.37,733.62,738.87,735.298279,247722,247700,3.95,0.53747,737.88,"February 13, 23",0.0053747
2023-02-10,729.62,732.07,723.62,729.75,726.222351,279543,279500,0.13,0.01781749,728.54,"February 10, 23",0.0001781749
2023-02-09,741.03,746.71,730.7,732.7,729.158081,348785,348800,-8.33,-1.12,738.0,"February 09, 23",-0.0112
2023-02-08,725.48,732.8,723.66,730.99,727.45636,264037,264000,5.51,0.7595,729.72,"February 08, 23",0.007595
2023-02-07,719.83,729.27,715.7,725.48,721.972961,346659,346600,5.65,0.78491,723.96,"February 07, 23",0.0078491
2023-02-06,721.55,728.02,717.05,723.83,720.330994,251153,251100,2.28,0.31599,723.34,"February 06, 23",0.0031599
2023-02-03,741.32,744.17,724.58,733.0,729.456665,425754,425800,-8.32,-1.12,731.83,"February 03, 23",-0.0112
2023-02-02,744.5,762.51,742.775,752.98,749.340027,442523,442500,8.48,1.14,753.66,"February 02, 23",0.0114
2023-02-01,733.0,743.0,720.01,738.13,734.561829,413999,414000,5.13,0.69986,732.29,"February 01, 23",0.0069986
2023-01-31,722.85,742.665,720.58,738.13,734.561829,542735,542700,15.28,2.11,736.74,"January 31, 23",0.0211
2023-01-30,726.04,737.7148,722.95,724.86,721.355957,234430,234400,-1.18,-0.16253,727.52,"January 30, 23",-0.0016253
2023-01-27,725.6,734.58,725.6,730.22,726.690063,268459,268400,4.62,0.63671,730.72,"January 27, 23",0.0063671
2023-01-26,720.9,731.09,720.34,729.19,725.665039,359234,359200,8.29,1.15,727.61,"January 26, 23",0.0115
2023-01-25,711.2,721.98,706.21,719.77,716.290588,378819,378800,8.57,1.21,716.9,"January 25, 23",0.0121
2023-01-24,716.2,730.68,714.57,719.62,716.141296,248602,248600,3.42,0.47752,721.48,"January 24, 23",0.0047752
2023-01-23,716.52,724.2,711.6,716.32,712.8573,290079,290100,-0.2,-0.02791269,718.2,"January 23, 23",-0.0002791269
2023-01-20,701.7,720.78,693.18,720.06,716.579163,355877,355900,18.36,2.62,712.05,"January 20, 23",0.0262
2023-01-19,702.27,709.93,700.29,702.76,699.362854,289946,289900,0.49,0.06977373,704.16,"January 19, 23",0.0006977373
2023-01-18,715.12,718.17,699.4,702.68,699.283203,447785,447800,-12.44,-1.74,705.18,"January 18, 23",-0.0174
2023-01-17,717.89,724.13,713.0,718.0,714.529175,376525,376500,0.11,0.01532268,718.38,"January 17, 23",0.0001532268
2023-01-13,716.0,726.6132,714.1,721.89,718.40033,210692,210700,5.89,0.82263,721.11,"January 13, 23",0.0082263
2023-01-12,714.5,725.79,706.0,725.34,721.833679,336835,336800,10.84,1.52,719.56,"January 12, 23",0.0152
2023-01-11,700.26,721.96,698.86,715.12,711.663086,414475,414500,14.86,2.12,714.39,"January 11, 23",0.0212
2023-01-10,680.0,695.84,677.46,695.15,691.789612,546991,547000,15.15,2.23,690.68,"January 10, 23",0.0223
2023-01-09,673.46,687.82,670.94,681.16,677.867188,584168,584100,7.7,1.14,682.27,"January 09, 23",0.0114
2023-01-06,661.32,676.12,650.61,673.94,670.682129,391374,391400,12.62,1.91,669.84,"January 06, 23",0.0191
2023-01-05,674.12,674.12,659.945,660.62,657.426514,267310,267200,-13.5,-2.0,662.91,"January 05, 23",-0.02
2023-01-04,668.72,688.98,665.705,680.15,676.862122,433764,433800,11.43,1.71,680.02,"January 04, 23",0.0171
2023-01-03,663.3,670.845,654.02,662.51,659.307373,371745,371700,-0.79,-0.1191,661.42,"January 03, 23",-0.001191
2022-12-30,659.36,665.35,648.23,655.03,651.863586,268469,268500,-4.33,-0.6567,655.15,"December 30, 22",-0.006567
2022-12-29,656.98,670.33,650.26,665.37,662.153564,283862,283900,8.39,1.28,665.46,"December 29, 22",0.0128
2022-12-28,659.99,661.74,649.71,652.54,649.385559,303436,303400,-7.45,-1.13,653.43,"December 28, 22",-0.0113
2022-12-27,661.33,661.33,649.33,654.58,651.41571,189801,189800,-6.75,-1.02,653.71,"December 27, 22",-0.0102
2022-12-23,651.16,658.56,641.66,657.68,654.500732,214327,214300,6.52,1.0,653.51,"December 23, 22",0.01
2022-12-22,654.07,660.8,640.92,655.08,651.91333,350555,350600,1.01,0.15442,652.56,"December 22, 22",0.0015442
2022-12-21,658.32,671.28,655.7,665.95,662.730774,343008,343000,7.63,1.16,665.86,"December 21, 22",0.0116
2022-12-20,655.51,660.885,648.04,652.15,648.997498,422886,422900,-3.36,-0.51258,654.2,"December 20, 22",-0.0051258
2022-12-19,664.53,668.235,655.14,658.19,655.008301,409812,409800,-6.34,-0.95406,660.93,"December 19, 22",-0.0095406
2022-12-16,688.92,688.92,661.28,667.84,664.611633,1426532,1426500,-21.08,-3.06,670.34,"December 16, 22",-0.0306
2022-12-15,689.53,704.24,685.89,691.36,688.017883,583400,583400,1.83,0.2654,692.78,"December 15, 22",0.002654
2022-12-14,706.99,720.0,699.38,703.43,700.029602,553576,553600,-3.56,-0.50354,708.47,"December 14, 22",-0.0050354
2022-12-13,704.23,714.98,698.02,707.01,703.592285,618748,618700,2.78,0.39476,706.85,"December 13, 22",0.0039476
2022-12-12,676.22,680.55,671.4833,680.37,677.081055,336148,336100,4.15,0.61371,676.79,"December 12, 22",0.0061371
2022-12-09,678.0,690.0,673.48,675.8,672.533142,423692,423700,-2.2,-0.32448,679.83,"December 09, 22",-0.0032448
2022-12-08,685.88,691.96,679.245,683.34,680.036743,360474,360500,-2.54,-0.37033,685.11,"December 08, 22",-0.0037033
2022-12-07,687.38,696.88,682.08,685.12,681.808105,346793,346800,-2.26,-0.32878,687.06,"December 07, 22",-0.0032878
2022-12-06,684.27,689.19,675.23,686.87,683.549622,377792,377800,2.6,0.37997,683.45,"December 06, 22",0.0037997
2022-12-05,686.74,697.59,682.45,684.27,680.962219,345186,345200,-2.47,-0.35967,687.22,"December 05, 22",-0.0035967
2022-12-02,689.98,694.16,679.76,691.47,688.12738,524497,524500,1.49,0.21595,687.88,"December 02, 22",0.0021595
2022-12-01,695.0,707.57,690.7,698.15,694.775146,474241,474200,3.15,0.45324,698.3,"December 01, 22",0.0045324
2022-11-30,667.48,692.88,665.75,690.65,687.311401,781583,781600,23.17,3.47,683.57,"November 30, 22",0.0347
2022-11-29,661.76,672.91,655.93,670.96,667.716553,401531,401500,9.2,1.39,668.52,"November 29, 22",0.0139
2022-11-28,665.95,670.94,659.01,662.61,659.406921,595640,595600,-3.34,-0.50154,663.72,"November 28, 22",-0.0050154
2022-11-25,672.07,674.86,670.11,674.66,671.398621,130537,130500,2.59,0.38538,673.19,"November 25, 22",0.0038538
2022-11-23,659.12,671.95,656.83,671.77,668.522644,284680,284700,12.65,1.92,667.43,"November 23, 22",0.0192
2022-11-22,654.5,656.595,648.61,656.07,652.898499,427866,427900,1.57,0.23988,652.61,"November 22, 22",0.0023988
2022-11-21,645.25,657.26,642.21,654.89,651.724243,414993,415000,9.64,1.49,651.31,"November 21, 22",0.0149
2022-11-18,651.18,651.33,639.43,647.41,644.280334,382458,382500,-3.77,-0.57895,644.89,"November 18, 22",-0.0057895
2022-11-17,638.81,643.5589,632.45,639.94,636.846497,330976,331000,1.13,0.17689,639.14,"November 17, 22",0.0017689
2022-11-16,658.69,659.59,647.62,647.89,644.758057,492454,492500,-10.8,-1.64,652.64,"November 16, 22",-0.0164
2022-11-15,644.15,658.53,643.12,657.23,654.052917,474503,474500,13.08,2.03,653.07,"November 15, 22",0.0203
2022-11-14,652.04,654.0999,638.5,638.94,632.766296,413878,413900,-13.1,-2.01,645.43,"November 14, 22",-0.0201
2022-11-11,645.24,662.62,645.24,660.6,654.217041,664150,664100,15.36,2.38,657.28,"November 11, 22",0.0238
2022-11-10,616.22,651.1,616.22,648.0,641.738831,725598,725600,31.78,5.16,640.46,"November 10, 22",0.0516
2022-11-09,598.48,609.09,592.9075,597.95,592.172424,480052,480100,-0.53,-0.08855768,602.33,"November 09, 22",-0.0008855768
2022-11-08,607.54,610.49,593.37,596.25,590.48877,544541,544500,-11.29,-1.86,601.06,"November 08, 22",-0.0186
2022-11-07,611.77,617.3099,606.2,606.52,600.659607,517703,517600,-5.25,-0.85817,611.51,"November 07, 22",-0.0085817
2022-11-04,587.88,613.8,578.9,611.09,605.185486,776784,776800,23.21,3.95,603.71,"November 04, 22",0.0395
2022-11-03,579.62,600.0,571.64,585.35,579.694153,831350,831200,5.73,0.98858,586.39,"November 03, 22",0.0098858
2022-11-02,552.04,568.0,546.77,549.25,543.942993,677583,677600,-2.79,-0.5054,553.87,"November 02, 22",-0.005054
2022-11-01,572.91,576.4,552.76,554.51,549.1521,590452,590500,-18.4,-3.21,557.49,"November 01, 22",-0.0321
2022-10-31,559.26,570.54,557.825,566.44,560.966858,540397,540400,7.18,1.28,566.3,"October 31, 22",0.0128
2022-10-28,549.83,574.57,548.19,568.05,562.561279,456075,456100,18.22,3.31,568.76,"October 28, 22",0.0331
2022-10-27,558.4,565.6,551.65,554.93,549.568054,499053,499100,-3.47,-0.62142,556.54,"October 27, 22",-0.0062142
2022-10-26,553.72,560.395,548.77,555.14,549.776062,424297,424300,1.42,0.25645,555.67,"October 26, 22",0.0025645
2022-10-25,534.7,555.77,534.7,554.89,549.528442,478682,478600,20.19,3.78,551.86,"October 25, 22",0.0378
2022-10-24,539.63,541.36,525.89,531.16,526.027771,355237,355200,-8.47,-1.57,532.18,"October 24, 22",-0.0157
2022-10-21,524.53,534.62,518.57,534.6,529.434448,528821,528800,10.07,1.92,530.27,"October 21, 22",0.0192
2022-10-20,526.7,533.07,520.9809,526.2,521.115662,439705,439700,-0.5,-0.0949307,527.07,"October 20, 22",-0.000949307
2022-10-19,531.08,533.93,525.35,525.52,520.442261,386235,386200,-5.56,-1.05,527.76,"October 19, 22",-0.0105
2022-10-18,540.1,549.55,536.03,540.21,534.990356,449836,449800,0.11,0.0203666,541.61,"October 18, 22",0.000203666
2022-10-17,518.3,528.28,518.3,526.92,521.828674,549520,549500,8.62,1.66,524.8,"October 17, 22",0.0166
2022-10-14,532.7,532.7,503.61,505.39,500.506744,495135,494900,-27.31,-5.13,509.9,"October 14, 22",-0.0513
2022-10-13,496.26,526.81,494.89,522.51,517.461365,622897,622900,26.25,5.29,517.45,"October 13, 22",0.0529
2022-10-12,519.53,523.22,511.28,511.86,506.914215,468038,468000,-7.67,-1.48,514.74,"October 12, 22",-0.0148
2022-10-11,528.29,530.33,512.59,524.3,519.234009,556069,556100,-3.99,-0.75527,521.84,"October 11, 22",-0.0075527
2022-10-10,545.33,548.42,527.79,527.93,522.828918,487096,487100,-17.4,-3.19,533.22,"October 10, 22",-0.0319
2022-10-07,549.74,554.27,538.08,541.86,536.624329,473436,473400,-7.88,-1.43,545.64,"October 07, 22",-0.0143
2022-10-06,577.44,581.405,555.38,557.43,552.043884,585111,585100,-20.01,-3.47,560.97,"October 06, 22",-0.0347
2022-10-05,577.46,582.97,571.0,578.41,572.821167,344842,344800,0.95,0.16451,577.44,"October 05, 22",0.0016451
2022-10-04,583.0,595.76,582.72,587.83,582.150208,519496,519500,4.83,0.82847,588.86,"October 04, 22",0.0082847
2022-10-03,573.12,581.47,570.47,578.9,573.306458,425291,425300,5.78,1.01,576.9,"October 03, 22",0.0101
2022-09-30,568.51,573.54,563.49,568.84,563.343689,602461,602500,0.33,0.05804647,569.13,"September 30, 22",0.0005804647
2022-09-29,567.85,570.72,558.63,561.39,555.965637,546669,546600,-6.46,-1.14,562.73,"September 29, 22",-0.0114
2022-09-28,573.43,578.8,563.49,576.5,570.929688,519738,519700,3.07,0.53537,573.82,"September 28, 22",0.0053537
2022-09-27,583.88,593.63,567.51,567.69,562.204773,498837,498800,-16.19,-2.77,573.3,"September 27, 22",-0.0277
