date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,35.01,35.055,34.24,34.81,34.810001,6323510,6185648,-0.2,-0.57127,34.73,"May 17, 23",-0.0057127
2023-05-16,35.25,35.775,34.615,34.81,34.810001,9003970,9003700,-0.44,-1.25,34.94,"May 16, 23",-0.0125
2023-05-15,33.89,35.63,33.7,35.14,35.139999,11037542,11037500,1.25,3.69,35.0,"May 15, 23",0.0369
2023-05-12,32.35,33.59,31.665,33.45,33.450001,8723576,8721900,1.1,3.4,32.89,"May 12, 23",0.034
2023-05-11,31.73,32.295,31.58,31.9,31.9,4082830,4082700,0.17,0.53577,31.89,"May 11, 23",0.0053577
2023-05-10,32.49,32.545,31.855,32.2,32.200001,4374926,4374700,-0.29,-0.89258,32.23,"May 10, 23",-0.0089258
2023-05-09,31.91,33.1,31.76,32.32,32.32,4711686,4711700,0.41,1.28,32.56,"May 09, 23",0.0128
2023-05-08,33.27,33.32,32.205,32.29,32.139999,3551639,3551600,-0.98,-2.95,32.6,"May 08, 23",-0.0295
2023-05-05,31.9,32.815,31.84,32.35,32.199718,5570431,5568100,0.45,1.41,32.38,"May 05, 23",0.0141
2023-05-04,31.31,31.9,30.84,31.04,30.895807,6690951,6690900,-0.27,-0.86234,31.16,"May 04, 23",-0.0086234
2023-05-03,32.3,32.69,31.39,31.5,31.35367,6197548,6197500,-0.8,-2.48,31.85,"May 03, 23",-0.0248
2023-05-02,33.67,33.89,32.125,32.83,32.677494,6745647,6745600,-0.84,-2.49,32.72,"May 02, 23",-0.0249
2023-05-01,34.4,34.86,33.895,34.27,34.110802,5711156,5711200,-0.13,-0.37791,34.31,"May 01, 23",-0.0037791
2023-04-28,34.17,35.195,33.71,34.84,34.678154,9171822,9171500,0.67,1.96,34.77,"April 28, 23",0.0196
2023-04-27,32.75,34.04,32.55,33.54,33.384193,11116478,11116500,0.79,2.41,33.41,"April 27, 23",0.0241
2023-04-26,31.34,31.73,31.03,31.36,31.214321,4249513,4249500,0.02,0.06381621,31.32,"April 26, 23",0.0006381621
2023-04-25,32.36,32.43,31.31,31.71,31.562693,4604747,4604700,-0.65,-2.01,31.64,"April 25, 23",-0.0201
2023-04-24,32.52,32.98,32.255,32.74,32.58791,3831874,3831700,0.22,0.67651,32.69,"April 24, 23",0.0067651
2023-04-21,32.72,32.965,32.16,32.59,32.438606,5345282,5345100,-0.13,-0.39731,32.54,"April 21, 23",-0.0039731
2023-04-20,32.91,33.27,32.495,32.73,32.577957,7028672,7028600,-0.18,-0.54695,32.79,"April 20, 23",-0.0054695
2023-04-19,32.69,33.23,32.4,33.22,33.065681,4631351,4631200,0.53,1.62,32.9,"April 19, 23",0.0162
