date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,131.93,133.7,130.34,132.19,132.190002,1212346,1212338,0.26,0.19707,132.08,"May 17, 23",0.0019707
2023-05-16,133.74,134.22,130.0,130.11,130.110001,1281384,1281400,-3.63,-2.71,130.75,"May 16, 23",-0.0271
2023-05-15,133.88,135.12,132.59,134.64,134.639999,994920,994900,0.76,0.56767,134.28,"May 15, 23",0.0056767
2023-05-12,133.88,134.34,131.63,132.79,132.789993,1442242,1442200,-1.09,-0.81416,132.69,"May 12, 23",-0.0081416
2023-05-11,133.18,134.16,130.88,132.53,132.529999,1577506,1577500,-0.65,-0.48806,132.26,"May 11, 23",-0.0048806
2023-05-10,136.91,136.9615,132.79,135.24,135.240005,1299936,1299900,-1.67,-1.22,134.73,"May 10, 23",-0.0122
2023-05-09,135.39,137.55,134.74,136.16,136.160004,1013806,1013800,0.77,0.56873,136.22,"May 09, 23",0.0056873
2023-05-08,139.36,140.66,136.76,136.88,136.880005,1125121,1124900,-2.48,-1.78,138.03,"May 08, 23",-0.0178
2023-05-05,135.44,137.76,134.17,136.3,136.300003,1487486,1487300,0.86,0.63497,136.44,"May 05, 23",0.0063497
2023-05-04,135.68,137.56,130.3301,130.94,130.940002,2768335,2768300,-4.74,-3.49,131.89,"May 04, 23",-0.0349
2023-05-03,134.88,137.7,133.83,135.31,135.309998,2583526,2583400,0.43,0.3188,135.67,"May 03, 23",0.003188
2023-05-02,141.51,141.51,135.65,137.08,137.080002,1613951,1614000,-4.43,-3.13,137.23,"May 02, 23",-0.0313
2023-05-01,143.23,145.255,142.12,143.31,143.309998,1096170,1096200,0.08,0.05585422,143.25,"May 01, 23",0.0005585422
2023-04-28,141.14,146.37,140.95,145.06,145.059998,1147414,1147400,3.92,2.78,145.01,"April 28, 23",0.0278
2023-04-27,142.81,143.885,139.16,141.48,141.479996,1492608,1492600,-1.33,-0.93131,141.35,"April 27, 23",-0.0093131
2023-04-26,140.17,145.92,140.02,142.95,142.949997,2426535,2426300,2.78,1.98,143.13,"April 26, 23",0.0198
2023-04-25,143.71,144.7,141.12,141.17,141.169998,1810353,1810300,-2.54,-1.77,141.88,"April 25, 23",-0.0177
2023-04-24,143.84,146.56,143.6,145.73,145.729996,1178646,1178500,1.89,1.31,145.5,"April 24, 23",0.0131
2023-04-21,144.47,145.05,142.73,143.84,143.839996,1199925,1199500,-0.63,-0.43608,143.61,"April 21, 23",-0.0043608
2023-04-20,143.26,144.16,142.06,143.99,143.990005,1123016,1123000,0.73,0.50956,143.37,"April 20, 23",0.0050956
2023-04-19,144.05,144.99,141.97,144.94,144.940002,1681117,1681000,0.89,0.61784,143.83,"April 19, 23",0.0061784
2023-04-18,145.11,146.06,144.35,145.8,145.800003,863034,863000,0.69,0.4755,145.54,"April 18, 23",0.004755
2023-04-17,148.69,148.94,145.12,145.65,145.649994,1159451,1159400,-3.04,-2.04,146.22,"April 17, 23",-0.0204
2023-04-14,148.45,150.19,147.31,148.93,148.929993,1551660,1551400,0.48,0.32334,148.87,"April 14, 23",0.0032334
2023-04-13,145.92,148.57,145.17,147.25,147.25,1270127,1270000,1.33,0.91146,147.55,"April 13, 23",0.0091146
2023-04-12,144.99,147.63,144.4,146.17,146.169998,1683420,1683400,1.18,0.81385,146.36,"April 12, 23",0.0081385
2023-04-11,143.43,145.54,142.25,144.8,144.800003,1427572,1427400,1.37,0.95517,144.68,"April 11, 23",0.0095517
2023-04-10,142.51,144.99,141.55,142.33,142.330002,1536587,1536600,-0.18,-0.12631,142.84,"April 10, 23",-0.0012631
2023-04-06,141.01,141.95,140.0,140.88,140.880005,1463583,1463600,-0.13,-0.09219204,140.91,"April 06, 23",-0.0009219204
2023-04-05,141.5,142.26,138.91,142.21,142.210007,1348723,1348600,0.71,0.50177,141.19,"April 05, 23",0.0050177
2023-04-04,143.89,143.89,138.82,140.92,140.919998,1697725,1697700,-2.97,-2.06,140.73,"April 04, 23",-0.0206
2023-04-03,139.31,144.2,139.31,143.51,143.509995,3162845,3162800,4.2,3.01,142.88,"April 03, 23",0.0301
2023-03-31,133.24,133.38,131.38,132.34,132.339996,1364059,1364100,-0.9,-0.67547,132.32,"March 31, 23",-0.0067547
2023-03-30,134.46,134.49,131.23,132.47,132.470001,1166328,1166200,-1.99,-1.48,132.26,"March 30, 23",-0.0148
2023-03-29,130.775,133.02,130.04,133.0,133.0,1751170,1751100,2.225,1.7,131.98,"March 29, 23",0.017
2023-03-28,126.22,129.83,126.22,129.6,129.600006,1606573,1606600,3.38,2.68,129.02,"March 28, 23",0.0268
2023-03-27,124.63,128.445,122.715,126.86,126.860001,2124718,2124700,2.23,1.79,126.75,"March 27, 23",0.0179
2023-03-24,117.8,123.09,117.32,122.49,122.489998,2066566,2065200,4.69,3.98,121.29,"March 24, 23",0.0398
2023-03-23,124.31,125.65,119.47,120.56,120.559998,1442559,1442400,-3.75,-3.02,121.74,"March 23, 23",-0.0302
2023-03-22,126.58,127.24,123.55,123.66,123.660004,1931756,1931800,-2.92,-2.31,124.68,"March 22, 23",-0.0231
2023-03-21,124.9,126.94,124.39,126.09,126.089996,1656897,1656900,1.19,0.95276,125.95,"March 21, 23",0.0095276
