date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,123.76,124.06,123.01,123.1929,123.1929,722861,722861,-0.5671,-0.4582256,123.42,"May 08, 23",-0.004582256
2023-05-05,123.11,124.1,122.805,123.65,123.650002,4958952,3875348,0.54,0.43863,123.59,"May 05, 23",0.0043863
2023-05-04,123.03,123.52,121.7563,122.57,122.57,4463672,4468200,-0.46,-0.37389,122.41,"May 04, 23",-0.0037389
2023-05-03,125.46,125.57,123.26,123.45,123.449997,4554212,4554200,-2.01,-1.6,124.07,"May 03, 23",-0.016
2023-05-02,126.3,126.45,123.27,125.16,125.160004,4445283,4445300,-1.14,-0.90261,124.64,"May 02, 23",-0.0090261
2023-05-01,126.35,126.75,126.06,126.09,126.089996,2724992,2725000,-0.26,-0.20578,126.26,"May 01, 23",-0.0020578
2023-04-28,126.58,127.25,125.64,126.41,126.410004,5061247,5060500,-0.17,-0.1343,126.31,"April 28, 23",-0.001343
2023-04-27,126.37,127.02,125.455,126.97,126.970001,3204889,3204900,0.6,0.4748,126.43,"April 27, 23",0.004748
2023-04-26,125.81,126.545,125.12,125.85,125.849998,4070168,4070200,0.04,0.03179398,125.89,"April 26, 23",0.0003179398
2023-04-25,124.9,126.19,124.76,125.89,125.889999,4275396,4275400,0.99,0.79263,125.77,"April 25, 23",0.0079263
2023-04-24,125.55,126.05,124.56,125.4,125.400002,4043892,4043900,-0.15,-0.11947,125.17,"April 24, 23",-0.0011947
2023-04-21,126.0,126.7,125.27,125.73,125.730003,6725426,6724300,-0.27,-0.21429,125.7,"April 21, 23",-0.0021429
2023-04-20,130.15,130.98,125.84,126.36,126.360001,9749618,9749600,-3.79,-2.91,127.28,"April 20, 23",-0.0291
2023-04-19,126.5,126.98,125.3,126.32,126.32,7014368,7014400,-0.18,-0.14229,126.58,"April 19, 23",-0.0014229
2023-04-18,128.14,128.68,127.35,127.78,127.779999,3193787,3193800,-0.36,-0.28094,127.86,"April 18, 23",-0.0028094
2023-04-17,128.3,128.72,126.8,127.82,127.82,3662666,3662700,-0.48,-0.37412,127.66,"April 17, 23",-0.0037412
2023-04-14,128.46,129.84,127.31,128.14,128.139999,4180614,4180100,-0.32,-0.2491,128.09,"April 14, 23",-0.002491
2023-04-13,128.01,128.39,126.0,127.9,127.900002,5621512,5621500,-0.11,-0.08593079,127.38,"April 13, 23",-0.0008593079
2023-04-12,130.4,130.8857,128.17,128.54,128.539993,3957542,3957500,-1.86,-1.43,129.11,"April 12, 23",-0.0143
2023-04-11,130.58,131.105,130.18,130.42,130.419998,3132430,3132400,-0.16,-0.12253,130.64,"April 11, 23",-0.0012253
2023-04-10,129.83,131.08,129.24,131.03,131.029999,2614402,2614400,1.2,0.92429,130.58,"April 10, 23",0.0092429
2023-04-06,132.16,132.6,130.315,130.5,130.5,3050581,3050600,-1.66,-1.26,130.77,"April 06, 23",-0.0126
2023-04-05,131.37,132.61,131.37,132.14,132.139999,2898759,2898700,0.77,0.58613,132.17,"April 05, 23",0.0058613
2023-04-04,131.99,132.1499,130.89,131.6,131.600006,3382783,3382800,-0.39,-0.29548,131.5,"April 04, 23",-0.0029548
2023-04-03,130.97,132.61,130.77,132.06,132.059998,3840139,3840100,1.09,0.83225,132.07,"April 03, 23",0.0083225
2023-03-31,129.47,131.23,129.42,131.09,131.089996,4524686,4524100,1.62,1.25,130.67,"March 31, 23",0.0125
2023-03-30,130.16,131.48,129.1,129.22,129.220001,3561762,3561800,-0.94,-0.72219,129.69,"March 30, 23",-0.0072219
2023-03-29,130.12,130.35,129.18,129.71,129.710007,3279846,3279600,-0.41,-0.31509,129.68,"March 29, 23",-0.0031509
2023-03-28,129.18,129.66,128.8,129.34,129.339996,2889115,2888900,0.16,0.12386,129.27,"March 28, 23",0.0012386
2023-03-27,126.47,130.255,126.47,129.31,129.309998,6524113,6524100,2.84,2.25,129.08,"March 27, 23",0.0225
2023-03-24,123.36,125.4,122.88,125.29,125.290001,3812644,3812300,1.93,1.56,124.55,"March 24, 23",0.0156
2023-03-23,123.81,124.93,122.6,123.37,123.370003,4651936,4651900,-0.44,-0.35538,123.74,"March 23, 23",-0.0035538
2023-03-22,127.0,127.215,124.01,124.05,124.050003,3549024,3549000,-2.95,-2.32,125.58,"March 22, 23",-0.0232
2023-03-21,126.9,127.15,125.66,126.57,126.57,3856345,3856300,-0.33,-0.26005,126.31,"March 21, 23",-0.0026005
2023-03-20,124.31,126.16,124.19,125.94,125.940002,4588304,4588300,1.63,1.31,125.51,"March 20, 23",0.0131
2023-03-17,124.08,124.52,122.93,123.69,123.690002,37400167,37399800,-0.39,-0.31431,123.7,"March 17, 23",-0.0031431
2023-03-16,122.96,124.82,121.92,124.7,124.699997,6440023,6438700,1.74,1.42,123.99,"March 16, 23",0.0142
2023-03-15,122.99,123.35,121.71,123.28,123.279999,5989339,5989300,0.29,0.23579,122.65,"March 15, 23",0.0023579
2023-03-14,126.49,126.64,123.2,124.65,124.650002,8114792,8114800,-1.84,-1.45,124.81,"March 14, 23",-0.0145
2023-03-13,125.15,128.19,124.85,125.58,125.580002,8188369,8188400,0.43,0.34359,126.28,"March 13, 23",0.0034359
2023-03-10,126.12,127.29,125.13,125.45,125.449997,5990867,5990200,-0.67,-0.53124,125.99,"March 10, 23",-0.0053124
2023-03-09,128.3,128.53,125.98,126.16,126.160004,5478317,5478300,-2.14,-1.67,126.83,"March 09, 23",-0.0167
2023-03-08,128.48,128.74,127.545,128.05,128.050003,2778798,2778800,-0.43,-0.33468,128.17,"March 08, 23",-0.0033468
2023-03-07,130.28,130.42,128.19,128.25,128.25,3530439,3530400,-2.03,-1.56,128.74,"March 07, 23",-0.0156
2023-03-06,129.64,130.86,129.59,130.19,130.190002,2982980,3131200,0.55,0.42425,130.26,"March 06, 23",0.0042425
2023-03-03,129.35,129.905,128.77,129.64,129.639999,2860286,2859200,0.29,0.2242,129.51,"March 03, 23",0.002242
2023-03-02,128.39,129.22,127.71,128.93,128.929993,3340254,3340100,0.54,0.42059,128.46,"March 02, 23",0.0042059
2023-03-01,128.9,129.4726,127.74,128.19,128.190002,3760678,3760700,-0.71,-0.55081,128.32,"March 01, 23",-0.0055081
2023-02-28,130.55,130.61,129.14,129.3,129.300003,5143133,5143100,-1.25,-0.95749,129.49,"February 28, 23",-0.0095749
2023-02-27,131.42,131.87,130.13,130.49,130.490005,2761326,2761300,-0.93,-0.70765,130.85,"February 27, 23",-0.0070765
2023-02-24,129.62,130.67,129.22,130.57,130.570007,3015907,3015800,0.95,0.73291,130.13,"February 24, 23",0.0073291
2023-02-23,131.5,131.7,128.86,130.79,130.789993,3725648,3725600,-0.71,-0.53992,130.28,"February 23, 23",-0.0053992
2023-02-22,131.9,131.99,130.29,130.97,130.970001,3200185,3200200,-0.93,-0.70508,130.98,"February 22, 23",-0.0070508
2023-02-21,134.0,134.385,131.66,131.71,131.710007,4257210,4257200,-2.29,-1.71,132.36,"February 21, 23",-0.0171
2023-02-17,134.5,135.58,133.89,135.02,135.020004,3466184,3466200,0.52,0.38662,134.89,"February 17, 23",0.0038662
2023-02-16,135.57,135.9672,134.59,135.0,135.0,2965495,2965500,-0.57,-0.42045,135.2,"February 16, 23",-0.0042045
2023-02-15,135.2,136.445,135.07,136.4,136.399994,2507004,2506700,1.2,0.88757,135.8,"February 15, 23",0.0088757
2023-02-14,137.05,137.24,135.05,136.01,136.009995,3202172,3202200,-1.04,-0.75885,136.07,"February 14, 23",-0.0075885
2023-02-13,136.0,137.39,135.85,137.35,137.350006,4403015,4403000,1.35,0.99265,137.06,"February 13, 23",0.0099265
2023-02-10,133.78,135.77,133.5,135.6,135.600006,5049571,5049600,1.82,1.36,135.25,"February 10, 23",0.0136
2023-02-09,134.99,135.73,133.34,133.75,133.75,3918817,3918800,-1.24,-0.91859,134.19,"February 09, 23",-0.0091859
2023-02-08,135.71,136.74,135.16,135.98,134.330002,4593748,4593700,0.27,0.19895,136.18,"February 08, 23",0.0019895
2023-02-07,135.67,136.4,134.45,135.84,134.191696,3737553,3737600,0.17,0.1253,135.55,"February 07, 23",0.001253
2023-02-06,135.83,136.32,134.95,136.18,134.527573,4841300,4841300,0.35,0.25768,135.9,"February 06, 23",0.0025768
2023-02-03,136.35,136.95,135.53,136.94,135.278351,3755720,3755700,0.59,0.43271,136.37,"February 03, 23",0.0043271
2023-02-02,135.96,136.72,134.85,136.39,134.735031,6107793,6107800,0.43,0.31627,136.01,"February 02, 23",0.0031627
2023-02-01,134.49,135.79,132.8,135.09,133.45079,5428898,5428900,0.6,0.44613,134.15,"February 01, 23",0.0044613
2023-01-31,135.5,135.65,133.76,134.73,133.095169,7206448,7206400,-0.77,-0.56827,134.42,"January 31, 23",-0.0056827
2023-01-30,134.32,136.11,133.98,135.3,133.658249,5375712,5375700,0.98,0.7296,135.21,"January 30, 23",0.007296
2023-01-27,134.44,135.488,133.7701,134.39,132.759293,8143146,8143100,-0.05,-0.03719131,134.65,"January 27, 23",-0.0003719131
2023-01-26,137.53,138.27,132.98,134.45,132.818558,17548483,17548500,-3.08,-2.24,134.73,"January 26, 23",-0.0224
2023-01-25,140.47,141.03,139.36,140.76,139.051987,7347453,7347500,0.29,0.20645,140.29,"January 25, 23",0.0020645
2023-01-24,141.25,142.75,140.0,141.49,139.773148,4407622,4407600,0.24,0.16991,141.64,"January 24, 23",0.0016991
2023-01-23,141.4,142.985,141.06,141.86,140.138657,5898436,5898400,0.46,0.32532,141.82,"January 23, 23",0.0032532
2023-01-20,141.67,141.86,140.51,141.2,139.486664,7153341,7153300,-0.47,-0.33176,141.1,"January 20, 23",-0.0033176
2023-01-19,140.0,142.23,139.75,140.62,138.913696,4833924,4833900,0.62,0.44286,141.1,"January 19, 23",0.0044286
2023-01-18,144.4,144.678,140.225,140.41,138.706253,6445642,6445600,-3.99,-2.76,141.8,"January 18, 23",-0.0276
2023-01-17,146.42,147.18,145.01,145.19,143.428253,2986461,2986500,-1.23,-0.84005,145.68,"January 17, 23",-0.0084005
2023-01-13,144.06,146.1,144.01,145.89,144.119751,2455786,2455700,1.83,1.27,145.46,"January 13, 23",0.0127
2023-01-12,144.88,146.66,144.52,145.55,143.783875,2716118,2715900,0.67,0.46245,145.77,"January 12, 23",0.0046245
2023-01-11,145.0,145.53,143.45,145.26,143.497391,3268738,3268700,0.26,0.17931,144.82,"January 11, 23",0.0017931
2023-01-10,143.61,144.85,142.9,144.8,143.042984,2152172,2152100,1.19,0.82863,144.08,"January 10, 23",0.0082863
2023-01-09,144.08,145.47,143.4,143.55,141.808151,3987782,3987700,-0.53,-0.36785,144.22,"January 09, 23",-0.0036785
2023-01-06,142.38,144.25,141.58,143.7,141.956329,3574042,3574000,1.32,0.9271,143.49,"January 06, 23",0.009271
2023-01-05,142.44,142.498,140.01,141.11,139.397751,2866648,2866600,-1.33,-0.93373,141.1,"January 05, 23",-0.0093373
2023-01-04,142.07,143.615,141.3675,142.6,140.869675,3869236,3869200,0.53,0.37306,142.46,"January 04, 23",0.0037306
2023-01-03,141.1,141.9,140.48,141.55,139.832413,3338829,3338600,0.45,0.31892,141.22,"January 03, 23",0.0031892
2022-12-30,140.54,140.9,139.45,140.89,139.18042,2858110,2858000,0.35,0.24904,140.42,"December 30, 22",0.0024904
2022-12-29,140.58,142.26,140.45,141.06,139.348358,2337207,2337200,0.48,0.34144,141.32,"December 29, 22",0.0034144
2022-12-28,142.4,142.81,139.95,140.02,138.320984,2539577,2539500,-2.38,-1.67,140.8,"December 28, 22",-0.0167
2022-12-27,141.73,142.72,141.23,142.42,140.691849,2742525,2742400,0.69,0.48684,142.3,"December 27, 22",0.0048684
2022-12-23,140.59,141.8565,139.6,141.65,139.931198,2092715,2092500,1.06,0.75397,141.1,"December 23, 22",0.0075397
2022-12-22,140.95,141.44,138.62,140.88,139.170547,3337851,3337100,-0.07,-0.049663,140.09,"December 22, 22",-0.00049663
2022-12-21,141.84,143.09,140.975,142.14,140.415253,3793700,3793700,0.3,0.21151,142.22,"December 21, 22",0.0021151
2022-12-20,138.84,141.425,138.34,141.28,139.565689,5156450,5156500,2.44,1.76,140.52,"December 20, 22",0.0176
2022-12-19,140.16,140.44,137.195,138.87,137.184921,5282860,5282900,-1.29,-0.92038,138.44,"December 19, 22",-0.0092038
2022-12-16,141.25,141.915,138.97,140.16,138.45929,9834427,9834400,-1.09,-0.77168,140.14,"December 16, 22",-0.0077168
2022-12-15,148.52,148.98,141.58,142.36,140.632584,6687744,6687000,-6.16,-4.15,143.49,"December 15, 22",-0.0415
2022-12-14,150.47,151.91,148.45,149.86,148.04158,4205878,4205900,-0.61,-0.4054,150.27,"December 14, 22",-0.004054
2022-12-13,150.37,153.21,149.95,150.57,148.742966,8811553,8811500,0.2,0.13301,151.17,"December 13, 22",0.0013301
2022-12-12,147.82,149.21,146.9426,149.21,147.399475,4032780,4032800,1.39,0.94033,148.23,"December 12, 22",0.0094033
2022-12-09,147.4,148.34,146.97,147.05,145.265686,3047581,3047600,-0.35,-0.23745,147.5,"December 09, 22",-0.0023745
2022-12-08,147.9,149.153,147.365,147.78,145.986816,2665687,2665700,-0.12,-0.0811359,148.22,"December 08, 22",-0.000811359
2022-12-07,147.33,148.105,146.29,147.27,145.483017,3971285,3971300,-0.06,-0.0407249,147.35,"December 07, 22",-0.000407249
2022-12-06,147.3,147.8,146.7,147.5,145.71022,2847610,2847600,0.2,0.13578,147.3,"December 06, 22",0.0013578
2022-12-05,147.94,148.93,146.8,147.41,145.621307,2784767,2784600,-0.53,-0.35825,147.65,"December 05, 22",-0.0035825
2022-12-02,148.13,149.16,147.73,148.67,146.866013,2899995,2900000,0.54,0.36454,148.45,"December 02, 22",0.0036454
2022-12-01,149.98,150.01,147.34,149.16,147.350082,4495924,4495900,-0.82,-0.54674,148.85,"December 01, 22",-0.0054674
2022-11-30,146.19,149.64,145.67,148.9,147.093216,6377582,6377600,2.71,1.85,148.4,"November 30, 22",0.0185
2022-11-29,145.91,147.1668,145.7,146.49,144.712479,2754744,2754700,0.58,0.39751,146.39,"November 29, 22",0.0039751
2022-11-28,147.98,148.24,145.935,146.18,144.406219,3538696,3538100,-1.8,-1.22,146.77,"November 28, 22",-0.0122
2022-11-25,148.27,149.49,148.101,148.37,146.569656,2075156,2075200,0.1,0.06744453,148.62,"November 25, 22",0.0006744453
2022-11-23,149.1,150.46,148.3,148.75,146.945053,3658459,3658200,-0.35,-0.23474,149.15,"November 23, 22",-0.0023474
