date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,63.81,64.025,63.615,63.97,63.97,1704142,1704142,0.16,0.2507444,63.87,"May 08, 23",0.002507444
2023-05-05,63.64,64.205,63.63,64.02,64.019997,9011688,7542121,0.38,0.59711,63.99,"May 05, 23",0.0059711
2023-05-04,63.74,63.93,63.51,63.72,63.720001,11938308,11938300,-0.02,-0.03137747,63.68,"May 04, 23",-0.0003137747
2023-05-03,64.02,64.18,63.58,63.65,63.650002,11084594,11084600,-0.37,-0.57794,63.81,"May 03, 23",-0.0057794
2023-05-02,64.14,64.14,63.27,64.01,64.010002,10948420,10948400,-0.13,-0.20268,63.77,"May 02, 23",-0.0020268
2023-05-01,64.15,64.69,64.06,64.3,64.300003,9091540,9091500,0.15,0.23383,64.41,"May 01, 23",0.0023383
2023-04-28,63.61,64.16,63.48,64.15,64.150002,13687621,13686700,0.54,0.84892,63.9,"April 28, 23",0.0084892
2023-04-27,63.53,63.76,63.1141,63.68,63.68,13795824,13795800,0.15,0.23611,63.5,"April 27, 23",0.0023611
2023-04-26,63.56,63.77,63.39,63.55,63.549999,13179560,13179600,-0.01,-0.01573317,63.57,"April 26, 23",-0.0001573317
2023-04-25,64.17,64.17,63.63,63.85,63.849998,12818860,12818900,-0.32,-0.49868,63.86,"April 25, 23",-0.0049868
2023-04-24,64.75,64.99,63.6237,63.95,63.950001,15532266,15532300,-0.8,-1.24,64.18,"April 24, 23",-0.0124
2023-04-21,64.0,64.27,63.8,64.05,64.050003,12872451,12925700,0.05,0.078125,64.04,"April 21, 23",0.00078125
2023-04-20,63.63,64.0,63.44,63.96,63.959999,10706385,10706400,0.33,0.51862,63.84,"April 20, 23",0.0051862
2023-04-19,63.73,63.83,63.425,63.68,63.68,9769543,9769500,-0.05,-0.07845599,63.62,"April 19, 23",-0.0007845599
2023-04-18,63.51,63.6,63.19,63.56,63.560001,9035679,9035700,0.05,0.07872776,63.46,"April 18, 23",0.0007872776
2023-04-17,63.32,63.53,63.1401,63.46,63.459999,9452394,9452400,0.14,0.2211,63.38,"April 17, 23",0.002211
2023-04-14,63.05,63.15,62.775,63.05,63.049999,8946011,8945300,0.0,0.0,62.99,"April 14, 23",0.0
2023-04-13,62.76,63.16,62.48,63.15,63.150002,9871424,9871400,0.39,0.62141,62.91,"April 13, 23",0.0062141
2023-04-12,62.48,63.03,62.31,62.69,62.689999,9593704,9593700,0.21,0.33611,62.72,"April 12, 23",0.0033611
2023-04-11,62.65,62.71,62.4,62.58,62.580002,9913049,9913000,-0.07,-0.11173,62.58,"April 11, 23",-0.0011173
2023-04-10,62.49,62.69,62.02,62.69,62.689999,7952575,7952600,0.2,0.32005,62.5,"April 10, 23",0.0032005
2023-04-06,62.86,63.0399,62.38,62.84,62.84,9644204,9644200,-0.02,-0.03181674,62.73,"April 06, 23",-0.0003181674
2023-04-05,62.53,63.02,62.5,62.8,62.799999,12789554,12789600,0.27,0.43179,62.79,"April 05, 23",0.0043179
2023-04-04,62.39,62.74,62.075,62.21,62.209999,11433404,11433400,-0.18,-0.28851,62.31,"April 04, 23",-0.0028851
2023-04-03,62.3,62.52,61.86,62.4,62.400002,12300660,12300700,0.1,0.16051,62.33,"April 03, 23",0.0016051
2023-03-31,62.06,62.25,61.87,62.03,62.029999,14440888,14439400,-0.03,-0.04834032,62.03,"March 31, 23",-0.0004834032
