date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,48.79,49.075,48.38,48.565,48.565,1101051,1101051,-0.225,-0.46116007,48.67,"May 08, 23",-0.0046116007
2023-05-05,48.62,49.27,48.1943,48.72,48.720001,7279455,7223205,0.1,0.20568,48.74,"May 05, 23",0.0020568
2023-05-04,47.7,50.18,47.7,49.41,49.41,13356160,13356200,1.71,3.58,49.43,"May 04, 23",0.0358
2023-05-03,48.0,48.375,47.26,47.49,47.490002,7784245,7784200,-0.51,-1.06,47.75,"May 03, 23",-0.0106
2023-05-02,46.74,48.485,46.72,48.06,48.060001,8428352,8428400,1.32,2.82,47.91,"May 02, 23",0.0282
2023-05-01,47.76,47.94,46.8,46.93,46.93,5527785,5527700,-0.83,-1.74,47.18,"May 01, 23",-0.0174
2023-04-28,47.99,48.04,46.7499,47.4,47.400002,8037606,8036100,-0.59,-1.23,47.31,"April 28, 23",-0.0123
2023-04-27,46.83,48.28,46.55,48.27,48.27,7310420,7310400,1.44,3.07,47.85,"April 27, 23",0.0307
2023-04-26,48.48,48.725,47.11,47.15,47.150002,7558372,7558400,-1.33,-2.74,47.47,"April 26, 23",-0.0274
2023-04-25,47.66,48.6,47.57,48.2,48.200001,7504003,7504000,0.54,1.13,48.09,"April 25, 23",0.0113
2023-04-24,47.49,48.095,47.0,48.02,48.02,6084138,6084100,0.53,1.12,47.71,"April 24, 23",0.0112
2023-04-21,47.68,48.16,47.14,47.62,47.619999,5985465,5985400,-0.06,-0.12584,47.53,"April 21, 23",-0.0012584
2023-04-20,48.53,48.58,47.66,47.88,47.880001,5513902,5513800,-0.65,-1.34,48.01,"April 20, 23",-0.0134
2023-04-19,48.02,48.62,47.91,48.26,48.259998,6735964,6736000,0.24,0.49979,48.29,"April 19, 23",0.0049979
2023-04-18,48.79,49.43,48.55,48.86,48.860001,7581981,7582000,0.07,0.14347,48.93,"April 18, 23",0.0014347
2023-04-17,48.99,49.0,48.22,48.47,48.470001,8334585,8334600,-0.52,-1.06,48.54,"April 17, 23",-0.0106
2023-04-14,50.22,50.47,48.4,49.52,49.52,11924309,11922700,-0.7,-1.39,49.4,"April 14, 23",-0.0139
2023-04-13,50.65,51.4577,50.41,51.02,51.02,11922164,11922200,0.37,0.7305,51.06,"April 13, 23",0.007305
2023-04-12,50.1,50.41,49.216,49.71,49.709999,8678927,8678900,-0.39,-0.77844,49.69,"April 12, 23",-0.0077844
2023-04-11,49.8,51.075,49.71,49.92,49.919998,11762446,11762400,0.12,0.24096,50.3,"April 11, 23",0.0024096
2023-04-10,51.26,51.4409,50.66,51.09,51.09,7611643,7611600,-0.17,-0.33164,50.99,"April 10, 23",-0.0033164
2023-04-06,51.6,52.1599,51.04,52.05,52.049999,8461312,8461300,0.45,0.87209,51.83,"April 06, 23",0.0087209
2023-04-05,51.74,52.76,51.19,52.07,52.07,11767839,11767800,0.33,0.6378,51.91,"April 05, 23",0.006378
2023-04-04,49.28,51.54,49.14,51.35,51.349998,14720979,14721000,2.07,4.2,51.0,"April 04, 23",0.042
2023-04-03,49.01,49.695,48.39,49.47,49.470001,6309516,6309500,0.46,0.93858,49.3,"April 03, 23",0.0093858
2023-03-31,48.905,49.04,48.47,49.02,49.02,5832536,5831800,0.115,0.23515,48.87,"March 31, 23",0.0023515
2023-03-30,48.86,48.89,48.235,48.84,48.84,7453235,7453200,-0.02,-0.04093328,48.68,"March 30, 23",-0.0004093328
2023-03-29,48.4,48.795,48.035,48.34,48.34,5235528,5235500,-0.06,-0.12397,48.35,"March 29, 23",-0.0012397
2023-03-28,48.4,48.71,47.87,48.66,48.66,4884863,4884800,0.26,0.53719,48.47,"March 28, 23",0.0053719
2023-03-27,47.31,48.28,47.09,48.21,48.209999,6274447,6274400,0.9,1.9,48.02,"March 27, 23",0.019
2023-03-24,48.18,49.215,47.7,48.55,48.549999,9126536,9364300,0.37,0.76795,48.55,"March 24, 23",0.0076795
2023-03-23,47.05,48.5967,46.92,47.79,47.790001,9543366,9543400,0.74,1.57,47.91,"March 23, 23",0.0157
2023-03-22,46.56,47.45,46.11,46.64,46.639999,8653623,8653600,0.08,0.17182,46.66,"March 22, 23",0.0017182
2023-03-21,47.13,47.16,45.9,46.6,46.599998,7673290,7673300,-0.53,-1.12,46.43,"March 21, 23",-0.0112
2023-03-20,48.71,48.99,47.68,47.82,47.82,10192007,10192000,-0.89,-1.83,48.13,"March 20, 23",-0.0183
2023-03-17,46.66,48.69,46.22,48.17,48.169998,27337120,27324000,1.51,3.24,47.9,"March 17, 23",0.0324
2023-03-16,46.21,46.21,44.69,45.78,45.779999,10060237,10056300,-0.43,-0.93053,45.36,"March 16, 23",-0.0093053
2023-03-15,45.8,46.13,44.92,46.11,46.110001,14169458,14169500,0.31,0.67686,45.66,"March 15, 23",0.0067686
2023-03-14,45.3,45.395,44.24,44.87,44.869999,11233516,11233500,-0.43,-0.94923,44.74,"March 14, 23",-0.0094923
2023-03-13,43.47,45.53,43.35,45.12,45.119999,16698437,16698400,1.65,3.8,44.79,"March 13, 23",0.038
2023-03-10,42.56,43.52,42.03,42.16,42.16,7774271,7769300,-0.4,-0.93985,42.61,"March 10, 23",-0.0093985
2023-03-09,42.5,42.75,41.68,41.74,41.740002,5196877,5196900,-0.76,-1.79,42.06,"March 09, 23",-0.0179
2023-03-08,42.44,42.83,41.91,42.16,42.16,6655673,6672700,-0.28,-0.65975,42.24,"March 08, 23",-0.0065975
2023-03-07,43.95,43.95,42.485,42.5,42.100002,9080648,9080600,-1.45,-3.3,42.84,"March 07, 23",-0.033
2023-03-06,44.49,44.94,44.02,44.22,43.803814,5775361,5775400,-0.27,-0.60688,44.36,"March 06, 23",-0.0060688
2023-03-03,44.49,44.74,44.03,44.7,44.279297,5671004,5670500,0.21,0.47202,44.55,"March 03, 23",0.0047202
2023-03-02,43.78,44.04,43.5,43.94,43.526447,5551536,5550700,0.16,0.36546,43.82,"March 02, 23",0.0036546
2023-03-01,44.25,44.6,43.92,44.1,43.68494,6486800,6486800,-0.15,-0.33898,44.23,"March 01, 23",-0.0033898
2023-02-28,43.26,44.125,43.01,43.61,43.199554,9074760,9074800,0.35,0.80906,43.62,"February 28, 23",0.0080906
2023-02-27,43.71,43.93,43.08,43.34,42.932095,8277835,8277800,-0.37,-0.84649,43.35,"February 27, 23",-0.0084649
2023-02-24,43.7,43.97,43.19,43.54,43.130215,7342348,7342300,-0.16,-0.36613,43.56,"February 24, 23",-0.0036613
2023-02-23,44.11,44.7,43.37,44.26,43.843433,7718126,7718100,0.15,0.34006,44.15,"February 23, 23",0.0034006
2023-02-22,45.0,45.03,44.05,44.23,43.813717,9596647,9596600,-0.77,-1.71,44.43,"February 22, 23",-0.0171
2023-02-21,45.19,45.45,44.73,45.17,44.744869,6856866,6856900,-0.02,-0.04425758,45.09,"February 21, 23",-0.0004425758
2023-02-17,45.32,45.56,44.67,45.42,44.992516,8575160,8575200,0.1,0.22065,45.27,"February 17, 23",0.0022065
2023-02-16,45.65,46.33,45.11,45.85,45.418468,7494693,7494700,0.2,0.43812,45.79,"February 16, 23",0.0043812
2023-02-15,46.23,46.7,45.95,46.3,45.864235,8632105,8630900,0.07,0.15142,46.34,"February 15, 23",0.0015142
2023-02-14,47.94,47.94,46.32,47.01,46.567551,8572161,8593200,-0.93,-1.94,46.92,"February 14, 23",-0.0194
2023-02-13,48.2,48.66,47.36,48.3,47.845413,5201932,5201900,0.1,0.20747,48.34,"February 13, 23",0.0020747
2023-02-10,47.67,48.04,47.29,47.98,47.528423,4672266,4672300,0.31,0.6503,47.72,"February 10, 23",0.006503
2023-02-09,48.99,49.6,47.275,47.58,47.132191,6220466,6220500,-1.41,-2.88,47.89,"February 09, 23",-0.0288
2023-02-08,48.86,49.1394,48.225,48.35,47.894939,5396928,5396900,-0.51,-1.04,48.56,"February 08, 23",-0.0104
2023-02-07,47.72,49.32,47.5408,48.72,48.261459,8022660,8022700,1.0,2.1,48.49,"February 07, 23",0.021
2023-02-06,46.98,48.04,46.97,47.6,47.152,15273621,15273600,0.62,1.32,47.57,"February 06, 23",0.0132
2023-02-03,51.0,51.3017,49.565,49.85,49.380821,9743874,9743900,-1.15,-2.25,50.19,"February 03, 23",-0.0225
2023-02-02,54.18,54.48,51.86,52.43,51.936543,7244626,7244600,-1.75,-3.23,52.5,"February 02, 23",-0.0323
2023-02-01,52.75,54.77,52.55,54.19,53.679977,6598212,6598200,1.44,2.73,53.74,"February 01, 23",0.0273
2023-01-31,52.48,52.93,52.19,52.93,52.431835,7919694,7919700,0.45,0.85747,52.81,"January 31, 23",0.0085747
2023-01-30,53.17,53.6,52.66,52.74,52.243626,4590692,4590700,-0.43,-0.80873,52.98,"January 30, 23",-0.0080873
2023-01-27,54.06,54.06,53.22,53.32,52.818165,5690170,5690200,-0.74,-1.37,53.5,"January 27, 23",-0.0137
2023-01-26,54.88,54.88,53.57,54.13,53.620544,5633629,5633600,-0.75,-1.37,54.06,"January 26, 23",-0.0137
2023-01-25,53.05,55.41,52.95,55.09,54.571507,6053149,6053700,2.04,3.85,54.58,"January 25, 23",0.0385
2023-01-24,51.12,60.08,51.12,53.39,52.887505,4502924,4508800,2.27,4.44,53.48,"January 24, 23",0.0444
2023-01-23,52.78,53.74,52.4,53.63,53.125248,4695354,4695400,0.85,1.61,53.17,"January 23, 23",0.0161
2023-01-20,52.06,53.46,51.93,53.34,52.837978,4858415,4858400,1.28,2.46,52.93,"January 20, 23",0.0246
2023-01-19,51.37,52.865,50.88,52.47,51.976166,6939991,6940000,1.1,2.14,52.23,"January 19, 23",0.0214
2023-01-18,53.02,53.25,51.44,51.53,51.04501,7825857,8275900,-1.49,-2.81,51.99,"January 18, 23",-0.0281
2023-01-17,53.72,53.8774,52.23,52.47,51.976166,7040842,7040800,-1.25,-2.33,52.78,"January 17, 23",-0.0233
2023-01-13,53.36,54.49,53.25,54.35,53.83847,6547279,6547300,0.99,1.86,54.15,"January 13, 23",0.0186
