date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,31.47,31.62,31.095,31.155,31.155,1195016,1195016,-0.315,-1.00095,31.29,"May 08, 23",-0.0100095
2023-05-05,31.52,31.62,30.85,31.28,31.280001,5937088,4975510,-0.24,-0.76142,31.27,"May 05, 23",-0.0076142
2023-05-04,33.01,33.29,30.52,31.38,31.379999,11045715,11045700,-1.63,-4.94,31.49,"May 04, 23",-0.0494
2023-05-03,33.6,34.13,33.315,33.44,33.439999,3842150,3842000,-0.16,-0.47619,33.59,"May 03, 23",-0.0047619
2023-05-02,33.98,33.98,33.0,33.33,33.330002,3600172,3600100,-0.65,-1.91,33.38,"May 02, 23",-0.0191
2023-05-01,34.06,34.45,33.865,34.0,34.0,2398866,2398800,-0.06,-0.17616,34.14,"May 01, 23",-0.0017616
2023-04-28,33.5,34.21,33.5,34.17,34.169998,1901189,1901000,0.67,2.0,34.06,"April 28, 23",0.02
2023-04-27,33.46,34.15,33.46,34.07,33.692001,2494128,2494000,0.61,1.82,33.87,"April 27, 23",0.0182
2023-04-26,33.78,33.97,33.3,33.4,33.029434,3409794,3409800,-0.38,-1.12,33.54,"April 26, 23",-0.0112
2023-04-25,34.88,34.97,34.0,34.06,33.682114,2199961,2199800,-0.82,-2.35,34.39,"April 25, 23",-0.0235
2023-04-24,34.38,35.035,34.08,35.0,34.611683,2497389,2497400,0.62,1.8,34.86,"April 24, 23",0.018
2023-04-21,34.62,34.695,34.17,34.4,34.400002,1826583,1826500,-0.22,-0.63547,34.38,"April 21, 23",-0.0063547
2023-04-20,34.85,34.91,34.53,34.57,34.57,2127436,2127400,-0.28,-0.80344,34.68,"April 20, 23",-0.0080344
2023-04-19,34.49,35.005,34.19,34.84,34.84,3597728,3597700,0.35,1.01,34.75,"April 19, 23",0.0101
2023-04-18,35.15,35.215,34.354,34.66,34.66,5163630,5163500,-0.49,-1.39,34.67,"April 18, 23",-0.0139
2023-04-17,35.49,35.505,34.795,35.11,35.110001,6666100,6666000,-0.38,-1.07,35.1,"April 17, 23",-0.0107
2023-04-14,35.57,35.98,34.935,35.21,35.209999,3442158,3441100,-0.36,-1.01,35.24,"April 14, 23",-0.0101
