date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,43.84,44.51,43.04,44.5,44.5,12577273,9874759,0.66,1.51,44.08,"May 17, 23",0.0151
2023-05-16,44.33,44.4131,42.95,43.25,43.25,11899152,11890400,-1.08,-2.44,43.26,"May 16, 23",-0.0244
2023-05-15,44.38,44.88,43.91,44.6,44.599998,6813242,6813200,0.22,0.49572,44.5,"May 15, 23",0.0049572
2023-05-12,44.54,45.2,43.78,44.07,44.07,10202174,10198900,-0.47,-1.06,44.2,"May 12, 23",-0.0106
2023-05-11,45.16,45.31,43.9,44.14,44.139999,15134258,15134300,-1.02,-2.26,44.26,"May 11, 23",-0.0226
2023-05-10,47.13,47.285,45.51,45.86,45.860001,10124119,10124100,-1.27,-2.69,45.99,"May 10, 23",-0.0269
2023-05-09,46.37,47.71,46.29,47.17,47.169998,9834744,9834600,0.8,1.73,47.09,"May 09, 23",0.0173
2023-05-08,46.67,46.83,46.04,46.61,46.610001,8861822,8861800,-0.06,-0.12856,46.52,"May 08, 23",-0.0012856
2023-05-05,46.54,46.68,45.5801,45.75,45.75,9900633,9900400,-0.79,-1.7,45.91,"May 05, 23",-0.017
2023-05-04,45.44,45.99,44.6,45.07,45.07,10085350,10085400,-0.37,-0.81426,45.04,"May 04, 23",-0.0081426
2023-05-03,45.47,46.07,45.08,45.27,45.27,9217880,9217900,-0.2,-0.43985,45.58,"May 03, 23",-0.0043985
2023-05-02,48.36,48.55,45.92,46.18,46.18,11963837,11963800,-2.18,-4.51,46.49,"May 02, 23",-0.0451
2023-05-01,48.84,49.58,48.46,49.15,49.150002,5053448,5053300,0.31,0.63473,49.16,"May 01, 23",0.0063473
2023-04-28,47.93,49.63,47.39,49.35,49.349998,8622993,8621200,1.42,2.96,48.88,"April 28, 23",0.0296
2023-04-27,47.39,48.285,46.98,47.96,47.959999,9231364,9231400,0.57,1.2,47.7,"April 27, 23",0.012
2023-04-26,48.845,49.17,47.435,47.78,47.779999,9098450,9098500,-1.065,-2.18,48.13,"April 26, 23",-0.0218
2023-04-25,49.4,49.64,47.98,48.96,48.959999,9312290,9312100,-0.44,-0.89069,48.7,"April 25, 23",-0.0089069
2023-04-24,49.505,50.98,49.36,50.22,50.220001,10252360,10252300,0.715,1.44,50.31,"April 24, 23",0.0144
2023-04-21,51.74,51.75,49.09,49.8,49.799999,15775972,15775000,-1.94,-3.75,49.85,"April 21, 23",-0.0375
2023-04-20,51.95,52.22,51.41,51.97,51.970001,8134080,8134100,0.02,0.03849856,51.86,"April 20, 23",0.0003849856
2023-04-19,51.92,52.76,51.66,52.63,52.630001,7791428,7791400,0.71,1.37,52.33,"April 19, 23",0.0137
2023-04-18,51.72,52.71,51.51,52.17,52.169998,5551211,5551200,0.45,0.87007,52.21,"April 18, 23",0.0087007
