date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,83.12,83.12,81.3,81.51,81.51,108614,108614,-1.61,-1.93696,81.98,"May 08, 23",-0.0193696
2023-05-05,84.74,85.08,82.3074,83.13,83.129997,899403,887194,-1.61,-1.9,83.44,"May 05, 23",-0.019
2023-05-04,85.83,85.95,83.09,84.03,84.029999,1571245,1571200,-1.8,-2.1,84.11,"May 04, 23",-0.021
2023-05-03,81.6,87.2,81.3,85.98,85.980003,2477054,2477100,4.38,5.37,85.22,"May 03, 23",0.0537
2023-05-02,79.21,80.615,77.7,80.2,80.199997,1577996,1578000,0.99,1.25,79.39,"May 02, 23",0.0125
2023-05-01,80.04,81.13,78.99,79.23,79.230003,1170148,1170100,-0.81,-1.01,79.74,"May 01, 23",-0.0101
2023-04-28,77.69,80.29,77.55,79.88,79.879997,806503,817700,2.19,2.82,79.59,"April 28, 23",0.0282
2023-04-27,78.42,78.64,76.6916,77.7,77.699997,813636,813600,-0.72,-0.91813,77.55,"April 27, 23",-0.0091813
2023-04-26,77.9,79.47,77.41,78.41,78.410004,1390411,1390400,0.51,0.65469,78.66,"April 26, 23",0.0065469
2023-04-25,83.1,83.1,78.245,78.73,78.730003,2031332,2031300,-4.37,-5.26,79.64,"April 25, 23",-0.0526
2023-04-24,83.52,84.23,83.3705,84.1,84.099998,1018887,1018900,0.58,0.69444,83.85,"April 24, 23",0.0069444
2023-04-21,82.36,83.67,82.36,83.47,83.470001,1047406,1047400,1.11,1.35,82.88,"April 21, 23",0.0135
2023-04-20,84.03,84.03,81.41,82.04,82.040001,1922800,1922800,-1.99,-2.37,82.15,"April 20, 23",-0.0237
2023-04-19,84.05,85.22,83.94,84.98,84.980003,901761,901800,0.93,1.11,84.77,"April 19, 23",0.0111
2023-04-18,85.45,85.58,83.73,84.33,84.330002,1271753,1271700,-1.12,-1.31,84.38,"April 18, 23",-0.0131
2023-04-17,85.53,85.83,84.33,85.23,85.230003,1560611,1560600,-0.3,-0.35075,85.07,"April 17, 23",-0.0035075
2023-04-14,83.45,85.36,83.29,85.24,85.239998,2043559,2043600,1.79,2.14,84.66,"April 14, 23",0.0214
2023-04-13,82.03,83.59,81.22,83.55,83.550003,1192543,1192500,1.52,1.85,83.01,"April 13, 23",0.0185
2023-04-12,78.83,81.24,78.4568,81.22,81.220001,3711810,3711800,2.39,3.03,81.54,"April 12, 23",0.0303
2023-04-11,75.46,78.225,75.0,77.8,77.800003,1293138,1293100,2.34,3.1,77.22,"April 11, 23",0.031
2023-04-10,75.49,75.81,73.94,75.19,75.190002,653380,653400,-0.3,-0.3974,75.13,"April 10, 23",-0.003974
2023-04-06,74.38,75.81,74.1,75.65,75.650002,1046982,1047000,1.27,1.71,75.21,"April 06, 23",0.0171
2023-04-05,73.74,74.56,72.58,74.04,74.040001,1054570,1054600,0.3,0.40683,74.08,"April 05, 23",0.0040683
2023-04-04,73.94,74.88,73.475,73.8,73.800003,833633,833600,-0.14,-0.18934,73.9,"April 04, 23",-0.0018934
2023-04-03,73.72,73.78,72.16,73.76,73.760002,790728,790700,0.04,0.05425936,73.37,"April 03, 23",0.0005425936
2023-03-31,72.95,74.3,72.84,74.19,74.190002,596695,596700,1.24,1.7,73.89,"March 31, 23",0.017
2023-03-30,72.78,73.015,71.98,72.43,72.43,487949,487900,-0.35,-0.4809,72.39,"March 30, 23",-0.004809
2023-03-29,72.4,72.785,71.67,72.06,72.059998,518566,518600,-0.34,-0.46961,72.09,"March 29, 23",-0.0046961
2023-03-28,73.15,73.4345,71.4201,71.62,71.620003,504753,504800,-1.53,-2.09,71.8,"March 28, 23",-0.0209
2023-03-27,73.13,73.9,72.69,73.41,73.410004,636346,636300,0.28,0.38288,73.36,"March 27, 23",0.0038288
2023-03-24,71.59,72.87,70.33,72.54,72.540001,825404,825400,0.95,1.33,72.2,"March 24, 23",0.0133
2023-03-23,72.7,73.3,71.32,71.92,71.919998,718616,718600,-0.78,-1.07,72.36,"March 23, 23",-0.0107
2023-03-22,73.79,74.49,72.37,72.45,72.449997,616689,616700,-1.34,-1.82,73.3,"March 22, 23",-0.0182
2023-03-21,73.05,74.035,72.66,73.85,73.849998,603728,603700,0.8,1.1,73.56,"March 21, 23",0.011
2023-03-20,72.51,73.69,72.0,72.56,72.559998,700085,700100,0.05,0.06895601,72.66,"March 20, 23",0.0006895601
2023-03-17,73.53,73.5624,72.09,72.31,72.309998,1278111,1278100,-1.22,-1.66,72.55,"March 17, 23",-0.0166
2023-03-16,72.53,73.57,71.96,73.49,73.489998,623755,621200,0.96,1.32,73.17,"March 16, 23",0.0132
2023-03-15,72.11,72.8399,70.9,72.77,72.769997,805046,805000,0.66,0.91527,72.16,"March 15, 23",0.0091527
2023-03-14,72.93,74.08,72.29,73.27,73.269997,971467,971500,0.34,0.4662,73.23,"March 14, 23",0.004662
2023-03-13,71.75,73.29,69.805,71.82,71.82,987012,987000,0.07,0.09756098,71.95,"March 13, 23",0.0009756098
2023-03-10,73.87,74.0,70.97,71.97,71.970001,897137,897100,-1.9,-2.57,72.05,"March 10, 23",-0.0257
2023-03-09,74.98,76.65,74.02,74.06,74.059998,822140,822100,-0.92,-1.23,74.96,"March 09, 23",-0.0123
2023-03-08,75.03,75.94,74.19,74.54,74.540001,1192759,1192800,-0.49,-0.65307,74.7,"March 08, 23",-0.0065307
2023-03-07,76.93,76.93,74.71,74.82,74.82,630446,630400,-2.11,-2.74,75.14,"March 07, 23",-0.0274
2023-03-06,78.09,78.275,76.61,76.91,76.910004,702052,702100,-1.18,-1.51,77.13,"March 06, 23",-0.0151
2023-03-03,77.75,79.11,77.295,78.24,78.239998,852464,852500,0.49,0.63023,78.31,"March 03, 23",0.0063023
2023-03-02,72.71,78.12,72.71,77.6,77.599998,1472234,1472200,4.89,6.73,76.84,"March 02, 23",0.0673
2023-03-01,72.28,75.8,72.275,74.91,74.910004,2022133,2022100,2.63,3.64,74.73,"March 01, 23",0.0364
2023-02-28,72.15,73.06,72.005,72.64,72.639999,949553,949600,0.49,0.67914,72.64,"February 28, 23",0.0067914
2023-02-27,73.15,73.94,72.4,72.68,72.68,919694,919700,-0.47,-0.64252,72.85,"February 27, 23",-0.0064252
2023-02-24,73.21,73.39,72.14,72.48,72.480003,677795,677800,-0.73,-0.99713,72.52,"February 24, 23",-0.0099713
2023-02-23,74.51,75.31,73.105,74.27,74.269997,1213392,1213400,-0.24,-0.3221,74.11,"February 23, 23",-0.003221
2023-02-22,74.12,74.26,72.83,74.24,74.239998,1051205,1051200,0.12,0.1619,73.95,"February 22, 23",0.001619
2023-02-21,74.78,75.79,73.61,73.66,73.660004,810862,810900,-1.12,-1.5,74.25,"February 21, 23",-0.015
2023-02-17,75.81,76.25,75.01,75.96,75.959999,822464,822500,0.15,0.19786,75.62,"February 17, 23",0.0019786
2023-02-16,75.47,77.2,75.275,76.24,76.239998,815046,815000,0.77,1.02,76.52,"February 16, 23",0.0102
2023-02-15,76.71,77.31,75.96,76.8,76.800003,604626,604600,0.09,0.11732,76.76,"February 15, 23",0.0011732
2023-02-14,75.28,77.67,75.28,77.0,77.0,1520771,1520800,1.72,2.28,76.89,"February 14, 23",0.0228
2023-02-13,76.59,77.74,76.16,77.09,77.089996,1318201,1318200,0.5,0.65283,77.14,"February 13, 23",0.0065283
2023-02-10,75.29,76.73,74.745,76.29,76.290001,1138108,1138100,1.0,1.33,76.22,"February 10, 23",0.0133
2023-02-09,77.45,78.7,75.47,75.86,75.779999,1233880,1233900,-1.59,-2.05,76.78,"February 09, 23",-0.0205
2023-02-08,77.93,78.57,76.83,77.0,76.9188,634681,634700,-0.93,-1.19,77.2,"February 08, 23",-0.0119
2023-02-07,75.14,78.93,74.77,78.44,78.357285,900423,900400,3.3,4.39,77.49,"February 07, 23",0.0439
2023-02-06,78.39,78.79,75.48,75.57,75.490303,1184802,1184700,-2.82,-3.6,76.58,"February 06, 23",-0.036
2023-02-03,79.3,80.08,77.66,79.16,79.076523,1251900,1251900,-0.14,-0.17654,79.22,"February 03, 23",-0.0017654
2023-02-02,80.73,86.1352,79.94,80.85,80.764732,2284849,2284800,0.12,0.14864,82.58,"February 02, 23",0.0014864
2023-02-01,79.91,81.87,79.07,81.28,81.194283,1526316,1526300,1.37,1.71,80.56,"February 01, 23",0.0171
2023-01-31,78.73,79.825,78.1,79.66,79.575996,1643739,1643700,0.93,1.18,79.14,"January 31, 23",0.0118
