date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,69.2,70.0699,68.16,69.45,69.449997,1519815,1476035,0.25,0.36127,69.36,"May 17, 23",0.0036127
2023-05-16,70.62,70.925,68.2,68.51,68.510002,1868979,1869000,-2.11,-2.99,68.69,"May 16, 23",-0.0299
2023-05-15,70.0,71.19,68.55,70.78,70.779999,2679046,2679000,0.78,1.11,70.41,"May 15, 23",0.0111
2023-05-12,70.25,70.615,69.42,69.89,69.889999,1862722,1862700,-0.36,-0.51246,69.85,"May 12, 23",-0.0051246
2023-05-11,70.11,70.88,69.38,69.69,69.690002,1577632,1577600,-0.42,-0.59906,69.79,"May 11, 23",-0.0059906
2023-05-10,71.86,71.93,70.18,70.8,70.800003,2307142,2307100,-1.06,-1.48,70.93,"May 10, 23",-0.0148
2023-05-09,70.76,71.855,70.49,71.18,71.18,1438912,1438900,0.42,0.59356,71.33,"May 09, 23",0.0059356
2023-05-08,72.9,73.18,71.04,71.25,71.25,1492980,1493000,-1.65,-2.26,71.45,"May 08, 23",-0.0226
2023-05-05,71.63,72.35,71.04,71.88,71.879997,2238355,2238400,0.25,0.34902,71.85,"May 05, 23",0.0034902
2023-05-04,71.58,71.98,69.12,69.35,69.349998,2309467,2309500,-2.23,-3.12,69.99,"May 04, 23",-0.0312
2023-05-03,71.35,72.585,70.94,71.39,71.389999,2018042,2018000,0.04,0.05606167,71.72,"May 03, 23",0.0005606167
2023-05-02,74.66,74.73,71.32,72.26,72.260002,1605358,1605300,-2.4,-3.21,72.29,"May 02, 23",-0.0321
2023-05-01,74.76,75.76,74.605,75.4,75.400002,1083045,1083000,0.64,0.85607,75.34,"May 01, 23",0.0085607
2023-04-28,74.09,75.98,74.04,75.53,75.529999,1091092,1094100,1.44,1.94,75.51,"April 28, 23",0.0194
2023-04-27,73.98,74.835,73.39,74.28,74.279999,1427390,1427400,0.3,0.40552,74.27,"April 27, 23",0.0040552
2023-04-26,74.93,75.72,73.71,74.38,73.879997,1290700,1290700,-0.55,-0.73402,74.57,"April 26, 23",-0.0073402
2023-04-25,76.29,76.825,75.47,75.51,75.002411,1596115,1596100,-0.78,-1.02,75.79,"April 25, 23",-0.0102
2023-04-24,75.61,77.58,75.61,76.99,76.472458,1549933,1549900,1.38,1.83,77.01,"April 24, 23",0.0183
2023-04-21,76.16,76.275,75.23,75.61,75.101738,1107358,1107400,-0.55,-0.72216,75.61,"April 21, 23",-0.0072216
2023-04-20,75.36,75.71,74.31,75.56,75.052071,1300994,1301000,0.2,0.26539,75.04,"April 20, 23",0.0026539
2023-04-19,75.94,76.27,75.32,76.23,75.717567,1446750,1446800,0.29,0.38188,76.09,"April 19, 23",0.0038188
2023-04-18,76.75,77.005,75.92,76.86,76.34333,1286813,1286800,0.11,0.14332,76.66,"April 18, 23",0.0014332
2023-04-17,77.97,78.0856,76.15,76.5,75.985748,1376515,1376500,-1.47,-1.89,76.77,"April 17, 23",-0.0189
2023-04-14,76.89,78.07,76.89,77.91,77.386276,1119094,1119100,1.02,1.33,77.66,"April 14, 23",0.0133
2023-04-13,76.0,76.72,75.69,76.62,76.10495,945207,945200,0.62,0.81579,76.38,"April 13, 23",0.0081579
2023-04-12,76.7,76.98,76.005,76.12,75.608307,1235526,1235500,-0.58,-0.75619,76.41,"April 12, 23",-0.0075619
2023-04-11,76.11,77.15,75.86,76.32,75.806961,1139107,1139100,0.21,0.27592,76.5,"April 11, 23",0.0027592
2023-04-10,75.14,76.19,74.85,75.4,74.89315,1007512,1007500,0.26,0.34602,75.51,"April 10, 23",0.0034602
2023-04-06,75.62,75.62,74.68,74.93,74.426308,1027576,1027600,-0.69,-0.91246,75.04,"April 06, 23",-0.0091246
2023-04-05,74.63,75.34,73.49,75.28,74.773949,2136617,2136600,0.65,0.87096,74.93,"April 05, 23",0.0087096
2023-04-04,75.25,75.64,73.24,74.68,74.177986,1650012,1650000,-0.57,-0.75748,74.47,"April 04, 23",-0.0075748
2023-04-03,75.2,77.58,75.16,75.41,74.903084,2503018,2503000,0.21,0.27926,75.86,"April 03, 23",0.0027926
2023-03-31,71.76,73.05,71.62,72.95,72.45961,2256252,2256200,1.19,1.66,72.46,"March 31, 23",0.0166
2023-03-30,72.0,72.3,71.13,71.61,71.128624,813947,813900,-0.39,-0.54167,71.57,"March 30, 23",-0.0054167
2023-03-29,71.35,71.84,70.66,71.16,70.681648,1184093,1184100,-0.19,-0.26629,71.03,"March 29, 23",-0.0026629
2023-03-28,69.3,70.575,69.3,70.26,69.787697,1317174,1317200,0.96,1.39,70.08,"March 28, 23",0.0139
2023-03-27,68.81,70.45,68.31,69.84,69.370514,1495903,1495900,1.03,1.5,69.69,"March 27, 23",0.015
2023-03-24,65.48,67.74,64.85,67.52,67.066116,1504695,1504700,2.04,3.12,66.78,"March 24, 23",0.0312
2023-03-23,68.46,69.385,66.29,66.85,66.40062,1156577,1156600,-1.61,-2.35,67.64,"March 23, 23",-0.0235
2023-03-22,70.86,71.15,68.18,68.2,67.741539,1798001,1798000,-2.66,-3.75,69.46,"March 22, 23",-0.0375
2023-03-21,70.08,71.28,69.7,70.95,70.473053,1960628,1960600,0.87,1.24,70.56,"March 21, 23",0.0124
2023-03-20,67.67,69.5,67.53,68.62,68.158722,1799607,1799600,0.95,1.4,68.77,"March 20, 23",0.014
2023-03-17,68.27,69.4,66.38,67.47,67.016457,5333976,5334000,-0.8,-1.17,67.5,"March 17, 23",-0.0117
2023-03-16,66.69,68.85,65.57,68.67,68.208382,2812682,2809400,1.98,2.97,67.84,"March 16, 23",0.0297
2023-03-15,69.76,69.775,66.82,68.15,67.691879,2956781,2956800,-1.61,-2.31,68.02,"March 15, 23",-0.0231
2023-03-14,72.76,74.59,71.295,72.37,71.883514,1538939,1538900,-0.39,-0.53601,72.87,"March 14, 23",-0.0053601
2023-03-13,71.79,73.92,70.104,72.21,71.724586,1867303,1867300,0.42,0.58504,72.32,"March 13, 23",0.0058504
2023-03-10,75.19,75.71,73.41,73.55,73.055588,1358020,1358000,-1.64,-2.18,74.14,"March 10, 23",-0.0218
2023-03-09,76.98,77.72,75.09,75.2,74.694489,1278966,1279000,-1.78,-2.31,75.83,"March 09, 23",-0.0231
2023-03-08,77.0,77.62,75.41,76.45,75.936081,1060605,1060600,-0.55,-0.71429,76.28,"March 08, 23",-0.0071429
2023-03-07,78.22,78.305,76.83,77.03,76.512184,1480449,1480400,-1.19,-1.52,77.24,"March 07, 23",-0.0152
2023-03-06,78.84,79.12,78.025,78.47,77.942513,1768651,1768700,-0.37,-0.4693,78.53,"March 06, 23",-0.004693
2023-03-03,76.9,79.7,76.63,79.24,78.707329,1976806,1976800,2.34,3.04,79.03,"March 03, 23",0.0304
2023-03-02,75.99,77.42,75.49,77.25,76.730713,1699597,1699600,1.26,1.66,76.86,"March 02, 23",0.0166
2023-03-01,74.64,76.48,74.04,76.29,75.777161,1868822,1868800,1.65,2.21,75.66,"March 01, 23",0.0221
2023-02-28,75.6,76.02,74.04,74.1,73.601883,1767757,1767800,-1.5,-1.98,74.65,"February 28, 23",-0.0198
2023-02-27,76.2,76.41,74.795,75.26,74.754089,1536975,1537000,-0.94,-1.23,75.26,"February 27, 23",-0.0123
2023-02-24,75.53,76.36,75.01,75.76,75.250725,1780413,1780400,0.23,0.30451,75.72,"February 24, 23",0.0030451
2023-02-23,76.99,77.07,75.38,76.47,75.955956,2151516,2151500,-0.52,-0.67541,76.4,"February 23, 23",-0.0067541
2023-02-22,72.97,77.89,72.92,75.56,75.052071,3295638,3295600,2.59,3.55,75.41,"February 22, 23",0.0355
2023-02-21,73.36,74.24,72.47,73.29,72.797333,2034074,2034100,-0.07,-0.09541985,73.18,"February 21, 23",-0.0009541985
2023-02-17,75.15,75.26,73.37,73.94,73.442963,1436579,1436600,-1.21,-1.61,74.1,"February 17, 23",-0.0161
2023-02-16,75.76,77.2299,75.33,76.08,75.568573,1268409,1268400,0.32,0.42239,76.4,"February 16, 23",0.0042239
