date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,112.37,112.5,109.86,112.1,112.099998,4226658,4147408,-0.27,-0.24028,111.54,"May 17, 23",-0.0024028
2023-05-16,112.87,113.11,108.83,109.64,109.639999,4956126,4951700,-3.23,-2.86,109.93,"May 16, 23",-0.0286
2023-05-15,111.08,113.06,109.89,112.91,112.910004,4611965,4612000,1.83,1.65,112.1,"May 15, 23",0.0165
2023-05-12,111.51,112.49,110.04,110.52,110.519997,3526776,3526000,-0.99,-0.88781,110.89,"May 12, 23",-0.0088781
2023-05-11,109.55,112.68,109.04,110.66,110.660004,4411430,4411300,1.11,1.01,110.61,"May 11, 23",0.0101
2023-05-10,108.76,112.56,107.36,111.01,111.010002,6454130,6454000,2.25,2.07,110.8,"May 10, 23",0.0207
2023-05-09,106.22,109.6,105.49,108.4,108.400002,4146013,4146000,2.18,2.05,108.4,"May 09, 23",0.0205
2023-05-08,109.28,110.4799,107.28,107.38,107.379997,3179997,3180000,-1.9,-1.74,108.31,"May 08, 23",-0.0174
2023-05-05,107.49,108.37,106.5,107.04,107.040001,3872185,3872100,-0.45,-0.41864,107.25,"May 05, 23",-0.0041864
2023-05-04,106.99,108.3564,104.18,104.31,104.309998,5083917,5083900,-2.68,-2.5,105.23,"May 04, 23",-0.025
2023-05-03,109.74,111.21,106.87,107.06,107.059998,4871926,4871900,-2.68,-2.44,108.25,"May 03, 23",-0.0244
2023-05-02,114.18,114.475,108.47,110.78,110.779999,4598310,4598300,-3.4,-2.98,110.47,"May 02, 23",-0.0298
2023-05-01,114.44,115.99,113.435,115.41,115.410004,3054252,3054200,0.97,0.84761,115.19,"May 01, 23",0.0084761
2023-04-28,114.5,115.59,112.595,114.67,114.669998,4042843,4040300,0.17,0.14847,114.49,"April 28, 23",0.0014847
2023-04-27,114.91,117.24,112.15,114.64,114.639999,7742723,7742700,-0.27,-0.23497,114.21,"April 27, 23",-0.0023497
2023-04-26,117.74,118.54,115.81,116.64,116.639999,5711833,5711800,-1.1,-0.93426,117.13,"April 26, 23",-0.0093426
2023-04-25,119.5,119.7,117.315,117.85,117.849998,4058270,4058300,-1.65,-1.38,118.12,"April 25, 23",-0.0138
2023-04-24,118.57,121.39,118.31,120.0,120.0,5268600,5268600,1.43,1.21,120.26,"April 24, 23",0.0121
2023-04-21,122.44,122.49,118.68,119.63,119.629997,6644645,6644200,-2.81,-2.3,119.87,"April 21, 23",-0.023
2023-04-20,122.71,123.3,120.845,122.95,122.949997,3966550,3966600,0.24,0.19558,122.25,"April 20, 23",0.0019558
2023-04-19,125.96,126.0,122.2,124.4,124.400002,4409216,4409200,-1.56,-1.24,123.8,"April 19, 23",-0.0124
2023-04-18,126.01,127.76,125.04,127.11,127.110001,3827964,3828000,1.1,0.87295,126.76,"April 18, 23",0.0087295
2023-04-17,130.58,130.77,127.59,128.3,128.300003,3525909,3525900,-2.28,-1.75,128.61,"April 17, 23",-0.0175
2023-04-14,133.87,134.3035,130.96,131.86,131.860001,2463365,2462800,-2.01,-1.5,132.04,"April 14, 23",-0.015
2023-04-13,132.49,133.8505,130.45,133.13,133.130005,3223081,3223100,0.64,0.48306,132.72,"April 13, 23",0.0048306
2023-04-12,136.62,137.245,133.38,133.72,133.720001,2968706,2968700,-2.9,-2.12,134.54,"April 12, 23",-0.0212
2023-04-11,136.54,138.0918,135.32,136.71,136.710007,2476263,2476300,0.17,0.12451,136.62,"April 11, 23",0.0012451
2023-04-10,133.01,136.0699,132.96,135.1,135.100006,2369600,2369600,2.09,1.57,134.9,"April 10, 23",0.0157
2023-04-06,135.51,135.95,131.92,132.59,132.589996,3170466,3170500,-2.92,-2.15,133.0,"April 06, 23",-0.0215
2023-04-05,127.61,135.72,127.16,135.09,135.089996,8034228,8034200,7.48,5.86,132.61,"April 05, 23",0.0586
2023-04-04,136.55,136.8,126.77,127.43,127.43,8945015,8945000,-9.12,-6.68,128.9,"April 04, 23",-0.0668
2023-04-03,141.92,142.26,136.55,138.53,138.529999,6276124,6276100,-3.39,-2.39,138.37,"April 03, 23",-0.0239
2023-03-31,136.67,139.83,135.1,139.6,139.600006,3330602,3330200,2.93,2.14,138.52,"March 31, 23",0.0214
2023-03-30,138.05,138.22,135.48,137.02,137.020004,3254678,3254700,-1.03,-0.74611,136.5,"March 30, 23",-0.0074611
2023-03-29,136.96,138.0,134.77,136.95,136.949997,4453867,4453900,-0.01,-0.0073014,136.51,"March 29, 23",-7.3014e-05
