date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,28.97,29.095,28.69,28.95,28.950001,6300897,5295552,-0.02,-0.06903693,28.93,"May 17, 23",-0.0006903693
2023-05-16,29.1,29.27,28.525,28.65,28.65,9360010,9360000,-0.45,-1.55,28.74,"May 16, 23",-0.0155
2023-05-15,29.37,29.38,28.68,29.1,29.1,9341012,9341000,-0.27,-0.91931,29.03,"May 15, 23",-0.0091931
2023-05-12,29.24,29.39,29.055,29.28,29.280001,4245034,4245000,0.04,0.1368,29.21,"May 12, 23",0.001368
2023-05-11,28.89,29.16,28.76,29.0,29.0,4746290,4746300,0.11,0.38075,29.02,"May 11, 23",0.0038075
2023-05-10,29.76,29.76,28.87,29.16,29.16,6260883,6260900,-0.6,-2.02,29.18,"May 10, 23",-0.0202
2023-05-09,29.3,29.67,29.22,29.45,29.450001,5122668,5122700,0.15,0.51195,29.47,"May 09, 23",0.0051195
2023-05-08,30.44,30.48,29.45,29.56,29.559999,5642185,5642200,-0.88,-2.89,29.64,"May 08, 23",-0.0289
2023-05-05,29.62,30.4,29.43,30.18,30.18,9884129,9884100,0.56,1.89,30.15,"May 05, 23",0.0189
2023-05-04,29.26,29.74,28.83,29.1,29.1,10485788,10485800,-0.16,-0.54682,29.14,"May 04, 23",-0.0054682
2023-05-03,29.03,29.5,28.95,28.96,28.959999,6094020,6094000,-0.07,-0.24113,29.15,"May 03, 23",-0.0024113
2023-05-02,30.1,30.13,28.92,29.3,29.299999,7298531,7298500,-0.8,-2.66,29.24,"May 02, 23",-0.0266
2023-05-01,30.0,30.51,30.0,30.36,30.360001,4671966,4671800,0.36,1.2,30.37,"May 01, 23",0.012
2023-04-28,29.76,30.435,29.705,30.26,30.26,5428366,5428300,0.5,1.68,30.26,"April 28, 23",0.0168
2023-04-27,29.41,29.875,29.32,29.81,29.809999,6626312,6626300,0.4,1.36,29.66,"April 27, 23",0.0136
2023-04-26,29.73,29.96,29.23,29.44,29.440001,5513609,5513600,-0.29,-0.97545,29.5,"April 26, 23",-0.0097545
