date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,10.49,10.53,10.435,10.495,10.495,1160514,1160514,0.005,0.04766444,10.49,"May 08, 23",0.0004766444
2023-05-05,10.27,10.48,10.26,10.42,10.42,10166137,10166137,0.15,1.46,10.4,"May 05, 23",0.0146
2023-05-04,9.98,10.44,9.98,10.21,10.21,10602349,10602300,0.23,2.3,10.26,"May 04, 23",0.023
2023-05-03,10.21,10.24,9.79,10.01,10.01,25285458,25285500,-0.2,-1.96,9.98,"May 03, 23",-0.0196
2023-05-02,11.0,11.04,10.79,10.92,10.92,8695157,8695200,-0.08,-0.72727,10.88,"May 02, 23",-0.0072727
2023-05-01,11.0,11.09,10.97,11.06,11.06,6982023,6981900,0.06,0.54545,11.06,"May 01, 23",0.0054545
2023-04-28,10.91,11.0,10.88,10.97,10.97,12331796,12331800,0.06,0.54995,10.96,"April 28, 23",0.0054995
2023-04-27,10.74,10.93,10.641,10.92,10.92,7819781,7819800,0.18,1.68,10.82,"April 27, 23",0.0168
2023-04-26,10.74,10.86,10.68,10.72,10.72,7242470,7242300,-0.02,-0.18622,10.75,"April 26, 23",-0.0018622
2023-04-25,10.96,11.01,10.81,10.82,10.82,5988787,5988800,-0.14,-1.28,10.87,"April 25, 23",-0.0128
2023-04-24,11.1,11.115,11.02,11.07,11.07,5975637,5975600,-0.03,-0.27027,11.06,"April 24, 23",-0.0027027
2023-04-21,11.06,11.105,10.96,11.06,11.06,5649305,5649300,0.0,0.0,11.04,"April 21, 23",0.0
2023-04-20,11.06,11.08,11.0,11.02,11.02,8265059,8265000,-0.04,-0.36166,11.03,"April 20, 23",-0.0036166
2023-04-19,11.15,11.17,11.07,11.08,11.08,8189877,8189700,-0.07,-0.6278,11.1,"April 19, 23",-0.006278
2023-04-18,11.09,11.175,11.08,11.16,11.16,5321072,5321100,0.07,0.6312,11.13,"April 18, 23",0.006312
2023-04-17,11.14,11.16,11.03,11.1,11.1,5110694,5110700,-0.04,-0.35907,11.08,"April 17, 23",-0.0035907
2023-04-14,11.15,11.2,11.02,11.1,11.1,4625287,4625300,-0.05,-0.44843,11.09,"April 14, 23",-0.0044843
2023-04-13,11.03,11.22,11.015,11.19,11.19,5657024,5657000,0.16,1.45,11.16,"April 13, 23",0.0145
2023-04-12,10.99,11.115,10.99,11.02,11.02,5783843,5783700,0.03,0.27298,11.04,"April 12, 23",0.0027298
2023-04-11,11.14,11.17,10.96,10.99,10.99,12502794,12502800,-0.15,-1.35,11.03,"April 11, 23",-0.0135
2023-04-10,11.16,11.165,11.01,11.09,11.09,7314613,7314600,-0.07,-0.62724,11.08,"April 10, 23",-0.0062724
2023-04-06,11.31,11.3202,11.18,11.25,11.25,9398343,9398300,-0.06,-0.5305,11.23,"April 06, 23",-0.005305
2023-04-05,11.19,11.32,11.16,11.31,11.31,9792250,9792300,0.12,1.07,11.28,"April 05, 23",0.0107
2023-04-04,11.32,11.35,11.17,11.22,11.22,7746238,7746200,-0.1,-0.88339,11.23,"April 04, 23",-0.0088339
2023-04-03,11.27,11.39,11.225,11.3,11.3,8741773,8741700,0.03,0.26619,11.29,"April 03, 23",0.0026619
2023-03-31,11.21,11.39,11.18,11.38,11.38,6976862,6976800,0.17,1.52,11.32,"March 31, 23",0.0152
2023-03-30,11.17,11.19,11.08,11.14,11.14,4744106,4744100,-0.03,-0.26858,11.13,"March 30, 23",-0.0026858
