date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,80.49,80.97,80.17,80.69,80.69,571907,571907,0.2,0.24847807,80.61,"May 08, 23",0.0024847807
2023-05-05,80.6,81.0,80.34,80.59,80.589996,5194996,4691564,-0.01,-0.01240695,80.68,"May 05, 23",-0.0001240695
2023-05-04,81.53,81.76,80.455,80.79,80.790001,7441480,7441500,-0.74,-0.90764,81.01,"May 04, 23",-0.0090764
2023-05-03,80.8,81.83,80.62,81.26,81.260002,6380025,6380000,0.46,0.56931,81.31,"May 03, 23",0.0056931
2023-05-02,80.8,81.055,80.26,80.85,80.849998,5963273,5963300,0.05,0.06188119,80.8,"May 02, 23",0.0006188119
2023-05-01,79.84,81.025,79.38,80.69,80.690002,6111140,6111100,0.85,1.06,80.59,"May 01, 23",0.0106
2023-04-28,79.07,81.49,79.07,79.8,79.800003,9633442,9633400,0.73,0.92323,80.37,"April 28, 23",0.0092323
2023-04-27,76.99,77.975,76.78,77.93,77.93,5652593,5652600,0.94,1.22,77.64,"April 27, 23",0.0122
2023-04-26,77.16,77.65,76.615,76.68,76.68,4592021,4592000,-0.48,-0.62208,77.03,"April 26, 23",-0.0062208
2023-04-25,78.04,78.56,77.51,77.7,77.699997,6437580,6437500,-0.34,-0.43567,77.89,"April 25, 23",-0.0043567
2023-04-24,76.78,77.935,76.78,77.88,77.879997,5350887,5350900,1.1,1.43,77.68,"April 24, 23",0.0143
2023-04-21,77.18,77.5,76.73,76.8,76.800003,11708634,11708600,-0.38,-0.49236,76.89,"April 21, 23",-0.0049236
2023-04-20,75.35,76.46,75.23,76.36,76.360001,7763268,7763200,1.01,1.34,76.14,"April 20, 23",0.0134
2023-04-19,75.7,75.9,75.125,75.59,75.110001,3629725,3629700,-0.11,-0.14531,75.45,"April 19, 23",-0.0014531
2023-04-18,75.72,75.99,75.165,75.54,75.060318,3499260,3499300,-0.18,-0.23772,75.58,"April 18, 23",-0.0023772
2023-04-17,75.77,76.13,75.42,75.7,75.219299,4727557,4727500,-0.07,-0.09238485,75.71,"April 17, 23",-0.0009238485
2023-04-14,76.13,76.26,75.35,75.59,75.110001,3756960,3756800,-0.54,-0.70931,75.7,"April 14, 23",-0.0070931
2023-04-13,76.05,76.63,75.83,76.52,76.519997,3315011,3315000,0.47,0.61801,76.38,"April 13, 23",0.0061801
2023-04-12,76.02,76.597,75.62,76.05,76.050003,4438383,4438400,0.03,0.0394633,76.07,"April 12, 23",0.000394633
2023-04-11,75.58,76.205,75.3,76.02,76.019997,7115650,7115700,0.44,0.58216,75.86,"April 11, 23",0.0058216
2023-04-10,75.17,75.33,74.62,75.14,75.139999,2735236,2735100,-0.03,-0.03990954,75.04,"April 10, 23",-0.0003990954
2023-04-06,75.59,76.07,75.01,75.68,75.68,3261911,3261800,0.09,0.11906,75.44,"April 06, 23",0.0011906
2023-04-05,75.33,76.09,75.32,75.36,75.360001,4949537,4949500,0.03,0.03982477,75.64,"April 05, 23",0.0003982477
2023-04-04,75.55,75.9,74.7,74.73,74.730003,3002600,3002600,-0.82,-1.09,75.05,"April 04, 23",-0.0109
2023-04-03,75.24,75.7489,74.87,75.36,75.360001,3188684,3188700,0.12,0.15949,75.39,"April 03, 23",0.0015949
2023-03-31,75.61,75.86,75.06,75.15,75.150002,5153558,5153600,-0.46,-0.60839,75.28,"March 31, 23",-0.0060839
2023-03-30,74.53,75.395,74.47,75.25,75.25,4181628,4181600,0.72,0.96605,75.13,"March 30, 23",0.0096605
2023-03-29,75.0,75.15,74.39,74.47,74.470001,2873409,2873200,-0.53,-0.70667,74.67,"March 29, 23",-0.0070667
2023-03-28,74.45,74.792,74.235,74.5,74.5,4241974,4241900,0.05,0.06715917,74.54,"March 28, 23",0.0006715917
2023-03-27,73.82,74.475,73.7,74.15,74.150002,4203919,4203900,0.33,0.44703,74.05,"March 27, 23",0.0044703
2023-03-24,72.25,73.535,72.1,73.42,73.419998,5013495,5013500,1.17,1.62,73.14,"March 24, 23",0.0162
2023-03-23,72.1,72.705,71.775,71.83,71.830002,3494461,3494500,-0.27,-0.37448,72.08,"March 23, 23",-0.0037448
2023-03-22,72.7,73.28,72.12,72.13,72.129997,3180846,3180800,-0.57,-0.78404,72.72,"March 22, 23",-0.0078404
2023-03-21,73.02,73.26,71.97,72.38,72.379997,4561210,4561200,-0.64,-0.87647,72.42,"March 21, 23",-0.0087647
2023-03-20,72.44,73.3,72.39,73.08,73.080002,4557722,4557500,0.64,0.88349,72.99,"March 20, 23",0.0088349
2023-03-17,73.05,73.05,71.83,72.2,72.199997,9106081,9106100,-0.85,-1.16,72.32,"March 17, 23",-0.0116
2023-03-16,73.31,73.45,72.62,72.95,72.949997,4256398,4256400,-0.36,-0.49107,73.01,"March 16, 23",-0.0049107
2023-03-15,71.55,73.06,71.55,72.93,72.93,5993524,5993500,1.38,1.93,72.5,"March 15, 23",0.0193
2023-03-14,71.7,72.32,71.38,72.24,72.239998,5098034,5098000,0.54,0.75314,71.94,"March 14, 23",0.0075314
2023-03-13,71.35,73.13,71.35,71.5,71.5,5949938,5949900,0.15,0.21023,71.92,"March 13, 23",0.0021023
2023-03-10,71.73,71.78,71.185,71.31,71.309998,3694585,3693800,-0.42,-0.58553,71.41,"March 10, 23",-0.0058553
2023-03-09,72.33,72.53,70.92,71.34,71.339996,4893419,4893200,-0.99,-1.37,71.53,"March 09, 23",-0.0137
2023-03-08,71.43,72.04,71.235,71.96,71.959999,2941861,2942800,0.53,0.74199,71.75,"March 08, 23",0.0074199
2023-03-07,73.25,73.37,71.05,71.5,71.5,6423223,6423000,-1.75,-2.39,71.69,"March 07, 23",-0.0239
2023-03-06,73.7,74.035,73.225,73.29,73.290001,3001579,3001600,-0.41,-0.55631,73.44,"March 06, 23",-0.0055631
2023-03-03,74.0,74.09,73.245,73.95,73.949997,2532609,2532600,-0.05,-0.06756757,73.79,"March 03, 23",-0.0006756757
2023-03-02,72.59,73.95,72.54,73.77,73.769997,2916133,2916000,1.18,1.63,73.49,"March 02, 23",0.0163
2023-03-01,73.35,73.35,71.815,72.55,72.550003,2880849,2880800,-0.8,-1.09,72.41,"March 01, 23",-0.0109
2023-02-28,73.29,73.645,72.87,73.3,73.300003,3614342,3614300,0.01,0.01364443,73.29,"February 28, 23",0.0001364443
2023-02-27,73.42,74.135,73.215,73.6,73.599998,3434594,3434600,0.18,0.24516,73.57,"February 27, 23",0.0024516
2023-02-24,73.28,73.36,72.745,73.13,73.129997,3115005,3115000,-0.15,-0.20469,73.1,"February 24, 23",-0.0020469
2023-02-23,74.41,74.77,72.92,73.66,73.660004,3008641,3008600,-0.75,-1.01,73.68,"February 23, 23",-0.0101
2023-02-22,74.5,75.04,74.19,74.41,74.410004,3645614,3645600,-0.09,-0.12081,74.54,"February 22, 23",-0.0012081
2023-02-21,73.9,74.73,73.9,74.26,74.260002,4095499,4098100,0.36,0.48714,74.32,"February 21, 23",0.0048714
2023-02-17,72.96,74.96,72.96,74.52,74.519997,5019122,5019100,1.56,2.14,74.26,"February 17, 23",0.0214
2023-02-16,72.32,72.975,71.74,72.77,72.769997,4701819,4701800,0.45,0.62223,72.63,"February 16, 23",0.0062223
2023-02-15,72.87,72.9899,72.29,72.7,72.699997,4400229,4399200,-0.17,-0.23329,72.55,"February 15, 23",-0.0023329
2023-02-14,73.91,73.91,72.9,73.18,73.18,2382506,2382500,-0.73,-0.98769,73.33,"February 14, 23",-0.0098769
2023-02-13,73.87,74.04,73.46,73.77,73.769997,3664280,3664300,-0.1,-0.13537,73.73,"February 13, 23",-0.0013537
2023-02-10,72.93,73.73,72.73,73.55,73.550003,3524324,3524300,0.62,0.85013,73.45,"February 10, 23",0.0085013
2023-02-09,73.51,73.75,72.81,72.83,72.830002,3740363,3740400,-0.68,-0.92504,73.1,"February 09, 23",-0.0092504
2023-02-08,73.12,73.68,72.805,73.36,73.360001,3230125,3230100,0.24,0.32823,73.37,"February 08, 23",0.0032823
2023-02-07,73.43,73.55,72.71,73.45,73.449997,3755108,3755100,0.02,0.02723682,73.32,"February 07, 23",0.0002723682
2023-02-06,74.2,74.41,73.28,73.85,73.849998,4186872,4186900,-0.35,-0.4717,73.72,"February 06, 23",-0.004717
2023-02-03,73.96,74.395,73.22,74.29,74.290001,3861209,3861200,0.33,0.44619,73.97,"February 03, 23",0.0044619
2023-02-02,74.18,74.2,73.31,73.73,73.730003,5024819,5024700,-0.45,-0.60663,73.85,"February 02, 23",-0.0060663
2023-02-01,74.43,75.3,74.11,74.99,74.989998,3722158,3722200,0.56,0.75238,74.7,"February 01, 23",0.0075238
2023-01-31,73.38,74.54,73.26,74.53,74.529999,5890145,5890100,1.15,1.57,74.05,"January 31, 23",0.0157
