date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,497.37,498.0,495.7,496.14,496.14,230383,230383,-1.23,-0.2473008,496.61,"May 08, 23",-0.002473008
2023-05-05,493.2,499.4,492.98,499.06,499.059998,1707289,1697811,5.86,1.19,497.05,"May 05, 23",0.0119
2023-05-04,488.94,490.91,485.93,490.34,490.339996,1487048,1487000,1.4,0.28633,489.0,"May 04, 23",0.0028633
2023-05-03,496.6,498.78,489.6615,490.06,489.039978,1426432,1426400,-6.54,-1.32,493.21,"May 03, 23",-0.0132
2023-05-02,495.0,495.68,489.81,494.81,493.78009,1940805,1940800,-0.19,-0.03838384,493.4,"May 02, 23",-0.0003838384
2023-05-01,499.15,500.05,488.8,493.59,492.562653,2203182,2203200,-5.56,-1.11,493.8,"May 01, 23",-0.0111
2023-04-28,501.56,504.83,500.64,503.22,502.172607,1170249,1169400,1.66,0.33097,502.77,"April 28, 23",0.0033097
2023-04-27,494.83,502.26,494.83,501.27,501.269989,1361463,1361600,6.44,1.3,500.35,"April 27, 23",0.013
2023-04-26,500.42,502.87,493.39,494.66,494.660004,1441855,1441900,-5.76,-1.15,496.6,"April 26, 23",-0.0115
2023-04-25,511.13,513.13,502.26,503.17,503.170013,1789883,1789900,-7.96,-1.56,506.47,"April 25, 23",-0.0156
2023-04-24,506.1,511.69,505.81,511.42,511.420013,1374117,1374100,5.32,1.05,509.42,"April 24, 23",0.0105
2023-04-21,509.37,510.64,505.46,506.35,506.350006,1508643,1508000,-3.02,-0.59289,506.94,"April 21, 23",-0.0059289
2023-04-20,495.75,510.66,495.51,505.58,505.579987,2936493,2936500,9.83,1.98,505.85,"April 20, 23",0.0198
2023-04-19,497.13,497.99,493.83,496.03,496.029999,1098758,1098800,-1.1,-0.22127,496.32,"April 19, 23",-0.0022127
2023-04-18,496.1,497.63,494.115,496.9,496.899994,1339585,1339600,0.8,0.16126,496.17,"April 18, 23",0.0016126
2023-04-17,492.77,497.89,491.15,493.94,493.940002,1411760,1411800,1.17,0.23743,494.12,"April 17, 23",0.0023743
2023-04-14,496.19,500.37,490.16,491.3,491.299988,1675297,1674800,-4.89,-0.98551,492.87,"April 14, 23",-0.0098551
2023-04-13,493.49,498.44,490.31,497.89,497.890015,1600513,1600500,4.4,0.89161,495.66,"April 13, 23",0.0089161
