date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,101.7,103.82,101.53,103.615,103.615,3827277,3827277,1.91,1.88299,102.99,"May 08, 23",0.0188299
2023-05-05,98.59,100.8461,98.11,100.52,100.519997,9270141,9256641,1.93,1.96,99.68,"May 05, 23",0.0196
2023-05-04,99.54,99.54,96.61,97.45,97.449997,13260720,13260700,-2.09,-2.1,97.49,"May 04, 23",-0.021
2023-05-03,101.06,102.58,100.64,100.86,100.860001,7772064,7772100,-0.2,-0.1979,101.44,"May 03, 23",-0.001979
2023-05-02,101.33,101.695,99.62,100.6,100.599998,6955902,6955900,-0.73,-0.72042,100.57,"May 02, 23",-0.0072042
2023-05-01,102.405,102.6087,101.605,102.21,102.209999,6909535,6909500,-0.195,-0.19042,102.15,"May 01, 23",-0.0019042
2023-04-28,99.37,102.56,99.08,102.5,102.5,11329689,11319700,3.13,3.15,101.89,"April 28, 23",0.0315
2023-04-27,97.13,100.065,96.71,99.93,99.93,8166466,8166500,2.8,2.88,99.01,"April 27, 23",0.0288
2023-04-26,97.84,98.48,96.455,96.61,96.610001,8609331,8634500,-1.23,-1.26,97.41,"April 26, 23",-0.0126
2023-04-25,99.375,99.71,98.01,98.01,98.010002,6481394,6511400,-1.365,-1.37,98.65,"April 25, 23",-0.0137
2023-04-24,100.145,100.735,98.67,99.68,99.68,8540571,8540600,-0.465,-0.46433,99.68,"April 24, 23",-0.0046433
2023-04-21,98.16,99.72,97.72,99.57,99.57,9467979,9464700,1.41,1.44,99.02,"April 21, 23",0.0144
2023-04-20,97.75,98.58,97.391,98.07,98.07,7762736,7762700,0.32,0.32737,98.01,"April 20, 23",0.0032737
2023-04-19,99.78,99.83,98.355,98.75,98.75,11429007,11523300,-1.03,-1.03,98.8,"April 19, 23",-0.0103
2023-04-18,100.61,101.15,99.595,100.93,100.93,8180148,8180100,0.32,0.31806,100.6,"April 18, 23",0.0031806
2023-04-17,99.57,100.57,99.15,100.3,100.300003,6705269,6705300,0.73,0.73315,99.94,"April 17, 23",0.0073315
2023-04-14,100.5,100.86,98.93,99.9,99.900002,7337250,7333400,-0.6,-0.59701,99.62,"April 14, 23",-0.0059701
2023-04-13,98.51,101.07,98.51,100.84,100.839996,8744977,8745000,2.33,2.37,100.43,"April 13, 23",0.0237
2023-04-12,101.25,102.22,97.7,97.94,97.940002,9279196,9289200,-3.31,-3.27,99.33,"April 12, 23",-0.0327
2023-04-11,101.16,101.91,100.29,100.42,100.419998,7504624,7504600,-0.74,-0.73151,101.03,"April 11, 23",-0.0073151
2023-04-10,99.3,100.81,98.9,100.81,100.809998,8004576,8016600,1.51,1.52,100.28,"April 10, 23",0.0152
2023-04-06,99.44,100.32,98.55,99.97,99.970001,7042486,7042500,0.53,0.53298,99.61,"April 06, 23",0.0053298
2023-04-05,99.7,100.18,98.632,99.91,99.910004,7747230,7747200,0.21,0.21063,99.68,"April 05, 23",0.0021063
2023-04-04,100.3,100.42,98.76,99.57,99.57,6794168,6794200,-0.73,-0.72782,99.47,"April 04, 23",-0.0072782
2023-04-03,100.21,100.43,99.27,99.76,99.760002,7313201,7313200,-0.45,-0.44906,99.82,"April 03, 23",-0.0044906
2023-03-31,98.89,100.2,98.5,100.13,100.129997,8919965,8911100,1.24,1.25,99.56,"March 31, 23",0.0125
2023-03-30,98.73,98.92,97.67,98.1,98.099998,7669482,7669500,-0.63,-0.6381,98.09,"March 30, 23",-0.006381
2023-03-29,96.08,96.91,95.35,96.87,96.870003,5889123,5889100,0.79,0.82223,96.35,"March 29, 23",0.0082223
2023-03-28,95.51,96.0,94.59,94.82,94.82,5426053,5426100,-0.69,-0.72244,95.12,"March 28, 23",-0.0072244
2023-03-27,94.78,96.02,94.38,95.62,95.620003,7487900,7487900,0.84,0.88626,95.26,"March 27, 23",0.0088626
2023-03-24,94.81,95.0,93.02,94.08,94.080002,9537154,9534600,-0.73,-0.76996,93.86,"March 24, 23",-0.0076996
2023-03-23,95.28,97.02,94.76,95.83,95.830002,9527009,9527000,0.55,0.57725,96.07,"March 23, 23",0.0057725
2023-03-22,97.45,97.93,94.82,94.9,94.900002,8811105,8811100,-2.55,-2.62,96.37,"March 22, 23",-0.0262
2023-03-21,95.17,96.85,95.17,96.54,96.540001,7285766,7285800,1.37,1.44,96.22,"March 21, 23",0.0144
2023-03-20,93.43,94.92,93.0,94.22,94.220001,6657152,6657200,0.79,0.84555,94.06,"March 20, 23",0.0084555
2023-03-17,94.05,94.27,92.91,93.2,93.199997,12943192,12924800,-0.85,-0.90377,93.41,"March 17, 23",-0.0090377
2023-03-16,92.67,94.5599,91.89,94.29,94.290001,9946678,9931700,1.62,1.75,93.7,"March 16, 23",0.0175
2023-03-15,91.63,93.3557,91.41,93.1,93.099998,9543836,9543800,1.47,1.6,92.5,"March 15, 23",0.016
2023-03-14,94.0,94.3,92.34,93.36,93.360001,10323627,10323600,-0.64,-0.68085,93.38,"March 14, 23",-0.0068085
2023-03-13,91.885,94.0242,90.46,92.6,92.599998,11915321,11915300,0.715,0.77815,92.55,"March 13, 23",0.0077815
2023-03-10,95.6,95.9,92.83,93.57,93.57,13978845,13964800,-2.03,-2.12,93.93,"March 10, 23",-0.0212
2023-03-09,99.45,100.05,95.92,96.14,96.139999,8263336,8275600,-3.31,-3.33,97.49,"March 09, 23",-0.0333
2023-03-08,99.0,99.62,98.3,99.3,99.300003,5668738,5668700,0.3,0.30303,99.06,"March 08, 23",0.0030303
2023-03-07,100.4,100.94,98.89,99.06,99.059998,6951340,6951300,-1.34,-1.33,99.53,"March 07, 23",-0.0133
2023-03-06,101.61,102.695,100.49,100.66,100.660004,6773261,6773300,-0.95,-0.93495,101.37,"March 06, 23",-0.0093495
2023-03-03,99.67,101.18,98.88,101.14,101.139999,7434264,7428900,1.47,1.47,100.48,"March 03, 23",0.0147
2023-03-02,97.74,99.29,97.42,98.92,98.919998,7283130,7776600,1.18,1.21,98.32,"March 02, 23",0.0121
2023-03-01,99.19,99.63,98.1,98.54,98.540001,7898251,7898300,-0.65,-0.65531,98.7,"March 01, 23",-0.0065531
2023-02-28,100.45,100.75,99.57,99.61,99.610001,8233743,8233700,-0.84,-0.83624,99.88,"February 28, 23",-0.0083624
2023-02-27,100.73,101.47,100.06,100.45,100.449997,6641212,6641200,-0.28,-0.27797,100.7,"February 27, 23",-0.0027797
2023-02-24,99.53,100.43,98.96,100.3,100.300003,8523000,8523000,0.77,0.77364,99.91,"February 24, 23",0.0077364
2023-02-23,101.45,102.0499,99.605,101.73,101.730003,10974753,10974800,0.28,0.276,101.02,"February 23, 23",0.00276
2023-02-22,101.33,102.56,101.09,101.68,101.68,9885101,9885100,0.35,0.34541,101.84,"February 22, 23",0.0034541
2023-02-21,103.55,103.73,101.83,102.09,102.089996,10648205,10648200,-1.46,-1.41,102.39,"February 21, 23",-0.0141
2023-02-17,105.03,105.8,103.88,105.22,105.220001,9492184,9492200,0.19,0.1809,104.75,"February 17, 23",0.001809
2023-02-16,107.55,108.02,105.7,105.83,105.830002,9479922,9479900,-1.72,-1.6,106.9,"February 16, 23",-0.016
2023-02-15,107.09,109.27,106.7,109.24,109.239998,8163490,8156000,2.15,2.01,108.2,"February 15, 23",0.0201
2023-02-14,106.82,108.44,105.8205,107.66,107.660004,10768102,10768100,0.84,0.78637,107.5,"February 14, 23",0.0078637
2023-02-13,108.1,108.2874,106.55,107.66,107.660004,12321984,12341500,-0.44,-0.40703,107.58,"February 13, 23",-0.0040703
2023-02-10,108.96,109.74,107.21,108.06,108.059998,15565987,15566000,-0.9,-0.82599,108.19,"February 10, 23",-0.0082599
2023-02-09,118.04,118.18,109.8089,110.36,110.360001,46137152,46137200,-7.68,-6.51,114.12,"February 09, 23",-0.0651
2023-02-08,112.2,113.33,110.29,111.78,111.779999,27719920,27719900,-0.42,-0.37433,113.99,"February 08, 23",-0.0037433
2023-02-07,109.295,112.12,108.86,111.63,111.629997,10843984,10844000,2.335,2.14,110.58,"February 07, 23",0.0214
2023-02-06,110.17,110.43,108.53,109.87,109.870003,11956540,11956500,-0.3,-0.27231,109.47,"February 06, 23",-0.0027231
2023-02-03,111.47,113.1412,110.37,110.71,110.709999,12472478,12472500,-0.76,-0.6818,111.65,"February 03, 23",-0.006818
2023-02-02,110.67,113.53,109.6901,113.21,113.209999,13093205,13093200,2.54,2.3,112.05,"February 02, 23",0.023
2023-02-01,108.5,109.94,106.9,109.39,109.389999,9974481,9975500,0.89,0.82028,108.61,"February 01, 23",0.0082028
2023-01-31,107.58,108.715,107.45,108.49,108.489998,8251663,8251700,0.91,0.84588,108.26,"January 31, 23",0.0084588
2023-01-30,108.26,108.97,107.48,107.59,107.589996,8548547,8548500,-0.67,-0.61888,108.13,"January 30, 23",-0.0061888
2023-01-27,109.26,110.5823,109.16,109.54,109.540001,10249678,10249700,0.28,0.25627,109.9,"January 27, 23",0.0025627
2023-01-26,108.17,109.76,107.5701,109.7,109.699997,9204417,9204400,1.53,1.41,108.69,"January 26, 23",0.0141
2023-01-25,104.96,108.16,104.18,108.12,108.120003,10008035,10008000,3.16,3.01,106.53,"January 25, 23",0.0301
2023-01-24,105.39,108.44,102.0,106.0,106.0,8606692,8606700,0.61,0.5788,106.02,"January 24, 23",0.005788
2023-01-23,103.29,105.9541,102.9209,105.69,105.690002,11479075,11479100,2.4,2.32,105.01,"January 23, 23",0.0232
2023-01-20,100.34,103.5865,99.3015,103.48,103.480003,14549879,14549900,3.14,3.13,101.81,"January 20, 23",0.0313
2023-01-19,98.12,99.45,97.12,99.08,99.080002,10973553,10973600,0.96,0.97839,98.65,"January 19, 23",0.0097839
2023-01-18,100.28,101.1299,98.7249,99.04,99.040001,11384536,11384500,-1.24,-1.24,99.57,"January 18, 23",-0.0124
2023-01-17,100.32,100.99,98.995,99.91,99.910004,14914197,14914200,-0.41,-0.40869,100.03,"January 17, 23",-0.0040869
2023-01-13,99.38,99.6,98.01,99.4,99.400002,12230196,12230200,0.02,0.02012477,99.03,"January 13, 23",0.0002012477
2023-01-12,98.5,100.63,97.5705,99.81,99.809998,19764324,19764300,1.31,1.33,99.53,"January 12, 23",0.0133
2023-01-11,95.92,96.55,95.045,96.33,96.330002,8744051,8757300,0.41,0.42744,96.19,"January 11, 23",0.0042744
2023-01-10,94.28,95.64,93.82,95.56,95.559998,6914633,6914600,1.28,1.36,94.94,"January 10, 23",0.0136
2023-01-09,94.43,95.7,93.45,94.77,94.769997,11675842,11675800,0.34,0.36006,94.89,"January 09, 23",0.0036006
2023-01-06,92.66,94.69,91.3211,93.92,93.919998,9828145,9828100,1.26,1.36,93.62,"January 06, 23",0.0136
2023-01-05,91.66,92.48,90.51,91.92,91.919998,10956020,11622600,0.26,0.28366,91.63,"January 05, 23",0.0028366
2023-01-04,90.0,92.745,89.36,91.98,91.980003,14957213,14957200,1.98,2.2,91.72,"January 04, 23",0.022
2023-01-03,88.98,89.9716,87.83,88.97,88.970001,14997142,14997100,-0.01,-0.01123848,88.82,"January 03, 23",-0.0001123848
2022-12-30,85.73,87.12,85.225,86.88,86.879997,23230967,23231000,1.15,1.34,86.26,"December 30, 22",0.0134
2022-12-29,85.25,88.242,84.97,87.18,87.18,13045069,13045100,1.93,2.26,87.19,"December 29, 22",0.0226
2022-12-28,86.08,86.69,84.07,84.17,84.169998,12399508,12399500,-1.91,-2.22,85.01,"December 28, 22",-0.0222
2022-12-27,87.42,87.94,85.96,86.37,86.370003,11556448,11561400,-1.05,-1.2,86.83,"December 27, 22",-0.012
2022-12-23,86.06,88.07,85.77,88.01,88.010002,11171606,11171600,1.95,2.27,87.27,"December 23, 22",0.0227
2022-12-22,86.03,86.73,84.69,86.67,86.669998,15304520,15487400,0.64,0.74393,85.78,"December 22, 22",0.0074393
2022-12-21,87.19,88.0997,86.48,86.92,86.919998,11004832,11004800,-0.27,-0.30967,87.4,"December 21, 22",-0.0030967
2022-12-20,86.08,87.8391,85.76,87.02,87.019997,14876400,14918400,0.94,1.09,86.74,"December 20, 22",0.0109
2022-12-19,89.44,89.46,85.41,85.78,85.779999,19225289,19225300,-3.66,-4.09,86.6,"December 19, 22",-0.0409
2022-12-16,90.19,91.08,88.81,90.08,90.080002,26383881,26383900,-0.11,-0.12196,89.86,"December 16, 22",-0.0012196
2022-12-15,92.47,93.12,90.115,90.49,90.489998,15882469,15957700,-1.98,-2.14,90.8,"December 15, 22",-0.0214
2022-12-14,94.54,95.47,92.62,94.15,94.150002,11505449,11505400,-0.39,-0.41252,94.41,"December 14, 22",-0.0041252
2022-12-13,96.49,97.3917,93.57,94.7,94.699997,22882080,22882100,-1.79,-1.86,94.97,"December 13, 22",-0.0186
2022-12-12,93.73,94.66,92.61,94.66,94.660004,14140682,14140700,0.93,0.99221,93.99,"December 12, 22",0.0099221
2022-12-09,92.37,94.91,91.9,93.38,93.379997,10111877,10111900,1.01,1.09,93.77,"December 09, 22",0.0109
2022-12-08,92.5,93.428,91.67,92.55,92.550003,9351229,9351200,0.05,0.05405405,92.61,"December 08, 22",0.0005405405
2022-12-07,92.66,92.7857,91.26,92.15,92.150002,10353416,10353400,-0.51,-0.5504,92.2,"December 07, 22",-0.005504
2022-12-06,95.73,96.0,91.98,92.29,92.290001,11492365,11492400,-3.44,-3.59,93.21,"December 06, 22",-0.0359
2022-12-05,98.24,99.16,95.665,95.93,95.93,10762040,10764500,-2.31,-2.35,97.0,"December 05, 22",-0.0235
2022-12-02,97.46,99.69,97.0101,99.43,99.43,12608101,12608100,1.97,2.02,98.84,"December 02, 22",0.0202
2022-12-01,97.87,98.835,96.58,98.59,98.589996,13855680,13855700,0.72,0.73567,98.05,"December 01, 22",0.0073567
2022-11-30,94.95,97.94,93.87,97.87,97.870003,15368108,15368100,2.92,3.08,96.33,"November 30, 22",0.0308
2022-11-29,96.0,96.4299,93.92,94.69,94.690002,13205327,13205300,-1.31,-1.36,94.85,"November 29, 22",-0.0136
