date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,173.12,173.63,172.165,172.46,172.46,104298,104298,-0.66,-0.38123845,172.75,"May 08, 23",-0.0038123845
2023-05-05,174.38,174.765,172.71,173.67,173.67,782145,782145,-0.71,-0.40715678,173.72,"May 05, 23",-0.0040715678
2023-05-04,173.4,174.12,170.3,172.36,172.360001,1040656,1040700,-1.04,-0.59977,172.02,"May 04, 23",-0.0059977
2023-05-03,175.65,179.765,173.06,173.34,173.339996,1520853,1520800,-2.31,-1.32,175.92,"May 03, 23",-0.0132
2023-05-02,170.29,174.52,167.66,174.28,174.279999,1831350,1831300,3.99,2.34,172.12,"May 02, 23",0.0234
2023-05-01,167.83,169.77,167.25,168.78,168.779999,1274667,1274700,0.95,0.56605,168.8,"May 01, 23",0.0056605
2023-04-28,166.04,168.2603,166.04,167.84,167.839996,1200547,1200500,1.8,1.08,167.69,"April 28, 23",0.0108
2023-04-27,163.54,166.265,163.13,166.16,166.160004,720323,720300,2.62,1.6,165.16,"April 27, 23",0.016
2023-04-26,163.62,164.29,162.11,162.58,162.580002,737199,737200,-1.04,-0.63562,163.02,"April 26, 23",-0.0063562
2023-04-25,165.88,166.48,164.22,164.3,164.300003,787289,787300,-1.58,-0.9525,164.95,"April 25, 23",-0.009525
2023-04-24,166.95,167.0,165.18,166.08,166.080002,747880,747900,-0.87,-0.52111,165.99,"April 24, 23",-0.0052111
2023-04-21,164.42,166.11,164.28,165.6,165.600006,1075224,1075200,1.18,0.71767,165.4,"April 21, 23",0.0071767
2023-04-20,163.67,164.63,163.18,164.35,164.350006,615667,615700,0.68,0.41547,164.15,"April 20, 23",0.0041547
2023-04-19,163.48,164.765,163.13,164.66,164.660004,579117,579100,1.18,0.7218,164.45,"April 19, 23",0.007218
2023-04-18,164.62,165.22,163.33,164.29,164.289993,608056,608100,-0.33,-0.20046,164.17,"April 18, 23",-0.0020046
2023-04-17,161.79,164.45,161.53,163.95,163.949997,1346623,1346600,2.16,1.34,163.31,"April 17, 23",0.0134
