date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,73.32,73.97,73.18,73.1995,73.1995,94512,94512,-0.1205,-0.16434806,73.45,"May 08, 23",-0.0016434806
2023-05-05,71.89,73.73,71.06,73.56,73.510002,1569344,1247606,1.67,2.32,73.28,"May 05, 23",0.0232
2023-05-04,72.31,73.285,70.915,72.49,72.489998,2365153,2365200,0.18,0.24893,72.37,"May 04, 23",0.0024893
2023-05-03,74.41,74.41,71.43,71.67,71.669998,2628943,2628900,-2.74,-3.68,72.34,"May 03, 23",-0.0368
2023-05-02,73.95,74.12,72.7,73.28,73.279999,2214482,2214500,-0.67,-0.90602,73.41,"May 02, 23",-0.0090602
2023-05-01,73.73,74.92,73.515,73.95,73.949997,1353522,1353500,0.22,0.29839,74.23,"May 01, 23",0.0029839
2023-04-28,73.3,73.87,73.21,73.6,73.599998,1646714,1646700,0.3,0.40928,73.6,"April 28, 23",0.0040928
2023-04-27,73.26,73.71,72.5,73.57,73.57,1182175,1182200,0.31,0.42315,73.29,"April 27, 23",0.0042315
2023-04-26,73.33,73.94,72.48,73.0,73.0,1553522,1553500,-0.33,-0.45002,73.16,"April 26, 23",-0.0045002
2023-04-25,73.5,74.1,73.39,73.77,73.769997,880986,881000,0.27,0.36735,73.78,"April 25, 23",0.0036735
2023-04-24,73.06,73.68,72.76,73.67,73.669998,885693,885700,0.61,0.83493,73.47,"April 24, 23",0.0083493
2023-04-21,73.5,73.61,72.75,72.93,72.93,922879,922900,-0.57,-0.77551,73.02,"April 21, 23",-0.0077551
2023-04-20,72.82,73.35,72.44,73.0,73.0,1107090,1107100,0.18,0.24718,72.89,"April 20, 23",0.0024718
2023-04-19,72.08,73.19,72.08,72.74,72.739998,1280132,1280100,0.66,0.91565,72.71,"April 19, 23",0.0091565
2023-04-18,72.1,72.84,71.95,72.11,72.110001,1395829,1395800,0.01,0.01386963,72.22,"April 18, 23",0.0001386963
2023-04-17,71.77,72.18,71.45,72.08,72.080002,1398941,1398900,0.31,0.43194,71.94,"April 17, 23",0.0043194
2023-04-14,72.32,72.35,71.44,71.61,71.610001,1285374,1285000,-0.71,-0.98175,71.78,"April 14, 23",-0.0098175
2023-04-13,72.5,73.25,71.63,72.95,72.949997,1731723,1731700,0.45,0.62069,72.68,"April 13, 23",0.0062069
2023-04-12,73.15,73.32,72.632,73.07,73.07,1550637,1550600,-0.08,-0.10936,73.0,"April 12, 23",-0.0010936
2023-04-11,72.82,73.3132,72.68,72.81,72.809998,1206263,1206300,-0.01,-0.01373249,72.96,"April 11, 23",-0.0001373249
2023-04-10,72.19,72.92,71.945,72.84,72.839996,1129413,1129400,0.65,0.9004,72.67,"April 10, 23",0.009004
2023-04-06,72.5,72.75,71.76,72.56,72.559998,1349799,1349800,0.06,0.08275862,72.31,"April 06, 23",0.0008275862
2023-04-05,70.59,72.45,70.31,72.26,72.260002,1921233,1921100,1.67,2.37,72.01,"April 05, 23",0.0237
2023-04-04,70.34,70.69,69.7901,70.29,70.290001,1527523,1527500,-0.05,-0.07108331,70.2,"April 04, 23",-0.0007108331
2023-04-03,70.13,71.2,69.67,70.54,70.540001,2468355,2468400,0.41,0.58463,70.65,"April 03, 23",0.0058463
2023-03-31,70.17,70.66,69.73,70.59,70.589996,1937167,1937100,0.42,0.59855,70.37,"March 31, 23",0.0059855
2023-03-30,69.27,70.04,69.27,70.0,70.0,2386103,2386100,0.73,1.05,69.84,"March 30, 23",0.0105
2023-03-29,69.19,69.99,69.14,69.8,69.062004,1872724,1872700,0.61,0.88163,69.73,"March 29, 23",0.0088163
2023-03-28,68.35,69.4324,68.27,68.7,67.973625,1500091,1500100,0.35,0.51207,68.77,"March 28, 23",0.0051207
2023-03-27,68.8,69.06,68.311,68.53,67.805428,1976885,1976900,-0.27,-0.39244,68.64,"March 27, 23",-0.0039244
2023-03-24,66.1,68.42,65.8101,68.38,67.657013,2041433,2041400,2.28,3.45,67.48,"March 24, 23",0.0345
2023-03-23,66.16,67.59,65.36,66.04,66.040001,2614208,2614200,-0.12,-0.18138,66.4,"March 23, 23",-0.0018138
2023-03-22,67.7,68.24,66.29,66.31,66.309998,1872743,1872700,-1.39,-2.05,67.41,"March 22, 23",-0.0205
2023-03-21,69.2,69.45,67.22,67.81,67.809998,2427051,2427100,-1.39,-2.01,68.15,"March 21, 23",-0.0201
2023-03-20,68.2,69.32,68.11,69.0,69.0,2204109,2204100,0.8,1.17,68.98,"March 20, 23",0.0117
2023-03-17,68.95,69.01,67.39,67.76,67.760002,4978041,4978000,-1.19,-1.73,67.91,"March 17, 23",-0.0173
2023-03-16,67.53,69.06,67.14,68.98,68.980003,2203125,2203100,1.45,2.15,68.59,"March 16, 23",0.0215
2023-03-15,67.74,68.91,67.22,68.12,68.120003,2115567,2115600,0.38,0.56097,68.08,"March 15, 23",0.0056097
2023-03-14,68.07,69.06,67.4,68.3,68.300003,1512175,1512200,0.23,0.33789,68.27,"March 14, 23",0.0033789
2023-03-13,65.87,68.62,65.73,67.39,67.389999,1580107,1580100,1.52,2.31,67.72,"March 13, 23",0.0231
2023-03-10,67.19,67.35,65.77,66.23,66.230003,1856667,1856700,-0.96,-1.43,66.33,"March 10, 23",-0.0143
2023-03-09,68.54,68.775,66.82,67.0,67.0,1699749,1699700,-1.54,-2.25,67.64,"March 09, 23",-0.0225
2023-03-08,67.35,68.42,67.15,68.29,68.290001,1574714,1574600,0.94,1.4,68.12,"March 08, 23",0.014
2023-03-07,68.58,68.71,67.05,67.39,67.389999,1917488,1917500,-1.19,-1.74,67.56,"March 07, 23",-0.0174
2023-03-06,67.36,68.5,67.3301,68.42,68.419998,2370212,2370200,1.06,1.57,68.05,"March 06, 23",0.0157
2023-03-03,65.67,67.34,65.36,67.3,67.300003,1807434,1807400,1.63,2.48,66.95,"March 03, 23",0.0248
2023-03-02,64.4,65.7,63.93,65.56,65.559998,2450546,2450500,1.16,1.8,65.09,"March 02, 23",0.018
2023-03-01,66.0,66.0,64.4,64.59,64.589996,2738916,2738900,-1.41,-2.14,64.74,"March 01, 23",-0.0214
2023-02-28,67.94,68.15,66.17,66.21,66.209999,3012368,3012400,-1.73,-2.55,66.61,"February 28, 23",-0.0255
2023-02-27,69.1,69.79,68.035,68.13,68.129997,1833011,1833000,-0.97,-1.4,68.52,"February 27, 23",-0.014
2023-02-24,66.55,68.89,66.51,68.63,68.629997,3337130,3337100,2.08,3.13,68.18,"February 24, 23",0.0313
2023-02-23,66.65,67.045,65.51,65.86,65.860001,2142347,2142300,-0.79,-1.19,66.02,"February 23, 23",-0.0119
2023-02-22,66.45,67.18,66.03,66.2,66.199997,1702786,1702800,-0.25,-0.37622,66.52,"February 22, 23",-0.0037622
2023-02-21,67.35,67.54,66.48,66.71,66.709999,1700489,1700500,-0.64,-0.95026,66.86,"February 21, 23",-0.0095026
2023-02-17,67.32,67.865,66.71,67.59,67.589996,6172465,6172500,0.27,0.40107,67.55,"February 17, 23",0.0040107
2023-02-16,66.84,67.6,66.265,67.22,67.220001,918898,918900,0.38,0.56852,67.15,"February 16, 23",0.0056852
2023-02-15,67.26,67.73,66.78,67.7,67.699997,1293097,1293100,0.44,0.65418,67.4,"February 15, 23",0.0065418
