date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,42.87,43.325,42.74,42.75,42.75,657946,657946,-0.12,-0.27991603,42.94,"May 08, 23",-0.0027991603
2023-05-05,42.58,43.045,42.48,42.85,42.849998,3849705,3647645,0.27,0.6341,42.74,"May 05, 23",0.006341
2023-05-04,42.42,43.07,41.53,42.56,42.560001,6322050,6322000,0.14,0.33003,42.49,"May 04, 23",0.0033003
2023-05-03,42.87,43.23,42.2,42.33,42.330002,6138797,6138800,-0.54,-1.26,42.56,"May 03, 23",-0.0126
2023-05-02,43.16,43.35,42.38,42.57,42.57,6183910,6183900,-0.59,-1.37,42.73,"May 02, 23",-0.0137
2023-05-01,42.45,43.395,42.39,43.18,43.18,8188490,8188500,0.73,1.72,43.12,"May 01, 23",0.0172
2023-04-28,42.78,43.03,42.37,42.44,42.439999,11350478,11350100,-0.34,-0.79476,42.53,"April 28, 23",-0.0079476
2023-04-27,42.92,43.27,42.63,42.78,42.779999,6959378,6959400,-0.14,-0.32619,42.87,"April 27, 23",-0.0032619
2023-04-26,43.32,43.54,42.61,42.79,42.790001,5213776,5213800,-0.53,-1.22,42.89,"April 26, 23",-0.0122
2023-04-25,43.3,43.71,43.3,43.61,43.610001,3007196,3007200,0.31,0.71594,43.58,"April 25, 23",0.0071594
2023-04-24,43.19,43.62,42.82,43.45,43.450001,4687371,4687400,0.26,0.60199,43.38,"April 24, 23",0.0060199
2023-04-21,43.22,43.32,42.83,43.22,43.220001,4430053,4430100,0.0,0.0,43.12,"April 21, 23",0.0
2023-04-20,43.08,43.14,42.66,43.0,43.0,4304816,4304800,-0.08,-0.1857,42.93,"April 20, 23",-0.001857
2023-04-19,42.75,43.11,42.75,43.04,43.040001,3376965,3377000,0.29,0.67836,43.0,"April 19, 23",0.0067836
2023-04-18,42.8,43.04,42.58,42.85,42.849998,4393573,4393600,0.05,0.11682,42.82,"April 18, 23",0.0011682
2023-04-17,42.32,42.72,42.2,42.67,42.669998,5737280,5737300,0.35,0.82703,42.59,"April 17, 23",0.0082703
2023-04-14,42.415,42.6,41.915,42.13,42.130001,6651163,6651200,-0.285,-0.67193,42.15,"April 14, 23",-0.0067193
2023-04-13,42.95,43.03,41.95,42.89,42.889999,12061450,12061400,-0.06,-0.1397,42.63,"April 13, 23",-0.001397
2023-04-12,43.3,43.5,42.96,43.08,43.080002,7717312,7717300,-0.22,-0.50808,43.18,"April 12, 23",-0.0050808
2023-04-11,43.35,43.43,43.07,43.26,43.259998,4589338,4589300,-0.09,-0.20761,43.28,"April 11, 23",-0.0020761
2023-04-10,42.93,43.275,42.43,43.26,43.259998,5005590,5005600,0.33,0.76869,43.06,"April 10, 23",0.0076869
2023-04-06,43.13,43.33,42.77,43.06,43.060001,8745500,8745500,-0.07,-0.1623,42.99,"April 06, 23",-0.001623
2023-04-05,42.01,43.08,42.01,42.93,42.93,7595182,7595100,0.92,2.19,42.83,"April 05, 23",0.0219
2023-04-04,41.76,42.07,41.61,41.86,41.860001,4131814,4131800,0.1,0.23946,41.88,"April 04, 23",0.0023946
2023-04-03,41.81,42.165,41.44,41.81,41.810001,5013247,5013200,0.0,0.0,41.86,"April 03, 23",0.0
