date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,229.05,230.85,229.33,230.8199,230.8199,234727,234727,1.77,0.77271338,230.33,"May 08, 23",0.0077271338
2023-05-05,227.14,230.97,226.57,229.3,229.115005,1156404,1022424,2.16,0.95096,228.94,"May 05, 23",0.0095096
2023-05-04,228.12,228.83,225.01,226.37,226.369995,955141,955100,-1.75,-0.76714,226.45,"May 04, 23",-0.0076714
2023-05-03,228.06,231.69,227.01,228.52,228.520004,1356578,1356500,0.46,0.2017,229.18,"May 03, 23",0.002017
2023-05-02,229.17,229.98,226.53,228.4,228.399994,1102183,1102100,-0.77,-0.336,228.01,"May 02, 23",-0.00336
2023-05-01,228.45,231.1899,228.32,230.58,230.580002,1122115,1122100,2.13,0.93237,230.29,"May 01, 23",0.0093237
2023-04-28,223.62,228.61,223.62,227.78,227.779999,1608519,1608300,4.16,1.86,227.57,"April 28, 23",0.0186
2023-04-27,224.14,226.335,223.01,225.94,225.940002,1535192,1535200,1.8,0.80307,224.92,"April 27, 23",0.0080307
2023-04-26,224.44,226.385,221.7,222.77,222.770004,1813523,1813500,-1.67,-0.74407,223.19,"April 26, 23",-0.0074407
2023-04-25,228.1,229.95,224.35,225.47,225.470001,2201362,2201400,-2.63,-1.15,225.9,"April 25, 23",-0.0115
2023-04-24,231.0,232.64,229.92,232.16,232.160004,1374278,1374300,1.16,0.50216,231.49,"April 24, 23",0.0050216
2023-04-21,229.78,232.5,228.73,230.44,230.440002,2180092,2180100,0.66,0.28723,230.86,"April 21, 23",0.0028723
2023-04-20,228.75,231.45,228.13,229.38,229.380005,1314924,1314900,0.63,0.27541,229.38,"April 20, 23",0.0027541
2023-04-19,227.38,229.56,227.18,229.49,229.490005,1340939,1340900,2.11,0.92796,228.65,"April 19, 23",0.0092796
2023-04-18,230.27,231.775,228.35,229.21,229.210007,1282880,1282700,-1.06,-0.46033,229.42,"April 18, 23",-0.0046033
