date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,30.7,30.755,30.39,30.665,30.665,6652396,6652396,-0.035,-0.11400651,30.6,"May 08, 23",-0.0011400651
2023-05-05,31.38,31.41,30.73,30.99,30.99,34920099,33626451,-0.39,-1.24,31.0,"May 05, 23",-0.0124
2023-05-04,30.435,31.72,30.38,31.24,31.24,46104019,46104000,0.805,2.64,31.19,"May 04, 23",0.0264
2023-05-03,30.64,31.11,30.245,30.65,30.525,45554489,45554500,0.01,0.03263708,30.65,"May 03, 23",0.0003263708
2023-05-02,30.3,30.575,29.75,29.77,29.648588,33463356,33463400,-0.53,-1.75,30.03,"May 02, 23",-0.0175
2023-05-01,31.11,31.24,30.28,30.3,30.176426,36918529,36918500,-0.81,-2.6,30.59,"May 01, 23",-0.026
2023-04-28,31.975,32.57,30.81,31.06,30.933327,80252444,80229700,-0.915,-2.86,31.42,"April 28, 23",-0.0286
2023-04-27,28.75,29.945,28.51,29.86,29.860001,60186244,60186200,1.11,3.86,29.55,"April 27, 23",0.0386
2023-04-26,29.2,29.81,28.835,29.05,29.049999,41218705,41218800,-0.15,-0.5137,29.24,"April 26, 23",-0.005137
2023-04-25,29.44,29.57,28.87,28.88,28.879999,38289873,38289900,-0.56,-1.9,29.08,"April 25, 23",-0.019
2023-04-24,30.13,30.37,29.61,29.66,29.66,38732452,38732500,-0.47,-1.56,29.82,"April 24, 23",-0.0156
2023-04-21,30.84,30.84,30.225,30.3,30.299999,28655762,28638900,-0.54,-1.75,30.36,"April 21, 23",-0.0175
2023-04-20,30.76,31.25,30.71,30.86,30.860001,30252069,30255100,0.1,0.3251,30.91,"April 20, 23",0.003251
2023-04-19,31.1,31.52,31.08,31.15,31.15,25746574,25746600,0.05,0.16077,31.24,"April 19, 23",0.0016077
2023-04-18,32.43,32.46,31.78,31.83,31.83,26041380,26041400,-0.6,-1.85,31.94,"April 18, 23",-0.0185
2023-04-17,31.95,32.64,31.77,32.14,32.139999,29601148,29601100,0.19,0.59468,32.09,"April 17, 23",0.0059468
2023-04-14,32.0,32.235,31.69,31.89,31.889999,24623633,24613300,-0.11,-0.34375,31.93,"April 14, 23",-0.0034375
2023-04-13,31.82,32.43,31.65,32.13,32.130001,29722344,29722300,0.31,0.97423,32.13,"April 13, 23",0.0097423
2023-04-12,32.77,32.89,31.96,32.02,32.02,37070786,37070800,-0.75,-2.29,32.16,"April 12, 23",-0.0229
2023-04-11,32.66,33.11,32.32,32.35,32.349998,27059106,27059100,-0.31,-0.94917,32.59,"April 11, 23",-0.0094917
2023-04-10,32.6,32.76,32.2,32.52,32.52,30534439,30534400,-0.08,-0.2454,32.47,"April 10, 23",-0.002454
2023-04-06,32.6,33.0,32.46,32.81,32.810001,28551916,28551900,0.21,0.64417,32.81,"April 06, 23",0.0064417
2023-04-05,32.795,32.99,32.335,32.83,32.830002,39555735,39615700,0.035,0.10672,32.72,"April 05, 23",0.0010672
2023-04-04,32.85,33.84,32.84,33.1,33.099998,55714058,55714100,0.25,0.76104,33.21,"April 04, 23",0.0076104
2023-04-03,32.94,33.56,32.54,32.89,32.889999,57038344,57038300,-0.05,-0.15179,32.98,"April 03, 23",-0.0015179
2023-03-31,31.8,32.9,31.73,32.67,32.669998,59764921,59740100,0.87,2.74,32.58,"March 31, 23",0.0274
