date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-08,17.01,17.055,16.95,16.975,16.975,5937787,5937787,-0.035,-0.20576132,16.99,"May 08, 23",-0.0020576132
2023-05-05,16.98,17.13,16.88,17.13,17.129999,23685697,22803024,0.15,0.88339,17.03,"May 05, 23",0.0088339
2023-05-04,17.02,17.0785,16.85,16.91,16.91,27422691,27422700,-0.11,-0.6463,16.91,"May 04, 23",-0.006463
2023-05-03,17.15,17.25,17.07,17.09,17.09,32213142,32213100,-0.06,-0.34985,17.14,"May 03, 23",-0.0034985
2023-05-02,17.36,17.43,17.03,17.07,17.07,39398107,39398100,-0.29,-1.67,17.1,"May 02, 23",-0.0167
2023-05-01,17.74,17.755,17.49,17.5,17.5,35510207,35510200,-0.24,-1.35,17.61,"May 01, 23",-0.0135
2023-04-28,17.42,17.745,17.38,17.67,17.67,40675800,40664000,0.25,1.44,17.62,"April 28, 23",0.0144
2023-04-27,17.38,17.63,17.36,17.61,17.610001,36926914,36926900,0.23,1.32,17.56,"April 27, 23",0.0132
2023-04-26,17.39,17.66,17.19,17.2,17.200001,42482881,42482900,-0.19,-1.09,17.35,"April 26, 23",-0.0109
2023-04-25,17.51,17.77,17.45,17.51,17.51,46691792,46691800,0.0,0.0,17.59,"April 25, 23",0.0
2023-04-24,18.09,18.119,17.51,17.53,17.530001,60001379,60001400,-0.56,-3.1,17.66,"April 24, 23",-0.031
2023-04-21,17.87,18.4,17.83,18.22,18.219999,76810214,76789500,0.35,1.96,18.19,"April 21, 23",0.0196
2023-04-20,18.71,18.72,17.56,17.65,17.65,129904844,129904800,-1.06,-5.67,17.88,"April 20, 23",-0.0567
2023-04-19,19.78,19.83,19.61,19.7,19.700001,31537199,31537200,-0.08,-0.40445,19.71,"April 19, 23",-0.0040445
2023-04-18,19.83,19.87,19.65,19.82,19.82,28517402,28517400,-0.01,-0.05042864,19.78,"April 18, 23",-0.0005042864
2023-04-17,19.9,19.92,19.65,19.79,19.790001,23443916,23443900,-0.11,-0.55276,19.79,"April 17, 23",-0.0055276
2023-04-14,19.95,19.99,19.77,19.93,19.93,24948446,24942300,-0.02,-0.10025,19.88,"April 14, 23",-0.0010025
2023-04-13,19.85,19.98,19.66,19.96,19.959999,25253874,25253900,0.11,0.55416,19.89,"April 13, 23",0.0055416
2023-04-12,19.79,19.88,19.65,19.77,19.77,28179531,28179500,-0.02,-0.10106,19.78,"April 12, 23",-0.0010106
2023-04-11,19.59,19.91,19.575,19.69,19.690001,24664840,24664800,0.1,0.51046,19.75,"April 11, 23",0.0051046
2023-04-10,19.47,19.6,19.42,19.57,19.57,23617542,23617500,0.1,0.51361,19.54,"April 10, 23",0.0051361
2023-04-06,19.65,19.79,19.51,19.65,19.65,29722558,29722600,0.0,0.0,19.63,"April 06, 23",0.0
2023-04-05,19.62,19.93,19.585,19.88,19.601999,38673247,38673200,0.26,1.33,19.82,"April 05, 23",0.0133
2023-04-04,19.52,19.65,19.39,19.64,19.365356,34207621,34207600,0.12,0.61475,19.54,"April 04, 23",0.0061475
2023-04-03,19.27,19.475,19.2,19.39,19.118851,31102535,31102500,0.12,0.62273,19.37,"April 03, 23",0.0062273
2023-03-31,19.12,19.25,19.03,19.25,18.98081,27130925,27119900,0.13,0.67992,19.18,"March 31, 23",0.0067992
2023-03-30,19.005,19.14,18.98,19.08,18.813187,19736256,19736300,0.075,0.39463,19.06,"March 30, 23",0.0039463
2023-03-29,18.86,19.05,18.83,19.0,18.734306,23149448,23149400,0.14,0.74231,18.97,"March 29, 23",0.0074231
2023-03-28,18.84,18.99,18.72,18.72,18.458221,21547161,21547200,-0.12,-0.63694,18.81,"March 28, 23",-0.0063694
2023-03-27,18.74,18.95,18.705,18.87,18.606125,26650453,26650500,0.13,0.6937,18.86,"March 27, 23",0.006937
2023-03-24,18.45,18.66,18.35,18.61,18.34976,32061597,32058000,0.16,0.86721,18.54,"March 24, 23",0.0086721
2023-03-23,18.41,18.57,18.34,18.46,18.201857,28957808,28957800,0.05,0.27159,18.46,"March 23, 23",0.0027159
2023-03-22,18.61,18.72,18.38,18.39,18.132835,21071095,21071100,-0.22,-1.18,18.54,"March 22, 23",-0.0118
2023-03-21,18.675,18.72,18.435,18.54,18.280739,24313184,24313200,-0.135,-0.72289,18.53,"March 21, 23",-0.0072289
2023-03-20,18.27,18.58,18.22,18.49,18.231438,27382101,27382100,0.22,1.2,18.46,"March 20, 23",0.012
2023-03-17,18.32,18.35,18.03,18.13,17.876471,58728602,58728600,-0.19,-1.04,18.17,"March 17, 23",-0.0104
2023-03-16,18.23,18.4286,18.065,18.39,18.132835,31733375,31731800,0.16,0.87767,18.32,"March 16, 23",0.0087767
2023-03-15,18.2,18.34,18.055,18.31,18.053955,34436388,34436400,0.11,0.6044,18.24,"March 15, 23",0.006044
2023-03-14,18.37,18.51,18.21,18.44,18.182137,32076205,32076200,0.07,0.38106,18.36,"March 14, 23",0.0038106
2023-03-13,18.27,18.6596,18.22,18.3,18.044094,39774982,39835000,0.03,0.1642,18.37,"March 13, 23",0.001642
2023-03-10,18.28,18.49,18.24,18.43,18.172277,32018524,32018500,0.15,0.82057,18.39,"March 10, 23",0.0082057
2023-03-09,18.7,18.7,18.31,18.32,18.063814,24711104,24711100,-0.38,-2.03,18.48,"March 09, 23",-0.0203
2023-03-08,18.57,18.64,18.18,18.61,18.34976,31510317,31510300,0.04,0.2154,18.51,"March 08, 23",0.002154
2023-03-07,18.8,18.93,18.6,18.71,18.44836,27944036,27944000,-0.09,-0.47872,18.72,"March 07, 23",-0.0047872
2023-03-06,18.85,18.96,18.77,18.77,18.507523,24072147,24072100,-0.08,-0.4244,18.82,"March 06, 23",-0.004244
2023-03-03,18.7,18.85,18.67,18.81,18.546963,23501477,23501500,0.11,0.58824,18.78,"March 03, 23",0.0058824
2023-03-02,18.53,18.75,18.5,18.66,18.399059,24188168,24184800,0.13,0.70157,18.66,"March 02, 23",0.0070157
2023-03-01,18.83,18.86,18.56,18.66,18.399059,23339850,23339900,-0.17,-0.90281,18.67,"March 01, 23",-0.0090281
2023-02-28,19.02,19.03,18.84,18.91,18.645565,34154826,34154800,-0.11,-0.57834,18.9,"February 28, 23",-0.0057834
2023-02-27,19.3,19.34,19.01,19.03,18.763887,22981105,22981100,-0.27,-1.4,19.1,"February 27, 23",-0.014
2023-02-24,19.26,19.27,18.975,19.24,18.970949,29138136,29138100,-0.02,-0.10384,19.19,"February 24, 23",-0.0010384
2023-02-23,19.42,19.58,19.26,19.35,19.079412,24845773,24845800,-0.07,-0.36045,19.36,"February 23, 23",-0.0036045
2023-02-22,19.22,19.43,19.215,19.38,19.108992,25308792,25308800,0.16,0.83247,19.35,"February 22, 23",0.0083247
2023-02-21,19.22,19.36,19.13,19.21,18.941368,28220330,28220300,-0.01,-0.05202914,19.22,"February 21, 23",-0.0005202914
2023-02-17,19.26,19.51,19.13,19.44,19.168154,29997547,29997500,0.18,0.93458,19.38,"February 17, 23",0.0093458
2023-02-16,19.04,19.415,18.93,19.26,18.990671,35161148,35161100,0.22,1.16,19.21,"February 16, 23",0.0116
2023-02-15,19.01,19.27,18.985,19.25,18.98081,31155538,31145400,0.24,1.26,19.16,"February 15, 23",0.0126
2023-02-14,19.3,19.35,19.03,19.15,18.882208,23195192,23195200,-0.15,-0.7772,19.17,"February 14, 23",-0.007772
2023-02-13,19.01,19.32,18.99,19.26,18.990671,21668665,21668700,0.25,1.32,19.21,"February 13, 23",0.0132
2023-02-10,19.03,19.11,18.83,19.07,18.803328,24931150,24931200,0.04,0.21019,19.0,"February 10, 23",0.0021019
2023-02-09,19.21,19.25,18.89,18.97,18.704725,28320910,28320900,-0.24,-1.25,19.0,"February 09, 23",-0.0125
2023-02-08,19.09,19.22,19.015,19.16,18.892069,29805219,29805200,0.07,0.36668,19.13,"February 08, 23",0.0036668
2023-02-07,19.49,19.54,19.09,19.25,18.98081,36534418,36534400,-0.24,-1.23,19.29,"February 07, 23",-0.0123
2023-02-06,19.75,19.76,19.49,19.58,19.306194,30929765,30929800,-0.17,-0.86076,19.59,"February 06, 23",-0.0086076
2023-02-03,20.22,20.26,19.775,19.83,19.552698,31599941,31599900,-0.39,-1.93,19.89,"February 03, 23",-0.0193
2023-02-02,20.1,20.49,20.04,20.28,19.996407,34968831,34968800,0.18,0.89552,20.3,"February 02, 23",0.0089552
2023-02-01,20.47,20.5,20.07,20.18,19.897804,40172549,40172500,-0.29,-1.42,20.29,"February 01, 23",-0.0142
2023-01-31,20.16,20.38,20.07,20.37,20.085148,36575932,36575900,0.21,1.04,20.28,"January 31, 23",0.0104
2023-01-30,19.92,20.26,19.89,20.16,19.878084,37245959,37246000,0.24,1.2,20.14,"January 30, 23",0.012
2023-01-27,19.95,20.1,19.81,19.95,19.671022,37093996,37094000,0.0,0.0,19.93,"January 27, 23",0.0
2023-01-26,20.27,20.32,19.81,20.0,19.720322,47400914,47400900,-0.27,-1.33,19.98,"January 26, 23",-0.0133
2023-01-25,19.75,20.48,19.74,20.42,20.134449,73579615,73582100,0.67,3.39,20.23,"January 25, 23",0.0339
2023-01-24,18.97,22.84,18.7,19.16,18.892069,32813327,32858500,0.19,1.0,19.22,"January 24, 23",0.01
2023-01-23,19.23,19.4,18.98,19.1,18.832909,32890784,32890800,-0.13,-0.67603,19.18,"January 23, 23",-0.0067603
2023-01-20,18.96,19.23,18.77,19.23,18.961088,37836624,37836600,0.27,1.42,19.11,"January 20, 23",0.0142
2023-01-19,18.93,19.02,18.785,18.94,18.675146,40180782,40180800,0.01,0.0528262,18.89,"January 19, 23",0.000528262
2023-01-18,19.29,19.33,18.97,19.02,18.754026,38023707,38023700,-0.27,-1.4,19.08,"January 18, 23",-0.014
2023-01-17,19.55,19.57,19.265,19.33,19.05969,38794799,38801000,-0.22,-1.13,19.36,"January 17, 23",-0.0113
2023-01-13,19.385,19.59,19.285,19.55,19.276613,25479977,25480000,0.165,0.85117,19.5,"January 13, 23",0.0085117
2023-01-12,19.48,19.57,19.37,19.41,19.138573,31740354,31740400,-0.07,-0.35934,19.47,"January 12, 23",-0.0035934
2023-01-11,19.47,19.49,19.25,19.41,19.138573,29972727,30010200,-0.06,-0.30817,19.37,"January 11, 23",-0.0030817
2023-01-10,19.35,19.48,19.2,19.47,19.197733,32869494,32869500,0.12,0.62016,19.37,"January 10, 23",0.0062016
2023-01-09,19.235,19.24,18.98,19.04,18.773746,51981064,51981100,-0.195,-1.01,19.08,"January 09, 23",-0.0101
2023-01-06,19.35,19.79,19.34,19.53,18.982782,36050329,36050300,0.18,0.93023,19.57,"January 06, 23",0.0093023
2023-01-05,19.14,19.32,18.96,19.21,18.671747,31081839,31081800,0.07,0.36573,19.16,"January 05, 23",0.0036573
2023-01-04,18.87,19.37,18.81,19.14,18.60371,43926755,43926800,0.27,1.43,19.15,"January 04, 23",0.0143
2023-01-03,18.51,18.85,18.41,18.74,18.214918,42149170,42149200,0.23,1.24,18.64,"January 03, 23",0.0124
2022-12-30,18.42,18.48,18.22,18.41,17.894165,26204237,26204200,-0.01,-0.05428882,18.35,"December 30, 22",-0.0005428882
2022-12-29,18.27,18.55,18.24,18.45,17.933044,23765855,23765900,0.18,0.98522,18.46,"December 29, 22",0.0098522
2022-12-28,18.45,18.545,18.19,18.22,17.709488,26632293,26632300,-0.23,-1.25,18.3,"December 28, 22",-0.0125
2022-12-27,18.25,18.52,18.22,18.46,17.942762,30382455,30382500,0.21,1.15,18.43,"December 27, 22",0.0115
2022-12-23,18.17,18.32,18.1001,18.31,17.796965,25164051,25164100,0.14,0.7705,18.25,"December 23, 22",0.007705
2022-12-22,18.01,18.28,17.92,18.27,17.758087,32456593,32615000,0.26,1.44,18.1,"December 22, 22",0.0144
2022-12-21,18.18,18.27,18.07,18.15,17.641449,42316196,42316200,-0.03,-0.16502,18.14,"December 21, 22",-0.0016502
2022-12-20,17.85,18.09,17.83,18.07,17.56369,40922709,40922700,0.22,1.23,17.98,"December 20, 22",0.0123
2022-12-19,18.265,18.32,17.635,17.86,17.359575,62216947,62216900,-0.405,-2.22,17.95,"December 19, 22",-0.0222
2022-12-16,18.355,18.51,18.215,18.49,17.971922,76412515,76412500,0.135,0.73549,18.42,"December 16, 22",0.0073549
2022-12-15,18.635,18.81,18.36,18.47,17.952482,47282183,47277400,-0.165,-0.88543,18.51,"December 15, 22",-0.0088543
2022-12-14,19.05,19.1,18.76,18.9,18.370434,44027741,44027700,-0.15,-0.7874,18.96,"December 14, 22",-0.007874
2022-12-13,19.41,19.5,19.07,19.12,18.58427,54142090,54142100,-0.29,-1.49,19.19,"December 13, 22",-0.0149
2022-12-12,19.14,19.31,19.07,19.3,18.759226,31333483,31333500,0.16,0.83595,19.21,"December 12, 22",0.0083595
2022-12-09,19.07,19.35,19.03,19.09,18.555111,29815562,29815600,0.02,0.10488,19.19,"December 09, 22",0.0010488
2022-12-08,19.43,19.52,19.02,19.12,18.58427,45761101,45761100,-0.31,-1.6,19.17,"December 08, 22",-0.016
2022-12-07,19.05,19.42,19.0,19.3,18.759226,45381037,45381000,0.25,1.31,19.29,"December 07, 22",0.0131
2022-12-06,18.89,19.18,18.81,19.17,18.63287,45832482,45858100,0.28,1.48,19.06,"December 06, 22",0.0148
2022-12-05,18.92,18.98,18.69,18.75,18.224636,28698037,28698000,-0.17,-0.89852,18.79,"December 05, 22",-0.0089852
2022-12-02,19.05,19.06,18.855,19.02,18.487072,33479648,33479600,-0.03,-0.15748,18.98,"December 02, 22",-0.0015748
2022-12-01,19.29,19.4,19.085,19.19,18.652309,31613469,31615500,-0.1,-0.5184,19.19,"December 01, 22",-0.005184
2022-11-30,18.94,19.28,18.8,19.28,18.739788,59293423,59293400,0.34,1.8,19.15,"November 30, 22",0.018
2022-11-29,18.79,19.03,18.75,19.01,18.477352,24087955,24088000,0.22,1.17,18.92,"November 29, 22",0.0117
2022-11-28,19.095,19.15,18.77,18.82,18.292675,27787847,27780200,-0.275,-1.44,18.87,"November 28, 22",-0.0144
2022-11-25,19.17,19.285,19.065,19.12,18.58427,13782713,13782700,-0.05,-0.26082,19.16,"November 25, 22",-0.0026082
2022-11-23,18.93,19.115,18.89,19.09,18.555111,21486024,21486000,0.16,0.84522,19.01,"November 23, 22",0.0084522
2022-11-22,18.9,19.04,18.89,19.0,18.467634,33770953,33771000,0.1,0.5291,18.98,"November 22, 22",0.005291
2022-11-21,18.975,19.075,18.76,18.84,18.312117,31911448,31911400,-0.135,-0.71146,18.89,"November 21, 22",-0.0071146
2022-11-18,19.04,19.12,18.92,18.97,18.438471,34211309,34211300,-0.07,-0.36765,19.0,"November 18, 22",-0.0036765
2022-11-17,18.71,18.99,18.52,18.95,18.419035,36007803,36007800,0.24,1.28,18.81,"November 17, 22",0.0128
2022-11-16,19.0,19.05,18.78,18.93,18.399593,32155441,32155400,-0.07,-0.36842,18.91,"November 16, 22",-0.0036842
2022-11-15,19.12,19.39,18.81,19.02,18.487072,49336633,49339300,-0.1,-0.52301,19.1,"November 15, 22",-0.0052301
2022-11-14,19.075,19.36,19.04,19.06,18.525951,37316467,37316500,-0.015,-0.07863696,19.16,"November 14, 22",-0.0007863696
2022-11-11,18.82,19.13,18.78,19.05,18.51623,52519514,52519500,0.23,1.22,18.99,"November 11, 22",0.0122
2022-11-10,18.83,18.97,18.58,18.84,18.312117,46482727,46482700,0.01,0.05310674,18.79,"November 10, 22",0.0005310674
2022-11-09,18.48,18.72,18.38,18.38,17.865004,41837579,41838400,-0.1,-0.54113,18.51,"November 09, 22",-0.0054113
2022-11-08,18.38,18.73,18.295,18.57,18.049681,43210379,43210400,0.19,1.03,18.55,"November 08, 22",0.0103
2022-11-07,18.34,18.4,18.15,18.36,17.845566,39985216,39985200,0.02,0.10905,18.27,"November 07, 22",0.0010905
2022-11-04,18.34,18.41,18.09,18.32,17.806684,39458723,39458700,-0.02,-0.10905,18.24,"November 04, 22",-0.0010905
2022-11-03,18.17,18.33,18.07,18.17,17.660889,41249439,41249400,0.0,0.0,18.2,"November 03, 22",0.0
2022-11-02,18.27,18.8,18.265,18.43,17.913603,49201073,49201100,0.16,0.87575,18.54,"November 02, 22",0.0087575
2022-11-01,18.57,18.58,18.2438,18.35,17.835846,47999723,48025700,-0.22,-1.18,18.37,"November 01, 22",-0.0118
2022-10-31,18.35,18.39,18.13,18.23,17.719208,47573949,47573900,-0.12,-0.65395,18.25,"October 31, 22",-0.0065395
2022-10-28,18.28,18.59,18.23,18.48,17.962202,55833922,55833900,0.2,1.09,18.45,"October 28, 22",0.0109
2022-10-27,18.35,18.35,17.99,18.03,17.524813,53975498,53975500,-0.32,-1.74,18.11,"October 27, 22",-0.0174
2022-10-26,17.85,18.2351,17.76,18.14,17.631729,65201017,65157700,0.29,1.62,18.08,"October 26, 22",0.0162
2022-10-25,17.53,17.89,17.5,17.69,17.194338,58235104,58235100,0.16,0.91272,17.77,"October 25, 22",0.0091272
2022-10-24,17.43,17.85,17.39,17.51,17.019381,69196482,69196500,0.08,0.45898,17.54,"October 24, 22",0.0045898
2022-10-21,16.83,17.4,16.77,17.1,16.620869,81050681,81050700,0.27,1.6,17.02,"October 21, 22",0.016
2022-10-20,16.21,17.16,16.12,16.74,16.270956,117495741,117495700,0.53,3.27,16.75,"October 20, 22",0.0327
2022-10-19,15.46,15.76,15.4,15.54,15.10458,47349092,47349100,0.08,0.51746,15.54,"October 19, 22",0.0051746
2022-10-18,15.56,15.7,15.45,15.6,15.162898,49385461,49420200,0.04,0.25707,15.55,"October 18, 22",0.0025707
2022-10-17,15.14,15.4,15.08,15.31,14.881024,44240705,44240700,0.17,1.12,15.29,"October 17, 22",0.0112
2022-10-14,15.19,15.27,14.97,14.99,14.56999,47240338,47185600,-0.2,-1.32,15.05,"October 14, 22",-0.0132
2022-10-13,14.49,15.15,14.46,15.12,14.696347,60354521,60354500,0.63,4.35,14.9,"October 13, 22",0.0435
2022-10-12,14.76,14.935,14.62,14.63,14.220078,46719587,46719600,-0.13,-0.88076,14.74,"October 12, 22",-0.0088076
2022-10-11,14.85,14.91,14.68,14.81,14.395034,49661493,49661500,-0.04,-0.26936,14.83,"October 11, 22",-0.0026936
2022-10-10,15.0,15.13,14.76,14.9,14.482512,43852638,43852600,-0.1,-0.66667,14.93,"October 10, 22",-0.0066667
2022-10-07,15.23,15.2415,14.9,14.94,14.521391,53446897,53446900,-0.29,-1.9,15.02,"October 07, 22",-0.019
2022-10-06,15.64,15.81,15.31,15.32,14.890744,52923865,52923900,-0.32,-2.05,15.49,"October 06, 22",-0.0205
2022-10-05,15.97,16.14,15.76,15.93,15.213442,38250090,38250100,-0.04,-0.25047,15.91,"October 05, 22",-0.0025047
2022-10-04,15.99,16.15,15.89,16.09,15.366245,46876220,46876200,0.1,0.62539,16.04,"October 04, 22",0.0062539
2022-10-03,15.73,16.175,15.66,15.9,15.184791,59540471,59540500,0.17,1.08,15.92,"October 03, 22",0.0108
2022-09-30,15.53,15.68,15.34,15.34,14.649981,63932744,63932700,-0.19,-1.22,15.44,"September 30, 22",-0.0122
2022-09-29,15.67,15.75,15.41,15.53,14.831433,51308347,51308300,-0.14,-0.89343,15.53,"September 29, 22",-0.0089343
2022-09-28,15.78,15.92,15.71,15.83,15.117939,42670752,42670800,0.05,0.31686,15.83,"September 28, 22",0.0031686
2022-09-27,15.81,16.03,15.67,15.73,15.022437,41183424,41183400,-0.08,-0.50601,15.79,"September 27, 22",-0.0050601
2022-09-26,15.91,15.98,15.58,15.67,14.965137,46841195,46841200,-0.24,-1.51,15.75,"September 26, 22",-0.0151
2022-09-23,16.1,16.13,15.85,16.01,15.289844,46225624,46225600,-0.09,-0.55901,15.96,"September 23, 22",-0.0055901
2022-09-22,16.26,16.38,16.14,16.24,15.509497,37800352,37800400,-0.02,-0.123,16.27,"September 22, 22",-0.00123
2022-09-21,16.58,16.66,16.25,16.25,15.519048,38815583,38815600,-0.33,-1.99,16.47,"September 21, 22",-0.0199
2022-09-20,16.65,16.65,16.46,16.56,15.815102,36180487,36187500,-0.09,-0.54054,16.55,"September 20, 22",-0.0054054
2022-09-19,16.63,16.86,16.58,16.76,16.006107,33805281,33805300,0.13,0.78172,16.71,"September 19, 22",0.0078172
2022-09-16,16.67,16.81,16.55,16.74,15.987006,69825935,69825900,0.07,0.41992,16.69,"September 16, 22",0.0041992
2022-09-15,16.83,16.92,16.63,16.76,16.006107,38519755,38637300,-0.07,-0.41592,16.75,"September 15, 22",-0.0041592
2022-09-14,16.89,16.9198,16.7,16.77,16.015657,41000337,41000300,-0.12,-0.71048,16.79,"September 14, 22",-0.0071048
2022-09-13,17.18,17.32,16.78,16.83,16.072958,42274585,42274600,-0.35,-2.04,17.0,"September 13, 22",-0.0204
2022-09-12,17.07,17.4,17.03,17.38,16.598219,43425012,43425000,0.31,1.82,17.28,"September 12, 22",0.0182
2022-09-09,16.92,17.07,16.86,17.03,16.263962,55150785,55081300,0.11,0.65012,16.99,"September 09, 22",0.0065012
2022-09-08,16.86,16.93,16.696,16.77,16.015657,49770857,49770900,-0.09,-0.53381,16.81,"September 08, 22",-0.0053381
2022-09-07,16.76,17.135,16.68,16.87,16.11116,55566578,55566600,0.11,0.65632,16.91,"September 07, 22",0.0065632
2022-09-06,17.2,17.23,16.78,16.79,16.03476,57232550,57232600,-0.41,-2.38,16.91,"September 06, 22",-0.0238
2022-09-02,17.57,17.615,17.16,17.19,16.416765,36489608,36489600,-0.38,-2.16,17.36,"September 02, 22",-0.0216
2022-09-01,17.49,17.67,17.41,17.5,16.71282,30623244,30623200,0.01,0.05717553,17.5,"September 01, 22",0.0005717553
2022-08-31,17.82,17.86,17.505,17.54,16.751022,46669909,46669900,-0.28,-1.57,17.62,"August 31, 22",-0.0157
2022-08-30,17.81,17.9,17.75,17.82,17.018427,32481912,32481900,0.01,0.05614823,17.82,"August 30, 22",0.0005614823
2022-08-29,17.81,17.92,17.71,17.78,16.980225,25465384,25465400,-0.03,-0.16844,17.83,"August 29, 22",-0.0016844
2022-08-26,18.02,18.09,17.85,17.89,17.085276,30590663,30590700,-0.13,-0.72142,17.92,"August 26, 22",-0.0072142
2022-08-25,18.05,18.1,17.94,18.09,17.276281,25198614,25198600,0.04,0.22161,18.02,"August 25, 22",0.0022161
2022-08-24,18.07,18.07,17.865,18.01,17.199881,30647745,30647700,-0.06,-0.33204,17.96,"August 24, 22",-0.0033204
2022-08-23,18.11,18.19,18.02,18.06,17.247629,27298198,27298200,-0.05,-0.27609,18.09,"August 23, 22",-0.0027609
2022-08-22,18.31,18.33,18.07,18.13,17.31448,32057068,32057100,-0.18,-0.98307,18.17,"August 22, 22",-0.0098307
2022-08-19,18.38,18.51,18.32,18.43,17.600986,27161443,27161400,0.05,0.27203,18.4,"August 19, 22",0.0027203
2022-08-18,18.26,18.53,18.18,18.43,17.600986,33817371,33817400,0.17,0.931,18.42,"August 18, 22",0.00931
2022-08-17,18.42,18.61,18.32,18.42,17.591436,23772331,23772300,0.0,0.0,18.45,"August 17, 22",0.0
2022-08-16,18.37,18.7,18.37,18.57,17.73469,34240980,34241000,0.2,1.09,18.58,"August 16, 22",0.0109
2022-08-15,18.19,18.46,18.19,18.39,17.562786,28845380,28845400,0.2,1.1,18.38,"August 15, 22",0.011
2022-08-12,18.1,18.27,18.09,18.27,17.448185,25822303,25822300,0.17,0.93923,18.19,"August 12, 22",0.0093923
2022-08-11,18.06,18.17,18.01,18.04,17.228531,40798898,40798900,-0.02,-0.11074,18.09,"August 11, 22",-0.0011074
2022-08-10,18.22,18.25,17.99,18.01,17.199881,50229507,50229500,-0.21,-1.15,18.06,"August 10, 22",-0.0115
2022-08-09,18.04,18.22,18.04,18.1,17.285831,33257462,33257500,0.06,0.33259,18.12,"August 09, 22",0.0033259
2022-08-08,18.36,18.405,18.0,18.0,17.190331,44081700,44042500,-0.36,-1.96,18.12,"August 08, 22",-0.0196
2022-08-05,18.27,18.36,18.09,18.35,17.524586,32726396,32726400,0.08,0.43788,18.23,"August 05, 22",0.0043788
2022-08-04,18.31,18.38,18.22,18.27,17.448185,28287824,28287800,-0.04,-0.21846,18.3,"August 04, 22",-0.0021846
2022-08-03,18.42,18.505,18.31,18.37,17.543688,35524333,35524300,-0.05,-0.27144,18.39,"August 03, 22",-0.0027144
2022-08-02,18.72,18.74,18.32,18.36,17.534136,43625163,43625200,-0.36,-1.92,18.45,"August 02, 22",-0.0192
2022-08-01,18.85,18.87,18.61,18.73,17.887493,37087767,37087800,-0.12,-0.6366,18.74,"August 01, 22",-0.006366
2022-07-29,18.51,18.85,18.48,18.78,17.935244,40819755,40819800,0.27,1.46,18.73,"July 29, 22",0.0146
2022-07-28,18.3,18.77,18.285,18.58,17.74424,41940101,41940100,0.28,1.53,18.54,"July 28, 22",0.0153
2022-07-27,18.35,18.49,18.23,18.39,17.562786,36607436,36607400,0.04,0.21798,18.35,"July 27, 22",0.0021798
2022-07-26,18.4,18.445,18.18,18.3,17.476835,38885023,38885000,-0.1,-0.54348,18.33,"July 26, 22",-0.0054348
2022-07-25,18.38,18.65,18.33,18.53,17.696489,39493055,39493100,0.15,0.8161,18.52,"July 25, 22",0.008161
2022-07-22,18.66,18.69,18.25,18.4,17.572336,72016305,72016300,-0.26,-1.39,18.42,"July 22, 22",-0.0139
2022-07-21,19.04,19.12,18.24,18.92,18.068947,123409020,123409000,-0.12,-0.63025,18.78,"July 21, 22",-0.0063025
2022-07-20,20.82,20.83,20.4,20.48,19.558773,34207151,34207200,-0.34,-1.63,20.55,"July 20, 22",-0.0163
2022-07-19,20.6,20.86,20.53,20.8,19.86438,21813064,21813100,0.2,0.97087,20.77,"July 19, 22",0.0097087
2022-07-18,20.63,20.69,20.51,20.53,19.606525,22507373,22507400,-0.1,-0.48473,20.56,"July 18, 22",-0.0048473
2022-07-15,20.54,20.59,20.21,20.57,19.644728,23838015,23838000,0.03,0.14606,20.51,"July 15, 22",0.0014606
2022-07-14,20.13,20.35,20.045,20.33,19.415522,26620991,26621000,0.2,0.99354,20.22,"July 14, 22",0.0099354
2022-07-13,20.45,20.6,20.23,20.45,19.530125,25213051,25213100,0.0,0.0,20.44,"July 13, 22",0.0
2022-07-12,20.63,20.86,20.45,20.6,19.673378,26448049,26448000,-0.03,-0.14542,20.68,"July 12, 22",-0.0014542
2022-07-11,20.71,20.8551,20.63,20.66,19.730677,23340969,23326400,-0.05,-0.24143,20.7,"July 11, 22",-0.0024143
2022-07-08,20.93,21.06,20.75,20.8,19.86438,22366311,22366300,-0.13,-0.62112,20.85,"July 08, 22",-0.0062112
2022-07-07,21.17,21.32,21.03,21.15,19.933142,27015412,27015400,-0.02,-0.09447331,21.15,"July 07, 22",-0.0009447331
2022-07-06,21.17,21.23,20.89,21.09,19.876595,27644985,27645000,-0.08,-0.37789,21.08,"July 06, 22",-0.0037789
2022-07-05,21.13,21.185,20.775,21.17,19.951992,36980603,36960500,0.04,0.1893,21.02,"July 05, 22",0.001893
2022-07-01,20.97,21.385,20.87,21.31,20.083937,32762530,32762500,0.34,1.62,21.18,"July 01, 22",0.0162
2022-06-30,20.79,21.15,20.75,20.96,19.75407,37655687,37655700,0.17,0.8177,20.95,"June 30, 22",0.008177
