date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,32.055,32.985,31.64,32.56,32.560001,5561742,5485142,0.505,1.58,32.36,"May 17, 23",0.0158
2023-05-16,32.6,32.74,31.55,31.63,31.629999,6105287,6104200,-0.97,-2.98,31.88,"May 16, 23",-0.0298
2023-05-15,33.24,33.53,32.81,32.94,32.939999,4889183,4889200,-0.3,-0.90253,33.08,"May 15, 23",-0.0090253
2023-05-12,33.43,33.5991,32.48,32.98,32.98,4639722,4639400,-0.45,-1.35,32.9,"May 12, 23",-0.0135
2023-05-11,32.15,33.405,32.12,33.08,33.080002,7426983,7427000,0.93,2.89,32.97,"May 11, 23",0.0289
2023-05-10,33.3,33.53,32.3415,32.8,32.799999,4886067,4886100,-0.5,-1.5,32.77,"May 10, 23",-0.015
2023-05-09,32.55,33.47,32.45,33.16,33.16,5810243,5810200,0.61,1.87,33.02,"May 09, 23",0.0187
2023-05-08,33.91,34.24,33.0,33.08,33.080002,5607099,5607100,-0.83,-2.45,33.38,"May 08, 23",-0.0245
2023-05-05,33.48,33.65,32.89,33.22,33.220001,7297065,7296900,-0.26,-0.77658,33.26,"May 05, 23",-0.0077658
2023-05-04,34.8,35.89,32.0,32.26,32.259998,10315445,10315400,-2.54,-7.3,33.1,"May 04, 23",-0.073
2023-05-03,33.625,34.935,33.4,34.17,34.169998,6656507,6656500,0.545,1.62,34.33,"May 03, 23",0.0162
2023-05-02,36.16,36.31,33.88,34.36,34.360001,6988927,6988900,-1.8,-4.98,34.52,"May 02, 23",-0.0498
2023-05-01,36.15,37.08,35.97,36.9,36.900002,3412454,3412400,0.75,2.07,36.76,"May 01, 23",0.0207
2023-04-28,35.56,37.0515,35.35,36.85,36.849998,3745852,3844700,1.29,3.63,36.61,"April 28, 23",0.0363
2023-04-27,35.42,35.975,35.06,35.66,35.66,4060758,4060700,0.24,0.67758,35.52,"April 27, 23",0.0067758
2023-04-26,36.1,36.5,34.97,35.37,35.369999,4914266,4914300,-0.73,-2.02,35.66,"April 26, 23",-0.0202
