date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,24.92,25.025,24.515,24.64,24.639999,6550099,6417382,-0.28,-1.12,24.74,"May 17, 23",-0.0112
2023-05-16,25.54,25.725,24.77,24.78,24.780001,8518028,8517200,-0.76,-2.98,25.11,"May 16, 23",-0.0298
2023-05-15,25.1,25.79,25.01,25.56,25.559999,9044511,9044500,0.46,1.83,25.52,"May 15, 23",0.0183
2023-05-12,24.59,24.81,24.3,24.8,24.799999,5050251,5050000,0.21,0.85401,24.6,"May 12, 23",0.0085401
2023-05-11,24.28,24.555,24.16,24.36,24.360001,4728947,4728900,0.08,0.32949,24.33,"May 11, 23",0.0032949
2023-05-10,24.92,25.0,24.335,24.46,24.459999,4995679,4995700,-0.46,-1.85,24.54,"May 10, 23",-0.0185
2023-05-09,24.63,25.16,24.6,24.84,24.84,4628717,4628700,0.21,0.85262,24.98,"May 09, 23",0.0085262
2023-05-08,25.49,25.68,24.805,24.86,24.860001,6530810,6530800,-0.63,-2.47,25.02,"May 08, 23",-0.0247
2023-05-05,25.6,26.32,24.945,25.09,25.09,12854526,12853000,-0.51,-1.99,25.35,"May 05, 23",-0.0199
2023-05-04,24.23,24.54,24.03,24.14,24.139999,9054850,9054900,-0.09,-0.37144,24.22,"May 04, 23",-0.0037144
2023-05-03,23.92,24.44,23.82,24.1,24.1,6105107,6105100,0.18,0.75251,24.14,"May 03, 23",0.0075251
2023-05-02,25.04,25.13,23.98,24.31,24.309999,8892242,8892200,-0.73,-2.92,24.35,"May 02, 23",-0.0292
2023-05-01,25.23,25.625,25.18,25.44,25.440001,5181562,5181600,0.21,0.83234,25.42,"May 01, 23",0.0083234
2023-04-28,25.12,25.875,25.06,25.6,25.6,7271873,7268600,0.48,1.91,25.62,"April 28, 23",0.0191
2023-04-27,24.75,25.32,24.72,25.16,25.16,5944046,5944000,0.41,1.66,25.08,"April 27, 23",0.0166
2023-04-26,24.93,25.15,24.59,24.69,24.690001,6028548,6028500,-0.24,-0.9627,24.8,"April 26, 23",-0.009627
2023-04-25,25.49,25.67,25.06,25.15,25.15,6309654,6309700,-0.34,-1.33,25.22,"April 25, 23",-0.0133
2023-04-24,25.44,25.78,25.285,25.7,25.700001,5065241,5065200,0.26,1.02,25.58,"April 24, 23",0.0102
2023-04-21,25.65,25.71,25.36,25.46,25.459999,4034704,4033500,-0.19,-0.74074,25.47,"April 21, 23",-0.0074074
2023-04-20,25.56,25.785,25.45,25.56,25.559999,5718970,5719000,0.0,0.0,25.6,"April 20, 23",0.0
2023-04-19,25.29,25.71,25.17,25.7,25.700001,6997973,6998000,0.41,1.62,25.52,"April 19, 23",0.0162
2023-04-18,25.59,25.94,25.58,25.76,25.76,5573169,5573200,0.17,0.66432,25.75,"April 18, 23",0.0066432
2023-04-17,25.93,26.0,25.56,25.68,25.68,5864501,5864400,-0.25,-0.96413,25.72,"April 17, 23",-0.0096413
2023-04-14,25.74,25.9,25.485,25.76,25.76,5307313,5306300,0.02,0.07770008,25.68,"April 14, 23",0.0007770008
2023-04-13,25.65,25.87,25.475,25.74,25.74,6521219,6521200,0.09,0.35088,25.71,"April 13, 23",0.0035088
2023-04-12,26.05,26.36,25.75,25.76,25.76,6081354,6081400,-0.29,-1.11,25.93,"April 12, 23",-0.0111
2023-04-11,25.8,26.125,25.655,25.96,25.959999,7235254,7235300,0.16,0.62016,25.94,"April 11, 23",0.0062016
2023-04-10,25.2,25.9376,25.185,25.65,25.65,5659133,5659100,0.45,1.79,25.67,"April 10, 23",0.0179
2023-04-06,25.21,25.33,24.895,24.94,24.940001,5166625,5166600,-0.27,-1.07,25.08,"April 06, 23",-0.0107
2023-04-05,25.2,25.42,24.82,25.41,25.41,5770404,5770400,0.21,0.83333,25.2,"April 05, 23",0.0083333
2023-04-04,25.19,25.19,24.725,25.09,25.09,7615506,7615500,-0.1,-0.39698,25.0,"April 04, 23",-0.0039698
2023-04-03,25.4,25.6,24.84,25.12,25.120001,12704871,12704900,-0.28,-1.1,25.11,"April 03, 23",-0.011
2023-03-31,24.31,24.69,24.19,24.54,24.540001,7829915,7829600,0.23,0.94611,24.51,"March 31, 23",0.0094611
2023-03-30,24.27,24.31,23.69,24.04,24.040001,7305722,7305600,-0.23,-0.94767,23.94,"March 30, 23",-0.0094767
2023-03-29,24.27,24.31,23.9,24.11,24.110001,6091501,6091500,-0.16,-0.65925,24.12,"March 29, 23",-0.0065925
2023-03-28,23.71,24.19,23.63,23.98,23.98,6008127,6008000,0.27,1.14,24.0,"March 28, 23",0.0114
2023-03-27,23.75,24.05,23.415,23.76,23.76,9406258,9406300,0.01,0.04210526,23.77,"March 27, 23",0.0004210526
2023-03-24,22.81,23.72,22.655,23.68,23.68,11470382,11468200,0.87,3.81,23.3,"March 24, 23",0.0381
2023-03-23,23.5,23.8,22.835,23.1,23.1,11262214,11262200,-0.4,-1.7,23.24,"March 23, 23",-0.017
2023-03-22,24.11,24.2,23.49,23.5,23.5,8005140,8005100,-0.61,-2.53,23.8,"March 22, 23",-0.0253
2023-03-21,23.93,24.275,23.735,24.13,24.129999,7154041,7154000,0.2,0.83577,24.06,"March 21, 23",0.0083577
2023-03-20,23.14,23.82,23.06,23.59,23.59,7931409,7931400,0.45,1.94,23.58,"March 20, 23",0.0194
2023-03-17,23.49,23.87,22.88,23.19,23.190001,36604203,36604200,-0.3,-1.28,23.21,"March 17, 23",-0.0128
2023-03-16,22.36,23.52,22.26,23.51,23.51,10882037,10879600,1.15,5.14,23.23,"March 16, 23",0.0514
2023-03-15,23.45,23.645,22.25,22.78,22.780001,17339318,17339300,-0.67,-2.86,22.81,"March 15, 23",-0.0286
2023-03-14,24.51,25.41,24.415,24.89,24.32,11055612,11055600,0.38,1.55,24.95,"March 14, 23",0.0155
2023-03-13,23.96,25.035,23.66,24.47,23.909618,14038053,14038100,0.51,2.13,24.55,"March 13, 23",0.0213
2023-03-10,25.09,25.29,24.36,24.59,24.026871,11117046,11117000,-0.5,-1.99,24.77,"March 10, 23",-0.0199
2023-03-09,25.39,25.915,25.04,25.11,24.534962,12826307,12826300,-0.28,-1.1,25.29,"March 09, 23",-0.011
2023-03-08,25.72,26.09,24.93,25.15,24.574045,11969708,11969700,-0.57,-2.22,25.34,"March 08, 23",-0.0222
2023-03-07,25.68,26.04,25.45,25.87,25.277557,8907905,8907900,0.19,0.73988,25.83,"March 07, 23",0.0073988
2023-03-06,25.87,26.0,25.46,25.66,25.072367,9020202,9020200,-0.21,-0.81175,25.69,"March 06, 23",-0.0081175
2023-03-03,25.58,26.51,25.41,26.34,25.736794,9134938,9134900,0.76,2.97,26.33,"March 03, 23",0.0297
2023-03-02,25.23,25.95,25.085,25.81,25.218931,7973788,7973500,0.58,2.3,25.63,"March 02, 23",0.023
2023-03-01,24.91,25.415,24.61,25.24,24.661985,9049721,9049700,0.33,1.32,25.13,"March 01, 23",0.0132
2023-02-28,25.55,25.55,24.97,24.97,24.398167,9116471,9116500,-0.58,-2.27,25.13,"February 28, 23",-0.0227
2023-02-27,25.55,25.565,24.88,25.38,24.798779,9762812,9762800,-0.17,-0.66536,25.34,"February 27, 23",-0.0066536
2023-02-24,24.41,25.63,24.35,25.56,24.974655,15083203,15083200,1.15,4.71,25.2,"February 24, 23",0.0471
2023-02-23,24.19,24.99,24.06,24.67,24.105038,15050236,15050200,0.48,1.98,24.69,"February 23, 23",0.0198
2023-02-22,23.18,23.4,22.86,23.26,22.727329,10539063,10539100,0.08,0.34513,23.16,"February 22, 23",0.0034513
