date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,154.785,156.42,153.96,155.71,155.710007,6162620,6152775,0.925,0.5976,155.31,"May 17, 23",0.005976
2023-05-16,156.48,157.02,153.3289,153.51,153.509995,7009079,7007700,-2.97,-1.9,154.16,"May 16, 23",-0.019
2023-05-15,157.23,158.1629,156.23,157.2,157.199997,5096748,5096700,-0.03,-0.01908033,157.2,"May 15, 23",-0.0001908033
2023-05-12,157.0,157.93,155.56,156.62,156.619995,4898904,4897500,-0.38,-0.24204,156.69,"May 12, 23",-0.0024204
2023-05-11,155.38,156.32,153.89,156.22,156.220001,6666132,6666100,0.84,0.54061,155.65,"May 11, 23",0.0054061
2023-05-10,160.44,160.44,155.881,157.09,157.089996,6161227,6161200,-3.35,-2.09,157.17,"May 10, 23",-0.0209
2023-05-09,158.11,160.415,157.9125,159.12,159.119995,5019809,5019800,1.01,0.6388,159.27,"May 09, 23",0.006388
2023-05-08,161.57,162.3,159.52,159.58,159.580002,5028202,5028200,-1.99,-1.23,160.5,"May 08, 23",-0.0123
2023-05-05,159.3,161.12,158.78,160.21,160.210007,5801986,5801500,0.91,0.57125,160.2,"May 05, 23",0.0057125
2023-05-04,157.11,158.1999,155.42,156.22,156.220001,7500368,7500400,-0.89,-0.56648,156.63,"May 04, 23",-0.0056648
2023-05-03,158.15,159.57,156.74,156.83,156.830002,7538057,7538100,-1.32,-0.83465,157.99,"May 03, 23",-0.0083465
2023-05-02,165.32,165.38,158.45,160.04,160.039993,10701666,10701700,-5.28,-3.19,160.24,"May 02, 23",-0.0319
2023-05-01,167.71,168.73,166.36,167.24,167.240005,6099800,6099800,-0.47,-0.28025,167.35,"May 01, 23",-0.0028025
2023-04-28,164.5,168.94,164.05,168.58,168.580002,10036290,10033600,4.08,2.48,167.65,"April 28, 23",0.0248
2023-04-27,166.43,167.3866,165.07,166.95,166.949997,6417225,6417200,0.52,0.31244,166.45,"April 27, 23",0.0031244
2023-04-26,168.21,168.95,165.23,165.98,165.979996,5927431,5927400,-2.23,-1.33,166.86,"April 26, 23",-0.0133
2023-04-25,170.32,170.4,168.43,168.99,168.990005,5807244,5807200,-1.33,-0.78088,169.14,"April 25, 23",-0.0078088
2023-04-24,169.1,172.38,168.58,171.48,171.479996,7177576,7177600,2.38,1.41,171.29,"April 24, 23",0.0141
2023-04-21,169.83,170.59,168.84,169.12,169.119995,7179013,7178600,-0.71,-0.41807,169.31,"April 21, 23",-0.0041807
2023-04-20,168.76,170.06,168.02,169.85,169.850006,5851104,5851100,1.09,0.64589,169.38,"April 20, 23",0.0064589
2023-04-19,169.46,170.74,169.095,170.68,170.679993,5506770,5506800,1.22,0.71993,170.16,"April 19, 23",0.0071993
2023-04-18,170.82,172.39,170.125,170.52,170.520004,8045627,8045600,-0.3,-0.17562,170.9,"April 18, 23",-0.0017562
2023-04-17,172.39,172.54,170.22,170.92,170.919998,7005985,7006000,-1.47,-0.85272,171.06,"April 17, 23",-0.0085272
2023-04-14,172.5,172.88,171.22,172.44,172.440002,4930721,4930100,-0.06,-0.03478261,172.13,"April 14, 23",-0.0003478261
2023-04-13,170.25,172.47,169.82,172.09,172.089996,6856568,6856600,1.84,1.08,171.73,"April 13, 23",0.0108
2023-04-12,170.45,171.12,169.47,169.82,169.820007,6157875,6157900,-0.63,-0.36961,170.1,"April 12, 23",-0.0036961
2023-04-11,169.065,170.34,168.07,169.22,169.220001,5469592,5469600,0.155,0.09168071,169.55,"April 11, 23",0.0009168071
2023-04-10,168.49,169.675,167.31,168.29,168.289993,5923503,5923500,-0.2,-0.1187,168.3,"April 10, 23",-0.001187
2023-04-06,169.345,169.41,167.13,167.65,167.649994,5803168,5803200,-1.695,-1.0,167.99,"April 06, 23",-0.01
2023-04-05,169.26,170.44,167.74,169.88,169.880005,6478114,6478100,0.62,0.3663,169.28,"April 05, 23",0.003663
2023-04-04,171.14,171.14,167.72,169.04,169.039993,7521448,7521400,-2.1,-1.23,169.3,"April 04, 23",-0.0123
2023-04-03,169.8,171.1,168.92,169.95,169.949997,12868174,12868200,0.15,0.08833922,170.03,"April 03, 23",0.0008833922
2023-03-31,162.7,163.72,162.15,163.16,163.160004,7041436,7039900,0.46,0.28273,163.03,"March 31, 23",0.0028273
2023-03-30,162.25,163.01,161.58,162.39,162.389999,6322353,6322400,0.14,0.08628659,162.27,"March 30, 23",0.0008628659
2023-03-29,160.62,161.32,159.3348,160.86,160.860001,7569727,7569700,0.24,0.14942,160.43,"March 29, 23",0.0014942
2023-03-28,157.28,160.19,156.68,159.49,159.490005,5605382,5605400,2.21,1.41,159.23,"March 28, 23",0.0141
2023-03-27,157.4,158.48,155.69,157.65,157.649994,7006768,7006800,0.25,0.15883,157.48,"March 27, 23",0.0015883
2023-03-24,152.1,156.65,151.83,156.06,156.059998,6601923,6600100,3.96,2.6,154.92,"March 24, 23",0.026
2023-03-23,157.02,158.755,153.14,154.52,154.520004,7859437,7859400,-2.5,-1.59,155.59,"March 23, 23",-0.0159
2023-03-22,159.87,160.06,155.93,156.07,156.070007,6314994,6315000,-3.8,-2.38,157.86,"March 22, 23",-0.0238
2023-03-21,157.16,159.57,156.47,159.31,159.309998,9653541,9753500,2.15,1.37,158.48,"March 21, 23",0.0137
2023-03-20,151.74,155.78,151.29,154.58,154.580002,8461413,8469200,2.84,1.87,154.33,"March 20, 23",0.0187
2023-03-17,153.62,155.38,150.6,152.34,152.339996,33161774,33154500,-1.28,-0.83322,152.5,"March 17, 23",-0.0083322
2023-03-16,150.16,155.465,149.91,154.29,154.289993,12852173,12849600,4.13,2.75,153.2,"March 16, 23",0.0275
2023-03-15,155.59,157.95,152.01,153.8,153.800003,14063141,14063100,-1.79,-1.15,154.21,"March 15, 23",-0.0115
2023-03-14,158.26,164.02,157.88,160.76,160.759995,10035193,10035200,2.5,1.58,161.1,"March 14, 23",0.0158
2023-03-13,156.44,160.95,153.8,158.71,158.710007,10106133,10106100,2.27,1.45,158.68,"March 13, 23",0.0145
2023-03-10,160.94,164.67,158.67,159.67,159.669998,7385803,7378900,-1.27,-0.78911,160.75,"March 10, 23",-0.0078911
2023-03-09,163.79,165.49,160.19,160.51,160.509995,6214745,6214700,-3.28,-2.0,162.33,"March 09, 23",-0.02
2023-03-08,163.23,165.29,161.38,162.99,162.990005,5435819,5435800,-0.24,-0.14703,162.94,"March 08, 23",-0.0014703
2023-03-07,165.7,166.6,163.58,164.03,164.029999,7392967,7393000,-1.67,-1.01,164.75,"March 07, 23",-0.0101
2023-03-06,164.34,166.8,163.81,166.17,166.169998,7703600,7703600,1.83,1.11,165.73,"March 06, 23",0.0111
2023-03-03,160.87,165.58,160.42,164.96,164.960007,6007546,6005500,4.09,2.54,164.03,"March 03, 23",0.0254
2023-03-02,161.98,163.49,161.5901,162.56,162.559998,5582097,5582000,0.58,0.35807,162.56,"March 02, 23",0.0035807
2023-03-01,160.92,163.59,160.59,162.05,162.050003,7470391,7470400,1.13,0.70221,162.13,"March 01, 23",0.0070221
2023-02-28,164.32,164.32,160.28,160.77,160.770004,10854226,10854200,-3.55,-2.16,161.35,"February 28, 23",-0.0216
2023-02-27,163.01,163.37,161.92,162.82,162.820007,6386760,6386800,-0.19,-0.11656,162.75,"February 27, 23",-0.0011656
2023-02-24,160.77,162.6,159.15,162.41,162.410004,5330180,5330200,1.64,1.02,161.42,"February 24, 23",0.0102
2023-02-23,162.25,162.84,160.56,161.93,161.929993,6436773,6445500,-0.32,-0.19723,161.94,"February 23, 23",-0.0019723
2023-02-22,160.28,161.66,158.91,160.35,160.350006,6205935,6205900,0.07,0.04367357,160.37,"February 22, 23",0.0004367357
2023-02-21,162.18,163.7497,160.7,161.0,161.0,7253738,7259700,-1.18,-0.72759,161.7,"February 21, 23",-0.0072759
2023-02-17,164.73,164.84,161.85,162.85,162.850006,9612107,9612100,-1.88,-1.14,163.0,"February 17, 23",-0.0114
2023-02-16,168.19,168.66,166.4,166.57,166.570007,6727542,6727500,-1.62,-0.9632,167.55,"February 16, 23",-0.009632
2023-02-15,169.4,169.5238,167.5,169.01,169.009995,8658908,8885700,-0.39,-0.23022,168.69,"February 15, 23",-0.0023022
2023-02-14,170.48,173.51,169.98,172.32,170.810013,8077335,8077300,1.84,1.08,172.3,"February 14, 23",0.0108
2023-02-13,171.32,171.9,169.77,171.01,169.511475,9442889,9442900,-0.31,-0.18095,171.01,"February 13, 23",-0.0018095
2023-02-10,170.8,172.73,170.78,171.97,170.463074,11602394,11602400,1.17,0.68501,171.94,"February 10, 23",0.0068501
2023-02-09,170.23,170.66,168.0,168.44,166.964005,10123359,10123400,-1.79,-1.05,168.87,"February 09, 23",-0.0105
2023-02-08,172.48,174.0686,169.465,170.0,168.51033,9784725,9784700,-2.48,-1.44,170.98,"February 08, 23",-0.0144
2023-02-07,170.065,174.39,169.61,174.09,172.564484,10256500,10256500,4.025,2.37,172.49,"February 07, 23",0.0237
2023-02-06,169.56,170.12,167.37,169.64,168.153488,7659492,7659500,0.08,0.04718094,169.09,"February 06, 23",0.0004718094
2023-02-03,169.86,171.5477,168.49,169.45,167.965149,8389196,8404900,-0.41,-0.24138,169.87,"February 03, 23",-0.0024138
2023-02-02,171.13,171.43,166.82,169.01,167.528992,10463350,10463400,-2.12,-1.24,169.03,"February 02, 23",-0.0124
2023-02-01,173.31,173.66,169.54,171.36,169.858414,11526400,11526400,-1.95,-1.13,171.42,"February 01, 23",-0.0113
2023-01-31,172.75,174.63,171.42,174.02,172.495102,14481276,14481300,1.27,0.73517,173.41,"January 31, 23",0.0073517
2023-01-30,178.0,178.34,173.67,174.2,172.673523,11476042,11476000,-3.8,-2.13,175.69,"January 30, 23",-0.0213
2023-01-27,184.23,184.23,177.915,179.45,177.877518,19654686,19654700,-4.78,-2.59,180.58,"January 27, 23",-0.0259
2023-01-26,184.99,187.81,183.48,187.79,186.144424,14307824,14307800,2.8,1.51,186.24,"January 26, 23",0.0151
2023-01-25,179.29,180.03,176.35,179.08,177.510757,6722412,6727500,-0.21,-0.11713,178.48,"January 25, 23",-0.0011713
2023-01-24,181.09,182.0,178.7,180.83,179.245422,5988995,5989000,-0.26,-0.14358,180.13,"January 24, 23",-0.0014358
2023-01-23,181.21,182.5455,180.03,180.66,179.07692,8381315,8381300,-0.55,-0.30352,181.12,"January 23, 23",-0.0030352
2023-01-20,178.81,181.36,177.52,180.9,179.314804,9967905,10477900,2.09,1.17,180.21,"January 20, 23",0.0117
2023-01-19,176.61,179.95,176.16,179.0,177.431458,5907163,5907200,2.39,1.35,178.37,"January 19, 23",0.0135
2023-01-18,180.82,182.38,176.94,177.23,175.676971,8899185,8899200,-3.59,-1.99,179.01,"January 18, 23",-0.0199
2023-01-17,178.44,181.32,178.18,180.49,178.908417,10697748,10697700,2.05,1.15,180.17,"January 17, 23",0.0115
2023-01-13,177.09,177.99,175.68,177.56,176.004074,5726331,5726300,0.47,0.2654,177.28,"January 13, 23",0.002654
2023-01-12,175.99,178.37,175.9,177.08,175.52829,6891351,6891400,1.09,0.61935,177.36,"January 12, 23",0.0061935
2023-01-11,177.89,178.14,174.3,175.2,173.664764,6962580,6962600,-2.69,-1.51,175.48,"January 11, 23",-0.0151
2023-01-10,176.4,176.71,173.72,176.04,174.497391,8307049,8307000,-0.36,-0.20408,175.46,"January 10, 23",-0.0020408
2023-01-09,178.26,178.3299,174.3806,175.18,173.644928,8385636,8385600,-3.08,-1.73,175.89,"January 09, 23",-0.0173
2023-01-06,177.02,179.39,175.7,176.56,175.012848,7191222,7191200,-0.46,-0.25986,177.24,"January 06, 23",-0.0025986
2023-01-05,171.5,176.19,171.24,175.24,173.704422,6088214,6088200,3.74,2.18,174.56,"January 05, 23",0.0218
2023-01-04,170.95,174.29,170.85,172.14,170.631577,7684494,7684500,1.19,0.69611,172.38,"January 04, 23",0.0069611
2023-01-03,178.04,179.0,171.51,173.99,172.465363,7565431,7565400,-4.05,-2.27,174.9,"January 03, 23",-0.0227
2022-12-30,178.03,179.95,177.7,179.49,177.917175,5005094,5005100,1.46,0.82009,178.97,"December 30, 22",0.0082009
2022-12-29,176.65,179.2,176.65,178.32,176.757431,4142090,4142100,1.67,0.94537,178.21,"December 29, 22",0.0094537
2022-12-28,178.86,179.2981,175.93,176.98,175.429153,4494350,4494400,-1.88,-1.05,177.27,"December 28, 22",-0.0105
2022-12-27,178.36,180.23,177.4,179.63,178.055954,5167962,5168000,1.27,0.71204,179.29,"December 27, 22",0.0071204
2022-12-23,174.1,177.58,173.69,177.4,175.845474,6079120,6079100,3.3,1.9,176.76,"December 23, 22",0.019
2022-12-22,175.16,175.21,168.3305,172.08,170.572098,5756793,5755000,-3.08,-1.76,171.61,"December 22, 22",-0.0176
2022-12-21,175.19,175.96,173.16,174.7,173.169144,5479426,5479400,-0.49,-0.2797,174.75,"December 21, 22",-0.002797
2022-12-20,169.81,173.29,169.6,172.67,171.156937,6199128,6199100,2.86,1.68,172.26,"December 20, 22",0.0168
2022-12-19,170.11,170.82,168.25,169.88,168.391388,7131563,7131600,-0.23,-0.13521,169.73,"December 19, 22",-0.0013521
2022-12-16,168.53,170.15,167.1,168.72,167.241547,23876042,23876000,0.19,0.11274,168.69,"December 16, 22",0.0011274
2022-12-15,170.6,171.3724,168.055,171.04,169.541214,7273274,7272900,0.44,0.25791,170.43,"December 15, 22",0.0025791
2022-12-14,174.49,174.92,171.265,172.33,170.819916,7045514,7045500,-2.16,-1.24,172.93,"December 14, 22",-0.0124
2022-12-13,173.57,174.455,172.48,173.53,172.009399,7838780,7838800,-0.04,-0.02304546,173.5,"December 13, 22",-0.0002304546
2022-12-12,168.93,170.52,167.71,169.75,168.262512,9364900,9364900,0.82,0.48541,169.59,"December 12, 22",0.0048541
2022-12-09,172.3,173.19,167.93,168.0,166.527847,10754284,10754300,-4.3,-2.5,169.78,"December 09, 22",-0.025
2022-12-08,176.25,176.4,172.03,173.54,172.019302,8076601,8076600,-2.71,-1.54,173.9,"December 08, 22",-0.0154
2022-12-07,171.06,174.5834,170.85,172.52,171.008255,6936345,6936300,1.46,0.8535,172.53,"December 07, 22",0.008535
2022-12-06,175.51,178.06,171.1204,172.01,170.502716,8764989,8765000,-3.5,-1.99,173.39,"December 06, 22",-0.0199
2022-12-05,182.67,182.95,174.63,176.56,175.012848,8162195,8162200,-6.11,-3.34,177.55,"December 05, 22",-0.0334
2022-12-02,181.53,183.63,179.925,181.03,179.44368,6852304,6852300,-0.5,-0.27544,181.33,"December 02, 22",-0.0027544
2022-12-01,184.26,184.55,181.44,182.49,180.890884,5217378,5217400,-1.77,-0.9606,182.61,"December 01, 22",-0.009606
2022-11-30,182.85,183.34,179.62,183.31,181.70369,10936711,10936700,0.46,0.25157,182.5,"November 30, 22",0.0025157
2022-11-29,180.26,181.85,179.65,181.03,179.44368,6985359,6985400,0.77,0.42716,180.74,"November 29, 22",0.0042716
2022-11-28,180.28,181.47,177.96,178.36,176.797073,9367156,9365500,-1.92,-1.07,179.4,"November 28, 22",-0.0107
2022-11-25,184.89,185.3,183.31,183.7,182.090271,2796407,2796400,-1.19,-0.64363,184.08,"November 25, 22",-0.0064363
2022-11-23,183.21,185.15,182.58,184.24,182.625549,5831218,5831200,1.03,0.5622,183.87,"November 23, 22",0.005622
2022-11-22,183.75,186.56,183.08,185.89,184.261093,9017994,9018000,2.14,1.16,185.35,"November 22, 22",0.0116
