date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,46.59,48.2801,46.45,47.71,47.709999,7925068,7707106,1.12,2.4,47.43,"May 17, 23",0.024
2023-05-16,47.36,47.66,46.05,46.13,46.130001,8037375,8030900,-1.23,-2.6,46.52,"May 16, 23",-0.026
2023-05-15,47.93,48.1871,47.43,47.71,47.709999,7186988,7187000,-0.22,-0.459,47.8,"May 15, 23",-0.00459
2023-05-12,47.64,47.79,46.84,47.52,47.52,5950692,5949900,-0.12,-0.25189,47.26,"May 12, 23",-0.0025189
2023-05-11,47.33,47.85,46.89,47.26,47.259998,7922497,7922500,-0.07,-0.1479,47.28,"May 11, 23",-0.001479
2023-05-10,49.17,49.21,47.2,48.11,48.110001,12036129,12036100,-1.06,-2.16,47.99,"May 10, 23",-0.0216
2023-05-09,50.23,51.24,48.8,49.17,49.169998,13774433,13774400,-1.06,-2.11,49.5,"May 09, 23",-0.0211
2023-05-08,51.76,52.03,50.9499,51.0,51.0,8842450,8842500,-0.76,-1.47,51.4,"May 08, 23",-0.0147
2023-05-05,49.9,50.86,49.7,50.36,50.360001,8325285,8310700,0.46,0.92184,50.34,"May 05, 23",0.0092184
2023-05-04,49.13,49.75,48.045,48.24,48.240002,7220125,7220100,-0.89,-1.81,48.51,"May 04, 23",-0.0181
2023-05-03,49.5,50.15,48.865,49.01,49.009998,9470833,9470800,-0.49,-0.9899,49.41,"May 03, 23",-0.009899
2023-05-02,52.14,52.39,49.955,50.71,50.709999,9588113,9588100,-1.43,-2.74,50.62,"May 02, 23",-0.0274
2023-05-01,52.69,53.74,52.53,53.24,53.240002,5921734,5921700,0.55,1.04,53.25,"May 01, 23",0.0104
2023-04-28,52.12,54.025,51.94,53.43,53.43,7645415,7658800,1.31,2.51,53.39,"April 28, 23",0.0251
2023-04-27,52.51,52.68,51.4,52.25,52.25,6360449,6360400,-0.26,-0.49514,52.12,"April 27, 23",-0.0049514
2023-04-26,52.72,53.33,51.535,52.2,52.200001,6955878,6955900,-0.52,-0.98634,52.42,"April 26, 23",-0.0098634
2023-04-25,53.6,53.76,52.65,53.21,53.209999,6242652,6242700,-0.39,-0.72761,53.12,"April 25, 23",-0.0072761
2023-04-24,53.53,54.8414,53.39,54.47,54.470001,5473355,5473400,0.94,1.76,54.35,"April 24, 23",0.0176
2023-04-21,54.17,54.17,53.24,53.63,53.630001,5510398,5509800,-0.54,-0.99686,53.59,"April 21, 23",-0.0099686
2023-04-20,53.79,54.15,53.47,54.02,54.02,6705658,6705700,0.23,0.42759,53.8,"April 20, 23",0.0042759
2023-04-19,54.18,54.96,53.9515,54.85,54.849998,5112343,5112300,0.67,1.24,54.59,"April 19, 23",0.0124
2023-04-18,54.9,55.4587,54.485,55.22,55.220001,5329726,5329700,0.32,0.58288,55.04,"April 18, 23",0.0058288
2023-04-17,55.59,56.19,55.08,55.3,55.299999,6132122,6132100,-0.29,-0.52168,55.52,"April 17, 23",-0.0052168
2023-04-14,55.26,56.06,55.1,55.7,55.700001,5969343,5955600,0.44,0.79624,55.49,"April 14, 23",0.0079624
2023-04-13,54.4,55.49,54.39,55.22,55.220001,6567524,6567500,0.82,1.51,55.2,"April 13, 23",0.0151
2023-04-12,54.53,55.25,54.26,54.54,54.540001,7277163,7277200,0.01,0.01833853,54.7,"April 12, 23",0.0001833853
2023-04-11,53.76,54.8085,53.48,54.3,54.299999,6427267,6427300,0.54,1.0,54.3,"April 11, 23",0.01
2023-04-10,53.1,54.53,53.1,53.39,53.389999,6996916,6996900,0.29,0.54614,53.71,"April 10, 23",0.0054614
2023-04-06,53.23,53.53,52.72,52.91,52.91,6239534,6239500,-0.32,-0.60116,53.11,"April 06, 23",-0.0060116
2023-04-05,52.8,53.59,52.1,53.53,53.529999,8297227,8297200,0.73,1.38,52.96,"April 05, 23",0.0138
2023-04-04,53.3,53.52,51.5,52.74,52.740002,10252656,10252700,-0.56,-1.05,52.52,"April 04, 23",-0.0105
2023-04-03,53.41,54.66,52.9,53.31,53.310001,18907016,18907000,-0.1,-0.18723,53.62,"April 03, 23",-0.0018723
2023-03-31,50.33,50.85,50.12,50.61,50.610001,7652511,7638200,0.28,0.55633,50.57,"March 31, 23",0.0055633
2023-03-30,50.55,50.66,49.63,49.85,49.849998,6603029,6603000,-0.7,-1.38,49.88,"March 30, 23",-0.0138
2023-03-29,49.47,49.92,49.25,49.79,49.790001,8150408,8150400,0.32,0.64686,49.64,"March 29, 23",0.0064686
