date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,109.16,111.32,108.82,110.8,110.800003,2585940,2583436,1.64,1.5,110.27,"May 17, 23",0.015
2023-05-16,110.63,111.42,107.47,107.63,107.629997,2467016,2466900,-3.0,-2.71,108.29,"May 16, 23",-0.0271
2023-05-15,111.25,112.04,110.0,111.34,111.339996,1640577,1640600,0.09,0.08089888,111.16,"May 15, 23",0.0008089888
2023-05-12,111.48,111.9,109.37,110.42,110.419998,1874094,1874100,-1.06,-0.95084,110.26,"May 12, 23",-0.0095084
2023-05-11,110.13,111.03,109.31,110.53,110.529999,2320942,2320900,0.4,0.36321,110.25,"May 11, 23",0.0036321
2023-05-10,114.29,114.82,111.67,112.16,112.160004,2578649,2578600,-2.13,-1.86,112.45,"May 10, 23",-0.0186
2023-05-09,113.31,115.2199,113.07,113.77,113.769997,1782178,1782200,0.46,0.40597,114.15,"May 09, 23",0.0040597
2023-05-08,116.45,117.155,114.28,114.36,114.360001,2967674,2967700,-2.09,-1.79,115.29,"May 08, 23",-0.0179
2023-05-05,115.3,118.4,112.8919,114.17,114.169998,6165526,6165500,-1.13,-0.98005,114.86,"May 05, 23",-0.0098005
2023-05-04,111.49,113.23,110.42,111.31,111.309998,4518081,4518100,-0.18,-0.16145,111.64,"May 04, 23",-0.0016145
2023-05-03,109.33,113.26,109.0346,111.02,111.019997,4982014,4982000,1.69,1.55,111.04,"May 03, 23",0.0155
2023-05-02,116.8,117.35,111.145,111.61,111.610001,5640466,5640500,-5.19,-4.44,112.05,"May 02, 23",-0.0444
2023-05-01,117.85,119.63,117.56,118.64,118.639999,1800766,1800800,0.79,0.67034,118.62,"May 01, 23",0.0067034
2023-04-28,115.52,119.74,115.1,119.47,119.470001,2715878,2715900,3.95,3.42,118.93,"April 28, 23",0.0342
2023-04-27,115.65,116.57,114.33,115.84,115.839996,2827895,2827900,0.19,0.16429,115.64,"April 27, 23",0.0016429
2023-04-26,115.88,117.325,114.6,115.66,115.660004,2212852,2212800,-0.22,-0.18985,115.76,"April 26, 23",-0.0018985
2023-04-25,116.99,117.88,115.5601,116.67,116.669998,1988978,1988900,-0.32,-0.27353,116.54,"April 25, 23",-0.0027353
