date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,126.21,128.57,124.885,127.58,127.580002,1428865,1412645,1.37,1.09,126.97,"May 17, 23",0.0109
2023-05-16,128.32,128.755,124.825,124.86,124.860001,1591846,1591600,-3.46,-2.7,125.89,"May 16, 23",-0.027
2023-05-15,128.71,129.55,127.555,128.96,128.960007,1650856,1650700,0.25,0.19424,128.63,"May 15, 23",0.0019424
2023-05-12,128.91,129.4764,127.17,128.0,128.0,1705258,1705100,-0.91,-0.70592,128.0,"May 12, 23",-0.0070592
2023-05-11,127.65,129.43,126.6213,127.66,127.660004,2231160,2231200,0.01,0.00783392,127.69,"May 11, 23",7.83392e-05
2023-05-10,133.42,133.73,130.05,130.49,130.490005,1541201,1541200,-2.93,-2.2,131.0,"May 10, 23",-0.022
2023-05-09,131.06,134.68,130.56,132.91,132.080002,1420224,1420000,1.85,1.41,132.96,"May 09, 23",0.0141
2023-05-08,135.93,136.62,132.23,132.59,131.761993,1589821,1589600,-3.34,-2.46,133.43,"May 08, 23",-0.0246
2023-05-05,130.31,133.73,129.1,132.8,131.970688,2272154,2272100,2.49,1.91,132.36,"May 05, 23",0.0191
2023-05-04,129.22,131.14,125.93,125.99,125.203209,3582303,3582300,-3.23,-2.5,127.77,"May 04, 23",-0.025
2023-05-03,131.63,132.96,128.27,128.78,128.779999,3241756,3241800,-2.85,-2.17,130.46,"May 03, 23",-0.0217
2023-05-02,139.38,139.38,131.56,135.05,135.050003,5074496,5074300,-4.33,-3.11,135.04,"May 02, 23",-0.0311
2023-05-01,139.95,142.3399,139.4105,141.93,141.929993,2382519,2382500,1.98,1.41,141.48,"May 01, 23",0.0141
2023-04-28,137.93,142.94,137.25,142.2,142.199997,1671048,1670900,4.27,3.1,141.66,"April 28, 23",0.031
2023-04-27,136.9,138.49,135.48,138.06,138.059998,1543282,1543300,1.16,0.84733,137.42,"April 27, 23",0.0084733
2023-04-26,138.01,139.4,135.8,136.93,136.929993,1606977,1607000,-1.08,-0.78255,137.32,"April 26, 23",-0.0078255
2023-04-25,141.81,142.21,138.785,139.33,139.330002,1444277,1444300,-2.48,-1.75,139.66,"April 25, 23",-0.0175
2023-04-24,140.63,144.01,140.26,143.49,143.490005,1934284,1934300,2.86,2.03,142.59,"April 24, 23",0.0203
2023-04-21,141.9,142.215,139.91,141.09,141.089996,1342430,1342300,-0.81,-0.57082,140.94,"April 21, 23",-0.0057082
2023-04-20,142.0,142.65,139.7,141.94,141.940002,1555014,1555000,-0.06,-0.04225352,141.22,"April 20, 23",-0.0004225352
