date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,28.34,29.17,27.89,28.94,28.940001,9415772,9164541,0.6,2.12,28.72,"May 17, 23",0.0212
2023-05-16,28.91,29.06,27.84,27.88,27.879999,8584248,8574300,-1.03,-3.56,28.08,"May 16, 23",-0.0356
2023-05-15,28.83,29.475,28.66,29.1,29.1,7121327,7121300,0.27,0.93652,29.08,"May 15, 23",0.0093652
2023-05-12,28.82,29.184,28.42,28.61,28.610001,9589361,9583700,-0.21,-0.72866,28.69,"May 12, 23",-0.0072866
2023-05-11,29.0,29.19,28.075,28.49,28.49,10903560,10903600,-0.51,-1.76,28.47,"May 11, 23",-0.0176
2023-05-10,30.32,30.37,29.21,29.56,29.559999,9392345,9392300,-0.76,-2.51,29.54,"May 10, 23",-0.0251
2023-05-09,29.52,30.44,29.39,30.1,30.1,8923618,8923600,0.58,1.96,30.01,"May 09, 23",0.0196
2023-05-08,30.59,30.8301,29.9478,29.95,29.950001,5887657,5887700,-0.64,-2.09,30.22,"May 08, 23",-0.0209
2023-05-05,30.19,30.3,29.79,29.88,29.879999,8595084,8593600,-0.31,-1.03,30.01,"May 05, 23",-0.0103
2023-05-04,29.07,29.43,28.47,29.02,29.02,10565792,10565800,-0.05,-0.172,28.93,"May 04, 23",-0.00172
2023-05-03,29.3,29.88,29.085,29.15,29.15,9849204,9849200,-0.15,-0.51195,29.46,"May 03, 23",-0.0051195
2023-05-02,31.94,31.99,29.79,29.86,29.860001,12164539,12164500,-2.08,-6.51,30.25,"May 02, 23",-0.0651
2023-05-01,32.22,32.8499,32.08,32.55,32.549999,9324880,9324900,0.33,1.02,32.47,"May 01, 23",0.0102
2023-04-28,31.77,32.93,31.58,32.75,32.75,8328523,8327800,0.98,3.08,32.59,"April 28, 23",0.0308
2023-04-27,31.2,32.07,30.79,32.0,32.0,11327497,11327500,0.8,2.56,31.55,"April 27, 23",0.0256
2023-04-26,32.88,33.305,31.5,31.72,31.719999,10696511,10696500,-1.16,-3.53,32.12,"April 26, 23",-0.0353
2023-04-25,34.07,34.8,32.815,33.25,33.25,15761509,15761500,-0.82,-2.41,33.35,"April 25, 23",-0.0241
2023-04-24,33.55,34.82,33.51,34.47,34.470001,10320409,10320400,0.92,2.74,34.41,"April 24, 23",0.0274
2023-04-21,34.03,34.05,33.04,33.4,33.400002,10336960,10336500,-0.63,-1.85,33.38,"April 21, 23",-0.0185
2023-04-20,33.5,33.94,33.36,33.87,33.869999,7708819,7708800,0.37,1.1,33.69,"April 20, 23",0.011
2023-04-19,33.63,34.22,33.33,34.11,34.110001,8736561,8736600,0.48,1.43,33.79,"April 19, 23",0.0143
2023-04-18,33.33,33.95,33.22,33.88,33.880001,8243649,8243600,0.55,1.65,33.66,"April 18, 23",0.0165
2023-04-17,33.58,33.915,33.24,33.44,33.439999,6513930,6513900,-0.14,-0.41691,33.48,"April 17, 23",-0.0041691
2023-04-14,33.94,34.09,33.28,33.63,33.630001,6845820,6842300,-0.31,-0.91338,33.59,"April 14, 23",-0.0091338
2023-04-13,33.62,34.11,33.47,33.81,33.810001,5582686,5582700,0.19,0.56514,33.84,"April 13, 23",0.0056514
2023-04-12,33.85,34.0299,33.28,33.59,33.59,7510512,7510500,-0.26,-0.76809,33.67,"April 12, 23",-0.0076809
2023-04-11,33.3,34.22,33.09,33.73,33.73,7355697,7355700,0.43,1.29,33.75,"April 11, 23",0.0129
2023-04-10,32.91,33.68,32.75,33.09,33.09,6513975,6514000,0.18,0.54695,33.25,"April 10, 23",0.0054695
2023-04-06,33.1,33.2,32.51,32.71,32.709999,5832660,5832700,-0.39,-1.18,32.79,"April 06, 23",-0.0118
2023-04-05,33.26,33.4,32.45,33.06,33.060001,7919401,7919400,-0.2,-0.60132,32.92,"April 05, 23",-0.0060132
2023-04-04,34.25,34.4,32.875,33.23,33.23,13291493,13291500,-1.02,-2.98,33.47,"April 04, 23",-0.0298
2023-04-03,33.5,34.69,33.5,34.1,34.099998,23958172,23958200,0.6,1.79,34.12,"April 03, 23",0.0179
2023-03-31,31.17,31.7,30.755,31.64,31.639999,10579554,10559200,0.47,1.51,31.41,"March 31, 23",0.0151
2023-03-30,31.89,31.92,30.84,31.06,31.059999,8661410,8661400,-0.83,-2.6,31.13,"March 30, 23",-0.026
2023-03-29,31.71,31.71,31.115,31.35,31.35,9118535,9118500,-0.36,-1.14,31.39,"March 29, 23",-0.0114
2023-03-28,30.51,31.42,30.44,31.29,31.290001,6983890,6983900,0.78,2.56,31.19,"March 28, 23",0.0256
2023-03-27,30.2,30.74,29.395,30.58,30.58,9123104,9123100,0.38,1.26,30.27,"March 27, 23",0.0126
2023-03-24,28.6,29.875,28.58,29.6,29.6,11355570,11349900,1.0,3.5,29.44,"March 24, 23",0.035
2023-03-23,30.57,30.94,29.1,29.42,29.42,9860581,9860600,-1.15,-3.76,29.9,"March 23, 23",-0.0376
2023-03-22,32.19,32.19,30.425,30.46,30.459999,9846710,9846700,-1.73,-5.37,31.15,"March 22, 23",-0.0537
2023-03-21,31.86,32.195,31.12,31.94,31.940001,12422958,12423000,0.08,0.2511,31.79,"March 21, 23",0.002511
2023-03-20,30.18,31.13,30.06,30.69,30.690001,12240929,12240900,0.51,1.69,30.79,"March 20, 23",0.0169
2023-03-17,30.63,30.775,29.67,29.95,29.950001,17666159,17662000,-0.68,-2.22,30.11,"March 17, 23",-0.0222
2023-03-16,29.56,31.11,29.1,31.0,31.0,15458212,15457400,1.44,4.87,30.3,"March 16, 23",0.0487
2023-03-15,31.82,32.01,29.47,30.41,30.41,23463050,23463100,-1.41,-4.43,30.33,"March 15, 23",-0.0443
2023-03-14,33.69,34.51,32.7,33.42,33.419998,8145747,8145700,-0.27,-0.80142,33.64,"March 14, 23",-0.0080142
2023-03-13,33.72,34.6,32.66,33.38,33.380001,11090102,11090100,-0.34,-1.01,33.56,"March 13, 23",-0.0101
2023-03-10,35.5,35.96,34.35,34.53,34.529999,8529529,8527800,-0.97,-2.73,34.99,"March 10, 23",-0.0273
2023-03-09,37.41,37.66,35.54,35.57,35.57,7695580,7695600,-1.84,-4.92,36.25,"March 09, 23",-0.0492
2023-03-08,37.8,38.19,36.78,37.16,37.16,5565167,5565200,-0.64,-1.69,37.26,"March 08, 23",-0.0169
2023-03-07,38.56,38.66,37.76,37.85,37.849998,5195861,5195800,-0.71,-1.84,38.05,"March 07, 23",-0.0184
2023-03-06,38.53,38.9175,38.22,38.86,38.860001,5164054,5164100,0.33,0.85648,38.64,"March 06, 23",0.0085648
2023-03-03,37.95,39.055,37.75,38.89,38.889999,5885818,5885300,0.94,2.48,38.6,"March 03, 23",0.0248
