date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,16.4,16.55,16.24,16.45,16.450001,13785800,13382621,0.05,0.30488,16.42,"May 17, 23",0.0030488
2023-05-16,16.61,16.665,16.25,16.3,16.299999,15906220,15905300,-0.31,-1.87,16.34,"May 16, 23",-0.0187
2023-05-15,16.87,16.9,16.53,16.7,16.700001,23096795,23096800,-0.17,-1.01,16.67,"May 15, 23",-0.0101
2023-05-12,16.8,16.84,16.675,16.8,16.799999,9109771,9109300,0.0,0.0,16.76,"May 12, 23",0.0
2023-05-11,16.66,16.79,16.595,16.7,16.700001,11477085,11477100,0.04,0.2401,16.7,"May 11, 23",0.002401
2023-05-10,16.98,16.99,16.68,16.79,16.790001,10278397,10278300,-0.19,-1.12,16.8,"May 10, 23",-0.0112
2023-05-09,16.78,16.9585,16.74,16.85,16.85,7623884,7623300,0.07,0.41716,16.85,"May 09, 23",0.0041716
2023-05-08,17.11,17.18,16.83,16.9,16.9,9769270,9769300,-0.21,-1.23,16.92,"May 08, 23",-0.0123
2023-05-05,16.95,17.13,16.885,17.04,17.040001,12838680,12836300,0.09,0.53097,17.04,"May 05, 23",0.0053097
2023-05-04,16.52,16.735,16.39,16.64,16.639999,16214927,16214700,0.12,0.72639,16.59,"May 04, 23",0.0072639
2023-05-03,16.52,16.82,16.51,16.56,16.559999,11851646,11851600,0.04,0.24213,16.65,"May 03, 23",0.0024213
2023-05-02,16.96,17.0,16.4432,16.68,16.68,15626643,15626600,-0.28,-1.65,16.63,"May 02, 23",-0.0165
2023-05-01,17.04,17.23,17.01,17.1,17.1,14577966,14578000,0.06,0.35211,17.1,"May 01, 23",0.0035211
2023-04-28,17.04,17.24,17.005,17.15,17.15,14690744,14690700,0.11,0.64554,17.16,"April 28, 23",0.0064554
2023-04-27,17.22,17.35,17.06,17.32,17.037001,14547393,14547400,0.1,0.58072,17.22,"April 27, 23",0.0058072
2023-04-26,17.35,17.46,17.09,17.21,16.928797,12783269,12783800,-0.14,-0.80692,17.24,"April 26, 23",-0.0080692
2023-04-25,17.52,17.6,17.4,17.41,17.12553,9515460,9515500,-0.11,-0.62785,17.46,"April 25, 23",-0.0062785
2023-04-24,17.36,17.6799,17.34,17.62,17.3321,8681433,8681400,0.26,1.5,17.57,"April 24, 23",0.015
2023-04-21,17.4,17.41,17.15,17.37,17.086184,10200828,10200800,-0.03,-0.17241,17.28,"April 21, 23",-0.0017241
2023-04-20,17.59,17.715,17.09,17.35,17.066511,15950866,15950900,-0.24,-1.36,17.27,"April 20, 23",-0.0136
2023-04-19,17.57,17.66,17.42,17.6,17.312426,13759455,13759500,0.03,0.17075,17.57,"April 19, 23",0.0017075
