date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,108.32,111.265,107.105,110.63,110.629997,3699562,3694277,2.31,2.13,109.84,"May 17, 23",0.0213
2023-05-16,109.88,110.84,106.48,106.75,106.75,4514762,4514600,-3.13,-2.85,107.7,"May 16, 23",-0.0285
2023-05-15,110.41,111.94,109.5239,110.63,109.879997,3937735,3937600,0.22,0.19926,110.65,"May 15, 23",0.0019926
2023-05-12,111.17,111.76,109.08,109.88,109.135078,3260415,3260400,-1.29,-1.16,110.06,"May 12, 23",-0.0116
2023-05-11,109.59,111.67,108.99,110.1,109.353592,3579495,3579400,0.51,0.46537,110.16,"May 11, 23",0.0046537
2023-05-10,111.53,112.97,109.29,111.72,110.962608,5078448,5078400,0.19,0.17036,111.67,"May 10, 23",0.0017036
2023-05-09,107.88,111.89,107.69,110.94,110.187897,5638008,5638000,3.06,2.84,110.7,"May 09, 23",0.0284
2023-05-08,108.52,109.79,107.71,108.71,107.973015,4440937,4440900,0.19,0.17508,108.84,"May 08, 23",0.0017508
2023-05-05,107.93,108.46,106.68,106.9,106.175285,4351117,4350500,-1.03,-0.95432,107.34,"May 05, 23",-0.0095432
2023-05-04,109.54,110.4799,104.44,105.06,104.347755,7317094,7334100,-4.48,-4.09,105.75,"May 04, 23",-0.0409
2023-05-03,115.37,116.77,109.895,110.07,109.323792,6635083,6634900,-5.3,-4.59,111.83,"May 03, 23",-0.0459
2023-05-02,122.0,122.43,114.56,116.97,116.177017,5342436,5342400,-5.03,-4.12,116.94,"May 02, 23",-0.0412
2023-05-01,121.44,122.94,120.82,122.46,121.629799,4173223,4173200,1.02,0.83992,122.14,"May 01, 23",0.0083992
2023-04-28,120.49,123.17,119.75,122.0,121.17292,5342330,5342200,1.51,1.25,122.18,"April 28, 23",0.0125
2023-04-27,122.53,123.07,120.58,121.43,120.606781,4610790,4610800,-1.1,-0.89774,121.64,"April 27, 23",-0.0089774
2023-04-26,123.4,123.82,121.3203,122.53,121.699326,3425211,3425100,-0.87,-0.70502,122.49,"April 26, 23",-0.0070502
2023-04-25,125.18,125.7499,122.51,123.15,122.315125,2884934,2884900,-2.03,-1.62,123.37,"April 25, 23",-0.0162
2023-04-24,123.31,127.636,123.02,126.51,125.652344,4208145,4208000,3.2,2.6,126.07,"April 24, 23",0.026
2023-04-21,125.63,126.06,122.65,123.53,122.692543,3256262,3256300,-2.1,-1.67,123.84,"April 21, 23",-0.0167
