date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,22.31,22.96,22.07,22.71,22.709999,11953564,11077377,0.4,1.79,22.6,"May 17, 23",0.0179
2023-05-16,22.51,22.66,21.955,21.97,21.969999,8774345,8773400,-0.54,-2.4,22.13,"May 16, 23",-0.024
2023-05-15,22.57,22.935,22.3001,22.67,22.57,10096880,10096900,0.1,0.44307,22.64,"May 15, 23",0.0044307
2023-05-12,22.72,22.915,22.19,22.39,22.291235,8438575,8438300,-0.33,-1.45,22.39,"May 12, 23",-0.0145
2023-05-11,22.28,22.6,22.12,22.47,22.370882,8579012,8579000,0.19,0.85278,22.35,"May 11, 23",0.0085278
2023-05-10,23.1,23.21,22.4,22.67,22.57,9754644,9754600,-0.43,-1.86,22.63,"May 10, 23",-0.0186
2023-05-09,22.59,23.185,22.46,22.9,22.9,10437631,10437600,0.31,1.37,22.9,"May 09, 23",0.0137
2023-05-08,23.44,23.61,22.82,22.82,22.82,8691413,8691400,-0.62,-2.65,23.12,"May 08, 23",-0.0265
2023-05-05,23.0,23.23,22.79,22.93,22.93,11170758,11167200,-0.07,-0.30435,23.0,"May 05, 23",-0.0030435
2023-05-04,22.0,22.64,21.63,22.08,22.08,14425362,14425400,0.08,0.36364,22.1,"May 04, 23",0.0036364
2023-05-03,22.25,22.695,22.1,22.27,22.27,12313916,12313900,0.02,0.08988764,22.37,"May 03, 23",0.0008988764
2023-05-02,23.53,23.61,22.26,22.74,22.74,11715204,11715200,-0.79,-3.36,22.67,"May 02, 23",-0.0336
2023-05-01,23.71,24.3299,23.69,24.04,24.040001,7218122,7218100,0.33,1.39,24.01,"May 01, 23",0.0139
2023-04-28,23.54,24.3712,23.34,24.16,24.16,9052331,9050300,0.62,2.63,24.14,"April 28, 23",0.0263
2023-04-27,23.31,23.57,23.03,23.48,23.48,9261923,9261900,0.17,0.7293,23.36,"April 27, 23",0.007293
2023-04-26,23.54,23.775,23.0,23.29,23.290001,10732684,10732500,-0.25,-1.06,23.37,"April 26, 23",-0.0106
2023-04-25,24.19,24.3,23.6,23.74,23.74,10440499,10440500,-0.45,-1.86,23.82,"April 25, 23",-0.0186
2023-04-24,24.03,24.93,23.99,24.73,24.73,9530780,9530800,0.7,2.91,24.56,"April 24, 23",0.0291
2023-04-21,24.31,24.48,23.91,24.09,24.09,7865113,7865000,-0.22,-0.90498,24.13,"April 21, 23",-0.0090498
2023-04-20,24.21,24.37,23.935,24.27,24.27,8791009,8790900,0.06,0.24783,24.15,"April 20, 23",0.0024783
2023-04-19,24.29,24.75,24.13,24.66,24.66,9981028,9981000,0.37,1.52,24.51,"April 19, 23",0.0152
2023-04-18,24.67,24.85,24.29,24.74,24.74,11927821,11927800,0.07,0.28375,24.62,"April 18, 23",0.0028375
2023-04-17,25.71,25.75,24.74,24.8,24.799999,14183214,14266300,-0.91,-3.54,25.05,"April 17, 23",-0.0354
2023-04-14,25.81,25.94,25.52,25.73,25.73,8195114,8194300,-0.08,-0.30996,25.71,"April 14, 23",-0.0030996
2023-04-13,25.59,25.91,25.51,25.66,25.66,9409991,9410000,0.07,0.27354,25.74,"April 13, 23",0.0027354
2023-04-12,26.13,26.1841,25.53,25.62,25.620001,11760681,11760700,-0.51,-1.95,25.76,"April 12, 23",-0.0195
2023-04-11,26.02,26.3087,25.65,26.11,26.110001,9544926,9544900,0.09,0.34589,26.1,"April 11, 23",0.0034589
2023-04-10,25.72,26.28,25.64,25.76,25.76,10838068,10838100,0.04,0.15552,25.83,"April 10, 23",0.0015552
2023-04-06,25.51,25.7,25.255,25.52,25.52,7877001,7877000,0.01,0.03920031,25.51,"April 06, 23",0.0003920031
2023-04-05,25.61,25.77,25.13,25.7,25.700001,11293230,11293200,0.09,0.35143,25.53,"April 05, 23",0.0035143
2023-04-04,26.66,26.68,25.3831,25.73,25.73,18237819,18237800,-0.93,-3.49,25.8,"April 04, 23",-0.0349
2023-04-03,26.06,26.595,25.75,26.33,26.33,21729848,21729800,0.27,1.04,26.23,"April 03, 23",0.0104
2023-03-31,23.8,24.255,23.8,23.96,23.959999,9419833,9419300,0.16,0.67227,23.99,"March 31, 23",0.0067227
2023-03-30,23.96,24.04,23.56,23.71,23.709999,7906176,7906200,-0.25,-1.04,23.72,"March 30, 23",-0.0104
2023-03-29,23.63,23.82,23.475,23.64,23.639999,9173235,9173200,0.01,0.04231909,23.66,"March 29, 23",0.0004231909
2023-03-28,22.81,23.55,22.75,23.27,23.27,10729286,10729300,0.46,2.02,23.3,"March 28, 23",0.0202
2023-03-27,22.52,23.03,22.16,22.9,22.9,10929831,10929800,0.38,1.69,22.72,"March 27, 23",0.0169
2023-03-24,21.53,22.2,21.41,22.16,22.16,10326443,10326300,0.63,2.93,21.93,"March 24, 23",0.0293
2023-03-23,22.5,22.83,21.74,22.0,22.0,10491571,10491600,-0.5,-2.22,22.25,"March 23, 23",-0.0222
2023-03-22,23.01,23.17,22.25,22.28,22.280001,10094600,10094600,-0.73,-3.17,22.72,"March 22, 23",-0.0317
2023-03-21,22.4,23.12,22.3,22.96,22.959999,11723899,11723900,0.56,2.5,22.83,"March 21, 23",0.025
2023-03-20,21.16,22.01,21.16,21.74,21.74,10734910,10734900,0.58,2.74,21.73,"March 20, 23",0.0274
2023-03-17,21.76,21.98,21.015,21.2,21.200001,21504407,21497500,-0.56,-2.57,21.29,"March 17, 23",-0.0257
2023-03-16,20.72,22.03,20.57,22.01,22.01,14933327,14929700,1.29,6.23,21.53,"March 16, 23",0.0623
2023-03-15,22.2,22.28,20.66,21.26,21.26,19173090,19173100,-0.94,-4.23,21.29,"March 15, 23",-0.0423
2023-03-14,23.09,23.978,22.79,23.23,23.23,9863353,9863400,0.14,0.60632,23.42,"March 14, 23",0.0060632
2023-03-13,23.34,23.595,22.605,22.95,22.950001,13072480,13072500,-0.39,-1.67,23.11,"March 13, 23",-0.0167
2023-03-10,24.51,24.9,23.82,23.97,23.969999,9823283,9819600,-0.54,-2.2,24.25,"March 10, 23",-0.022
2023-03-09,25.5,25.86,24.52,24.58,24.58,10182307,10182300,-0.92,-3.61,24.94,"March 09, 23",-0.0361
2023-03-08,25.55,25.9891,25.08,25.39,25.389999,8610204,8610200,-0.16,-0.62622,25.42,"March 08, 23",-0.0062622
2023-03-07,26.05,26.13,25.59,25.66,25.66,8339111,8339100,-0.39,-1.5,25.77,"March 07, 23",-0.015
2023-03-06,26.27,26.445,26.055,26.24,26.24,8554819,8554800,-0.03,-0.1142,26.26,"March 06, 23",-0.001142
