date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,57.06,57.75,55.91,57.2,57.200001,5842091,5492400,0.14,0.24536,56.95,"May 17, 23",0.0024536
2023-05-16,57.55,57.92,56.0788,56.58,56.580002,9415999,9415800,-0.97,-1.69,56.59,"May 16, 23",-0.0169
2023-05-15,59.45,60.22,56.48,57.95,57.950001,20718307,20718300,-1.5,-2.52,58.5,"May 15, 23",-0.0252
2023-05-12,63.25,63.77,62.88,63.72,63.720001,2501497,2501500,0.47,0.74308,63.42,"May 12, 23",0.0074308
2023-05-11,62.47,63.57,62.47,62.83,62.830002,2293033,2293000,0.36,0.57628,62.93,"May 11, 23",0.0057628
2023-05-10,64.43,64.51,62.5,63.21,63.209999,1979195,1979000,-1.22,-1.89,63.14,"May 10, 23",-0.0189
2023-05-09,62.98,64.47,62.85,63.86,63.860001,2096030,2096000,0.88,1.4,63.86,"May 09, 23",0.014
2023-05-08,65.15,65.23,63.18,63.52,63.52,1658371,1658400,-1.63,-2.5,63.64,"May 08, 23",-0.025
2023-05-05,63.97,64.9,63.83,64.51,64.510002,1706008,1706000,0.54,0.84415,64.49,"May 05, 23",0.0084415
2023-05-04,62.85,63.2013,61.36,62.63,62.630001,2610448,2610400,-0.22,-0.35004,62.39,"May 04, 23",-0.0035004
2023-05-03,62.1,64.185,61.6,62.82,62.82,3589279,3589200,0.72,1.16,63.07,"May 03, 23",0.0116
2023-05-02,65.0,65.125,61.94,62.74,62.740002,2661893,2662700,-2.26,-3.48,62.86,"May 02, 23",-0.0348
2023-05-01,64.98,65.92,64.87,65.39,65.389999,1740124,1740100,0.41,0.63096,65.49,"May 01, 23",0.0063096
2023-04-28,64.19,65.7704,64.09,65.41,65.410004,1955946,1955900,1.22,1.9,65.38,"April 28, 23",0.019
2023-04-27,64.62,65.48,64.26,65.3,64.345001,1690050,1690000,0.68,1.05,65.04,"April 27, 23",0.0105
2023-04-26,65.2,66.08,64.46,64.72,63.773483,1982785,1982600,-0.48,-0.7362,65.04,"April 26, 23",-0.007362
2023-04-25,66.49,66.52,65.515,65.55,64.591347,1632364,1632300,-0.94,-1.41,65.8,"April 25, 23",-0.0141
2023-04-24,66.38,67.16,66.27,66.99,66.010277,2112633,2112600,0.61,0.91895,66.82,"April 24, 23",0.0091895
