date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,58.7,59.165,58.175,58.92,58.919998,9523979,9518306,0.22,0.37479,58.75,"May 17, 23",0.0037479
2023-05-16,58.77,58.87,58.01,58.14,58.139999,10515960,10516000,-0.63,-1.07,58.24,"May 16, 23",-0.0107
2023-05-15,58.4,58.88,58.16,58.52,58.52,9155550,9155600,0.12,0.20548,58.5,"May 15, 23",0.0020548
2023-05-12,58.08,58.3901,57.74,58.09,58.09,9463707,9461900,0.01,0.01721763,58.06,"May 12, 23",0.0001721763
2023-05-11,56.4,58.0,56.31,57.93,57.93,14178084,14178100,1.53,2.71,57.5,"May 11, 23",0.0271
2023-05-10,58.27,58.89,56.47,56.85,56.849998,21378565,21378600,-1.42,-2.44,57.1,"May 10, 23",-0.0244
2023-05-09,58.65,59.65,58.58,58.96,58.959999,13368973,13373200,0.31,0.52856,59.13,"May 09, 23",0.0052856
2023-05-08,60.62,61.15,58.93,58.96,58.959999,17632070,17632100,-1.66,-2.74,59.52,"May 08, 23",-0.0274
2023-05-05,60.12,61.08,59.75,60.69,60.689999,11275998,11258900,0.57,0.9481,60.56,"May 05, 23",0.009481
2023-05-04,59.04,59.84,58.275,58.7,58.700001,11201972,11202000,-0.34,-0.57588,58.86,"May 04, 23",-0.0057588
2023-05-03,59.25,60.1,58.935,58.97,58.970001,11639225,11639200,-0.28,-0.47257,59.41,"May 03, 23",-0.0047257
2023-05-02,60.55,60.55,59.08,60.04,60.040001,12442895,12442900,-0.51,-0.84228,59.72,"May 02, 23",-0.0084228
2023-05-01,60.98,61.875,60.76,61.17,61.169998,7337710,7337700,0.19,0.31158,61.29,"May 01, 23",0.0031158
2023-04-28,60.7,62.17,60.35,61.53,61.529999,9727709,9716500,0.83,1.37,61.61,"April 28, 23",0.0137
2023-04-27,60.3,60.82,59.97,60.58,60.580002,8172103,8172100,0.28,0.46434,60.43,"April 27, 23",0.0046434
2023-04-26,61.32,61.34,59.92,60.26,60.259998,8470870,8470900,-1.06,-1.73,60.47,"April 26, 23",-0.0173
2023-04-25,61.87,62.02,60.62,61.33,61.330002,9709715,9709700,-0.54,-0.8728,61.17,"April 25, 23",-0.008728
2023-04-24,61.87,63.07,61.77,62.76,62.759998,7560166,7560200,0.89,1.44,62.51,"April 24, 23",0.0144
2023-04-21,62.15,62.43,61.4401,61.87,61.869999,7825206,7821600,-0.28,-0.45052,61.83,"April 21, 23",-0.0045052
2023-04-20,61.55,62.265,61.5,62.03,62.029999,7769038,7769000,0.48,0.77985,61.88,"April 20, 23",0.0077985
2023-04-19,62.0,62.595,61.385,62.47,62.470001,7742200,7742200,0.47,0.75806,62.1,"April 19, 23",0.0075806
2023-04-18,62.78,63.1624,62.25,63.0,63.0,7936570,7936600,0.22,0.35043,62.83,"April 18, 23",0.0035043
2023-04-17,64.38,64.41,62.85,62.94,62.939999,8514691,8514700,-1.44,-2.24,63.32,"April 17, 23",-0.0224
2023-04-14,64.74,64.9902,64.04,64.48,64.480003,6763377,6757300,-0.26,-0.40161,64.4,"April 14, 23",-0.0040161
2023-04-13,64.75,65.18,64.5178,64.77,64.769997,7697011,7697000,0.02,0.03088803,64.85,"April 13, 23",0.0003088803
2023-04-12,64.8,65.21,64.25,64.84,64.839996,9185428,9185400,0.04,0.0617284,64.74,"April 12, 23",0.000617284
2023-04-11,64.39,64.89,63.91,64.37,64.370003,8979018,8979000,-0.02,-0.03106072,64.45,"April 11, 23",-0.0003106072
2023-04-10,63.2,64.465,63.17,64.09,64.089996,11531362,11531400,0.89,1.41,63.82,"April 10, 23",0.0141
2023-04-06,64.05,64.139,62.97,63.04,63.040001,10480902,10480900,-1.01,-1.58,63.35,"April 06, 23",-0.0158
2023-04-05,64.37,65.18,63.585,64.57,64.57,12056140,12056100,0.2,0.3107,64.32,"April 05, 23",0.003107
2023-04-04,65.83,65.88,63.9093,64.83,64.830002,16176388,16176400,-1.0,-1.52,64.85,"April 04, 23",-0.0152
2023-04-03,65.74,66.4699,64.69,65.18,65.18,24486512,24486500,-0.56,-0.85184,65.55,"April 03, 23",-0.0085184
2023-03-31,62.39,62.98,62.16,62.43,62.43,9618819,9606800,0.04,0.06411284,62.47,"March 31, 23",0.0006411284
2023-03-30,62.74,62.83,61.71,62.32,62.32,8311737,8311700,-0.42,-0.66943,62.13,"March 30, 23",-0.0066943
2023-03-29,62.69,62.94,61.7,62.09,62.09,13107142,13107100,-0.6,-0.95709,62.18,"March 29, 23",-0.0095709
2023-03-28,60.65,62.35,60.56,62.21,62.209999,21795482,21795500,1.56,2.57,61.72,"March 28, 23",0.0257
2023-03-27,58.7,59.86,58.03,59.65,59.650002,14419720,14419700,0.95,1.62,59.27,"March 27, 23",0.0162
2023-03-24,57.875,58.6,57.0288,58.18,58.18,13613232,13598000,0.305,0.527,57.88,"March 24, 23",0.00527
2023-03-23,59.05,59.56,57.685,58.48,58.48,15059304,15059300,-0.57,-0.96528,58.73,"March 23, 23",-0.0096528
2023-03-22,60.29,60.4228,58.61,58.68,58.68,13936202,13936200,-1.61,-2.67,59.53,"March 22, 23",-0.0267
2023-03-21,59.93,60.75,59.5,60.24,60.240002,16959118,16959100,0.31,0.51727,60.16,"March 21, 23",0.0051727
2023-03-20,58.51,59.53,58.23,58.98,58.98,14579660,14579700,0.47,0.80328,59.02,"March 20, 23",0.0080328
2023-03-17,58.98,59.5099,57.91,58.48,58.48,21005650,20991300,-0.5,-0.84774,58.59,"March 17, 23",-0.0084774
2023-03-16,56.6,59.075,55.92,59.04,59.040001,22759008,22719100,2.44,4.31,57.98,"March 16, 23",0.0431
2023-03-15,58.15,58.35,55.51,56.8,56.799999,30722098,30722100,-1.35,-2.32,56.89,"March 15, 23",-0.0232
2023-03-14,59.45,61.6297,59.005,60.19,60.189999,16816935,16825700,0.74,1.24,60.35,"March 14, 23",0.0124
2023-03-13,58.36,60.145,57.28,59.15,59.150002,19574477,19574500,0.79,1.35,59.11,"March 13, 23",0.0135
2023-03-10,60.33,61.07,59.43,59.86,59.860001,14715758,14699700,-0.47,-0.77905,60.12,"March 10, 23",-0.0077905
2023-03-09,62.19,63.2,60.3716,60.56,60.560001,13331019,13331000,-1.63,-2.62,61.58,"March 09, 23",-0.0262
2023-03-08,62.0,63.575,61.05,62.15,61.970005,22946978,22947000,0.15,0.24194,62.14,"March 08, 23",0.0024194
2023-03-07,61.315,61.65,60.5,60.85,60.673767,12547298,12547300,-0.465,-0.75838,61.03,"March 07, 23",-0.0075838
2023-03-06,61.06,61.97,60.85,61.68,61.501362,12890792,12890800,0.62,1.02,61.54,"March 06, 23",0.0102
2023-03-03,59.48,61.7,59.3115,61.25,61.072609,17088921,17080000,1.77,2.98,60.85,"March 03, 23",0.0298
2023-03-02,59.4,60.54,59.25,60.27,60.095448,13870725,13858700,0.87,1.46,60.09,"March 02, 23",0.0146
2023-03-01,58.51,60.0882,58.4,59.71,59.537067,14414245,14414200,1.2,2.05,59.52,"March 01, 23",0.0205
2023-02-28,59.73,60.56,58.5,58.56,58.3904,34364431,34364400,-1.17,-1.96,59.13,"February 28, 23",-0.0196
2023-02-27,59.27,59.6499,58.37,58.96,58.789238,17984637,17984600,-0.31,-0.52303,58.98,"February 27, 23",-0.0052303
2023-02-24,58.75,59.27,58.01,58.98,58.809181,13116321,13116300,0.23,0.39149,58.63,"February 24, 23",0.0039149
2023-02-23,59.55,59.87,58.55,59.22,59.048489,12734634,12734600,-0.33,-0.55416,59.26,"February 23, 23",-0.0055416
2023-02-22,59.24,59.885,57.96,58.42,58.250801,17099107,17198700,-0.82,-1.38,58.58,"February 22, 23",-0.0138
2023-02-21,60.54,61.28,59.65,59.82,59.646751,11314556,11314600,-0.72,-1.19,60.14,"February 21, 23",-0.0119
2023-02-17,61.3,61.62,60.05,60.73,60.554115,20380359,20380400,-0.57,-0.92985,60.61,"February 17, 23",-0.0092985
2023-02-16,62.51,63.855,62.4125,62.5,62.318989,12173934,12173900,-0.01,-0.01599744,62.98,"February 16, 23",-0.0001599744
2023-02-15,65.35,65.395,62.68,62.9,62.717831,17791883,17780100,-2.45,-3.75,63.43,"February 15, 23",-0.0375
2023-02-14,65.05,66.99,64.45,66.34,66.147865,12410307,12410300,1.29,1.98,65.91,"February 14, 23",0.0198
2023-02-13,65.01,65.46,64.31,64.76,64.572441,7835073,7835100,-0.25,-0.38456,64.84,"February 13, 23",-0.0038456
2023-02-10,64.15,65.77,64.02,65.63,65.439919,13530656,13530700,1.48,2.31,65.2,"February 10, 23",0.0231
2023-02-09,63.99,64.35,63.01,63.2,63.01696,6738819,6738800,-0.79,-1.23,63.59,"February 09, 23",-0.0123
2023-02-08,64.5,65.01,63.7105,63.93,63.744846,7668332,7668300,-0.57,-0.88372,64.19,"February 08, 23",-0.0088372
2023-02-07,62.0,64.69,61.8,64.6,64.412903,12969313,12969300,2.6,4.19,63.33,"February 07, 23",0.0419
2023-02-06,61.5,61.85,60.21,61.55,61.371738,11803105,11803100,0.05,0.08130081,61.21,"February 06, 23",0.0008130081
2023-02-03,62.69,64.0201,61.01,61.24,61.062637,17851494,17851500,-1.45,-2.31,62.34,"February 03, 23",-0.0231
2023-02-02,63.22,63.3899,61.53,62.47,62.289078,13098464,13098500,-0.75,-1.19,62.46,"February 02, 23",-0.0119
2023-02-01,64.26,64.5103,62.29,63.5,63.316093,12694989,12695000,-0.76,-1.18,63.38,"February 01, 23",-0.0118
2023-01-31,64.2,64.79,63.6299,64.79,64.602356,10315326,10315300,0.59,0.919,64.34,"January 31, 23",0.00919
2023-01-30,65.82,65.96,64.07,64.13,63.944263,9515124,9515100,-1.69,-2.57,64.78,"January 30, 23",-0.0257
2023-01-27,67.15,67.93,66.51,66.54,66.34729,8760981,8761000,-0.61,-0.90841,67.03,"January 27, 23",-0.0090841
2023-01-26,65.38,67.125,64.755,67.09,66.895691,12540953,12564400,1.71,2.62,66.21,"January 26, 23",0.0262
2023-01-25,63.86,64.54,62.31,64.52,64.333138,10051811,10053300,0.66,1.03,63.72,"January 25, 23",0.0103
2023-01-24,64.35,67.46,61.49,64.43,64.243401,8501997,8519100,0.08,0.12432,64.75,"January 24, 23",0.0012432
2023-01-23,67.31,67.71,66.3301,66.5,66.307404,9891476,9891500,-0.81,-1.2,66.88,"January 23, 23",-0.012
2023-01-20,66.12,67.11,65.425,66.91,66.716217,12439933,12439900,0.79,1.19,66.63,"January 20, 23",0.0119
2023-01-19,64.04,66.015,63.78,65.67,65.479805,10038390,10038400,1.63,2.55,65.1,"January 19, 23",0.0255
2023-01-18,65.2,67.05,64.28,64.42,64.233429,13922533,13922500,-0.78,-1.2,65.47,"January 18, 23",-0.012
2023-01-17,65.42,65.99,64.555,64.72,64.532562,7503266,7503300,-0.7,-1.07,65.07,"January 17, 23",-0.0107
