date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,93.22,94.98,92.31,94.79,94.790001,3381210,3294091,1.57,1.68,94.09,"May 17, 23",0.0168
2023-05-16,94.15,94.58,91.415,91.89,91.889999,4390724,4389600,-2.26,-2.4,92.43,"May 16, 23",-0.024
2023-05-15,93.25,94.785,92.54,94.22,94.220001,3344012,3344000,0.97,1.04,93.74,"May 15, 23",0.0104
2023-05-12,94.29,94.75,92.71,93.22,93.220001,2776955,2776300,-1.07,-1.13,93.42,"May 12, 23",-0.0113
2023-05-11,92.78,93.89,92.35,93.4,93.400002,3428605,3428400,0.62,0.66825,93.17,"May 11, 23",0.0066825
2023-05-10,94.34,94.915,93.05,94.23,94.230003,3323817,3323800,-0.11,-0.1166,94.14,"May 10, 23",-0.001166
2023-05-09,93.3,95.12,93.09,93.98,93.980003,3274214,3274100,0.68,0.72883,94.0,"May 09, 23",0.0072883
2023-05-08,94.82,95.3,93.7856,93.96,93.959999,3352863,3352800,-0.86,-0.90698,94.37,"May 08, 23",-0.0090698
2023-05-05,94.21,94.86,93.2401,93.44,93.440002,2720782,2720800,-0.77,-0.81732,93.71,"May 05, 23",-0.0081732
2023-05-04,95.76,95.94,91.86,92.31,92.309998,4619484,4619500,-3.45,-3.6,92.81,"May 04, 23",-0.036
2023-05-03,93.95,98.095,93.04,95.95,95.949997,6286041,6286000,2.0,2.13,95.8,"May 03, 23",0.0213
2023-05-02,97.9,98.19,93.11,94.73,94.730003,4207234,4207200,-3.17,-3.24,94.49,"May 02, 23",-0.0324
2023-05-01,98.2,99.59,97.58,98.4,98.400002,2546587,2546600,0.2,0.20367,98.46,"May 01, 23",0.0020367
2023-04-28,97.02,99.6,96.81,99.0,99.0,2710485,2710500,1.98,2.04,98.86,"April 28, 23",0.0204
2023-04-27,99.11,99.47,96.33,97.74,97.739998,3132762,3132800,-1.37,-1.38,97.69,"April 27, 23",-0.0138
2023-04-26,99.53,100.41,98.32,99.27,99.269997,2716070,2716000,-0.26,-0.26123,99.25,"April 26, 23",-0.0026123
2023-04-25,99.57,100.28,99.05,99.32,99.32,2738676,2738500,-0.25,-0.25108,99.48,"April 25, 23",-0.0025108
2023-04-24,99.57,101.345,99.46,100.69,100.690002,2897956,2897800,1.12,1.12,100.72,"April 24, 23",0.0112
2023-04-21,101.17,101.95,99.48,100.15,100.150002,3111024,3111000,-1.02,-1.01,100.36,"April 21, 23",-0.0101
2023-04-20,101.71,102.76,100.6,101.25,101.25,3784393,3784400,-0.46,-0.45227,101.42,"April 20, 23",-0.0045227
2023-04-19,104.31,104.4,100.79,103.06,103.059998,3676839,3676700,-1.25,-1.2,102.5,"April 19, 23",-0.012
2023-04-18,103.63,104.84,103.15,104.31,104.309998,2932417,2932200,0.68,0.65618,104.14,"April 18, 23",0.0065618
2023-04-17,105.88,106.2,103.4619,103.92,103.919998,3326842,3326700,-1.96,-1.85,104.22,"April 17, 23",-0.0185
2023-04-14,106.19,106.9,105.26,106.26,106.260002,2111466,2111100,0.07,0.06591958,105.98,"April 14, 23",0.0006591958
2023-04-13,105.59,106.3495,104.735,106.27,106.269997,2765358,2765300,0.68,0.644,105.9,"April 13, 23",0.00644
2023-04-12,106.67,107.47,105.86,106.03,106.029999,3192466,3192500,-0.64,-0.59998,106.47,"April 12, 23",-0.0059998
2023-04-11,105.8,107.3301,105.17,106.46,106.459999,2484051,2484100,0.66,0.62382,106.49,"April 11, 23",0.0062382
2023-04-10,103.01,105.4617,103.0,104.96,104.959999,2887785,2887700,1.95,1.89,104.89,"April 10, 23",0.0189
2023-04-06,104.81,105.34,102.46,102.84,102.839996,3808311,3808300,-1.97,-1.88,103.41,"April 06, 23",-0.0188
2023-04-05,98.4,104.64,98.16,104.43,104.43,6353422,6353400,6.03,6.13,102.56,"April 05, 23",0.0613
2023-04-04,102.36,102.92,97.51,98.28,98.279999,4202315,4202300,-4.08,-3.99,98.79,"April 04, 23",-0.0399
2023-04-03,104.99,104.99,102.165,102.91,102.910004,4212311,4212300,-2.08,-1.98,103.18,"April 03, 23",-0.0198
2023-03-31,99.87,101.445,99.16,101.38,101.379997,3920648,3920500,1.51,1.51,100.64,"March 31, 23",0.0151
2023-03-30,101.28,101.43,99.68,99.99,99.989998,2336727,2336700,-1.29,-1.27,100.28,"March 30, 23",-0.0127
2023-03-29,99.75,101.09,99.25,100.28,100.279999,3053583,3053600,0.53,0.53133,100.28,"March 29, 23",0.0053133
2023-03-28,96.15,99.87,96.005,98.78,98.779999,3350655,3350700,2.63,2.74,98.73,"March 28, 23",0.0274
2023-03-27,95.21,96.87,93.74,96.23,96.230003,3475259,3475300,1.02,1.07,95.62,"March 27, 23",0.0107
2023-03-24,91.64,93.9442,90.66,93.73,93.730003,3719072,3718400,2.09,2.28,93.03,"March 24, 23",0.0228
2023-03-23,95.24,96.57,92.7,93.54,93.540001,2856274,2856300,-1.7,-1.78,94.24,"March 23, 23",-0.0178
2023-03-22,95.75,97.34,94.67,94.69,94.690002,3012552,3012600,-1.06,-1.11,95.79,"March 22, 23",-0.0111
2023-03-21,97.48,98.31,95.13,95.55,95.550003,7228894,7228900,-1.93,-1.98,95.84,"March 21, 23",-0.0198
2023-03-20,95.21,96.87,94.79,95.55,95.550003,4692905,4692800,0.34,0.35711,95.76,"March 20, 23",0.0035711
2023-03-17,95.27,96.45,93.48,94.72,94.720001,10256824,10254900,-0.55,-0.57731,94.73,"March 17, 23",-0.0057731
