date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-17,203.4,205.09,201.56,203.96,203.960007,1634531,1633328,0.56,0.27532,203.7,"May 17, 23",0.0027532
2023-05-16,205.75,206.4004,201.1,201.18,201.179993,1517670,1517100,-4.57,-2.22,202.72,"May 16, 23",-0.0222
2023-05-15,205.95,208.1,204.61,206.78,206.779999,1535487,1535500,0.83,0.40301,206.74,"May 15, 23",0.0040301
2023-05-12,208.42,209.0,203.52,204.78,204.779999,1626739,1625900,-3.64,-1.75,205.31,"May 12, 23",-0.0175
2023-05-11,206.01,207.96,205.5,207.2,207.199997,1442947,1442900,1.19,0.57764,206.71,"May 11, 23",0.0057764
2023-05-10,211.5,212.4204,207.85,209.11,209.110001,1468028,1468000,-2.39,-1.13,209.23,"May 10, 23",-0.0113
2023-05-09,210.17,214.13,210.111,211.24,211.240005,1155350,1155400,1.07,0.50911,211.98,"May 09, 23",0.0050911
2023-05-08,215.67,216.1553,211.81,212.35,212.350006,1571917,1571900,-3.32,-1.54,213.64,"May 08, 23",-0.0154
2023-05-05,212.03,215.1,211.7199,212.22,212.220001,1862264,1861200,0.19,0.08960996,213.11,"May 05, 23",0.0008960996
2023-05-04,208.16,209.55,205.6707,206.06,206.059998,1840868,1840900,-2.1,-1.01,206.93,"May 04, 23",-0.0101
2023-05-03,206.37,211.56,206.05,207.79,207.789993,2076924,2076900,1.42,0.68808,208.55,"May 03, 23",0.0068808
2023-05-02,215.0,215.0,205.84,209.51,209.509995,3118068,3118100,-5.49,-2.55,209.57,"May 02, 23",-0.0255
2023-05-01,215.2,219.56,215.0,216.99,216.990005,1667638,1667600,1.79,0.83178,217.16,"May 01, 23",0.0083178
2023-04-28,214.0,220.27,213.26,217.55,217.550003,2579584,2576600,3.55,1.66,217.65,"April 28, 23",0.0166
2023-04-27,218.01,219.31,210.65,212.81,212.809998,5554520,5554500,-5.2,-2.39,213.39,"April 27, 23",-0.0239
2023-04-26,221.73,223.68,220.29,222.48,222.479996,1851232,1851200,0.75,0.33825,221.86,"April 26, 23",0.0033825
2023-04-25,224.98,225.5899,221.46,222.44,222.440002,1422697,1422700,-2.54,-1.13,222.71,"April 25, 23",-0.0113
2023-04-24,224.59,228.47,223.69,227.24,227.240005,1265432,1265400,2.65,1.18,226.8,"April 24, 23",0.0118
2023-04-21,225.6,225.78,222.42,224.78,224.779999,1497479,1494500,-0.82,-0.36348,224.09,"April 21, 23",-0.0036348
2023-04-20,223.57,225.45,222.8,225.3,225.300003,1836734,1836500,1.73,0.77381,224.3,"April 20, 23",0.0077381
2023-04-19,226.5,227.57,223.85,227.31,227.309998,1574594,1574600,0.81,0.35762,226.14,"April 19, 23",0.0035762
2023-04-18,227.63,228.79,225.87,228.48,228.479996,1621228,1621200,0.85,0.37341,227.9,"April 18, 23",0.0037341
2023-04-17,230.4,232.12,227.76,228.22,228.220001,1754877,1754900,-2.18,-0.94618,229.08,"April 17, 23",-0.0094618
2023-04-14,229.94,231.82,228.8,230.0,230.0,1824309,1823700,0.06,0.02609376,229.95,"April 14, 23",0.0002609376
2023-04-13,225.01,229.9,224.78,227.92,227.919998,2513991,2514000,2.91,1.29,228.35,"April 13, 23",0.0129
2023-04-12,221.66,227.16,221.5,225.1,225.100006,3059712,3059700,3.44,1.55,224.55,"April 12, 23",0.0155
2023-04-11,220.69,221.5582,217.8,220.39,220.389999,3357201,3357200,-0.3,-0.13594,220.22,"April 11, 23",-0.0013594
2023-04-10,224.03,225.76,218.56,220.22,220.220001,7283272,7283300,-3.81,-1.7,222.11,"April 10, 23",-0.017
2023-04-06,209.33,209.9,207.67,208.16,208.160004,1694770,1694800,-1.17,-0.55893,208.55,"April 06, 23",-0.0055893
2023-04-05,211.5,212.43,207.72,210.4,210.399994,2263376,2263400,-1.1,-0.52009,209.62,"April 05, 23",-0.0052009
2023-04-04,214.42,214.73,209.36,210.76,210.759995,2259289,2259300,-3.66,-1.71,211.13,"April 04, 23",-0.0171
2023-04-03,213.38,217.09,211.1882,213.37,213.369995,3804386,3804400,-0.01,-0.00468647,213.94,"April 03, 23",-4.68647e-05
2023-03-31,202.89,204.72,202.1447,204.24,204.240005,1889098,1888100,1.35,0.66539,203.87,"March 31, 23",0.0066539
2023-03-30,204.0,204.24,200.54,202.06,202.059998,2085094,2085100,-1.94,-0.95098,201.79,"March 30, 23",-0.0095098
2023-03-29,200.0,202.54,198.145,202.28,202.279999,2379128,2379100,2.28,1.14,200.98,"March 29, 23",0.0114
2023-03-28,193.4,197.97,193.4,197.77,197.770004,1600412,1600400,4.37,2.26,196.88,"March 28, 23",0.0226
2023-03-27,193.06,196.03,190.5572,194.42,194.419998,2042402,2042400,1.36,0.70444,193.65,"March 27, 23",0.0070444
2023-03-24,187.0,193.11,186.01,192.22,192.220001,2186560,2185700,5.22,2.79,190.72,"March 24, 23",0.0279
2023-03-23,192.5,194.13,187.015,189.18,189.179993,2019542,2019500,-3.32,-1.72,190.28,"March 23, 23",-0.0172
2023-03-22,195.5,196.46,189.7,189.81,189.809998,1547784,1547800,-5.69,-2.91,192.2,"March 22, 23",-0.0291
2023-03-21,191.0,195.71,190.51,195.34,195.339996,3120925,3120900,4.34,2.27,193.58,"March 21, 23",0.0227
2023-03-20,182.15,187.99,181.51,186.89,186.889999,2855126,2855100,4.74,2.6,186.09,"March 20, 23",0.026
2023-03-17,186.49,188.11,181.01,182.05,182.050003,5468776,5467300,-4.44,-2.38,182.96,"March 17, 23",-0.0238
2023-03-16,178.26,186.95,177.265,186.49,186.490005,3759110,3756500,8.23,4.62,183.9,"March 16, 23",0.0462
2023-03-15,189.92,191.3,180.38,181.85,181.850006,5168537,5168500,-8.07,-4.25,184.1,"March 15, 23",-0.0425
2023-03-14,196.0,199.58,191.8299,195.24,195.240005,3240702,3240700,-0.76,-0.38776,196.15,"March 14, 23",-0.0038776
2023-03-13,194.37,199.12,190.27,195.36,195.360001,5459135,5459100,0.99,0.50934,195.9,"March 13, 23",0.0050934
2023-03-10,201.5,204.19,198.22,198.78,198.779999,2544142,2543600,-2.72,-1.35,200.49,"March 10, 23",-0.0135
2023-03-09,205.31,207.3043,201.56,202.02,202.020004,2886514,2886500,-3.29,-1.6,203.6,"March 09, 23",-0.016
2023-03-08,205.13,209.0,202.41,204.32,204.320007,2623488,2623300,-0.81,-0.39487,204.73,"March 08, 23",-0.0039487
2023-03-07,208.0,208.7414,205.45,206.33,206.330002,1851895,1851900,-1.67,-0.80288,206.9,"March 07, 23",-0.0080288
2023-03-06,208.0,210.0,206.58,209.59,209.589996,2233389,2233400,1.59,0.76442,208.62,"March 06, 23",0.0076442
2023-03-03,201.27,210.76,200.77,209.83,209.830002,3235560,3231800,8.56,4.25,208.05,"March 03, 23",0.0425
2023-03-02,205.16,210.68,205.0,209.8,204.220001,3372748,3370100,4.64,2.26,208.56,"March 02, 23",0.0226
2023-03-01,201.01,205.69,200.41,205.43,199.966217,3583714,3583700,4.42,2.2,204.23,"March 01, 23",0.022
2023-02-28,203.42,204.0,200.17,200.41,195.079742,3484767,3484800,-3.01,-1.48,201.18,"February 28, 23",-0.0148
2023-02-27,203.0,203.59,198.74,201.97,196.598251,5134746,5134700,-1.03,-0.50739,201.44,"February 27, 23",-0.0050739
2023-02-24,202.47,203.61,190.99,196.57,191.341873,7916088,7916100,-5.9,-2.91,197.54,"February 24, 23",-0.0291
