date,open,low,high,close,volume
2023-05-08 11:00:00,10.495,10.49,10.52,10.495,189106
2023-05-08 10:00:00,10.5,10.48,10.53,10.495,644914
2023-05-05 16:00:00,10.42,10.42,10.42,10.42,189468
2023-05-05 15:00:00,10.465,10.4,10.475,10.41,2523345
2023-05-05 14:00:00,10.415,10.401,10.48,10.46,968477
2023-05-05 13:00:00,10.385,10.38,10.43,10.415,766820
2023-05-05 12:00:00,10.425,10.36,10.43,10.385,1114897
2023-05-05 11:00:00,10.375,10.35,10.43,10.43,923877
2023-05-05 10:00:00,10.355,10.32,10.38,10.37,1113166
2023-05-04 16:00:00,10.21,10.21,10.21,10.21,207253
2023-05-04 15:00:00,10.275,10.18,10.3,10.21,2643296
2023-05-04 14:00:00,10.345,10.27,10.36,10.2701,935136
2023-05-04 13:00:00,10.4091,10.34,10.44,10.345,1117854
2023-05-04 12:00:00,10.355,10.335,10.41,10.405,764109
2023-05-04 11:00:00,10.345,10.33,10.38,10.355,1339702
2023-05-04 10:00:00,10.155,10.13,10.35,10.35,1475399
2023-05-03 16:00:00,10.0,10.0,10.01,10.01,2700
2023-05-03 15:00:00,10.175,9.93,10.18,10.0,4969758
2023-05-03 14:00:00,10.135,10.005,10.18,10.18,2125649
2023-05-03 13:00:00,10.095,10.01,10.14,10.14,1686979
2023-05-03 12:00:00,10.0101,9.98,10.1,10.095,1681079
2023-05-03 11:00:00,9.865,9.79,10.06,10.015,3680127
2023-05-03 10:00:00,9.905,9.79,10.06,9.865,4365032
2023-05-02 16:00:00,10.92,10.43,10.92,10.5,99788
2023-05-02 15:00:00,10.865,10.86,10.93,10.93,2907347
2023-05-02 14:00:00,10.85,10.82,10.88,10.865,830150
2023-05-02 13:00:00,10.84,10.82,10.88,10.86,559161
2023-05-02 12:00:00,10.825,10.79,10.85,10.84,615413
2023-05-02 11:00:00,10.825,10.79,10.85,10.825,911829
2023-05-02 10:00:00,10.895,10.825,10.91,10.83,975265
2023-05-01 16:00:00,11.06,11.06,11.06,11.06,102424
2023-05-01 15:00:00,11.055,11.04,11.07,11.05,1890617
2023-05-01 14:00:00,11.075,11.04,11.09,11.05,782983
2023-05-01 13:00:00,11.065,11.04,11.08,11.08,555689
2023-05-01 12:00:00,11.055,11.05,11.09,11.065,562293
