date,open,low,high,close,volume
2023-05-08 11:00:00,197.37,196.79,197.59,197.07,156437
2023-05-08 10:00:00,198.77,197.11,199.03,197.3,581814
2023-05-05 16:00:00,198.34,198.05,198.34,198.1008,67884
2023-05-05 15:00:00,198.57,197.9,198.8099,198.38,724748
2023-05-05 14:00:00,197.7604,197.56,198.8,198.56,410995
2023-05-05 13:00:00,197.39,197.39,197.8,197.755,263098
2023-05-05 12:00:00,197.65,197.1,198.04,197.3702,278658
2023-05-05 11:00:00,197.92,196.76,198.45,197.62,383907
2023-05-05 10:00:00,197.595,196.891,197.88,197.88,777665
2023-05-04 16:00:00,197.05,196.55,197.25,197.0,110226
2023-05-04 15:00:00,196.55,196.1509,197.24,196.99,953608
2023-05-04 14:00:00,196.21,195.52,197.1,196.495,383779
2023-05-04 13:00:00,195.95,195.8,197.32,196.2,608877
2023-05-04 12:00:00,193.82,193.27,195.94,195.94,758571
2023-05-04 11:00:00,195.21,193.81,196.11,193.8276,858839
2023-05-04 10:00:00,197.09,193.56,197.155,195.21,1711187
2023-05-03 16:00:00,200.93,200.6,201.3,200.6,257116
2023-05-03 15:00:00,202.99,200.55,203.57,200.95,1124511
2023-05-03 14:00:00,203.0,202.275,204.17,203.04,509207
2023-05-03 13:00:00,203.235,202.81,203.8531,203.0401,207428
2023-05-03 12:00:00,203.9,202.77,204.0199,203.19,334794
2023-05-03 11:00:00,205.7,203.14,205.89,203.9899,561892
2023-05-03 10:00:00,204.11,203.9901,206.1014,205.7,703657
2023-05-02 16:00:00,203.25,202.96,203.25,202.96,32036
2023-05-02 15:00:00,203.0021,202.62,203.84,203.26,605362
2023-05-02 14:00:00,203.015,202.52,203.25,202.98,245573
2023-05-02 13:00:00,202.69,202.45,203.61,203.01,346743
2023-05-02 12:00:00,202.08,201.47,202.665,202.665,254088
2023-05-02 11:00:00,200.57,200.09,202.46,202.04,656377
2023-05-02 10:00:00,203.1,200.5775,203.375,200.6099,880125
2023-05-01 16:00:00,203.87,203.87,204.1,203.87,57783
2023-05-01 15:00:00,204.49,203.62,204.7,203.84,868985
2023-05-01 14:00:00,205.49,204.15,205.6685,204.4501,360898
2023-05-01 13:00:00,206.73,204.68,206.85,205.48,445769
2023-05-01 12:00:00,206.56,206.3,207.02,206.6959,287088
2023-05-01 11:00:00,207.16,206.11,207.36,206.535,441046
2023-05-01 10:00:00,207.2,206.65,207.85,207.13,473389
2023-04-28 16:00:00,206.78,206.5,206.85,206.6,56601
2023-04-28 15:00:00,205.74,205.68,206.95,206.74,701178
2023-04-28 14:00:00,205.72,205.67,206.36,205.75,351350
2023-04-28 13:00:00,206.05,205.2,206.05,205.6701,206607
2023-04-28 12:00:00,205.425,204.87,206.05,206.05,332132
2023-04-28 11:00:00,204.79,204.21,205.57,205.4375,389333
2023-04-28 10:00:00,203.92,203.89,205.83,204.73,623044
2023-04-27 16:00:00,206.04,205.8,206.25,205.85,176001
2023-04-27 15:00:00,206.6,205.775,206.74,206.07,699425
2023-04-27 14:00:00,206.27,206.23,207.1437,206.62,516108
2023-04-27 13:00:00,206.02,205.53,206.52,206.25,314614
2023-04-27 12:00:00,205.24,205.0,206.28,206.0,406309
2023-04-27 11:00:00,205.06,203.53,205.3,205.24,788466
2023-04-27 10:00:00,207.54,204.79,207.6,205.0359,827507
2023-04-26 16:00:00,203.03,202.9,203.95,203.5,97238
2023-04-26 15:00:00,205.43,202.68,205.43,203.06,1119304
2023-04-26 14:00:00,206.67,205.3,206.73,205.45,485864
2023-04-26 13:00:00,208.54,206.39,208.89,206.6699,476612
2023-04-26 12:00:00,208.11,207.14,208.58,208.5272,646098
2023-04-26 11:00:00,206.32,206.22,209.18,208.08,1073849
2023-04-26 10:00:00,209.61,204.22,210.11,206.315,2260872
2023-04-25 16:00:00,202.19,201.99,202.9,202.9,42325
