date,open,low,high,close,volume
2023-05-08 11:00:00,80.53,80.42,80.61,80.465,147161
2023-05-08 10:00:00,80.89,80.52,80.97,80.53,373738
2023-05-05 16:00:00,80.59,80.59,80.59,80.59,60556
2023-05-05 15:00:00,80.63,80.505,80.77,80.62,839880
2023-05-05 14:00:00,80.68,80.5,80.74,80.635,435252
2023-05-05 13:00:00,80.56,80.5,80.75,80.68,287558
2023-05-05 12:00:00,80.875,80.4,80.885,80.56,349189
2023-05-05 11:00:00,80.64,80.53,81.0,80.875,1017491
2023-05-05 10:00:00,80.77,80.54,80.85,80.66,1227401
2023-05-04 16:00:00,80.79,80.79,80.79,80.79,119770
2023-05-04 15:00:00,80.695,80.455,80.86,80.82,1351957
2023-05-04 14:00:00,80.8,80.615,80.96,80.7,1188558
2023-05-04 13:00:00,81.55,80.79,81.555,80.8,1120077
2023-05-04 12:00:00,81.255,81.17,81.76,81.55,600741
2023-05-04 11:00:00,81.455,81.19,81.46,81.26,412818
2023-05-04 10:00:00,80.99,80.92,81.51,81.4587,616066
2023-05-03 16:00:00,81.26,80.8508,81.26,81.26,50428
2023-05-03 15:00:00,81.68,81.25,81.83,81.26,1671194
2023-05-03 14:00:00,81.28,81.21,81.83,81.69,961753
2023-05-03 13:00:00,81.4,81.25,81.47,81.295,459154
2023-05-03 12:00:00,81.36,81.28,81.49,81.395,374139
2023-05-03 11:00:00,80.99,80.92,81.465,81.35,608022
2023-05-03 10:00:00,80.87,80.78,81.1,81.0,757279
2023-05-02 16:00:00,80.85,80.85,80.85,80.85,93908
2023-05-02 15:00:00,80.81,80.805,81.04,80.86,1513095
2023-05-02 14:00:00,80.93,80.625,80.945,80.81,695844
2023-05-02 13:00:00,80.915,80.76,81.055,80.925,518640
2023-05-02 12:00:00,80.63,80.59,80.94,80.91,578889
2023-05-02 11:00:00,80.7284,80.26,80.73,80.64,558506
2023-05-02 10:00:00,80.95,80.56,81.02,80.72,558703
2023-05-01 16:00:00,80.69,80.69,80.85,80.85,120917
2023-05-01 15:00:00,80.765,80.59,80.88,80.69,1625910
2023-05-01 14:00:00,81.02,80.51,81.025,80.76,661415
2023-05-01 13:00:00,80.81,80.705,81.02,81.02,664509
2023-05-01 12:00:00,80.61,80.47,80.83,80.805,498422
2023-05-01 11:00:00,80.42,80.31,80.685,80.63,464868
2023-05-01 10:00:00,80.05,79.99,80.46,80.44,694330
2023-04-28 16:00:00,79.8,79.56,79.8,79.8,140643
2023-04-28 15:00:00,79.97,79.52,79.975,79.8,1701484
2023-04-28 14:00:00,80.3712,79.7292,80.5462,79.97,838948
2023-04-28 13:00:00,81.07,80.24,81.1,80.375,500744
2023-04-28 12:00:00,81.35,80.82,81.49,81.07,774737
2023-04-28 11:00:00,80.795,80.64,81.385,81.35,1050309
2023-04-28 10:00:00,80.77,80.095,81.19,80.79,1766636
2023-04-27 16:00:00,77.93,77.85,78.0,77.85,140722
2023-04-27 15:00:00,77.88,77.67,77.975,77.95,1601473
2023-04-27 14:00:00,77.4515,77.43,77.89,77.88,540754
2023-04-27 13:00:00,77.38,77.2141,77.49,77.45,357368
2023-04-27 12:00:00,77.315,77.315,77.51,77.38,276931
2023-04-27 11:00:00,77.16,76.845,77.31,77.31,412117
2023-04-27 10:00:00,77.12,77.07,77.28,77.16,451690
2023-04-26 16:00:00,76.68,76.68,76.68,76.68,445251
2023-04-26 15:00:00,77.25,76.615,77.295,76.67,1296589
2023-04-26 14:00:00,77.11,77.065,77.27,77.245,300274
2023-04-26 13:00:00,77.32,77.08,77.35,77.1,260060
2023-04-26 12:00:00,77.33,77.21,77.4,77.33,229967
2023-04-26 11:00:00,77.48,77.301,77.54,77.34,253007
2023-04-26 10:00:00,77.395,77.29,77.64,77.47,380791
2023-04-25 16:00:00,77.7,77.7,77.7,77.7,60741
2023-04-25 15:00:00,77.64,77.515,77.83,77.7,1569144
2023-04-25 14:00:00,77.635,77.555,77.725,77.645,533888
2023-04-25 13:00:00,77.67,77.51,77.745,77.635,478430
2023-04-25 12:00:00,78.14,77.665,78.14,77.675,956746
2023-04-25 11:00:00,78.3,78.06,78.355,78.14,624851
2023-04-25 10:00:00,78.2,78.01,78.56,78.29,942275
2023-04-24 16:00:00,77.88,77.77,77.88,77.77,91102
2023-04-24 15:00:00,77.755,77.685,77.935,77.9,1429626
2023-04-24 14:00:00,77.825,77.68,77.84,77.755,552410
2023-04-24 13:00:00,77.535,77.51,77.835,77.82,579046
2023-04-24 12:00:00,77.5601,77.34,77.585,77.535,281977
2023-04-24 11:00:00,77.8,77.5,77.815,77.57,447518
2023-04-24 10:00:00,77.02,77.02,77.825,77.795,493759
2023-04-21 16:00:00,76.8,76.8,76.8,76.8,3055714
2023-04-21 15:00:00,77.06,76.75,77.21,76.8,2033225
2023-04-21 14:00:00,76.96,76.95,77.065,77.055,458305
