date,open,low,high,close,volume
2023-05-08 11:00:00,495.97,495.97,497.425,497.395,45363
2023-05-08 10:00:00,496.97,495.7,497.53,495.97,151868
2023-05-05 16:00:00,499.06,499.06,499.06,499.06,76244
2023-05-05 15:00:00,498.8101,498.005,499.33,499.05,334760
2023-05-05 14:00:00,497.23,497.14,499.4,498.78,157295
2023-05-05 13:00:00,495.5648,494.955,497.28,497.28,144466
2023-05-05 12:00:00,496.53,494.785,496.6403,495.55,172419
2023-05-05 11:00:00,496.04,495.42,497.27,496.61,185583
2023-05-05 10:00:00,494.095,493.89,496.75,495.995,246240
2023-05-04 16:00:00,490.34,490.34,490.34,490.34,33893
2023-05-04 15:00:00,488.01,487.9,490.91,490.34,326516
2023-05-04 14:00:00,489.4,487.56,490.07,487.93,102810
2023-05-04 13:00:00,488.84,488.275,490.5,489.41,137693
2023-05-04 12:00:00,487.95,487.0,488.82,488.78,96432
2023-05-04 11:00:00,488.23,487.4224,490.43,487.96,135666
2023-05-04 10:00:00,487.09,486.155,488.52,488.055,253121
2023-05-03 16:00:00,490.06,488.99,490.12,489.9777,28705
2023-05-03 15:00:00,493.795,489.6615,494.5,490.07,405534
2023-05-03 14:00:00,493.91,492.06,495.74,493.72,139516
2023-05-03 13:00:00,493.535,493.24,494.3,494.0907,96814
2023-05-03 12:00:00,495.65,492.5,495.695,493.64,144610
2023-05-03 11:00:00,494.93,494.3875,496.3899,495.605,125696
2023-05-03 10:00:00,497.38,493.97,498.34,494.93,201317
2023-05-02 16:00:00,494.81,494.81,494.81,494.81,15458
2023-05-02 15:00:00,494.41,493.67,495.35,494.69,309627
2023-05-02 14:00:00,492.935,492.48,494.42,494.34,123668
2023-05-02 13:00:00,491.72,491.27,493.18,493.03,114818
2023-05-02 12:00:00,490.73,489.81,491.7477,491.7477,146039
2023-05-02 11:00:00,493.25,490.28,493.36,490.612,203076
2023-05-02 10:00:00,493.97,491.443,494.7,493.36,281753
2023-05-01 16:00:00,493.59,493.09,494.26,493.59,64096
2023-05-01 15:00:00,493.64,493.16,494.495,493.49,418636
2023-05-01 14:00:00,495.325,493.485,495.41,493.65,142885
2023-05-01 13:00:00,496.44,495.13,496.73,495.34,145233
2023-05-01 12:00:00,494.35,494.35,496.97,496.36,154870
2023-05-01 11:00:00,494.42,493.53,495.98,494.31,242063
2023-05-01 10:00:00,491.74,489.71,494.59,494.27,322928
2023-04-28 16:00:00,503.22,502.9,503.53,503.22,44125
2023-04-28 15:00:00,502.72,502.0,503.625,503.2,285577
2023-04-28 14:00:00,502.63,501.83,503.2,502.61,82656
2023-04-28 13:00:00,504.1886,502.26,504.2899,502.59,69119
2023-04-28 12:00:00,503.32,502.825,504.22,504.09,79044
2023-04-28 11:00:00,501.01,500.64,503.4399,503.19,94332
2023-04-28 10:00:00,501.36,500.72,503.56,500.9478,138677
2023-04-27 16:00:00,501.27,499.01,501.27,501.27,88499
2023-04-27 15:00:00,501.89,500.86,502.26,501.22,316147
2023-04-27 14:00:00,499.94,499.51,501.88,501.88,113333
2023-04-27 13:00:00,499.66,498.79,500.27,499.78,110230
2023-04-27 12:00:00,500.38,499.38,501.1899,499.625,82299
2023-04-27 11:00:00,500.35,499.15,500.9,500.62,95085
2023-04-27 10:00:00,497.57,497.35,500.75,500.2563,167358
2023-04-26 16:00:00,494.66,494.66,495.24,495.24,56379
2023-04-26 15:00:00,495.04,493.39,495.505,494.57,402984
2023-04-26 14:00:00,495.08,494.54,496.54,495.12,136224
2023-04-26 13:00:00,497.5,494.99,497.7589,495.1171,115552
2023-04-26 12:00:00,497.964,497.2,498.7,497.4927,87087
2023-04-26 11:00:00,497.865,497.83,500.01,497.99,136678
2023-04-26 10:00:00,501.88,497.77,502.13,497.77,164159
2023-04-25 16:00:00,503.17,502.0,503.95,503.18,81584
2023-04-25 15:00:00,503.67,502.26,504.57,503.27,412478
2023-04-25 14:00:00,505.98,503.7,506.63,503.77,220505
2023-04-25 13:00:00,507.4101,505.3,507.89,505.8,165957
2023-04-25 12:00:00,510.3,507.24,510.37,507.36,132355
2023-04-25 11:00:00,512.47,509.88,512.47,510.39,181606
2023-04-25 10:00:00,511.53,510.46,513.13,512.43,225448
2023-04-24 16:00:00,511.42,511.42,511.77,511.42,45278
2023-04-24 15:00:00,509.595,509.4,511.69,511.5,375629
2023-04-24 14:00:00,508.74,508.51,509.7201,509.55,153541
2023-04-24 13:00:00,508.42,507.91,508.75,508.64,86712
2023-04-24 12:00:00,507.62,507.17,508.84,508.46,92170
2023-04-24 11:00:00,506.52,506.41,508.25,507.62,116569
2023-04-24 10:00:00,508.74,506.25,509.01,506.53,156358
2023-04-21 16:00:00,506.35,506.35,506.8499,506.8499,62495
2023-04-21 15:00:00,506.86,505.81,507.365,506.42,308524
2023-04-21 14:00:00,507.49,505.97,508.265,506.79,110032
2023-04-21 13:00:00,506.57,506.25,507.72,507.4,157929
2023-04-21 12:00:00,506.705,505.59,506.705,506.475,85289
2023-04-21 11:00:00,506.28,505.5421,507.2,506.615,132083
2023-04-21 10:00:00,506.29,505.46,508.7744,506.3199,223121
2023-04-20 16:00:00,505.58,505.4,505.58,505.58,86398
2023-04-20 15:00:00,506.03,503.57,506.31,505.45,609527
2023-04-20 14:00:00,509.02,505.7501,509.09,505.99,316570
2023-04-20 13:00:00,510.56,508.94,510.58,509.02,214987
2023-04-20 12:00:00,508.79,508.0,510.66,510.645,239679
2023-04-20 11:00:00,507.5,507.05,509.0,508.6507,300763
2023-04-20 10:00:00,501.83,500.72,508.49,507.29,597774
2023-04-19 16:00:00,496.03,496.03,496.03,496.03,28887
2023-04-19 15:00:00,496.585,495.7,497.2,496.03,252610
2023-04-19 14:00:00,496.7606,496.2,497.38,496.64,109037
2023-04-19 13:00:00,496.84,496.4,497.42,496.84,91744
2023-04-19 12:00:00,497.49,496.54,497.89,496.825,112976
2023-04-19 11:00:00,496.29,495.81,497.59,497.385,107851
2023-04-19 10:00:00,495.02,494.42,497.0,496.135,151519
2023-04-18 16:00:00,496.99,496.7,497.37,496.9,80191
2023-04-18 15:00:00,495.6,495.59,497.32,496.97,288185
2023-04-18 14:00:00,494.69,494.6449,496.16,495.565,122270
2023-04-18 13:00:00,495.125,494.26,495.69,494.66,89890
2023-04-18 12:00:00,494.29,494.29,495.54,495.05,92914
2023-04-18 11:00:00,495.865,494.115,496.29,494.3789,105203
2023-04-18 10:00:00,497.52,495.37,497.53,495.87,194714
2023-04-17 16:00:00,493.94,493.94,494.1999,494.1999,55550
2023-04-17 15:00:00,493.07,493.01,494.545,493.94,343614
2023-04-17 14:00:00,491.48,491.15,493.33,493.01,121588
2023-04-17 13:00:00,493.18,491.28,493.24,491.533,94708
2023-04-17 12:00:00,493.64,492.675,494.05,493.0475,98262
2023-04-17 11:00:00,495.95,492.95,496.2,493.64,146777
2023-04-17 10:00:00,495.79,495.18,497.89,495.95,207132
2023-04-14 16:00:00,491.3,491.3,492.35,492.35,58567
2023-04-14 15:00:00,492.91,490.88,492.93,491.28,511879
2023-04-14 14:00:00,492.35,491.83,493.4587,492.97,184603
2023-04-14 13:00:00,490.23,490.16,492.55,492.32,134119
2023-04-14 12:00:00,493.3337,490.18,493.4474,490.23,143176
2023-04-14 11:00:00,494.37,492.6443,494.505,493.46,108807
2023-04-14 10:00:00,498.03,493.92,498.41,494.49,208470
2023-04-13 16:00:00,497.89,497.89,498.21,497.91,98328
2023-04-13 15:00:00,497.58,496.665,498.44,497.93,432995
2023-04-13 14:00:00,494.67,494.52,497.72,497.565,165018
2023-04-13 13:00:00,492.79,492.46,495.03,494.54,108120
2023-04-13 12:00:00,491.705,491.62,492.95,492.81,92825
2023-04-13 11:00:00,490.955,490.91,492.0899,491.73,110189
2023-04-13 10:00:00,490.78,490.71,492.86,490.91,149936
2023-04-12 16:00:00,489.35,489.35,490.95,490.53,125558
2023-04-12 15:00:00,490.72,488.54,491.1199,489.361,719340
2023-04-12 14:00:00,494.59,490.7,494.91,490.9,221728
2023-04-12 13:00:00,496.97,494.0172,497.13,494.6,144998
2023-04-12 12:00:00,495.925,495.7,497.15,496.94,97614
2023-04-12 11:00:00,495.27,494.37,496.25,495.91,128749
2023-04-12 10:00:00,498.75,494.77,499.7,495.145,187880
