date,open,low,high,close,volume
2023-05-08 11:00:00,69.7499,69.695,69.82,69.77,333472
2023-05-08 10:00:00,70.12,69.6666,70.15,69.74,1464010
2023-05-05 16:00:00,70.68,70.6,70.71,70.65,446838
2023-05-05 15:00:00,70.8142,70.62,70.9424,70.7,1640049
2023-05-05 14:00:00,70.485,70.44,70.945,70.81,698597
2023-05-05 13:00:00,70.76,70.39,70.7957,70.48,742831
2023-05-05 12:00:00,70.83,70.53,70.94,70.755,798521
2023-05-05 11:00:00,71.16,70.63,71.33,70.85,1163710
2023-05-05 10:00:00,71.18,70.805,71.52,71.16,1326979
2023-05-04 16:00:00,68.79,68.6,68.9099,68.6999,1002798
2023-05-04 15:00:00,68.785,68.59,68.97,68.785,1743969
2023-05-04 14:00:00,68.405,68.385,68.8,68.79,1093448
2023-05-04 13:00:00,68.295,68.175,68.6,68.405,964471
2023-05-04 12:00:00,68.19,68.13,68.57,68.29,825177
2023-05-04 11:00:00,68.62,68.19,68.88,68.2,1008684
2023-05-04 10:00:00,68.96,68.1038,68.965,68.61,1615930
2023-05-03 16:00:00,70.08,69.97,70.3,69.97,147539
2023-05-03 15:00:00,70.075,69.74,70.23,70.12,3219631
2023-05-03 14:00:00,70.56,69.94,70.7,70.07,1496631
2023-05-03 13:00:00,70.57,70.5,70.75,70.567,787832
2023-05-03 12:00:00,70.54,70.47,70.78,70.565,1136295
2023-05-03 11:00:00,70.8,70.27,70.81,70.54,1419006
2023-05-03 10:00:00,70.245,70.21,71.12,70.8,2324112
2023-05-02 16:00:00,72.76,72.75,72.89,72.86,93209
2023-05-02 15:00:00,72.36,72.35,72.89,72.71,2213872
2023-05-02 14:00:00,72.42,72.09,72.435,72.3577,761989
2023-05-02 13:00:00,72.16,72.035,72.4375,72.415,771452
2023-05-02 12:00:00,72.05,71.8,72.175,72.175,600758
2023-05-02 11:00:00,72.04,71.65,72.11,72.055,990860
2023-05-02 10:00:00,73.16,72.035,73.21,72.04,1140380
2023-05-01 16:00:00,73.89,73.88,73.9,73.88,122235
2023-05-01 15:00:00,73.84,73.785,74.0,73.87,1152769
2023-05-01 14:00:00,73.94,73.73,74.005,73.83,621062
2023-05-01 13:00:00,73.89,73.77,73.955,73.95,531085
2023-05-01 12:00:00,73.95,73.76,73.95,73.89,439889
2023-05-01 11:00:00,73.75,73.68,74.07,73.95,815227
2023-05-01 10:00:00,73.22,73.1599,73.835,73.75,976378
2023-04-28 16:00:00,73.31,73.2601,73.33,73.3,279176
2023-04-28 15:00:00,73.22,73.21,73.445,73.32,1430686
2023-04-28 14:00:00,73.11,73.0,73.305,73.22,732222
2023-04-28 13:00:00,73.51,73.09,73.56,73.105,840192
2023-04-28 12:00:00,73.415,73.3702,73.59,73.5157,479635
2023-04-28 11:00:00,73.08,73.01,73.44,73.4198,703027
2023-04-28 10:00:00,73.1,72.98,73.335,73.08,996146
2023-04-27 16:00:00,73.06,73.06,73.1,73.07,455074
2023-04-27 15:00:00,73.05,72.9422,73.1251,73.06,1109155
2023-04-27 14:00:00,72.64,72.615,73.05,73.05,646280
2023-04-27 13:00:00,72.37,72.37,72.7,72.63,571785
2023-04-27 12:00:00,72.63,72.335,72.8099,72.37,770640
2023-04-27 11:00:00,72.61,72.23,72.66,72.6302,1104498
2023-04-27 10:00:00,72.875,72.48,72.95,72.615,792511
2023-04-26 16:00:00,72.26,72.1,72.26,72.26,250396
2023-04-26 15:00:00,72.165,72.1,72.32,72.25,1643773
2023-04-26 14:00:00,72.105,72.03,72.19,72.165,565143
2023-04-26 13:00:00,72.195,72.0925,72.3179,72.1,717075
2023-04-26 12:00:00,72.15,72.0729,72.2899,72.185,915117
2023-04-26 11:00:00,72.225,72.105,72.52,72.155,914677
2023-04-26 10:00:00,72.19,71.94,72.345,72.22,1039072
2023-04-25 16:00:00,72.87,72.87,73.09,73.0,1273331
2023-04-25 15:00:00,72.73,72.7201,73.01,72.88,1123457
2023-04-25 14:00:00,72.88,72.73,72.9495,72.74,571722
2023-04-25 13:00:00,73.3599,72.885,73.3599,72.885,614073
2023-04-25 12:00:00,73.69,73.35,73.755,73.35,354240
2023-04-25 11:00:00,73.77,73.585,73.95,73.6999,707662
2023-04-25 10:00:00,73.445,73.26,73.8092,73.76,760475
2023-04-24 16:00:00,73.44,73.4,73.44,73.4,747921
2023-04-24 15:00:00,73.24,73.145,73.55,73.47,1485571
2023-04-24 14:00:00,73.3491,73.17,73.405,73.24,620049
2023-04-24 13:00:00,73.185,73.17,73.425,73.3443,678709
2023-04-24 12:00:00,73.09,72.95,73.199,73.19,460696
2023-04-24 11:00:00,72.99,72.71,73.13,73.1,518011
2023-04-24 10:00:00,73.28,72.84,73.35,73.0,808504
