date,open,low,high,close,volume
2023-05-08 11:00:00,160.72,160.605,161.15,160.99,236709
2023-05-08 10:00:00,161.15,160.16,161.44,160.725,703630
2023-05-05 16:00:00,160.78,160.17,160.79,160.3,145601
2023-05-05 15:00:00,160.93,160.03,161.0851,160.21,1123889
2023-05-05 14:00:00,160.4,160.32,161.12,160.945,501744
2023-05-05 13:00:00,159.92,159.92,160.56,160.38,588987
2023-05-05 12:00:00,159.59,159.4,160.09,159.905,383761
2023-05-05 11:00:00,159.89,159.22,160.26,159.65,516224
2023-05-05 10:00:00,160.775,159.65,160.99,159.91,815162
2023-05-04 16:00:00,156.22,156.02,156.5,156.4,170674
2023-05-04 15:00:00,156.7,156.11,157.16,156.22,1587745
2023-05-04 14:00:00,156.61,156.0,156.85,156.7,467730
2023-05-04 13:00:00,156.71,156.36,157.84,156.6,555984
2023-05-04 12:00:00,156.24,155.75,156.85,156.66,520389
2023-05-04 11:00:00,156.61,156.2,157.799,156.29,978098
2023-05-04 10:00:00,156.85,155.42,157.34,156.64,1485675
2023-05-03 16:00:00,156.77,156.77,157.2,156.85,147887
2023-05-03 15:00:00,158.85,156.74,159.07,156.83,1783480
2023-05-03 14:00:00,158.77,157.945,159.44,158.795,757796
2023-05-03 13:00:00,158.58,158.411,159.08,158.81,465180
2023-05-03 12:00:00,158.035,157.99,158.85,158.6043,521694
2023-05-03 11:00:00,158.1,157.44,158.63,158.02,872582
2023-05-03 10:00:00,159.04,157.63,159.51,158.11,1304367
2023-05-02 16:00:00,160.04,159.65,160.04,159.6505,157645
2023-05-02 15:00:00,160.29,159.89,160.72,160.05,1880889
2023-05-02 14:00:00,159.36,158.66,160.36,160.25,1095071
2023-05-02 13:00:00,159.505,159.26,160.11,159.344,1292740
2023-05-02 12:00:00,159.28,158.45,159.76,159.5,1125448
2023-05-02 11:00:00,159.93,158.47,160.125,159.2572,1329808
2023-05-02 10:00:00,162.45,159.7,162.72,159.94,1658942
2023-05-01 16:00:00,167.23,167.23,167.49,167.49,296182
2023-05-01 15:00:00,167.39,166.8,167.5,167.23,1199571
2023-05-01 14:00:00,167.22,166.93,167.48,167.3829,505327
2023-05-01 13:00:00,166.96,166.36,167.47,167.23,623371
2023-05-01 12:00:00,167.3,166.86,167.75,166.9536,406517
2023-05-01 11:00:00,167.402,166.91,167.7,167.3,574866
