date,open,low,high,close,volume
2023-05-08 11:00:00,73.14,73.05,73.205,73.135,44541
2023-05-08 10:00:00,73.97,73.14,73.97,73.14,56728
2023-05-05 16:00:00,73.56,73.56,73.56,73.56,33056
2023-05-05 15:00:00,73.63,73.24,73.665,73.53,388531
2023-05-05 14:00:00,73.505,73.455,73.73,73.64,100670
2023-05-05 13:00:00,73.045,73.025,73.6333,73.5,224862
2023-05-05 12:00:00,72.99,72.88,73.34,73.04,125232
2023-05-05 11:00:00,72.9,72.7479,73.03,72.99,123188
2023-05-05 10:00:00,72.925,72.73,73.07,72.86,116220
2023-05-04 16:00:00,72.49,72.49,72.49,72.49,48684
2023-05-04 15:00:00,72.5,72.36,72.75,72.5,822787
2023-05-04 14:00:00,72.78,72.4,72.87,72.5,279083
2023-05-04 13:00:00,72.83,72.67,73.285,72.78,176648
2023-05-04 12:00:00,71.93,71.87,72.85,72.825,126412
2023-05-04 11:00:00,72.335,71.85,72.55,71.935,129973
2023-05-04 10:00:00,71.17,71.13,72.44,72.34,298370
2023-05-03 16:00:00,71.67,71.67,71.67,71.67,15570
2023-05-03 15:00:00,72.51,71.55,72.69,71.6788,616107
2023-05-03 14:00:00,73.02,72.25,73.24,72.5499,290978
2023-05-03 13:00:00,73.31,73.09,73.51,73.09,152586
2023-05-03 12:00:00,72.68,72.43,73.3,73.3,211693
2023-05-03 11:00:00,72.39,72.36,73.22,72.68,209046
2023-05-03 10:00:00,72.22,71.92,73.115,72.42,431145
2023-05-02 16:00:00,73.28,73.28,73.28,73.28,39746
2023-05-02 15:00:00,73.795,73.03,73.99,73.3,639244
2023-05-02 14:00:00,73.41,73.22,73.84,73.8,229434
2023-05-02 13:00:00,73.605,73.3,73.605,73.43,252759
2023-05-02 12:00:00,73.32,73.2143,73.62,73.62,247787
2023-05-02 11:00:00,73.55,72.7,73.565,73.34,158893
2023-05-02 10:00:00,74.0,73.34,74.05,73.56,181803
2023-05-01 16:00:00,73.95,73.95,73.95,73.95,30987
2023-05-01 15:00:00,74.38,73.94,74.465,73.95,289773
2023-05-01 14:00:00,74.87,74.37,74.92,74.37,101546
2023-05-01 13:00:00,74.73,74.62,74.87,74.87,83628
2023-05-01 12:00:00,74.55,74.501,74.82,74.71,160346
2023-05-01 11:00:00,74.44,74.39,74.68,74.56,88886
2023-05-01 10:00:00,73.94,73.805,74.49,74.48,138320
2023-04-28 16:00:00,73.6,73.6,73.6,73.6,36988
2023-04-28 15:00:00,73.51,73.51,73.83,73.63,396929
2023-04-28 14:00:00,73.62,73.22,73.8091,73.49,104366
2023-04-28 13:00:00,73.67,73.52,73.69,73.6,87959
2023-04-28 12:00:00,73.83,73.52,73.83,73.67,68472
2023-04-28 11:00:00,73.57,73.42,73.87,73.815,59543
2023-04-28 10:00:00,73.3,73.21,73.83,73.59,81160
2023-04-27 16:00:00,73.57,73.25,73.57,73.5,23416
2023-04-27 15:00:00,73.53,73.27,73.62,73.57,255678
2023-04-27 14:00:00,73.025,72.99,73.52,73.52,81337
2023-04-27 13:00:00,73.03,72.805,73.11,73.02,98542
2023-04-27 12:00:00,73.04,73.04,73.26,73.045,78028
2023-04-27 11:00:00,73.06,72.5,73.0758,73.02,120726
2023-04-27 10:00:00,73.22,72.99,73.46,73.08,134185
2023-04-26 16:00:00,73.0,73.0,73.0,73.0,27310
2023-04-26 15:00:00,73.185,72.91,73.31,73.01,283397
2023-04-26 14:00:00,73.05,72.66,73.25,73.185,161251
2023-04-26 13:00:00,73.33,72.96,73.46,73.08,216310
2023-04-26 12:00:00,73.26,73.22,73.56,73.33,146310
2023-04-26 11:00:00,73.475,73.23,73.53,73.26,340797
2023-04-26 10:00:00,72.8,72.66,73.4605,73.45,106142
2023-04-25 16:00:00,73.77,73.77,73.77,73.77,18172
2023-04-25 15:00:00,73.7,73.64,73.92,73.78,222144
2023-04-25 14:00:00,73.6,73.56,73.81,73.7036,74622
2023-04-25 13:00:00,73.94,73.6,74.0,73.6,72212
2023-04-25 12:00:00,73.95,73.88,74.1,73.93,62270
2023-04-25 11:00:00,73.9,73.75,74.1,73.95,108445
2023-04-25 10:00:00,73.5,73.49,73.885,73.885,84976
2023-04-24 16:00:00,73.67,73.67,73.67,73.67,12578
2023-04-24 15:00:00,73.35,73.32,73.68,73.67,258527
2023-04-24 14:00:00,73.6,73.235,73.6,73.315,70717
2023-04-24 13:00:00,73.46,73.31,73.66,73.6,67972
2023-04-24 12:00:00,73.4,73.24,73.48,73.45,71721
2023-04-24 11:00:00,73.3,73.25,73.4799,73.41,75458
2023-04-24 10:00:00,73.13,73.04,73.48,73.31,86706
2023-04-21 16:00:00,72.93,72.93,72.93,72.93,27682
2023-04-21 15:00:00,73.09,72.92,73.13,72.92,243975
2023-04-21 14:00:00,73.07,73.05,73.14,73.09,65270
2023-04-21 13:00:00,72.99,72.86,73.14,73.07,64481
2023-04-21 12:00:00,72.95,72.88,73.075,73.01,45049
2023-04-21 11:00:00,72.88,72.75,73.16,72.93,71991
2023-04-21 10:00:00,73.07,72.76,73.16,72.88,84288
2023-04-20 16:00:00,73.0,73.0,73.0,73.0,32625
2023-04-20 15:00:00,72.77,72.66,73.03,73.01,270813
2023-04-20 14:00:00,72.835,72.58,72.93,72.78,78394
2023-04-20 13:00:00,72.93,72.84,72.97,72.84,93566
2023-04-20 12:00:00,72.87,72.76,72.96,72.93,67892
2023-04-20 11:00:00,73.19,72.81,73.35,72.87,111028
2023-04-20 10:00:00,72.52,72.44,73.19,73.18,158372
2023-04-19 16:00:00,72.74,72.74,72.74,72.74,29423
2023-04-19 15:00:00,72.57,72.47,72.77,72.73,390433
2023-04-19 14:00:00,72.71,72.53,72.82,72.56,106250
2023-04-19 13:00:00,72.64,72.57,72.75,72.705,78591
2023-04-19 12:00:00,72.81,72.58,72.88,72.634,152449
2023-04-19 11:00:00,72.85,72.7,72.88,72.81,70811
2023-04-19 10:00:00,72.71,72.63,73.19,72.86,206187
2023-04-18 16:00:00,72.11,72.11,72.11,72.11,74703
2023-04-18 15:00:00,72.19,72.095,72.38,72.11,317828
2023-04-18 14:00:00,72.13,71.99,72.29,72.14,148903
2023-04-18 13:00:00,72.015,71.975,72.18,72.12,125848
2023-04-18 12:00:00,72.08,72.0,72.3,72.0,96581
2023-04-18 11:00:00,72.3,71.95,72.35,72.07,70352
2023-04-18 10:00:00,72.62,72.23,72.84,72.28,203694
2023-04-17 16:00:00,72.08,72.08,72.08,72.08,31437
2023-04-17 15:00:00,72.05,71.94,72.17,72.1,329546
2023-04-17 14:00:00,71.595,71.45,72.11,72.05,112977
2023-04-17 13:00:00,71.915,71.59,71.915,71.59,107355
2023-04-17 12:00:00,71.94,71.79,71.97,71.9,76428
2023-04-17 11:00:00,72.01,71.78,72.18,71.93,96184
2023-04-17 10:00:00,71.63,71.58,72.1,72.0,202353
2023-04-14 16:00:00,71.61,71.61,71.61,71.61,33647
