date,open,low,high,close,volume
2023-05-08 11:00:00,33.07,32.96,33.16,32.96,168970
2023-05-08 10:00:00,32.97,32.52,33.08,33.0602,507136
2023-05-05 16:00:00,32.35,32.35,32.48,32.48,1046939
2023-05-05 15:00:00,32.595,32.245,32.635,32.37,1040755
2023-05-05 14:00:00,32.515,32.49,32.67,32.595,643512
2023-05-05 13:00:00,32.44,32.2817,32.525,32.505,330893
2023-05-05 12:00:00,32.215,32.215,32.47,32.44,330049
2023-05-05 11:00:00,32.295,32.03,32.455,32.22,365681
2023-05-05 10:00:00,32.42,32.22,32.665,32.3,693061
2023-05-04 16:00:00,31.04,31.04,31.3,31.3,68197
2023-05-04 15:00:00,31.295,31.02,31.315,31.04,1983421
2023-05-04 14:00:00,30.92,30.87,31.295,31.295,973330
2023-05-04 13:00:00,31.15,30.84,31.41,30.92,733716
2023-05-04 12:00:00,31.0,30.865,31.195,31.15,596993
2023-05-04 11:00:00,31.29,30.92,31.55,31.01,573830
2023-05-04 10:00:00,31.55,31.095,31.575,31.31,696960
2023-05-03 16:00:00,31.49,31.49,31.51,31.5,1240016
2023-05-03 15:00:00,32.03,31.39,32.22,31.49,1530665
2023-05-03 14:00:00,32.39,31.82,32.5,32.03,697679
2023-05-03 13:00:00,32.32,32.295,32.47,32.37,316663
2023-05-03 12:00:00,32.025,32.02,32.34,32.325,334704
2023-05-03 11:00:00,32.235,31.79,32.29,32.0,596463
2023-05-03 10:00:00,32.6,32.17,32.69,32.23,427743
2023-05-02 16:00:00,32.83,32.83,32.83,32.83,96723
2023-05-02 15:00:00,32.86,32.8,32.99,32.83,1507793
2023-05-02 14:00:00,32.72,32.545,32.9,32.855,584218
2023-05-02 13:00:00,32.5,32.4788,32.82,32.72,578740
2023-05-02 12:00:00,32.4,32.26,32.63,32.49,646887
2023-05-02 11:00:00,32.43,32.125,32.55,32.4,1186691
2023-05-02 10:00:00,32.88,32.38,33.03,32.44,998423
2023-05-01 16:00:00,34.27,34.27,34.35,34.35,70910
2023-05-01 15:00:00,34.44,34.235,34.475,34.27,1721666
2023-05-01 14:00:00,34.18,34.12,34.445,34.43,575479
2023-05-01 13:00:00,34.16,34.02,34.26,34.175,421397
2023-05-01 12:00:00,34.05,33.895,34.22,34.16,429153
2023-05-01 11:00:00,34.4,33.96,34.4,34.05,679860
2023-05-01 10:00:00,34.64,34.28,34.79,34.4,567354
2023-04-28 16:00:00,34.83,34.83,34.89,34.89,479598
2023-04-28 15:00:00,35.07,34.81,35.195,34.84,2003223
2023-04-28 14:00:00,35.01,34.9,35.1,35.0706,986075
2023-04-28 13:00:00,34.92,34.86,35.04,35.0,449432
2023-04-28 12:00:00,34.99,34.78,35.07,34.92,598543
2023-04-28 11:00:00,34.62,34.41,35.03,34.98,1356363
2023-04-28 10:00:00,34.1,34.02,34.88,34.62,1637427
2023-04-27 16:00:00,33.54,33.54,34.2,33.9,120745
2023-04-27 15:00:00,33.405,33.35,33.6,33.54,2202570
2023-04-27 14:00:00,33.72,33.4,33.84,33.41,996473
2023-04-27 13:00:00,33.645,33.62,34.04,33.72,1199521
2023-04-27 12:00:00,33.24,32.94,33.67,33.645,666178
2023-04-27 11:00:00,33.015,32.78,33.265,33.24,887629
2023-04-27 10:00:00,33.53,32.65,33.83,33.02,2562224
2023-04-26 16:00:00,31.36,31.36,32.05,31.41,73948
2023-04-26 15:00:00,31.2,31.07,31.42,31.35,1622787
2023-04-26 14:00:00,31.21,31.03,31.24,31.2,442000
2023-04-26 13:00:00,31.49,31.21,31.54,31.21,298536
2023-04-26 12:00:00,31.47,31.45,31.63,31.48,220873
2023-04-26 11:00:00,31.44,31.285,31.57,31.465,415446
2023-04-26 10:00:00,31.44,31.1,31.5,31.46,524019
2023-04-25 16:00:00,31.72,31.6,31.72,31.71,61370
2023-04-25 15:00:00,31.43,31.405,31.74,31.71,1297365
2023-04-25 14:00:00,31.465,31.43,31.705,31.4322,530360
2023-04-25 13:00:00,31.65,31.42,31.65,31.465,332322
2023-04-25 12:00:00,31.63,31.61,31.86,31.645,272898
2023-04-25 11:00:00,31.54,31.445,31.65,31.63,406260
2023-04-25 10:00:00,31.74,31.31,31.88,31.54,747780
2023-04-24 16:00:00,32.74,32.41,32.8,32.79,47999
2023-04-24 15:00:00,32.91,32.695,32.94,32.73,935135
2023-04-24 14:00:00,32.765,32.76,32.98,32.91,326222
2023-04-24 13:00:00,32.77,32.72,32.85,32.765,304317
2023-04-24 12:00:00,32.42,32.415,32.94,32.77,500878
2023-04-24 11:00:00,32.285,32.28,32.53,32.4306,429280
2023-04-24 10:00:00,32.54,32.255,32.67,32.28,651574
2023-04-21 16:00:00,32.59,32.59,32.59,32.59,52940
2023-04-21 15:00:00,32.395,32.16,32.615,32.595,1113833
2023-04-21 14:00:00,32.49,32.375,32.51,32.395,300820
2023-04-21 13:00:00,32.48,32.3,32.515,32.4796,826377
2023-04-21 12:00:00,32.67,32.44,32.72,32.47,358732
2023-04-21 11:00:00,32.635,32.43,32.7,32.67,604206
2023-04-21 10:00:00,32.54,32.5,32.965,32.635,1166110
2023-04-20 16:00:00,32.73,32.73,32.83,32.83,60727
2023-04-20 15:00:00,32.58,32.495,32.795,32.73,1799222
2023-04-20 14:00:00,32.78,32.555,32.94,32.575,676885
2023-04-20 13:00:00,32.8,32.75,32.96,32.79,1044528
2023-04-20 12:00:00,32.595,32.51,32.95,32.81,1036610
2023-04-20 11:00:00,33.12,32.59,33.13,32.5913,806016
2023-04-20 10:00:00,32.9,32.86,33.27,33.115,779535
2023-04-19 16:00:00,33.22,33.22,33.25,33.25,41442
2023-04-19 15:00:00,32.915,32.9,33.23,33.23,960731
2023-04-19 14:00:00,33.12,32.87,33.16,32.915,407101
2023-04-19 13:00:00,32.99,32.85,33.12,33.115,387309
2023-04-19 12:00:00,32.84,32.72,33.0,32.98,354897
2023-04-19 11:00:00,32.91,32.755,32.96,32.83,536975
