date,open,low,high,close,volume
2023-05-08 11:00:00,42.755,42.74,42.84,42.82,101486
2023-05-08 10:00:00,43.32,42.7354,43.32,42.76,407023
2023-05-05 16:00:00,42.85,42.6,42.89,42.6,114730
2023-05-05 15:00:00,42.695,42.64,42.85,42.84,1051893
2023-05-05 14:00:00,42.64,42.615,42.7983,42.695,254795
2023-05-05 13:00:00,42.525,42.52,42.72,42.6435,238122
2023-05-05 12:00:00,42.59,42.49,42.665,42.525,230828
2023-05-05 11:00:00,42.6,42.49,42.64,42.585,277883
2023-05-05 10:00:00,42.81,42.55,42.83,42.6,390623
2023-05-04 16:00:00,42.56,42.56,42.56,42.56,83023
2023-05-04 15:00:00,42.685,42.5,42.84,42.565,1332394
2023-05-04 14:00:00,42.82,42.61,42.845,42.685,339479
2023-05-04 13:00:00,42.92,42.74,43.07,42.8,543421
2023-05-04 12:00:00,42.425,42.425,42.93,42.915,966619
2023-05-04 11:00:00,42.55,42.235,42.575,42.43,515305
2023-05-04 10:00:00,41.63,41.53,42.61,42.555,1122638
2023-05-03 16:00:00,42.33,42.33,42.42,42.42,173336
2023-05-03 15:00:00,42.85,42.285,42.89,42.34,1336881
2023-05-03 14:00:00,42.88,42.675,43.06,42.85,791325
2023-05-03 13:00:00,42.71,42.665,42.91,42.88,325688
2023-05-03 12:00:00,42.65,42.515,42.73,42.7,302932
2023-05-03 11:00:00,42.535,42.39,42.72,42.645,411482
2023-05-03 10:00:00,42.67,42.2,42.79,42.535,569363
2023-05-02 16:00:00,42.57,42.57,42.57,42.57,99412
2023-05-02 15:00:00,42.78,42.52,42.83,42.6,1879378
2023-05-02 14:00:00,42.62,42.535,42.82,42.785,362304
2023-05-02 13:00:00,42.775,42.57,42.775,42.63,361600
2023-05-02 12:00:00,42.725,42.63,42.81,42.775,332159
2023-05-02 11:00:00,42.99,42.38,43.0,42.73,582876
2023-05-02 10:00:00,43.285,42.875,43.3,43.0,941905
2023-05-01 16:00:00,43.18,43.18,43.18,43.18,630305
2023-05-01 15:00:00,43.14,43.08,43.22,43.16,2092194
2023-05-01 14:00:00,43.39,43.14,43.39,43.14,493488
2023-05-01 13:00:00,43.345,43.27,43.395,43.385,596431
2023-05-01 12:00:00,43.325,43.24,43.39,43.345,421174
2023-05-01 11:00:00,43.06,43.025,43.335,43.33,619648
2023-05-01 10:00:00,42.87,42.79,43.085,43.065,634858
2023-04-28 16:00:00,42.44,42.3448,42.44,42.3448,3347338
2023-04-28 15:00:00,42.55,42.37,42.635,42.41,3224631
2023-04-28 14:00:00,42.66,42.455,42.77,42.555,522311
2023-04-28 13:00:00,42.77,42.625,42.8,42.6638,431112
2023-04-28 12:00:00,43.0,42.76,43.0,42.77,620458
2023-04-28 11:00:00,42.82,42.77,43.025,42.995,533514
2023-04-28 10:00:00,42.76,42.66,42.99,42.81,708824
2023-04-27 16:00:00,42.78,42.51,42.78,42.78,176371
2023-04-27 15:00:00,42.935,42.63,43.0,42.77,2804590
2023-04-27 14:00:00,42.855,42.83,42.955,42.935,536659
2023-04-27 13:00:00,42.96,42.83,42.975,42.86,533007
2023-04-27 12:00:00,43.16,42.97,43.235,42.97,398334
2023-04-27 11:00:00,43.125,42.905,43.185,43.155,594016
2023-04-27 10:00:00,43.08,43.08,43.27,43.13,273895
2023-04-26 16:00:00,42.79,42.79,42.79,42.79,85888
2023-04-26 15:00:00,42.79,42.74,42.99,42.77,1458215
2023-04-26 14:00:00,42.755,42.61,42.82,42.8,340830
2023-04-26 13:00:00,42.9457,42.71,42.9654,42.75,382330
2023-04-26 12:00:00,42.9007,42.79,42.96,42.94,271334
2023-04-26 11:00:00,43.045,42.92,43.17,42.92,464753
2023-04-26 10:00:00,42.92,42.63,43.13,43.035,761983
2023-04-25 16:00:00,43.61,43.61,43.61,43.61,55075
2023-04-25 15:00:00,43.555,43.53,43.71,43.62,888045
2023-04-25 14:00:00,43.485,43.47,43.6,43.555,292633
2023-04-25 13:00:00,43.6,43.48,43.66,43.49,255369
2023-04-25 12:00:00,43.625,43.59,43.695,43.6,226563
2023-04-25 11:00:00,43.575,43.49,43.71,43.625,271932
2023-04-25 10:00:00,43.43,43.38,43.59,43.575,269214
2023-04-24 16:00:00,43.45,43.45,43.45,43.45,181280
2023-04-24 15:00:00,43.39,43.36,43.49,43.47,1257732
2023-04-24 14:00:00,43.515,43.3001,43.52,43.38,358376
2023-04-24 13:00:00,43.391,43.325,43.62,43.52,545110
2023-04-24 12:00:00,43.405,43.35,43.435,43.395,350411
2023-04-24 11:00:00,43.225,43.19,43.47,43.41,396074
2023-04-24 10:00:00,43.1,43.05,43.33,43.23,521376
2023-04-21 16:00:00,43.22,43.22,43.22,43.22,73892
2023-04-21 15:00:00,43.08,43.05,43.245,43.23,1531111
2023-04-21 14:00:00,43.06,43.05,43.13,43.075,425300
2023-04-21 13:00:00,43.01,42.91,43.09,43.0531,331241
2023-04-21 12:00:00,42.96,42.95,43.07,43.02,190008
2023-04-21 11:00:00,42.925,42.85,43.045,42.96,370792
2023-04-21 10:00:00,42.965,42.83,42.98,42.93,310270
2023-04-20 16:00:00,43.0,42.95,43.0,42.95,92273
2023-04-20 15:00:00,42.845,42.685,43.01,43.01,1060019
2023-04-20 14:00:00,43.025,42.82,43.05,42.85,308469
2023-04-20 13:00:00,43.04,42.95,43.06,43.025,264744
2023-04-20 12:00:00,42.86,42.86,43.04,43.04,227553
2023-04-20 11:00:00,42.92,42.815,43.03,42.86,328306
