date,open,low,high,close,volume
2023-05-08 11:00:00,231.45,230.63,231.55,230.88,41814
2023-05-08 10:00:00,230.1,229.97,231.48,231.45,114088
2023-05-05 16:00:00,229.3,229.3,229.3,229.3,16774
2023-05-05 15:00:00,230.635,228.98,230.73,229.29,371450
2023-05-05 14:00:00,229.055,228.9568,230.97,230.63,169860
2023-05-05 13:00:00,227.8,227.8,229.0545,229.02,114763
2023-05-05 12:00:00,227.68,227.37,228.24,227.7,55386
2023-05-05 11:00:00,227.07,226.73,228.05,227.64,69851
2023-05-05 10:00:00,227.97,226.69,228.15,226.87,141173
2023-05-04 16:00:00,226.37,225.92,226.37,225.92,33195
2023-05-04 15:00:00,226.58,225.94,226.99,226.37,271364
2023-05-04 14:00:00,226.28,225.53,226.38,226.38,85492
2023-05-04 13:00:00,226.71,226.1,227.255,226.32,85022
2023-05-04 12:00:00,225.79,225.01,226.6,226.6,86427
2023-05-04 11:00:00,226.37,225.72,227.29,225.84,67436
2023-05-04 10:00:00,227.29,225.6,227.59,226.2777,123140
2023-05-03 16:00:00,228.52,228.52,230.0,228.54,18303
2023-05-03 15:00:00,230.74,228.52,231.29,228.52,417936
2023-05-03 14:00:00,229.14,228.4,231.69,230.83,236277
2023-05-03 13:00:00,229.6,228.9647,229.61,229.24,82292
2023-05-03 12:00:00,229.675,228.855,229.7,229.691,82828
2023-05-03 11:00:00,228.57,228.29,230.13,229.6665,130872
2023-05-03 10:00:00,228.79,228.31,229.17,228.6,138815
2023-05-02 16:00:00,228.4,226.58,228.4,226.58,10798
2023-05-02 15:00:00,227.93,227.67,228.8,228.4,343112
2023-05-02 14:00:00,228.84,227.09,228.84,227.99,96795
2023-05-02 13:00:00,227.63,227.58,229.06,228.83,80592
2023-05-02 12:00:00,227.26,226.67,227.77,227.64,83971
2023-05-02 11:00:00,227.31,226.885,228.27,227.215,124100
2023-05-02 10:00:00,228.64,226.53,228.65,227.31,124157
2023-05-01 16:00:00,230.58,230.0,230.58,230.58,23266
2023-05-01 15:00:00,230.57,230.22,231.03,230.58,354399
2023-05-01 14:00:00,230.73,230.15,230.93,230.55,109033
2023-05-01 13:00:00,230.85,230.185,231.04,230.7,90710
2023-05-01 12:00:00,229.92,229.9,231.1899,230.92,91241
2023-05-01 11:00:00,229.385,228.74,230.11,229.9,111175
2023-05-01 10:00:00,228.88,228.5,230.04,229.34,127946
2023-04-28 16:00:00,227.78,227.5,227.78,227.52,130512
2023-04-28 15:00:00,227.44,227.19,228.3,227.78,462034
2023-04-28 14:00:00,227.94,227.09,228.265,227.3632,91010
2023-04-28 13:00:00,228.03,227.63,228.18,227.92,71775
2023-04-28 12:00:00,227.92,227.265,228.08,228.02,101852
2023-04-28 11:00:00,226.4469,226.03,228.0,227.99,123271
2023-04-28 10:00:00,226.02,226.02,228.61,226.772,148586
2023-04-27 16:00:00,225.94,225.49,226.76,225.5,45189
2023-04-27 15:00:00,226.0781,225.38,226.335,225.94,348640
2023-04-27 14:00:00,224.48,224.36,226.06,226.06,153228
2023-04-27 13:00:00,225.42,224.48,225.59,224.54,140949
2023-04-27 12:00:00,223.825,223.825,225.4655,225.41,175178
2023-04-27 11:00:00,223.364,223.01,223.99,223.88,155744
2023-04-27 10:00:00,224.455,223.21,224.46,223.37,168230
2023-04-26 16:00:00,222.77,221.72,224.5,222.77,39070
2023-04-26 15:00:00,222.335,221.7,222.975,222.73,542876
2023-04-26 14:00:00,222.365,222.09,223.1099,222.335,187726
2023-04-26 13:00:00,224.205,222.33,224.25,222.435,108006
2023-04-26 12:00:00,223.88,223.7,224.74,224.13,119606
2023-04-26 11:00:00,223.15,222.44,224.16,223.805,219049
2023-04-26 10:00:00,225.16,222.75,226.2699,222.9837,309872
2023-04-25 16:00:00,225.47,225.45,225.47,225.45,27179
2023-04-25 15:00:00,224.63,224.55,226.05,225.48,512126
2023-04-25 14:00:00,224.875,224.35,225.34,224.635,146630
2023-04-25 13:00:00,225.229,224.35,225.325,224.79,165635
2023-04-25 12:00:00,225.4,225.09,225.8347,225.354,99047
2023-04-25 11:00:00,224.59,224.43,225.6332,225.475,231785
2023-04-25 10:00:00,227.14,224.415,227.71,224.75,354648
2023-04-24 16:00:00,232.16,232.16,232.16,232.16,16834
2023-04-24 15:00:00,231.33,231.33,232.535,232.22,394958
2023-04-24 14:00:00,230.995,230.91,231.52,231.35,148187
2023-04-24 13:00:00,230.96,230.68,231.35,231.04,114902
2023-04-24 12:00:00,229.995,229.95,230.98,230.89,107234
2023-04-24 11:00:00,230.98,229.92,231.0481,229.995,135313
2023-04-24 10:00:00,232.11,230.305,232.215,230.9,173204
2023-04-21 16:00:00,230.44,230.44,230.9,230.86,33724
2023-04-21 15:00:00,230.96,230.25,231.3691,230.43,458924
2023-04-21 14:00:00,231.0,230.3311,231.9,230.99,363231
2023-04-21 13:00:00,230.54,230.4,231.07,230.95,132990
2023-04-21 12:00:00,230.765,229.7001,231.09,230.56,149567
2023-04-21 11:00:00,230.85,230.535,231.69,230.79,144499
2023-04-21 10:00:00,231.485,230.59,232.5,230.96,384032
