date,open,low,high,close,volume
2023-05-08 11:00:00,100.745,100.56,100.8,100.58,134482
2023-05-08 10:00:00,100.76,100.6,101.09,100.745,560425
2023-05-05 16:00:00,100.24,100.2381,100.25,100.2381,93316
2023-05-05 15:00:00,100.17,100.0,100.28,100.24,859289
2023-05-05 14:00:00,100.22,100.005,100.3,100.17,751944
2023-05-05 13:00:00,100.18,100.04,100.22,100.22,402263
2023-05-05 12:00:00,100.1,99.955,100.28,100.19,451973
2023-05-05 11:00:00,100.105,99.75,100.5025,100.09,507911
2023-05-05 10:00:00,101.105,99.8901,101.24,100.11,690969
2023-05-04 16:00:00,99.32,98.79,99.32,98.79,92174
2023-05-04 15:00:00,99.18,98.93,99.46,99.33,1522469
2023-05-04 14:00:00,99.56,98.75,99.58,99.15,556327
2023-05-04 13:00:00,99.22,99.075,99.98,99.54,581285
2023-05-04 12:00:00,98.14,97.92,99.22,99.21,522146
2023-05-04 11:00:00,98.06,97.41,98.38,98.15,896084
2023-05-04 10:00:00,100.37,97.92,100.5,98.0933,1265587
2023-05-03 16:00:00,101.77,101.72,102.0,101.72,35778
2023-05-03 15:00:00,102.75,101.63,102.95,101.76,1167785
2023-05-03 14:00:00,101.85,101.655,102.86,102.745,733226
2023-05-03 13:00:00,102.098,101.86,102.2799,101.88,364369
2023-05-03 12:00:00,101.6999,101.68,102.1,102.0862,430884
2023-05-03 11:00:00,101.86,101.56,102.0,101.68,480370
2023-05-03 10:00:00,101.7,101.59,102.0,101.8501,594926
2023-05-02 16:00:00,101.51,101.46,101.65,101.65,237098
2023-05-02 15:00:00,101.68,101.19,101.84,101.5,1140073
2023-05-02 14:00:00,101.57,101.17,101.85,101.68,588660
2023-05-02 13:00:00,101.17,101.17,101.72,101.56,407240
2023-05-02 12:00:00,100.72,100.595,101.3,101.16,428357
2023-05-02 11:00:00,100.56,100.19,100.89,100.72,672231
2023-05-02 10:00:00,101.9,100.5401,102.0298,100.57,1166368
2023-05-01 16:00:00,101.18,101.0,101.18,101.15,68829
2023-05-01 15:00:00,100.93,100.8,101.23,101.175,1012850
2023-05-01 14:00:00,101.035,100.83,101.23,100.92,409352
2023-05-01 13:00:00,100.9717,100.67,101.06,101.04,356113
2023-05-01 12:00:00,101.13,100.74,101.22,100.98,367145
2023-05-01 11:00:00,101.91,101.02,101.91,101.13,663505
