date,open,low,high,close,volume
2023-05-08 11:00:00,123.18,122.96,123.3,123.0,162393
2023-05-08 10:00:00,123.71,123.01,123.78,123.17,424232
2023-05-05 16:00:00,123.65,123.4726,123.77,123.65,97376
2023-05-05 15:00:00,123.89,123.58,123.99,123.7,714982
2023-05-05 14:00:00,123.41,123.36,123.9817,123.885,383857
2023-05-05 13:00:00,123.1189,123.1,123.53,123.4,515487
2023-05-05 12:00:00,123.53,122.805,123.55,123.115,423974
2023-05-05 11:00:00,123.6719,123.3271,123.82,123.5391,395516
2023-05-05 10:00:00,123.95,123.38,124.1,123.66,999482
2023-05-04 16:00:00,122.57,122.26,122.65,122.65,96857
2023-05-04 15:00:00,122.284,122.145,122.59,122.58,986007
2023-05-04 14:00:00,122.6501,122.1,122.6501,122.2999,354853
2023-05-04 13:00:00,122.57,122.42,122.81,122.64,413448
2023-05-04 12:00:00,122.28,122.27,122.72,122.57,392182
2023-05-04 11:00:00,122.16,122.05,122.745,122.27,420432
2023-05-04 10:00:00,121.93,121.78,122.34,122.175,625861
2023-05-03 16:00:00,123.45,123.27,123.95,123.45,46387
2023-05-03 15:00:00,124.4,123.26,124.67,123.46,1268729
2023-05-03 14:00:00,124.45,124.03,124.84,124.41,511277
2023-05-03 13:00:00,124.61,124.3,124.65,124.47,310323
2023-05-03 12:00:00,124.4818,124.27,124.62,124.6,272045
2023-05-03 11:00:00,124.5,124.08,124.51,124.48,295182
2023-05-03 10:00:00,125.06,124.4,125.12,124.485,495461
2023-05-02 16:00:00,125.16,124.91,125.23,125.16,77331
2023-05-02 15:00:00,124.6001,124.519,125.42,125.16,1115335
2023-05-02 14:00:00,124.415,124.27,124.7,124.5942,381480
2023-05-02 13:00:00,124.05,123.93,124.53,124.415,394301
2023-05-02 12:00:00,123.78,123.64,124.13,124.04,394081
2023-05-02 11:00:00,123.78,123.27,123.97,123.75,543929
2023-05-02 10:00:00,125.5,123.764,125.515,123.7899,691488
2023-05-01 16:00:00,126.09,126.08,126.13,126.09,57015
2023-05-01 15:00:00,126.2,126.06,126.33,126.08,623214
2023-05-01 14:00:00,126.45,126.13,126.48,126.19,262827
2023-05-01 13:00:00,126.425,126.3529,126.57,126.46,187912
2023-05-01 12:00:00,126.23,126.2294,126.47,126.43,190872
2023-05-01 11:00:00,126.3939,126.13,126.48,126.253,282985
2023-05-01 10:00:00,126.42,126.26,126.61,126.38,326509
2023-04-28 16:00:00,126.41,126.35,126.41,126.35,185746
2023-04-28 15:00:00,125.87,125.81,126.48,126.44,1022641
2023-04-28 14:00:00,125.98,125.64,126.175,125.87,398444
2023-04-28 13:00:00,126.3219,125.9,126.4599,125.98,294171
2023-04-28 12:00:00,126.58,126.08,126.64,126.32,341269
2023-04-28 11:00:00,126.14,125.91,126.62,126.55,313510
2023-04-28 10:00:00,126.56,126.03,126.685,126.18,573229
2023-04-27 16:00:00,126.97,126.72,127.1,126.72,60942
2023-04-27 15:00:00,126.95,126.64,127.02,126.97,733135
2023-04-27 14:00:00,126.4117,126.39,126.95,126.94,309975
2023-04-27 13:00:00,126.08,126.02,126.48,126.41,260623
2023-04-27 12:00:00,126.15,125.78,126.39,126.07,329032
2023-04-27 11:00:00,125.66,125.455,126.15,126.13,358114
2023-04-27 10:00:00,125.89,125.51,126.24,125.645,388561
2023-04-26 16:00:00,125.85,125.54,126.05,126.05,214629
2023-04-26 15:00:00,125.81,125.565,125.99,125.84,1017354
2023-04-26 14:00:00,125.98,125.71,126.06,125.82,396023
2023-04-26 13:00:00,126.52,125.86,126.545,125.9683,375083
2023-04-26 12:00:00,126.3797,126.1,126.53,126.5,296079
2023-04-26 11:00:00,125.78,125.61,126.47,126.37,438693
2023-04-26 10:00:00,125.665,125.12,125.77,125.77,440054
2023-04-25 16:00:00,125.89,125.89,126.09,126.09,55558
2023-04-25 15:00:00,125.88,125.805,126.19,125.88,1334878
2023-04-25 14:00:00,125.71,125.69,126.02,125.9,404641
2023-04-25 13:00:00,125.655,125.61,126.025,125.69,576674
2023-04-25 12:00:00,125.54,125.37,125.83,125.66,358540
2023-04-25 11:00:00,125.51,125.33,125.87,125.54,427977
2023-04-25 10:00:00,125.28,125.14,125.7559,125.51,448394
2023-04-24 16:00:00,125.4,125.2,125.45,125.4,58777
2023-04-24 15:00:00,125.09,125.0849,125.4,125.4,859345
2023-04-24 14:00:00,125.18,124.94,125.208,125.08,309020
