date,open,low,high,close,volume
2023-05-08 11:00:00,30.735,30.715,30.84,30.72,1023234
2023-05-08 10:00:00,30.64,30.58,30.765,30.735,3169903
2023-05-05 16:00:00,30.99,30.89,31.03,30.97,1415739
2023-05-05 15:00:00,31.15,30.92,31.195,30.965,7015820
2023-05-05 14:00:00,30.96,30.93,31.19,31.15,2857888
2023-05-05 13:00:00,30.96,30.9,31.08,30.96,3329416
2023-05-05 12:00:00,30.905,30.85,31.005,30.955,2595196
2023-05-05 11:00:00,30.885,30.73,31.01,30.9075,3823968
2023-05-05 10:00:00,31.07,30.79,31.08,30.885,4694218
2023-05-04 16:00:00,31.24,31.19,31.37,31.26,2162398
2023-05-04 15:00:00,31.345,31.17,31.4767,31.235,8665727
2023-05-04 14:00:00,31.65,31.305,31.66,31.345,3780536
2023-05-04 13:00:00,31.51,31.4326,31.72,31.6445,4770887
2023-05-04 12:00:00,31.235,31.13,31.525,31.505,4534076
2023-05-04 11:00:00,30.865,30.85,31.52,31.2325,7667221
2023-05-04 10:00:00,30.575,30.515,30.87,30.87,4931830
2023-05-03 16:00:00,30.65,30.55,30.73,30.69,747869
2023-05-03 15:00:00,30.98,30.605,31.11,30.66,10625509
2023-05-03 14:00:00,30.8,30.47,31.04,30.99,7043253
2023-05-03 13:00:00,30.575,30.56,30.82,30.81,3566303
2023-05-03 12:00:00,30.425,30.4,30.59,30.575,2841593
2023-05-03 11:00:00,30.45,30.3,30.51,30.423,3695515
2023-05-03 10:00:00,30.395,30.245,30.65,30.455,5367612
2023-05-02 16:00:00,29.77,29.7,30.18,29.99,685088
2023-05-02 15:00:00,29.9348,29.75,30.01,29.76,6827909
2023-05-02 14:00:00,29.91,29.83,29.95,29.94,1908752
2023-05-02 13:00:00,30.0384,29.865,30.13,29.9,2974838
2023-05-02 12:00:00,29.82,29.7918,30.05,30.035,2862636
2023-05-02 11:00:00,29.93,29.775,30.09,29.815,4533988
2023-05-02 10:00:00,30.47,29.8901,30.5175,29.9309,4956211
2023-05-01 16:00:00,30.3,30.19,30.31,30.2093,707968
2023-05-01 15:00:00,30.51,30.28,30.51,30.28,6671551
2023-05-01 14:00:00,30.4,30.37,30.52,30.51,2445522
2023-05-01 13:00:00,30.585,30.31,30.61,30.395,3508069
2023-05-01 12:00:00,30.57,30.41,30.6,30.5823,3317534
2023-05-01 11:00:00,30.88,30.44,30.945,30.57,5283201
2023-05-01 10:00:00,30.86,30.72,31.08,30.88,6221835
2023-04-28 16:00:00,31.06,31.0,31.13,31.05,1179005
2023-04-28 15:00:00,30.945,30.945,31.16,31.085,11421476
2023-04-28 14:00:00,31.235,30.91,31.27,30.945,4744733
2023-04-28 13:00:00,31.03,30.81,31.3275,31.2425,7566952
2023-04-28 12:00:00,31.175,30.84,31.2899,31.025,8383951
2023-04-28 11:00:00,31.55,31.09,31.5561,31.175,8329618
2023-04-28 10:00:00,31.82,31.5,31.96,31.557,13075042
2023-04-27 16:00:00,29.86,28.83,31.48,29.44,5536740
2023-04-27 15:00:00,29.605,29.585,29.945,29.84,13930125
2023-04-27 14:00:00,29.3752,29.37,29.73,29.605,5099137
2023-04-27 13:00:00,29.44,29.26,29.46,29.375,3684828
2023-04-27 12:00:00,29.315,29.235,29.45,29.44,3415929
2023-04-27 11:00:00,29.275,29.06,29.46,29.315,4366235
2023-04-27 10:00:00,28.975,28.59,29.39,29.265,8421800
2023-04-26 16:00:00,29.05,28.95,29.2,29.1,3366313
2023-04-26 15:00:00,28.89,28.835,29.06,29.05,7648467
2023-04-26 14:00:00,29.105,28.84,29.12,28.89,4554052
2023-04-26 13:00:00,29.36,29.06,29.38,29.1,2822817
2023-04-26 12:00:00,29.645,29.325,29.72,29.36,3201979
2023-04-26 11:00:00,29.565,29.5431,29.81,29.64,4783986
2023-04-26 10:00:00,29.49,29.31,29.63,29.565,4547809
2023-04-25 16:00:00,28.88,28.55,29.0719,29.04,1685161
2023-04-25 15:00:00,29.045,28.87,29.09,28.87,9060011
2023-04-25 14:00:00,29.01,28.98,29.14,29.045,3331477
2023-04-25 13:00:00,29.07,28.9301,29.11,29.005,3143499
2023-04-25 12:00:00,29.05,28.985,29.17,29.07,2724719
2023-04-25 11:00:00,29.16,28.96,29.23,29.043,3768357
2023-04-25 10:00:00,29.35,29.09,29.45,29.15,4532287
2023-04-24 16:00:00,29.66,29.62,29.73,29.64,4170629
2023-04-24 15:00:00,29.695,29.61,29.74,29.66,7862303
2023-04-24 14:00:00,29.805,29.66,29.825,29.695,2567323
2023-04-24 13:00:00,29.735,29.66,29.81,29.8,2283257
2023-04-24 12:00:00,29.785,29.6521,29.84,29.735,3504656
2023-04-24 11:00:00,30.17,29.7,30.26,29.7821,9110738
2023-04-24 10:00:00,30.145,30.055,30.28,30.175,2776455
2023-04-21 16:00:00,30.3,30.25,30.33,30.27,492864
2023-04-21 15:00:00,30.35,30.25,30.37,30.3,6586023
2023-04-21 14:00:00,30.42,30.29,30.45,30.35,3155336
2023-04-21 13:00:00,30.32,30.295,30.455,30.415,2332186
2023-04-21 12:00:00,30.34,30.2999,30.4,30.32,2195735
2023-04-21 11:00:00,30.36,30.2773,30.43,30.33,2344522
2023-04-21 10:00:00,30.295,30.225,30.56,30.355,3767123
2023-04-20 16:00:00,30.86,30.86,31.03,31.0,889042
2023-04-20 15:00:00,30.9316,30.75,30.975,30.88,6083408
2023-04-20 14:00:00,31.115,30.875,31.13,30.93,2192915
2023-04-20 13:00:00,31.2,31.1,31.25,31.115,2246783
2023-04-20 12:00:00,30.935,30.8618,31.22,31.195,2334150
2023-04-20 11:00:00,30.8652,30.71,30.99,30.93,3904781
2023-04-20 10:00:00,30.97,30.78,31.0,30.86,4210964
2023-04-19 16:00:00,31.15,31.13,31.19,31.13,1000207
2023-04-19 15:00:00,31.245,31.13,31.31,31.155,6109811
2023-04-19 14:00:00,31.25,31.2,31.31,31.245,1952874
2023-04-19 13:00:00,31.345,31.17,31.375,31.25,2421360
2023-04-19 12:00:00,31.26,31.24,31.3758,31.34,1688607
2023-04-19 11:00:00,31.35,31.205,31.38,31.255,2104492
2023-04-19 10:00:00,31.305,31.16,31.4,31.35,3074420
2023-04-18 16:00:00,31.83,31.62,31.85,31.62,830798
2023-04-18 15:00:00,31.895,31.78,31.93,31.84,6797296
2023-04-18 14:00:00,31.925,31.83,32.005,31.89,3099262
2023-04-18 13:00:00,31.96,31.895,31.99,31.925,1969909
2023-04-18 12:00:00,31.99,31.94,32.13,31.955,2298974
2023-04-18 11:00:00,31.97,31.845,32.01,31.985,2749891
2023-04-18 10:00:00,32.075,31.8,32.1,31.975,3589499
2023-04-17 16:00:00,32.14,32.04,32.18,32.08,374837
2023-04-17 15:00:00,31.99,31.99,32.21,32.14,6031203
2023-04-17 14:00:00,31.845,31.79,32.0,31.983,2142135
2023-04-17 13:00:00,31.89,31.77,31.92,31.84,2220737
2023-04-17 12:00:00,31.97,31.815,31.99,31.885,2239742
2023-04-17 11:00:00,32.235,31.96,32.3391,31.98,3700518
2023-04-17 10:00:00,32.11,31.94,32.24,32.235,3663346
2023-04-14 16:00:00,31.89,31.84,31.94,31.92,556517
2023-04-14 15:00:00,31.88,31.7342,31.95,31.91,4396681
2023-04-14 14:00:00,31.76,31.715,31.9,31.875,1849940
2023-04-14 13:00:00,31.83,31.69,31.945,31.7619,2280972
2023-04-14 12:00:00,32.0094,31.75,32.02,31.8368,2645303
2023-04-14 11:00:00,32.0483,31.91,32.14,32.01,2902724
2023-04-14 10:00:00,32.17,31.8977,32.22,32.04,4124029
2023-04-13 16:00:00,32.13,32.05,32.19,32.05,1899578
2023-04-13 15:00:00,32.35,32.1,32.4,32.12,5633310
2023-04-13 14:00:00,32.31,32.28,32.43,32.3492,2843890
2023-04-13 13:00:00,32.025,31.995,32.325,32.315,2190206
2023-04-13 12:00:00,32.175,31.97,32.21,32.025,2056993
2023-04-13 11:00:00,32.01,32.0,32.18,32.175,2520533
2023-04-13 10:00:00,32.0,31.935,32.16,32.005,3949531
2023-04-12 16:00:00,32.02,31.99,32.05,32.03,3102543
2023-04-12 15:00:00,32.085,31.98,32.14,32.045,8294562
2023-04-12 14:00:00,32.1,32.0,32.22,32.085,3290434
2023-04-12 13:00:00,32.205,32.08,32.29,32.1,2452401
2023-04-12 12:00:00,32.205,32.18,32.34,32.2003,1837146
2023-04-12 11:00:00,32.07,31.96,32.25,32.205,3693200
2023-04-12 10:00:00,32.415,32.07,32.5,32.08,4949968
2023-04-11 16:00:00,32.35,32.35,32.43,32.39,323751
2023-04-11 15:00:00,32.52,32.32,32.58,32.36,5430048
2023-04-11 14:00:00,32.5107,32.455,32.55,32.525,2130875
2023-04-11 13:00:00,32.6,32.45,32.63,32.51,1873384
2023-04-11 12:00:00,32.63,32.4892,32.65,32.595,2741090
2023-04-11 11:00:00,32.635,32.61,32.76,32.635,2411200
2023-04-11 10:00:00,33.015,32.63,33.02,32.63,3905263
2023-04-10 16:00:00,32.52,32.45,32.59,32.54,1738572
2023-04-10 15:00:00,32.56,32.46,32.58,32.535,4878900
2023-04-10 14:00:00,32.515,32.47,32.59,32.5598,2238735
2023-04-10 13:00:00,32.56,32.44,32.6685,32.515,2667635
2023-04-10 12:00:00,32.33,32.23,32.655,32.56,3630028
2023-04-10 11:00:00,32.22,32.21,32.44,32.334,3708286
2023-04-10 10:00:00,32.42,32.2,32.5,32.215,3519874
2023-04-06 16:00:00,32.81,32.78,32.82,32.79,1152198
2023-04-06 15:00:00,32.86,32.8,32.93,32.82,5774648
2023-04-06 14:00:00,32.945,32.84,32.98,32.852,2415576
2023-04-06 13:00:00,32.8701,32.845,33.0,32.945,2496189
2023-04-06 12:00:00,32.965,32.805,33.0,32.8704,3222526
2023-04-06 11:00:00,32.66,32.635,32.98,32.965,3484714
2023-04-06 10:00:00,32.63,32.54,32.81,32.655,4012072
2023-04-05 16:00:00,32.83,32.7009,32.88,32.77,657391
2023-04-05 15:00:00,32.84,32.715,32.9,32.81,7412970
2023-04-05 14:00:00,32.77,32.74,32.915,32.84,3197894
2023-04-05 13:00:00,32.52,32.475,32.84,32.765,3200249
2023-04-05 12:00:00,32.67,32.51,32.68,32.51,3156914
2023-04-05 11:00:00,32.475,32.335,32.68,32.66,5464677
2023-04-05 10:00:00,32.87,32.415,32.96,32.475,6668994
2023-04-04 16:00:00,33.1,33.07,33.13,33.11,746023
2023-04-04 15:00:00,33.035,32.85,33.12,33.1,9176100
2023-04-04 14:00:00,33.155,33.01,33.21,33.035,5894652
2023-04-04 13:00:00,33.05,32.96,33.165,33.16,3922397
2023-04-04 12:00:00,33.175,32.94,33.31,33.055,6019908
2023-04-04 11:00:00,33.36,33.17,33.4,33.175,5101115
2023-04-04 10:00:00,33.495,33.27,33.84,33.3599,11126436
2023-04-03 16:00:00,32.89,32.8198,32.93,32.89,1540004
2023-04-03 15:00:00,32.85,32.77,32.935,32.9,8737996
2023-04-03 14:00:00,32.71,32.65,32.9,32.845,4411178
2023-04-03 13:00:00,32.66,32.54,32.775,32.7108,4238288
2023-04-03 12:00:00,32.725,32.59,32.93,32.666,5096145
2023-04-03 11:00:00,33.13,32.7,33.17,32.725,5858664
2023-04-03 10:00:00,33.25,33.02,33.56,33.1288,12402655
2023-03-31 16:00:00,32.67,32.56,32.6996,32.64,1660658
2023-03-31 15:00:00,32.675,32.53,32.8,32.655,12231780
2023-03-31 14:00:00,32.7739,32.615,32.865,32.675,5025899
2023-03-31 13:00:00,32.815,32.705,32.87,32.775,4671257
2023-03-31 12:00:00,32.585,32.5,32.9,32.82,5609996
2023-03-31 11:00:00,32.58,32.52,32.68,32.59,5717872
2023-03-31 10:00:00,32.11,32.11,32.62,32.585,10120362
2023-03-30 16:00:00,32.09,32.04,32.195,32.08,1231315
2023-03-30 15:00:00,32.15,32.035,32.22,32.075,10074024
2023-03-30 14:00:00,32.12,32.05,32.21,32.145,4269773
2023-03-30 13:00:00,32.255,32.03,32.39,32.12,5129820
2023-03-30 12:00:00,32.232,32.02,32.3,32.26,6278673
2023-03-30 11:00:00,32.365,32.09,32.58,32.23,9739421
2023-03-30 10:00:00,31.985,31.95,32.51,32.365,14414094
2023-03-29 16:00:00,31.52,31.44,31.8201,31.49,2141316
2023-03-29 15:00:00,31.555,31.47,31.89,31.5122,21233241
2023-03-29 14:00:00,31.3099,31.16,31.56,31.555,7655501
2023-03-29 13:00:00,31.015,31.0,31.46,31.3023,10389490
2023-03-29 12:00:00,30.485,30.41,31.158,31.015,12137318
